true,forecasted
0.4557221,0.44919384
0.43341586,0.42418668
0.43668774,0.4253349
0.46009275,0.4496573
0.5294144,0.52426845
0.69004357,0.69077826
0.8210329,0.8289739
0.85895,0.8759011
0.86486316,0.88363373
0.8773919,0.89823496
0.8856317,0.91339105
0.87333,0.9035098
0.8583814,0.88832825
0.83746153,0.866361
0.81023335,0.8555224
0.7967365,0.8456112
0.86383665,0.90029114
0.9097184,0.9248638
0.872719,0.8909663
0.7904033,0.79600954
0.71463835,0.72450185
0.65779924,0.6631084
0.57483226,0.5670687
0.5055743,0.49343017
0.46535683,0.45747584
0.44009224,0.4294424
0.4456054,0.42693698
0.46952796,0.4481748
0.5322537,0.51963145
0.69713,0.68238556
0.8266019,0.8274127
0.8694413,0.8764373
0.87598723,0.88271505
0.8871597,0.89566636
0.8955301,0.90588987
0.8861555,0.88912493
0.8734897,0.8648426
0.8441875,0.8337869
0.8217833,0.81841385
0.804322,0.8119956
0.8631363,0.8749332
0.91109353,0.904299
0.879026,0.86981225
0.7934626,0.77475065
0.7218541,0.7112579
0.66489965,0.66015106
0.57930493,0.5693326
0.51417285,0.49640688
0.47388896,0.4622513
0.45484963,0.43824932
0.45644593,0.43429855
0.47848055,0.4559123
0.5428298,0.52670103
0.70334697,0.68149793
0.8349027,0.8215447
0.8696329,0.8715767
0.876269,0.8811625
0.8845457,0.8932947
0.8902354,0.89758897
0.87828755,0.88336253
0.86099744,0.85099316
0.8379165,0.8183403
0.81613994,0.7964245
0.7967126,0.7910829
0.85046995,0.8526512
0.8977518,0.8791748
0.86650205,0.8393695
0.79036164,0.74790484
0.720302,0.6872445
0.6629583,0.63711804
0.58105236,0.5547317
0.52494943,0.48748103
0.48220012,0.46997297
0.45763278,0.44388068
0.46145597,0.44270518
0.4852916,0.46687642
0.54404753,0.538886
0.70184547,0.69297653
0.83150315,0.82343847
0.8760361,0.8726501
0.88975054,0.87721044
0.90039223,0.8910754
0.91152525,0.8954868
0.89847004,0.8771977
0.8652368,0.84049916
0.83302265,0.80458707
0.8086037,0.7838725
0.8002421,0.7779999
0.85322404,0.8392002
0.88189566,0.8731779
0.8390189,0.8278794
0.7473651,0.7263288
0.6673076,0.66046506
0.61212605,0.61657614
0.53881836,0.5329847
0.4687834,0.46090734
0.41384798,0.41108024
0.3826662,0.379622
0.36835834,0.36679628
0.36632085,0.367089
0.36550245,0.36568785
0.38209596,0.38111147
0.4486142,0.45202023
0.531149,0.53419876
0.60863686,0.602393
0.65224034,0.64090717
0.6679961,0.6543776
0.6473215,0.6398135
0.6033806,0.5909269
0.5654236,0.55716693
0.55505604,0.54437727
0.555547,0.5606458
0.61751825,0.6268863
0.66602325,0.6730863
0.6285806,0.63154197
0.55213416,0.5439598
0.49608934,0.4913736
0.47316805,0.4760981
0.4018188,0.40628
0.3392021,0.33779895
0.28895736,0.29096276
0.26849267,0.26514864
0.2629714,0.25409138
0.26464787,0.25500506
0.26232257,0.2500473
0.26448572,0.23121692
0.31093118,0.2642385
0.3917429,0.33685616
0.4782837,0.4263667
0.5377968,0.4837719
0.5843956,0.53781986
0.56684494,0.53645736
0.5150568,0.49135834
0.47763827,0.45498267
0.46254194,0.44442278
0.46339074,0.46858278
0.53022724,0.5266735
0.615474,0.5929489
0.58703125,0.58150786
0.5330919,0.5213649
0.5023369,0.48548037
0.50809395,0.49035352
0.45064023,0.42070976
0.40004346,0.3643746
0.3617698,0.34818476
0.3448801,0.33406886
0.35070565,0.34222966
0.38473904,0.37156513
0.46857622,0.4553212
0.6376944,0.6598824
0.7733344,0.8114043
0.8241903,0.86262786
0.85266286,0.88228035
0.88051575,0.90380466
0.891121,0.9186038
0.8793654,0.91189384
0.8508098,0.90131176
0.8149585,0.87844473
0.7883618,0.8607013
0.7658389,0.846942
0.8144655,0.8862493
0.8829483,0.91948724
0.85753685,0.90395284
0.76944995,0.8094051
0.7001656,0.741137
0.65856403,0.6767387
0.57833,0.58058167
0.5226865,0.5132284
0.4794055,0.45736796
0.4553487,0.43267924
0.45695198,0.43325993
0.47659507,0.45860165
0.54278225,0.5347128
0.6851211,0.70164883
0.79252684,0.8321057
0.82878464,0.87582743
0.83573306,0.8817596
0.83849007,0.89361167
0.8467333,0.9101733
0.8344834,0.8960469
0.812617,0.88172656
0.78391814,0.85528576
0.75120586,0.840968
0.7286818,0.8146824
0.78248334,0.86978656
0.8658782,0.93159366
0.8504981,0.91152006
0.773858,0.81105894
0.7080298,0.74096507
0.6494689,0.68217087
0.5660839,0.5844945
0.502688,0.5100147
0.4607461,0.46049464
0.44304252,0.43581063
0.4497029,0.42974514
0.4747772,0.45508826
0.5415195,0.5253543
0.6953367,0.67932534
0.8147968,0.80778253
0.8469373,0.8461505
0.84708685,0.84631664
0.8573564,0.8547182
0.86196065,0.86156374
0.8520077,0.8351742
0.8346665,0.80409527
0.80581087,0.7715736
0.7836398,0.7556772
0.7632927,0.74017304
0.82143533,0.82175523
0.9056416,0.8886969
0.8877581,0.85874504
0.8117952,0.7537184
0.73506045,0.6817791
0.6753148,0.63306826
0.5845501,0.5464381
0.52172846,0.47483912
0.4813056,0.45696282
0.46565548,0.43005204
0.45688352,0.43040663
0.4812119,0.4544342
0.54410744,0.52025884
0.71681523,0.676263
0.84220177,0.82068765
0.89242625,0.8755444
0.91422826,0.8828302
0.9359505,0.9030287
0.9565465,0.9119015
0.9483121,0.90146
0.92797464,0.8716969
0.90991527,0.8397492
