true,forecasted
0.4557221,0.44838634
0.43341586,0.42797533
0.43668774,0.43204346
0.46009275,0.4586328
0.5294144,0.533713
0.69004357,0.6974634
0.8210329,0.8299551
0.85895,0.87128496
0.86486316,0.87490904
0.8773919,0.8957552
0.8856317,0.9148625
0.87333,0.9005481
0.8583814,0.886783
0.83746153,0.8647658
0.81023335,0.84973204
0.7967365,0.8448388
0.86383665,0.9010324
0.9097184,0.921194
0.872719,0.88894594
0.7904033,0.79341406
0.71463835,0.7211468
0.65779924,0.6591078
0.57483226,0.5691135
0.5055743,0.5010405
0.46535683,0.45599663
0.44009224,0.4329126
0.4456054,0.4323797
0.46952796,0.45317844
0.5322537,0.5232364
0.69713,0.6813281
0.8266019,0.8181137
0.8694413,0.8616993
0.87598723,0.86458147
0.8871597,0.8819493
0.8955301,0.8985902
0.8861555,0.8845557
0.8734897,0.86643374
0.8441875,0.8434358
0.8217833,0.8276465
0.804322,0.81873757
0.8631363,0.8779874
0.91109353,0.90465987
0.879026,0.87421024
0.7934626,0.78417766
0.7218541,0.71778435
0.66489965,0.6615958
0.57930493,0.5745679
0.51417285,0.50989515
0.47388896,0.45969492
0.45484963,0.43501908
0.45644593,0.43234488
0.47848055,0.45152903
0.5428298,0.5215858
0.70334697,0.6755748
0.8349027,0.816118
0.8696329,0.8625837
0.876269,0.86768794
0.8845457,0.8840155
0.8902354,0.9000714
0.87828755,0.88603455
0.86099744,0.86486435
0.8379165,0.8392215
0.81613994,0.81812435
0.7967126,0.80077225
0.85046995,0.8622099
0.8977518,0.8933179
0.86650205,0.8660096
0.79036164,0.7800654
0.720302,0.71271473
0.6629583,0.65464926
0.58105236,0.5698904
0.52494943,0.50424874
0.48220012,0.46420187
0.45763278,0.4403966
0.46145597,0.43784058
0.4852916,0.46201304
0.54404753,0.5321169
0.70184547,0.6847792
0.83150315,0.81690335
0.8760361,0.8607852
0.88975054,0.8687601
0.90039223,0.8831161
0.91152525,0.8923187
0.89847004,0.8688363
0.8652368,0.8378316
0.83302265,0.80469495
0.8086037,0.7856108
0.8002421,0.7792977
0.85322404,0.8436524
0.88189566,0.867325
0.8390189,0.8269607
0.7473651,0.7359521
0.6673076,0.66452074
0.61212605,0.6123753
0.53881836,0.5329642
0.4687834,0.4642198
0.41384798,0.40412837
0.3826662,0.3715876
0.36835834,0.36006466
0.36632085,0.35492104
0.36550245,0.35785693
0.38209596,0.38751814
0.4486142,0.46872532
0.531149,0.5415452
0.60863686,0.60254467
0.65224034,0.64190006
0.6679961,0.66101
0.6473215,0.6361342
0.6033806,0.59835625
0.5654236,0.566348
0.55505604,0.5593684
0.555547,0.5718038
0.61751825,0.64853764
0.66602325,0.67525446
0.6285806,0.62611294
0.55213416,0.54416746
0.49608934,0.4879622
0.47316805,0.46280742
0.4018188,0.3980774
0.3392021,0.32970387
0.28895736,0.27880204
0.26849267,0.2532069
0.2629714,0.24320148
0.26464787,0.24729836
0.26232257,0.24711674
0.26448572,0.22080666
0.31093118,0.25030273
0.3917429,0.32118282
0.4782837,0.413748
0.5377968,0.47777337
0.5843956,0.53665125
0.56684494,0.5344189
0.5150568,0.49249354
0.47763827,0.45914298
0.46254194,0.44770378
0.46339074,0.46627387
0.53022724,0.54632723
0.615474,0.5969282
0.58703125,0.5766579
