true,forecasted
0.4793316,0.47409588
0.429476,0.41892177
0.4081278,0.39950523
0.44370627,0.4345192
0.5473253,0.53861475
0.76809055,0.7546588
0.85547715,0.8385983
0.87763333,0.85848135
0.8945387,0.8660877
0.90218335,0.8738776
0.91326696,0.87251186
0.9186971,0.8681164
0.8984107,0.847596
0.89113283,0.8406801
0.8997813,0.854377
0.8928123,0.8746375
0.9356631,0.92863667
0.9361375,0.9208375
0.90879655,0.8920031
0.8527993,0.8306824
0.78419614,0.7632345
0.7154385,0.7043997
0.6517111,0.6311544
0.5633951,0.54336697
0.5080873,0.48679334
0.45220307,0.43491846
0.42572537,0.4111884
0.45787036,0.43661013
0.5569777,0.5488696
0.78104943,0.7654834
0.8743019,0.8473628
0.89588726,0.87289065
0.91494095,0.8857178
0.92949116,0.8977699
0.94053894,0.90407956
0.93721026,0.8990991
0.9122907,0.878617
0.8899635,0.87427825
0.88698786,0.88399726
0.87023693,0.9062889
0.92109364,0.92956126
0.9240197,0.8991531
0.90122086,0.8793333
0.843147,0.83418393
0.7806303,0.7785334
0.7101573,0.7090014
0.64620376,0.6404421
0.5652925,0.55528295
0.50991017,0.49300224
0.4564225,0.43910518
0.42710978,0.41379488
0.45764422,0.4367921
0.55812764,0.5468466
0.7729443,0.7577958
0.8662271,0.8455869
0.8894009,0.8795732
0.91804904,0.89140755
0.94099396,0.90678716
0.9599677,0.91742074
0.96084464,0.9073875
0.93756324,0.87999284
0.9243037,0.8684115
0.92166173,0.87424636
0.91079324,0.87464297
0.9326185,0.90522796
0.92013943,0.8854168
0.89677805,0.86946577
0.8409242,0.8229015
0.77626467,0.77146995
0.7046224,0.71203256
0.6409805,0.6419884
0.54934406,0.5583888
0.49610737,0.48826694
0.4436456,0.4332736
0.426823,0.41095483
0.45616052,0.44135514
0.5577085,0.54407334
0.762517,0.75523275
0.8374135,0.8401316
0.85385,0.8656523
0.8613899,0.87394077
0.8643242,0.88437873
0.8720957,0.8945447
0.87440675,0.89165175
0.85890234,0.85411006
0.8483041,0.8346172
0.85260075,0.8355751
0.84913695,0.8464432
0.8820376,0.8753182
0.87096775,0.87487215
0.8442115,0.8606952
0.7948137,0.7962053
0.7436812,0.7375483
0.6815175,0.68583906
0.6171199,0.62350965
0.530602,0.5377048
0.47228268,0.4906438
0.40909305,0.42574707
0.37861928,0.39926028
0.3838784,0.4115241
0.41723132,0.45180264
0.50578177,0.54024357
0.59651357,0.62586474
0.66645706,0.6980587
0.7247516,0.74194545
0.7569628,0.77157176
0.7846374,0.7901556
0.7803545,0.78252757
0.73187226,0.7338529
0.6934284,0.7015665
0.68587756,0.6943318
0.68040884,0.7209871
0.73880816,0.75651383
0.7441638,0.75933766
0.7276445,0.76112217
0.6759715,0.7145395
0.6182506,0.6523285
0.55241627,0.5819938
0.48590624,0.5177868
0.41490373,0.43021676
0.38059664,0.371893
