true,forecasted
0.4793316,0.44568962
0.429476,0.40240437
0.4081278,0.38570487
0.44370627,0.44054192
0.5473253,0.5373825
0.76809055,0.75002193
0.85547715,0.8046636
0.87763333,0.81085974
0.8945387,0.8408024
0.90218335,0.84245956
0.91326696,0.8510639
0.9186971,0.8334049
0.8984107,0.83137053
0.89113283,0.83479285
0.8997813,0.84832
0.8928123,0.8491573
0.9356631,0.8581903
0.9361375,0.8484828
0.90879655,0.8406348
0.8527993,0.7823476
0.78419614,0.7092941
0.7154385,0.6581484
0.6517111,0.600371
0.5633951,0.49712837
0.5080873,0.46948943
0.45220307,0.41719928
0.42572537,0.40951866
0.45787036,0.4556785
0.5569777,0.5778807
0.78104943,0.77340966
0.8743019,0.8479832
0.89588726,0.8631156
0.91494095,0.85955703
0.92949116,0.87403125
0.94053894,0.8683984
0.93721026,0.86197895
0.9122907,0.8537716
0.8899635,0.86598945
0.88698786,0.87616694
0.87023693,0.88010603
0.92109364,0.88162136
0.9240197,0.88287073
0.90122086,0.866905
0.843147,0.8048344
0.7806303,0.73349243
0.7101573,0.6740356
0.64620376,0.612355
0.5652925,0.5196262
0.50991017,0.470815
0.4564225,0.4165941
0.42710978,0.40152812
0.45764422,0.43567201
0.55812764,0.53691715
0.7729443,0.72304195
0.8662271,0.81730133
0.8894009,0.83805937
0.91804904,0.86024565
0.94099396,0.88579845
0.9599677,0.87698203
0.96084464,0.86702424
0.93756324,0.8540217
0.9243037,0.8574257
0.92166173,0.85156745
0.91079324,0.8638005
0.9326185,0.8746175
0.92013943,0.8529312
0.89677805,0.83266914
0.8409242,0.7781536
0.77626467,0.71541595
0.7046224,0.6511445
0.6409805,0.5828228
0.54934406,0.49707532
0.49610737,0.47314987
0.4436456,0.4214401
0.426823,0.40628046
0.45616052,0.45740628
0.5577085,0.56139195
0.762517,0.75820816
0.8374135,0.8218499
0.85385,0.83646995
0.8613899,0.8545669
0.8643242,0.86374736
0.8720957,0.8645798
0.87440675,0.8563079
0.85890234,0.83776236
0.8483041,0.8306619
0.85260075,0.8273478
0.84913695,0.8326057
0.8820376,0.85218555
0.87096775,0.85837334
0.8442115,0.8312
0.7948137,0.7675894
0.7436812,0.7228629
0.6815175,0.65186334
0.6171199,0.5807669
0.530602,0.49356234
0.47228268,0.46690676
0.40909305,0.40971687
0.37861928,0.379414
0.3838784,0.41064626
0.41723132,0.45468172
0.50578177,0.5249131
0.59651357,0.5905581
0.66645706,0.64591694
0.7247516,0.69908804
0.7569628,0.7304318
0.7846374,0.7372909
0.7803545,0.71413445
0.73187226,0.67319256
0.6934284,0.6605855
0.68587756,0.6430486
0.68040884,0.6663639
0.73880816,0.71656185
0.7441638,0.73366505
0.7276445,0.7203742
0.6759715,0.6629248
0.6182506,0.5932407
0.55241627,0.5403841
0.48590624,0.47950712
0.41490373,0.39645097
0.38059664,0.37741053
0.33440888,0.3264954
0.30369794,0.30153072
0.30477348,0.30047596
0.3295579,0.3184769
0.3848602,0.3535503
0.4684052,0.43543068
0.5477252,0.53103024
0.61454964,0.6014779
0.6397753,0.64324045
0.6508865,0.6362164
0.62413853,0.6192829
0.5811333,0.56553143
0.56113094,0.55262625
0.56685334,0.5444127
0.58721423,0.546894
0.67042553,0.6344212
0.70802,0.68878835
0.7087315,0.6925235
0.6704559,0.64800817
0.60335296,0.57178366
0.53711045,0.508016
0.4714636,0.44877273
0.4008996,0.37527838
0.37133038,0.38907295
0.3215851,0.34944883
0.3039158,0.330523
0.34532702,0.3620157
0.4720786,0.46723288
0.70857704,0.70789236
0.8051224,0.7923274
0.8364593,0.82981384
0.8534502,0.85223466
0.8634058,0.8544235
0.86660486,0.8531321
0.88102823,0.8481163
0.86455035,0.82444894
0.8555406,0.8302793
0.86287355,0.8440345
0.8526862,0.82979864
0.89464074,0.8462357
0.8971118,0.8744798
0.8777409,0.8595017
0.81218785,0.8099415
0.7501455,0.74570686
0.67611766,0.6663263
0.6051731,0.6090418
0.52027404,0.5080832
0.46791983,0.46947008
0.41534498,0.40624568
0.39533433,0.40080795
0.43247923,0.4434647
0.5402736,0.54299706
0.7539623,0.7332585
0.848271,0.79994476
0.8800354,0.822378
0.9039042,0.8443362
0.9221471,0.85971606
0.9394027,0.85207677
0.9443447,0.8386271
0.9243478,0.82462573
0.9151699,0.8227497
0.9178339,0.8177519
0.9047619,0.80838966
0.9431368,0.8349287
0.9408423,0.85401213
0.915054,0.83783925
0.8564975,0.7676253
0.7903957,0.7050173
0.72216755,0.6525094
0.6491463,0.57568204
0.5594597,0.48876393
0.503923,0.47801626
0.4484497,0.4229512
0.42789853,0.41303575
0.45785657,0.44764388
0.5586875,0.56356627
0.76747274,0.7744972
0.8567016,0.8448153
0.87744033,0.85919446
0.90051764,0.87455505
0.9129774,0.89057696
0.9195989,0.8765662
0.9169652,0.8729098
0.9046957,0.86210084
0.88930714,0.8655578
0.89275163,0.8666242
0.87978166,0.8625117
0.9124286,0.8757639
0.9202139,0.8832249
0.9002722,0.86789894
0.84164673,0.8053925
0.7807571,0.7429042
0.71164376,0.677855
0.64649606,0.6157603
0.55624133,0.5207173
0.5015706,0.47354746
0.4470708,0.41559276
0.42672646,0.39567828
0.46013176,0.43473193
0.5623002,0.5301165
0.7682753,0.7346925
0.8493934,0.81458205
0.85511035,0.809882
0.85821563,0.826642
0.8553475,0.8402443
0.85561776,0.8351003
0.856743,0.82959336
0.8392695,0.8195281
0.8351356,0.81220466
0.85146177,0.81233877
0.8355437,0.8044054
0.88878596,0.8426546
0.9143784,0.8523864
0.90147734,0.8486661
0.8423362,0.79208773
0.77866673,0.7329587
0.7038419,0.6691499
0.64050335,0.61049366
0.55401856,0.5112981
0.5006743,0.4635583
0.44327605,0.413441
0.41500303,0.39723584
0.44856277,0.42972934
0.55407095,0.5345925
0.7559755,0.7380687
0.83482116,0.81039387
0.85188097,0.8148693
0.86886626,0.82572854
0.8826305,0.82120097
0.8961769,0.8267749
0.90262187,0.8098063
0.88298905,0.7989361
0.8751817,0.7863568
0.87753683,0.7989289
0.8702673,0.7760241
0.89076054,0.8088276
0.8902641,0.8257218
0.8577247,0.8020259
0.80275065,0.7538703
0.7517119,0.69155574
0.6899398,0.63072616
0.6253354,0.574126
0.5348876,0.47779614
0.4816454,0.46164876
0.42030904,0.40092206
0.38965327,0.37014794
0.40063486,0.38351634
0.4356507,0.4243966
0.52266777,0.49847376
0.61538523,0.5734794
0.69790435,0.6251424
0.75207317,0.68561715
0.7745659,0.7037502
0.7905363,0.7070271
0.7773264,0.69291174
0.7307167,0.6445057
0.69452876,0.63054484
0.6882272,0.6214067
0.6949893,0.61960626
0.7456861,0.6624498
0.75066394,0.70494205
0.7334249,0.6846627
0.68688416,0.6311661
0.6283745,0.5716258
0.56310827,0.5106576
0.5034514,0.4560685
0.4314092,0.37483567
0.3971407,0.37649643
0.34090626,0.32282674
0.30132347,0.29279387
0.30079398,0.29113436
0.32991365,0.30298054
0.38379568,0.34445727
0.4744834,0.42262036
0.5734225,0.52047086
0.65137464,0.60483825
0.68957853,0.65049547
0.6933181,0.6393867
0.6548357,0.63194644
0.5970486,0.571635
0.57385266,0.55700016
0.57206285,0.54732746
0.5875617,0.54534775
0.66831034,0.61585253
0.7208521,0.6679276
0.7207969,0.6665058
0.67493457,0.6225079
0.6126771,0.5666845
0.5416801,0.50312513
0.47843534,0.44059542
0.40919507,0.3653454
0.38393632,0.3710354
0.3342048,0.33609858
0.31582677,0.31397802
0.35870516,0.34872568
0.48762986,0.471142
0.72113883,0.68681157
0.80846757,0.7544512
0.8176483,0.78671914
0.81024635,0.80719966
0.79701716,0.80803293
0.7997253,0.80806774
0.8081421,0.810857
0.8015262,0.78532
0.8026155,0.7909234
0.81599087,0.79480946
0.81587505,0.7824622
0.863552,0.8192676
0.88423556,0.8456995
0.86892974,0.83366776
0.82084185,0.782247
0.7568497,0.7053941
0.6868235,0.65347636
0.6214717,0.58396506
0.5431417,0.49131447
0.48596415,0.46285376
0.42992276,0.4062995
0.41166332,0.39010477
0.44802225,0.42760774
0.5526865,0.52986366
0.76156557,0.73925596
0.8481993,0.8113192
0.88802475,0.8278997
0.9152278,0.85454994
0.9223898,0.860775
0.9383961,0.8625445
0.9437573,0.8556006
0.9240114,0.8468711
0.91432595,0.84422976
0.9189426,0.8502051
0.8985375,0.83475024
0.9236722,0.8506127
0.9347227,0.8635146
0.9163337,0.84345067
0.8535301,0.7867543
0.79191244,0.7187799
0.72135675,0.6600892
0.6503018,0.592363
0.56115574,0.50352126
0.50493234,0.4792018
0.44780988,0.4285754
0.4272284,0.41074997
0.4607633,0.45475385
0.55682325,0.5546921
0.7537775,0.7483279
0.8443604,0.82963735
0.8671675,0.85656595
0.88958293,0.8673957
0.9051149,0.8796135
0.9208813,0.88336325
0.92895615,0.87269795
0.9114303,0.8669605
0.9026604,0.86025345
0.89936763,0.8629831
0.88280976,0.85124123
0.9083415,0.84658605
0.9237108,0.8738898
0.9057602,0.8584243
0.84448177,0.8019174
0.78208363,0.7377368
0.7115224,0.6751438
0.6443533,0.6181668
0.56233335,0.523312
0.50809556,0.46857712
0.45505464,0.41568908
0.43789557,0.39845973
0.4631819,0.4414582
0.5711169,0.54516214
0.7692957,0.73927915
0.86022335,0.81867
0.8828677,0.82875115
0.8958294,0.8540408
0.90366703,0.8764638
0.92271245,0.873384
0.9311955,0.87438685
0.9081981,0.8600265
0.90116847,0.85759544
0.90869176,0.86219114
0.89189124,0.83768165
0.922354,0.864075
0.9437187,0.86533827
0.91704243,0.86255527
0.8552841,0.7924289
0.7925771,0.7359438
0.71925527,0.67165303
0.65126705,0.6065903
0.5648319,0.51360214
0.51222676,0.48125887
0.45665693,0.42810538
0.43583548,0.41378644
0.4691415,0.45957127
0.56782687,0.57209593
0.76662064,0.7733635
0.8715248,0.8374482
0.8927572,0.85335416
0.9108429,0.8598699
0.9147562,0.8679284
0.9210881,0.8704491
0.91725755,0.8581767
0.8900242,0.8485827
0.87480384,0.83364344
0.8773576,0.8369751
0.8653005,0.8178641
0.8894754,0.8383847
0.90496874,0.84981126
0.88147223,0.8288474
0.8227696,0.7806931
0.76784784,0.7200352
0.7121374,0.66374606
0.6470283,0.59603095
0.5569887,0.5084986
0.49664238,0.47310385
0.43595684,0.41098708
0.40050247,0.37161508
0.40805334,0.39048246
0.44481215,0.4312095
0.5287791,0.51504505
0.6372767,0.58380324
0.7064094,0.6396931
0.7540174,0.69574183
0.77663696,0.71918726
0.7888734,0.72344095
0.7677706,0.7043629
0.7123415,0.66228485
0.6796008,0.6369241
0.67395,0.62467605
0.6844104,0.6284489
0.7301128,0.6778553
0.78489935,0.7110659
0.77708375,0.6894133
0.72525626,0.6523418
0.6694714,0.5991118
0.6015328,0.5389668
0.5390795,0.48294404
0.46138105,0.3965682
0.43167672,0.42441046
0.38012505,0.3735734
0.3465984,0.33965522
0.3526435,0.34303182
0.3806104,0.3561454
0.42768067,0.37574184
0.5204119,0.46697667
0.5955539,0.5667843
0.6603458,0.65662026
0.6911753,0.7051554
0.6978988,0.692315
0.6695348,0.66979575
0.62245077,0.61619014
0.60796124,0.60437745
0.6034164,0.5737982
0.62342423,0.58747035
0.7012468,0.68241066
0.7723403,0.737848
0.78237873,0.7342067
0.74178654,0.6829449
0.67058825,0.6276068
0.60404515,0.5644976
0.5402129,0.49279886
0.46830592,0.43017346
0.45273533,0.4624994
0.41592965,0.4180481
0.39705247,0.40278295
0.4333893,0.44487622
0.55837035,0.5836071
0.7749299,0.7955692
0.8750135,0.89906055
0.8995524,0.9225172
0.9161351,0.9540122
0.9067889,0.9519677
0.91713065,0.9364404
0.91828895,0.9328478
0.90742046,0.9001363
0.90442544,0.910263
0.9107987,0.92558485
0.89973164,0.89932865
0.93103826,0.92981213
0.97452337,0.966417
0.9544355,0.93982434
0.89235455,0.8823915
0.83453435,0.82063115
0.76409173,0.7473188
0.7071292,0.6792234
0.61757493,0.58615947
0.56732774,0.5293996
0.5124639,0.4901379
0.4963721,0.4774019
0.529885,0.54025006
0.6356965,0.65429246
0.8208777,0.8463767
0.91542083,0.90660495
0.94096917,0.92179364
0.9563467,0.94440794
0.9708059,0.96171576
0.9821956,0.9479543
0.98468035,0.9215138
0.9616361,0.9289165
0.9413801,0.93072253
0.94585323,0.9149664
0.9252,0.89102167
0.95716023,0.9008053
0.99919474,0.9138521
0.9829595,0.90450954
0.92504555,0.8282779
0.8678459,0.7691692
0.7944745,0.71361643
0.73160195,0.6450045
0.646827,0.5608699
0.58391595,0.5462197
0.53165823,0.4847964
0.5106962,0.47226804
0.55073124,0.5245588
0.6527232,0.65815514
0.8365889,0.8549546
0.92904717,0.9511583
0.94736177,0.941408
0.9544631,0.96322
0.9530814,0.9675813
0.9575325,0.9497678
0.9520307,0.9500655
0.93184084,0.9354801
0.92510074,0.9413097
0.9279992,0.91982776
0.91491616,0.9208037
0.95142126,0.9550532
1.0162821,0.9604152
1.004225,0.94302285
0.95079523,0.88310045
0.88731605,0.82255423
0.8200145,0.7677416
0.7488024,0.7031132
0.6683903,0.6241258
0.61437315,0.55880785
0.5598899,0.5054844
0.53474975,0.48690093
0.5711004,0.5312402
0.6751166,0.63638586
0.8565858,0.84991425
0.9433105,0.9380309
0.94912124,0.9334479
0.9450838,0.96414405
0.9438345,0.96615005
0.9492233,0.935917
0.962116,0.94037116
0.9435256,0.92428
0.95053875,0.9200947
0.96479106,0.9058957
0.9519066,0.9159728
0.97038394,0.9399109
1.0146991,0.95971197
0.99773586,0.9546366
0.93626434,0.8809385
0.8753278,0.82878065
0.80510855,0.7613095
0.74632037,0.69484496
0.65532655,0.621906
0.5982179,0.5553964
0.54285496,0.51200855
0.52273124,0.48963058
0.54908484,0.52855796
0.6529521,0.62438315
0.8328576,0.8207415
