true,forecasted
0.4793316,0.4631087
0.429476,0.40070593
0.4081278,0.37240776
0.44370627,0.41832688
0.5473253,0.5227331
0.76809055,0.7355654
0.85547715,0.8079261
0.87763333,0.815371
0.8945387,0.8381624
0.90218335,0.836251
0.91326696,0.8375526
0.9186971,0.84502923
0.8984107,0.83883584
0.89113283,0.85154593
0.8997813,0.8477171
0.8928123,0.85451394
0.9356631,0.89787567
0.9361375,0.87778425
0.90879655,0.87031674
0.8527993,0.8101253
0.78419614,0.7471372
0.7154385,0.6765163
0.6517111,0.616663
0.5633951,0.5243034
0.5080873,0.49266538
0.45220307,0.43039575
0.42572537,0.4100753
0.45787036,0.43924537
0.5569777,0.5630205
0.78104943,0.769721
0.8743019,0.83548564
0.89588726,0.85455906
0.91494095,0.862616
0.92949116,0.88328016
0.94053894,0.87555814
0.93721026,0.89036864
0.9122907,0.8626267
0.8899635,0.88438916
0.88698786,0.88213396
0.87023693,0.90004504
0.92109364,0.9184228
0.9240197,0.89039385
0.90122086,0.87572813
0.843147,0.81114775
0.7806303,0.7553295
0.7101573,0.67916715
0.64620376,0.60533345
0.5652925,0.5275651
0.50991017,0.4927437
0.4564225,0.42695376
0.42710978,0.39722
0.45764422,0.4286011
0.55812764,0.5277764
0.7729443,0.7431933
0.8662271,0.8121016
0.8894009,0.8699181
0.91804904,0.86303794
0.94099396,0.9018835
0.9599677,0.9056243
0.96084464,0.90363526
0.93756324,0.8849102
0.9243037,0.8802802
0.92166173,0.8815501
0.91079324,0.8858355
0.9326185,0.91046077
0.92013943,0.8725623
0.89677805,0.8668311
0.8409242,0.80616665
0.77626467,0.7469623
0.7046224,0.6781569
0.6409805,0.6032283
0.54934406,0.5152281
0.49610737,0.4784299
0.4436456,0.4237146
0.426823,0.39204347
0.45616052,0.44247207
0.5577085,0.5411247
0.762517,0.7613366
0.8374135,0.83060616
0.85385,0.8507379
0.8613899,0.869407
0.8643242,0.8806898
0.8720957,0.87764823
0.87440675,0.8956242
0.85890234,0.86301434
0.8483041,0.8536203
0.85260075,0.8453483
0.84913695,0.85670125
0.8820376,0.8954686
0.87096775,0.869957
0.8442115,0.84709895
0.7948137,0.7800613
0.7436812,0.7369685
0.6815175,0.6817552
0.6171199,0.6082885
0.530602,0.5122208
0.47228268,0.46719503
0.40909305,0.42243466
0.37861928,0.3738968
0.3838784,0.40720925
0.41723132,0.4415256
0.50578177,0.55900055
0.59651357,0.6274551
0.66645706,0.6967586
0.7247516,0.7584081
0.7569628,0.7831259
0.7846374,0.78113884
0.7803545,0.7894771
0.73187226,0.7439007
0.6934284,0.71708524
0.68587756,0.68832946
0.68040884,0.73149335
0.73880816,0.7658824
0.7441638,0.7635007
0.7276445,0.7490272
0.6759715,0.69898486
0.6182506,0.6368607
0.55241627,0.58649063
0.48590624,0.526275
0.41490373,0.42781845
0.38059664,0.378904
0.33440888,0.33757362
0.30369794,0.29438263
0.30477348,0.30953553
0.3295579,0.31222326
0.3848602,0.38419965
0.4684052,0.46605742
0.5477252,0.5484682
0.61454964,0.6169532
0.6397753,0.66429377
0.6508865,0.6577686
0.62413853,0.658885
0.5811333,0.6027751
0.56113094,0.58640295
0.56685334,0.5667894
0.58721423,0.60528517
0.67042553,0.6710923
0.70802,0.7077453
0.7087315,0.71480584
0.6704559,0.6741964
0.60335296,0.61173487
0.53711045,0.5564647
0.4714636,0.50103515
0.4008996,0.4124947
0.37133038,0.3669293
0.3215851,0.32043728
0.3039158,0.29252043
0.34532702,0.34185708
0.4720786,0.44989264
0.70857704,0.6748528
0.8051224,0.76514435
0.8364593,0.7892331
0.8534502,0.8123472
0.8634058,0.8263484
0.86660486,0.80969584
0.88102823,0.8385955
0.86455035,0.81008697
0.8555406,0.8090769
0.86287355,0.7916949
0.8526862,0.7859021
0.89464074,0.8308695
0.8971118,0.8418118
0.8777409,0.8224697
0.81218785,0.7760056
0.7501455,0.73137337
0.67611766,0.6584805
0.6051731,0.5960182
0.52027404,0.49651474
0.46791983,0.45827195
0.41534498,0.3964745
0.39533433,0.3628675
0.43247923,0.40592182
0.5402736,0.4915851
0.7539623,0.6811504
0.848271,0.7602325
0.8800354,0.78898907
0.9039042,0.81106836
0.9221471,0.8390484
0.9394027,0.82362974
0.9443447,0.82997346
0.9243478,0.8096422
0.9151699,0.8185195
0.9178339,0.8057671
0.9047619,0.8015425
0.9431368,0.8351834
0.9408423,0.8296709
0.915054,0.8098416
0.8564975,0.7721312
0.7903957,0.70422125
0.72216755,0.6474333
0.6491463,0.5836553
0.5594597,0.49293107
0.503923,0.48124638
0.4484497,0.4155106
0.42789853,0.38962182
0.45785657,0.41741872
0.5586875,0.5211615
0.76747274,0.73737705
0.8567016,0.81583196
0.87744033,0.8246262
0.90051764,0.8455321
0.9129774,0.8728652
0.9195989,0.8657718
0.9169652,0.88302195
0.9046957,0.85218334
0.88930714,0.857095
0.89275163,0.8631372
0.87978166,0.84671295
0.9124286,0.87507194
0.9202139,0.8622658
0.9002722,0.84892297
0.84164673,0.8002136
0.7807571,0.7421686
0.71164376,0.67337954
0.64649606,0.6131449
0.55624133,0.52087617
0.5015706,0.47925243
0.4470708,0.42205992
0.42672646,0.38659522
0.46013176,0.43457475
0.5623002,0.52837175
0.7682753,0.7310523
0.8493934,0.8029299
0.85511035,0.8132478
0.85821563,0.81656474
0.8553475,0.83636594
0.85561776,0.83650136
0.856743,0.851748
0.8392695,0.8255004
0.8351356,0.81758326
0.85146177,0.8154759
0.8355437,0.824185
0.88878596,0.85513437
0.9143784,0.8596293
0.90147734,0.8498258
0.8423362,0.78559864
0.77866673,0.7427436
0.7038419,0.6820167
0.64050335,0.6216222
0.55401856,0.5217207
0.5006743,0.4695118
0.44327605,0.42115018
0.41500303,0.3927399
0.44856277,0.44069284
0.55407095,0.5337724
0.7559755,0.74156845
0.83482116,0.8234612
0.85188097,0.8303207
0.86886626,0.84500206
0.8826305,0.85029536
0.8961769,0.8549907
0.90262187,0.8619956
0.88298905,0.8369027
0.8751817,0.8308001
0.87753683,0.8261468
0.8702673,0.82329273
0.89076054,0.86216414
0.8902641,0.8495351
0.8577247,0.83411646
0.80275065,0.78209645
0.7517119,0.7319156
0.6899398,0.6821463
0.6253354,0.61800885
0.5348876,0.5150008
0.4816454,0.46826065
0.42030904,0.41067684
0.38965327,0.36933824
0.40063486,0.3827043
0.4356507,0.41630706
0.52266777,0.51415914
0.61538523,0.5952042
0.69790435,0.657606
0.75207317,0.712274
0.7745659,0.7371535
0.7905363,0.7309434
0.7773264,0.74316347
0.7307167,0.6870561
0.69452876,0.67315626
0.6882272,0.6551644
0.6949893,0.6748204
0.7456861,0.7107035
0.75066394,0.7341567
0.7334249,0.7161741
0.68688416,0.6709059
0.6283745,0.6125789
0.56310827,0.54502463
0.5034514,0.498207
0.4314092,0.40560648
0.3971407,0.3774304
0.34090626,0.33521593
0.30132347,0.28250685
0.30079398,0.29386383
0.32991365,0.30023962
0.38379568,0.35867587
0.4744834,0.4419253
0.5734225,0.52864176
0.65137464,0.6021452
0.68957853,0.6561407
0.6933181,0.65034544
0.6548357,0.6501279
0.5970486,0.58478516
0.57385266,0.5647203
0.57206285,0.5613568
0.5875617,0.5806828
0.66831034,0.6281462
0.7208521,0.6723851
0.7207969,0.680039
0.67493457,0.6489484
0.6126771,0.57797563
0.5416801,0.5369152
0.47843534,0.47819224
0.40919507,0.39486524
0.38393632,0.36075282
0.3342048,0.31585518
0.31582677,0.27896973
0.35870516,0.32958078
0.48762986,0.45029786
0.72113883,0.659338
0.80846757,0.740226
0.8176483,0.7611096
0.81024635,0.7737497
0.79701716,0.7875657
0.7997253,0.7717898
0.8081421,0.7992134
0.8015262,0.77582693
0.8026155,0.7753104
0.81599087,0.75458115
0.81587505,0.7479847
0.863552,0.78522384
0.88423556,0.81717885
0.86892974,0.78867716
0.82084185,0.7510989
0.7568497,0.6938755
0.6868235,0.63907564
0.6214717,0.58051085
0.5431417,0.46977136
0.48596415,0.4440759
0.42992276,0.39106256
0.41166332,0.36146304
0.44802225,0.4049774
0.5526865,0.4966757
0.76156557,0.7095361
0.8481993,0.78046095
0.88802475,0.80585873
0.9152278,0.8302223
0.9223898,0.83529997
0.9383961,0.83995837
0.9437573,0.85634243
0.9240114,0.82686055
0.91432595,0.8201655
0.9189426,0.8334659
0.8985375,0.82030916
0.9236722,0.84185016
0.9347227,0.8356799
0.9163337,0.8288611
0.8535301,0.776589
0.79191244,0.7109415
0.72135675,0.6440065
0.6503018,0.57818615
0.56115574,0.49681944
0.50493234,0.4674294
0.44780988,0.41558224
0.4272284,0.38444617
0.4607633,0.4135792
0.55682325,0.5132965
0.7537775,0.7112187
0.8443604,0.7936381
0.8671675,0.81664836
0.88958293,0.8323787
0.9051149,0.8590801
0.9208813,0.8586372
0.92895615,0.8667512
0.9114303,0.834727
0.9026604,0.83641386
0.89936763,0.84439206
0.88280976,0.8359369
0.9083415,0.847541
0.9237108,0.8478373
0.9057602,0.83422935
0.84448177,0.79518443
0.78208363,0.7264733
0.7115224,0.67043597
0.6443533,0.6093612
0.56233335,0.5188486
0.50809556,0.48457673
0.45505464,0.42313623
0.43789557,0.38776955
0.4631819,0.42624998
0.5711169,0.52580893
0.7692957,0.7273351
0.86022335,0.81523776
0.8828677,0.83057463
0.8958294,0.83872414
0.90366703,0.87908643
0.92271245,0.87417054
0.9311955,0.8848691
0.9081981,0.8575511
0.90116847,0.857904
0.90869176,0.85798895
0.89189124,0.8416266
0.922354,0.8712435
0.9437187,0.8671061
0.91704243,0.8594559
0.8552841,0.81008977
0.7925771,0.7431888
0.71925527,0.6904136
0.65126705,0.625798
0.5648319,0.5286938
0.51222676,0.4887052
0.45665693,0.43616465
0.43583548,0.40858164
0.4691415,0.46262607
0.56782687,0.55645967
0.76662064,0.779146
0.8715248,0.8512689
0.8927572,0.859687
0.9108429,0.87619513
0.9147562,0.8829415
0.9210881,0.8966767
0.91725755,0.9052695
0.8900242,0.87283695
0.87480384,0.8680364
0.8773576,0.8575672
0.8653005,0.8610924
0.8894754,0.8924481
0.90496874,0.8641112
0.88147223,0.85506797
0.8227696,0.8040778
0.76784784,0.7417903
0.7121374,0.7018287
0.6470283,0.63908833
0.5569887,0.5302123
0.49664238,0.49046692
0.43595684,0.4351954
0.40050247,0.38386226
0.40805334,0.40679517
0.44481215,0.4455984
0.5287791,0.5316944
0.6372767,0.61911076
0.7064094,0.68210816
0.7540174,0.727499
0.77663696,0.75895166
0.7888734,0.75910187
0.7677706,0.76225585
0.7123415,0.7148322
0.6796008,0.69499433
0.67395,0.6790302
0.6844104,0.6909801
0.7301128,0.73541623
0.78489935,0.7542199
0.77708375,0.73798954
0.72525626,0.6979273
0.6694714,0.63827205
0.6015328,0.5744195
0.5390795,0.5220343
0.46138105,0.4340442
0.43167672,0.40789393
0.38012505,0.37321755
0.3465984,0.32848158
0.3526435,0.33197623
0.3806104,0.33411008
0.42768067,0.39008027
0.5204119,0.4779344
0.5955539,0.5543835
0.6603458,0.6327033
0.6911753,0.6896616
0.6978988,0.67780715
0.6695348,0.68176734
0.62245077,0.61904144
0.60796124,0.59781617
0.6034164,0.5938622
0.62342423,0.6157503
0.7012468,0.6779568
0.7723403,0.7124057
0.78237873,0.7320616
0.74178654,0.699104
0.67058825,0.63679874
0.60404515,0.5863024
0.5402129,0.5263852
0.46830592,0.45335522
0.45273533,0.4239501
0.41592965,0.37399602
0.39705247,0.35968313
0.4333893,0.41654155
0.55837035,0.5330103
0.7749299,0.74778825
0.8750135,0.8276528
0.8995524,0.8445569
0.9161351,0.8628977
0.9067889,0.87692225
0.91713065,0.8713889
0.91828895,0.90226084
0.90742046,0.86706233
0.90442544,0.86927533
0.9107987,0.84879184
0.89973164,0.8481446
0.93103826,0.8806495
0.97452337,0.8978623
0.9544355,0.8928853
0.89235455,0.84029263
0.83453435,0.79247874
0.76409173,0.715232
0.7071292,0.670136
0.61757493,0.56246805
0.56732774,0.5285066
0.5124639,0.47642252
0.4963721,0.4474414
0.529885,0.48746285
0.6356965,0.587545
0.8208777,0.80282855
0.91542083,0.8593995
0.94096917,0.8789227
0.9563467,0.90543723
0.9708059,0.91974086
0.9821956,0.9065918
0.98468035,0.9212423
0.9616361,0.8988731
0.9413801,0.9099374
0.94585323,0.9107649
0.9252,0.9053589
0.95716023,0.9046176
0.99919474,0.8832197
0.9829595,0.8849807
0.92504555,0.8323786
0.8678459,0.76439285
0.7944745,0.70449865
0.73160195,0.6408334
0.646827,0.5676587
0.58391595,0.5473238
0.53165823,0.49332646
0.5106962,0.46177313
0.55073124,0.4981945
0.6527232,0.6130181
0.8365889,0.83123654
0.92904717,0.8725778
0.94736177,0.8810304
0.9544631,0.9158971
0.9530814,0.93217635
0.9575325,0.9183181
0.9520307,0.9323957
0.93184084,0.895304
0.92510074,0.90000427
0.9279992,0.9072692
0.91491616,0.90475166
0.95142126,0.9381746
1.0162821,0.9271606
1.004225,0.9378106
0.95079523,0.85526246
0.88731605,0.81232667
0.8200145,0.74349564
