true,forecasted
0.4793316,0.47313157
0.429476,0.4091729
0.4081278,0.38145417
0.44370627,0.40549782
0.5473253,0.5004134
0.76809055,0.7159657
0.85547715,0.80353045
0.87763333,0.81289613
0.8945387,0.82274234
0.90218335,0.82709676
0.91326696,0.8361012
0.9186971,0.84461814
0.8984107,0.8228631
0.89113283,0.8165422
0.8997813,0.8364105
0.8928123,0.86021924
0.9356631,0.89676994
0.9361375,0.89372027
0.90879655,0.87169826
0.8527993,0.8154689
0.78419614,0.7593983
0.7154385,0.69009435
0.6517111,0.619405
0.5633951,0.5283853
0.5080873,0.4971235
0.45220307,0.44412762
0.42572537,0.42017967
0.45787036,0.44263145
0.5569777,0.54816425
0.78104943,0.75986874
0.8743019,0.84113634
0.89588726,0.8623588
0.91494095,0.8840327
0.92949116,0.8931907
0.94053894,0.90551955
0.93721026,0.9152723
0.9122907,0.88924634
0.8899635,0.8792164
0.88698786,0.887461
0.87023693,0.90347415
0.92109364,0.90767026
0.9240197,0.88439655
0.90122086,0.8756478
0.843147,0.82800883
0.7806303,0.7736582
0.7101573,0.69563156
0.64620376,0.62461084
0.5652925,0.53643924
0.50991017,0.4900235
0.4564225,0.42632344
0.42710978,0.39266077
0.45764422,0.41260132
0.55812764,0.5106273
0.7729443,0.7184314
0.8662271,0.8127653
0.8894009,0.8434971
0.91804904,0.8684813
0.94099396,0.8832626
0.9599677,0.9046637
0.96084464,0.91038984
0.93756324,0.8804773
0.9243037,0.8698175
0.92166173,0.8867136
0.91079324,0.9027994
0.9326185,0.9131831
0.92013943,0.8793557
0.89677805,0.85568076
0.8409242,0.8111405
0.77626467,0.76538414
0.7046224,0.6942979
0.6409805,0.62920487
0.54934406,0.53312004
0.49610737,0.48601016
0.4436456,0.42957193
0.426823,0.4072641
0.45616052,0.43539506
0.5577085,0.5311998
0.762517,0.73500925
0.8374135,0.8194015
0.85385,0.8339348
0.8613899,0.8546189
0.8643242,0.8539465
0.8720957,0.85892737
0.87440675,0.8632534
0.85890234,0.832816
0.8483041,0.8247118
0.85260075,0.8405559
0.84913695,0.87501705
0.8820376,0.9051267
0.87096775,0.8800295
0.8442115,0.83925164
0.7948137,0.7821434
0.7436812,0.72651047
0.6815175,0.6633479
0.6171199,0.599899
0.530602,0.51709354
0.47228268,0.47848526
0.40909305,0.407731
0.37861928,0.368716
0.3838784,0.37094554
0.41723132,0.3926111
0.50578177,0.4819494
0.59651357,0.56699836
0.66645706,0.63985324
0.7247516,0.6874202
