true,forecasted
0.4793316,0.47942832
0.429476,0.42200485
0.4081278,0.3901717
0.44370627,0.44735256
0.5473253,0.5478601
0.76809055,0.72138995
0.85547715,0.8076062
0.87763333,0.8190729
0.8945387,0.8307631
0.90218335,0.8271354
0.91326696,0.8428273
0.9186971,0.8607179
0.8984107,0.8381534
0.89113283,0.82638514
0.8997813,0.8596402
0.8928123,0.85069215
0.9356631,0.868811
0.9361375,0.87636197
0.90879655,0.8503381
0.8527993,0.7987932
0.78419614,0.7432327
0.7154385,0.6802295
0.6517111,0.59647083
0.5633951,0.50847256
0.5080873,0.48907903
0.45220307,0.43192282
0.42572537,0.40485165
0.45787036,0.44361663
0.5569777,0.55007696
0.78104943,0.7492511
0.8743019,0.818905
0.89588726,0.8416797
0.91494095,0.8438903
0.92949116,0.8424906
0.94053894,0.8538342
0.93721026,0.8509489
0.9122907,0.8413137
0.8899635,0.8415928
0.88698786,0.8545653
0.87023693,0.8693924
0.92109364,0.89452076
0.9240197,0.8878736
0.90122086,0.8565933
0.843147,0.8088413
0.7806303,0.76060396
0.7101573,0.6950742
0.64620376,0.62260526
0.5652925,0.5246741
0.50991017,0.46094647
0.4564225,0.40844285
0.42710978,0.38970497
0.45764422,0.42680353
0.55812764,0.54031456
0.7729443,0.7158425
0.8662271,0.7975701
0.8894009,0.8256186
0.91804904,0.8313519
0.94099396,0.8309002
0.9599677,0.84947157
0.96084464,0.840788
0.93756324,0.8220087
0.9243037,0.7953006
0.92166173,0.81697637
0.91079324,0.7980746
0.9326185,0.83376306
0.92013943,0.8419885
0.89677805,0.8307807
0.8409242,0.7767368
0.77626467,0.72429055
0.7046224,0.6567942
0.6409805,0.58078706
0.54934406,0.49777922
0.49610737,0.4498156
0.4436456,0.4095902
0.426823,0.38565066
0.45616052,0.40037343
0.5577085,0.51175773
0.762517,0.7248363
0.8374135,0.8004928
0.85385,0.8172583
0.8613899,0.81802905
0.8643242,0.83046263
0.8720957,0.8416996
0.87440675,0.8363036
0.85890234,0.8037674
0.8483041,0.79522365
0.85260075,0.809033
0.84913695,0.8153758
0.8820376,0.8356136
0.87096775,0.83975405
0.8442115,0.80372363
0.7948137,0.77280325
0.7436812,0.71433574
0.6815175,0.63373053
0.6171199,0.5646181
0.530602,0.48945805
0.47228268,0.43476436
0.40909305,0.3780822
0.37861928,0.34107307
0.3838784,0.33949184
0.41723132,0.36817884
0.50578177,0.45720008
0.59651357,0.54287857
0.66645706,0.6215727
0.7247516,0.6575058
0.7569628,0.7013636
0.7846374,0.71821046
0.7803545,0.7011959
0.73187226,0.65884095
0.6934284,0.6199235
0.68587756,0.6479676
0.68040884,0.66589844
0.73880816,0.698976
0.7441638,0.7249709
0.7276445,0.7054422
0.6759715,0.6711169
0.6182506,0.6129464
0.55241627,0.5465034
0.48590624,0.47141677
0.41490373,0.3865187
0.38059664,0.41817752
0.33440888,0.35142127
0.30369794,0.31346664
0.30477348,0.30739838
0.3295579,0.31655103
0.3848602,0.36781746
0.4684052,0.46280572
0.5477252,0.5540474
0.61454964,0.61388665
0.6397753,0.6736283
0.6508865,0.7054671
0.62413853,0.6897828
0.5811333,0.61856776
0.56113094,0.5945356
0.56685334,0.60818607
0.58721423,0.6451204
0.67042553,0.67271936
0.70802,0.71473914
0.7087315,0.7196026
0.6704559,0.6944684
0.60335296,0.62904197
0.53711045,0.55509925
0.4714636,0.48815376
0.4008996,0.38949633
0.37133038,0.38481006
0.3215851,0.33087915
0.3039158,0.31019613
0.34532702,0.3383047
0.4720786,0.4743697
0.70857704,0.7153764
0.8051224,0.78671753
0.8364593,0.8196332
0.8534502,0.82307804
0.8634058,0.8290223
0.86660486,0.86285067
0.88102823,0.8580448
0.86455035,0.8346907
0.8555406,0.8375648
0.86287355,0.83973265
0.8526862,0.8516223
0.89464074,0.90159476
0.8971118,0.90638894
0.8777409,0.86683506
0.81218785,0.8151428
0.7501455,0.75442904
0.67611766,0.68170565
0.6051731,0.6212426
0.52027404,0.53617513
0.46791983,0.49467835
0.41534498,0.4289234
0.39533433,0.3985553
0.43247923,0.4519353
0.5402736,0.54675
0.7539623,0.7451623
0.848271,0.84046495
0.8800354,0.85640633
0.9039042,0.8857215
0.9221471,0.86469585
0.9394027,0.88008904
0.9443447,0.8873271
0.9243478,0.86946243
0.9151699,0.8621552
0.9178339,0.873489
0.9047619,0.8674023
0.9431368,0.89184463
0.9408423,0.8902199
0.915054,0.872675
0.8564975,0.8250309
0.7903957,0.7610776
0.72216755,0.6971656
0.6491463,0.62364835
0.5594597,0.529716
0.503923,0.4822208
0.4484497,0.4283996
0.42789853,0.39470488
0.45785657,0.43033257
0.5586875,0.52575696
0.76747274,0.73076504
0.8567016,0.81927216
0.87744033,0.83785087
0.90051764,0.8425531
0.9129774,0.8322983
0.9195989,0.86395085
0.9169652,0.86074364
0.9046957,0.84245986
0.88930714,0.82753074
0.89275163,0.8434219
0.87978166,0.81944776
0.9124286,0.85209614
0.9202139,0.8576874
0.9002722,0.84797204
0.84164673,0.8131944
