true,forecasted
0.4793316,0.46547848
0.429476,0.412188
0.4081278,0.3940508
0.44370627,0.41955522
0.5473253,0.5143213
0.76809055,0.74449503
0.85547715,0.8344584
0.87763333,0.8564369
0.8945387,0.8631481
0.90218335,0.8759229
0.91326696,0.8640175
0.9186971,0.88014674
0.8984107,0.85977864
0.89113283,0.8562215
0.8997813,0.8651293
0.8928123,0.88589823
0.9356631,0.8984851
0.9361375,0.9209489
0.90879655,0.88901097
0.8527993,0.83331865
0.78419614,0.7741861
0.7154385,0.6998639
0.6517111,0.6427846
0.5633951,0.55388033
0.5080873,0.49167612
0.45220307,0.43565196
0.42572537,0.42169812
0.45787036,0.4471077
0.5569777,0.5430057
0.78104943,0.7602956
0.8743019,0.84826714
0.89588726,0.879959
0.91494095,0.88990664
0.92949116,0.9107756
0.94053894,0.90084887
0.93721026,0.91697574
0.9122907,0.89648443
0.8899635,0.8816971
0.88698786,0.89549977
0.87023693,0.90900844
0.92109364,0.9202959
0.9240197,0.9377962
0.90122086,0.90040797
0.843147,0.8505489
0.7806303,0.79374623
0.7101573,0.7194929
0.64620376,0.6566279
0.5652925,0.57055557
0.50991017,0.48728046
0.4564225,0.4312821
0.42710978,0.41642
0.45764422,0.43614122
0.55812764,0.5280756
0.7729443,0.743853
0.8662271,0.83013004
0.8894009,0.8776777
0.91804904,0.89632887
0.94099396,0.9124674
0.9599677,0.91313785
0.96084464,0.9201082
0.93756324,0.8936542
0.9243037,0.87501794
0.92166173,0.88025624
0.91079324,0.88461775
0.9326185,0.9018491
0.92013943,0.90540016
0.89677805,0.88012344
0.8409242,0.82763857
0.77626467,0.77245635
0.7046224,0.69918644
0.6409805,0.63897836
0.54934406,0.55228746
0.49610737,0.4873009
0.4436456,0.4329329
0.426823,0.41726333
0.45616052,0.44250926
0.5577085,0.5245354
0.762517,0.7356622
0.8374135,0.82184356
0.85385,0.861173
0.8613899,0.8743752
0.8643242,0.8762659
0.8720957,0.8829236
0.87440675,0.8813541
0.85890234,0.8495512
0.8483041,0.83257157
0.85260075,0.84024554
0.84913695,0.8627848
0.8820376,0.8706408
0.87096775,0.86973614
0.8442115,0.84508026
0.7948137,0.7968969
0.7436812,0.74641013
0.6815175,0.6841632
0.6171199,0.6212131
0.530602,0.53523666
0.47228268,0.47038653
0.40909305,0.4119947
0.37861928,0.38567904
0.3838784,0.38644078
0.41723132,0.41055185
0.50578177,0.5087031
0.59651357,0.5895913
0.66645706,0.67313987
0.7247516,0.72004277
0.7569628,0.74069554
0.7846374,0.7435495
0.7803545,0.7312911
0.73187226,0.6834022
0.6934284,0.6498939
0.68587756,0.64475703
0.68040884,0.6795458
0.73880816,0.7028951
0.7441638,0.7225932
0.7276445,0.70843345
0.6759715,0.6678183
0.6182506,0.611774
0.55241627,0.54469955
0.48590624,0.48391154
0.41490373,0.41165122
0.38059664,0.37309346
0.33440888,0.32057258
0.30369794,0.2972267
0.30477348,0.28145728
0.3295579,0.2968424
0.3848602,0.35764167
0.4684052,0.44178915
0.5477252,0.5411932
0.61454964,0.6121573
0.6397753,0.6523003
0.6508865,0.6644825
0.62413853,0.64729685
0.5811333,0.59432745
0.56113094,0.5660717
0.56685334,0.5694704
0.58721423,0.59778076
0.67042553,0.64681715
0.70802,0.6876393
0.7087315,0.6931806
0.6704559,0.6613047
0.60335296,0.60415226
0.53711045,0.537952
0.4714636,0.4702411
0.4008996,0.39836988
0.37133038,0.3676365
0.3215851,0.31893384
0.3039158,0.30144218
0.34532702,0.33095148
0.4720786,0.4299512
0.70857704,0.6552681
0.8051224,0.7489511
0.8364593,0.7849052
0.8534502,0.8078256
0.8634058,0.8158757
0.86660486,0.82136357
0.88102823,0.832608
0.86455035,0.8024378
0.8555406,0.7846132
0.86287355,0.7993894
0.8526862,0.80300444
0.89464074,0.82224303
0.8971118,0.847102
0.8777409,0.8421076
0.81218785,0.7969739
0.7501455,0.7378796
0.67611766,0.6620034
0.6051731,0.60166836
0.52027404,0.50950044
0.46791983,0.4628308
0.41534498,0.4101171
0.39533433,0.39346898
0.43247923,0.41425732
0.5402736,0.5056323
0.7539623,0.73225534
0.848271,0.8219456
0.8800354,0.85426515
0.9039042,0.86543703
0.9221471,0.88212603
0.9394027,0.8736943
0.9443447,0.88944274
0.9243478,0.86428225
0.9151699,0.8541735
0.9178339,0.8650899
0.9047619,0.8681877
0.9431368,0.8776782
0.9408423,0.89303607
0.915054,0.87062067
0.8564975,0.82342046
0.7903957,0.76790226
0.72216755,0.6877893
0.6491463,0.6303475
0.5594597,0.5457483
0.503923,0.48984352
0.4484497,0.43433636
0.42789853,0.42066178
0.45785657,0.4394221
0.5586875,0.53269404
0.76747274,0.7587266
0.8567016,0.8500148
0.87744033,0.8919872
0.90051764,0.9057803
0.9129774,0.9310324
0.9195989,0.9238492
0.9169652,0.93671787
0.9046957,0.91273445
0.88930714,0.8992283
0.89275163,0.9094682
0.87978166,0.9121383
0.9124286,0.9241273
0.9202139,0.9350566
0.9002722,0.9032583
0.84164673,0.8517653
0.7807571,0.798185
0.71164376,0.7227341
0.64649606,0.6597302
0.55624133,0.5747647
0.5015706,0.49744052
0.4470708,0.4371446
0.42672646,0.41797534
0.46013176,0.44077232
0.5623002,0.5318967
0.7682753,0.7408776
0.8493934,0.8338987
0.85511035,0.85400003
0.85821563,0.86053246
0.8553475,0.8649993
0.85561776,0.8676083
0.856743,0.86910355
0.8392695,0.84728193
0.8351356,0.83179915
0.85146177,0.84328425
0.8355437,0.84820336
0.88878596,0.8755575
0.9143784,0.8973067
0.90147734,0.8723919
0.8423362,0.82954925
0.77866673,0.769991
0.7038419,0.7057197
0.64050335,0.6417099
0.55401856,0.5567659
0.5006743,0.49433044
0.44327605,0.4366647
0.41500303,0.4234264
0.44856277,0.4497938
0.55407095,0.53261626
0.7559755,0.74063337
0.83482116,0.8272819
0.85188097,0.85933775
0.86886626,0.864738
0.8826305,0.8666394
0.8961769,0.8684324
0.90262187,0.870044
0.88298905,0.8410925
0.8751817,0.8220218
0.87753683,0.83179134
0.8702673,0.84684247
0.89076054,0.8609163
0.8902641,0.8783527
0.8577247,0.85323983
0.80275065,0.80480343
0.7517119,0.7516292
0.6899398,0.68770313
0.6253354,0.63143134
0.5348876,0.5468018
0.4816454,0.4778643
0.42030904,0.41751993
0.38965327,0.39381227
0.40063486,0.3966602
0.4356507,0.42208207
0.52266777,0.525455
0.61538523,0.6093565
0.69790435,0.68422335
0.75207317,0.72664875
0.7745659,0.7445338
0.7905363,0.7494422
0.7773264,0.7395016
0.7307167,0.691172
0.69452876,0.65673393
0.6882272,0.65590745
0.6949893,0.68354297
0.7456861,0.71166456
0.75066394,0.74306756
0.7334249,0.7313097
0.68688416,0.6879055
0.6283745,0.63109523
0.56310827,0.56243205
0.5034514,0.49902835
0.4314092,0.42718056
0.3971407,0.3789698
0.34090626,0.3259506
0.30132347,0.30472878
0.30079398,0.2883809
0.32991365,0.30649823
0.38379568,0.3750812
0.4744834,0.4595238
0.5734225,0.5670033
0.65137464,0.6388325
0.68957853,0.6808199
0.6933181,0.6937132
0.6548357,0.67983735
0.5970486,0.6236869
0.57385266,0.5947061
0.57206285,0.5982554
0.5875617,0.6238854
0.66831034,0.66816616
0.7208521,0.70304394
0.7207969,0.7067244
0.67493457,0.669516
0.6126771,0.61372143
0.5416801,0.5448594
0.47843534,0.47588298
0.40919507,0.40550897
0.38393632,0.37651533
0.3342048,0.3254303
0.31582677,0.3098097
0.35870516,0.3369621
0.48762986,0.43178546
0.72113883,0.64694035
0.80846757,0.7425932
0.8176483,0.77344537
0.81024635,0.79950595
0.79701716,0.80164856
0.7997253,0.80983853
0.8081421,0.8187826
0.8015262,0.7849953
0.8026155,0.76761085
0.81599087,0.78239745
0.81587505,0.78988236
0.863552,0.81230384
0.88423556,0.8433547
0.86892974,0.8403145
0.82084185,0.79425025
0.7568497,0.73440623
0.6868235,0.6631377
0.6214717,0.5991752
0.5431417,0.5079289
0.48596415,0.47175762
0.42992276,0.42203262
0.41166332,0.40705147
0.44802225,0.43119982
0.5526865,0.52262163
0.76156557,0.7567462
0.8481993,0.8444528
0.88802475,0.8833732
0.9152278,0.89142585
0.9223898,0.91142637
0.9383961,0.8940958
0.9437573,0.9145167
0.9240114,0.8875101
0.91432595,0.87767035
0.9189426,0.88551635
0.8985375,0.8897398
0.9236722,0.8988527
0.9347227,0.92479295
0.9163337,0.89698374
