true,forecasted
0.44397727,0.45746192
0.37843376,0.40936038
0.3382725,0.359937
0.31800532,0.33786345
0.30721867,0.3370795
0.3353901,0.3745253
0.44924995,0.49208313
0.64356744,0.7307315
0.70798177,0.76911765
0.7454342,0.79899865
0.7588492,0.8074966
0.7504817,0.8010105
0.7572729,0.8281573
0.7272999,0.81047904
0.7200713,0.80630267
0.73321605,0.8030981
0.7722642,0.829654
0.86931837,0.91247404
0.9379148,0.9690846
0.8824952,0.93524384
0.8093853,0.87093765
0.7153101,0.77229446
0.5970043,0.5945858
0.5380975,0.5560825
0.45692897,0.46806958
0.39807364,0.41815218
0.36162165,0.37740555
0.33823714,0.3411446
0.33015922,0.3366016
0.34500897,0.35559407
0.45460308,0.48035267
0.66415954,0.70216477
0.72256446,0.73921204
0.772351,0.79655117
0.7871847,0.8221831
0.78629357,0.80667704
0.78275484,0.84631175
0.7698514,0.835919
0.76783115,0.82627976
0.7792805,0.8040223
0.81459045,0.83215535
0.9055806,0.8907344
0.93079233,1.0033514
0.8709301,0.93300486
0.78451777,0.85445493
0.6919288,0.7659469
0.5662786,0.60119176
0.5115153,0.5764896
0.4295554,0.4558241
0.36444616,0.38597366
0.3261122,0.35402375
0.30598333,0.31586534
0.30435875,0.30393842
0.33323145,0.31855237
0.43947023,0.44381872
0.63249767,0.66810715
0.689471,0.7112585
0.7199201,0.76358193
0.72800124,0.77069896
0.7287894,0.7558456
0.73286855,0.7757474
0.70791095,0.7531075
0.70471,0.7412585
0.71337026,0.71691716
0.752843,0.7260901
0.8429806,0.79619634
0.90534574,0.9356354
0.84791875,0.8774297
0.78201497,0.794532
0.6976326,0.70615405
0.57578164,0.56516194
0.52371424,0.5501744
0.44690797,0.45178092
0.38485494,0.3727596
0.34623143,0.34258986
0.32767245,0.30716
0.324523,0.29448062
0.3383594,0.31891498
0.45133778,0.43557084
0.6385135,0.6196003
0.6963265,0.68012136
0.75257283,0.74299103
0.75446117,0.7537331
0.7495231,0.7437939
0.7383021,0.7498122
0.70820695,0.72372675
0.69164896,0.70930064
0.6986202,0.67976165
0.7258651,0.70585823
0.80760634,0.80417645
0.87555295,0.92030704
0.8206706,0.8414822
0.7303722,0.7417371
0.6387226,0.647183
0.5493957,0.54631054
0.54307425,0.5417421
0.4719846,0.45774058
0.40187615,0.3770335
0.34449744,0.34047207
0.32077518,0.2963204
0.29788932,0.27900717
0.29020065,0.26929292
0.33593374,0.3560704
0.4105074,0.45866585
0.4642863,0.5137041
0.5463073,0.6157362
0.5996165,0.6686962
0.6116096,0.6729331
0.6188093,0.7013442
0.5967309,0.69715375
0.5736616,0.66084456
0.58153045,0.6177682
0.62207776,0.6345205
0.7091752,0.67494506
0.752872,0.75199294
0.70085925,0.6697297
0.6412126,0.61374885
0.55831325,0.5712534
0.4917371,0.4958271
0.48698556,0.48792192
0.42152572,0.40831724
0.36240014,0.3328683
0.30349335,0.29948735
0.27804354,0.26050144
0.26963425,0.25342506
0.2653106,0.24871108
0.26955062,0.32674494
0.3128227,0.39869034
0.3490045,0.43405125
0.45161447,0.5232044
0.54038805,0.5804028
0.5822768,0.59840906
0.6199899,0.62772465
0.6069899,0.62640154
0.577017,0.60161036
0.5543016,0.5833978
0.57564974,0.6112215
0.66094893,0.6470463
0.7406634,0.7380944
0.6993505,0.7087152
0.6356246,0.6454734
0.56821525,0.5690152
0.47316846,0.47671118
0.45296562,0.4479776
0.39100587,0.38934866
0.33090556,0.33779964
0.29894128,0.30851698
0.27870625,0.2859954
0.26929003,0.2960239
0.29443103,0.31673923
0.4028316,0.44803843
0.5751929,0.64641327
0.6552999,0.73039544
0.7347345,0.778186
0.76688856,0.78593534
0.7637069,0.7911695
0.7652318,0.8115534
0.7518104,0.79840577
0.738463,0.8017786
0.7478599,0.801564
0.791666,0.819746
0.88580877,0.8414964
0.94077796,0.9219637
0.88014036,0.90131944
0.79587066,0.81464547
0.7048741,0.7312874
0.6022481,0.57861763
0.56080323,0.5165255
0.4602811,0.45734462
0.38642806,0.40234932
0.34500575,0.36068115
0.34084293,0.33447066
0.3444653,0.33557236
0.35393938,0.35113978
0.45275006,0.47263744
0.6197004,0.70358455
0.6961399,0.75488865
0.74539244,0.790075
0.7517621,0.7869906
0.7564847,0.7788521
0.7513729,0.8015082
0.7333029,0.7913781
0.7155868,0.7784996
0.72601634,0.75288284
0.7529524,0.76373434
0.83098435,0.8286033
0.9138193,0.94873637
0.86431265,0.9329318
0.78432155,0.86657935
0.7016603,0.7758421
0.5872503,0.60150474
0.5318533,0.5648872
0.45824474,0.45315823
0.399843,0.389896
0.35801214,0.36355108
0.33513916,0.32175252
0.32907185,0.3160865
0.3501176,0.322656
0.44889608,0.464051
0.62162733,0.6810584
0.70105875,0.7244876
0.75805783,0.77647036
0.7660939,0.79057556
0.7449163,0.7703141
0.75666165,0.7944678
0.7183244,0.7788743
0.7348985,0.75735223
0.7372791,0.73282015
0.7548118,0.7290186
0.8221183,0.7779594
0.90983665,0.94879675
0.84557676,0.8807031
0.76222706,0.7946413
0.67860395,0.7190556
0.5540861,0.587177
0.51050514,0.55937034
0.43941554,0.44765216
0.3878178,0.3836147
0.34860557,0.34770787
0.33504906,0.31507024
0.32852498,0.30307457
0.35309333,0.32912537
0.4433982,0.44275203
0.58208376,0.65034634
0.67135924,0.6896589
0.75298136,0.740771
0.7712058,0.75262994
0.77222556,0.73122776
0.77912927,0.75113034
0.7529267,0.72409916
0.72777605,0.7184769
0.72606456,0.6944856
0.7505268,0.69371504
0.81128335,0.7464284
0.90202254,0.9053147
0.8662107,0.8822851
0.7865123,0.80602604
0.68495756,0.71361023
0.56925434,0.57880896
0.5241003,0.54566693
0.44686294,0.46579766
0.3897287,0.38639584
0.35223758,0.36133865
0.3335403,0.32166445
0.3258838,0.31076682
0.34158605,0.32595837
0.4326791,0.44385788
0.57752204,0.65381557
0.6626218,0.71205777
0.74262255,0.76386636
0.7624619,0.7748308
0.7626324,0.75001854
0.7645819,0.75507826
0.7314788,0.72626233
0.7244979,0.70432734
0.71643287,0.6787809
0.7422301,0.67475057
0.8130077,0.70843756
0.87123567,0.88258636
0.82045186,0.8320006
0.7325662,0.75218433
0.64416575,0.657216
0.5422378,0.56321335
0.5220092,0.55875176
0.44479117,0.46480656
0.3723504,0.38734877
0.3250538,0.3473391
0.30303332,0.300314
0.28445506,0.2987056
0.28369585,0.29203525
0.32975066,0.3798301
0.39642975,0.47120827
0.46335658,0.5177525
0.56969506,0.6369162
0.6108182,0.682461
0.62701267,0.6849603
0.62612474,0.7007929
0.6005527,0.6993618
0.5695889,0.6542085
0.5551606,0.6181611
0.5781655,0.60947233
0.6618111,0.6272878
0.7548891,0.7779972
0.70391864,0.7352857
0.62235117,0.66790694
0.5499265,0.58387357
0.4764402,0.49684754
0.46639344,0.50306267
0.39858195,0.41391498
0.3353418,0.3403453
0.28789082,0.30830416
0.25853875,0.26713392
0.24177489,0.26214582
0.23987041,0.23547742
0.2589216,0.29681864
0.2937233,0.34262383
0.32442006,0.36355668
0.41693503,0.46161368
0.4906787,0.5427205
0.5364536,0.5683965
0.57608086,0.61777127
0.5772711,0.6288899
0.55019027,0.5906499
0.5373737,0.5686189
0.55965155,0.559031
0.64429444,0.56851953
0.7199651,0.72462106
0.6769182,0.68670195
0.6166828,0.6370784
0.5392299,0.5700504
0.446538,0.47422937
0.41702187,0.44197243
0.3511245,0.3483377
0.29319248,0.27954006
0.25603592,0.23986313
0.23994441,0.21252564
0.23997337,0.22550732
0.26511756,0.24663267
0.37606603,0.3417441
0.56899375,0.5252098
0.63178027,0.59954363
0.6756089,0.6362261
0.68808126,0.6489386
0.69135296,0.64604867
0.6931481,0.6775139
0.6699309,0.6570206
0.65771586,0.63950527
0.67098606,0.64774287
0.7073995,0.6418103
0.77938986,0.69827795
0.84493655,0.81037617
0.80281293,0.78312373
0.72887945,0.7027516
0.6290265,0.6200453
0.51996964,0.52056426
0.4766525,0.4741056
0.3976265,0.38365468
0.3390446,0.3222261
0.3065077,0.2905065
0.29241395,0.2657815
0.29742286,0.27492684
0.31660914,0.31452397
0.42353633,0.43361902
0.6091003,0.620409
0.6587099,0.6708745
0.6992797,0.69014055
0.69792855,0.6879209
0.6935888,0.67290926
0.69149774,0.6843934
0.6673444,0.6627286
0.66055006,0.6509414
0.6685508,0.6560072
0.7002384,0.6603313
0.76395464,0.7107573
0.8669924,0.84338343
0.8479252,0.843361
0.77634656,0.7654999
0.68016744,0.6606408
0.55657285,0.54859227
0.49799418,0.48503536
0.4237937,0.40455148
0.3666112,0.3496522
0.32973456,0.31484944
0.31101474,0.28420866
0.31320876,0.28565806
0.33435097,0.32275596
0.44508392,0.45038763
0.63911825,0.64522153
0.6974203,0.68201023
0.7319807,0.70776427
0.72634125,0.7090015
0.7128137,0.69018525
0.7085093,0.70146024
0.6821684,0.680827
0.6757955,0.66963995
0.69335395,0.674504
0.7312247,0.6774846
0.7908714,0.71615463
0.88022405,0.8581952
0.8538445,0.86248857
0.77906495,0.78788114
0.6765804,0.6981165
0.55261916,0.5712615
0.49261856,0.50829893
0.41401076,0.43293366
0.35556078,0.36914405
0.3148591,0.3335237
0.29942384,0.3089887
0.29230136,0.3070942
0.32251558,0.32770044
0.42493895,0.45172676
0.6095957,0.656964
0.67477894,0.71155494
0.70571697,0.7430816
0.7040763,0.7398324
0.70178574,0.7293198
0.7123151,0.73140717
0.6970568,0.7114314
0.6932446,0.69642556
0.70921385,0.700438
0.74210465,0.70416814
0.79508567,0.7332571
0.88246953,0.8609266
0.8469472,0.85907274
0.7811013,0.7853063
0.6786297,0.68687826
0.5629104,0.56358844
0.50189,0.5217462
0.42602953,0.44353983
0.36443332,0.36440066
0.3230657,0.3327482
0.30847007,0.30369097
0.29322463,0.3009446
0.32016715,0.31795806
0.43397877,0.42815092
0.61276126,0.61472183
0.68053097,0.6884297
0.7356931,0.7317839
0.74904054,0.7344352
0.74983513,0.71958727
0.7454696,0.71982664
0.72354245,0.6889442
0.7164843,0.668081
0.71836305,0.65993994
0.7347473,0.65942174
0.7898291,0.68988365
0.86447996,0.8223037
0.82930833,0.79722327
0.7499413,0.7195989
0.66077524,0.62135017
0.56428725,0.54739827
0.54281044,0.5377443
0.46320215,0.45615324
0.39551935,0.37412706
0.34763727,0.33078688
0.31971034,0.2851776
0.3007589,0.2711613
0.30002862,0.26586804
0.3388741,0.32847226
0.41004738,0.42558217
0.48808578,0.48447987
0.58970493,0.5873216
0.6408555,0.6365228
0.6567218,0.6330365
0.6631751,0.63918364
0.6389156,0.6232442
0.5986836,0.5736001
0.5779049,0.5568358
0.5970429,0.5430994
0.65661883,0.53846407
0.7411202,0.7130897
0.7272645,0.7103191
0.64958966,0.6519509
0.57426965,0.5646587
0.50426096,0.5047722
0.4939858,0.504459
0.4332131,0.40081936
0.3760017,0.33221248
0.324449,0.29997897
0.29632905,0.25243756
0.2760104,0.24720421
0.27159664,0.23829019
0.2967537,0.30238858
0.3256393,0.3512594
0.38446888,0.3620304
0.48167104,0.45442376
0.54976887,0.5370363
0.566996,0.54355407
0.59356534,0.5827159
0.5854906,0.59736377
0.54540014,0.54265815
0.516447,0.5126431
0.5370777,0.48066753
0.6011414,0.4692435
0.7145123,0.67810595
0.7149723,0.6598816
0.65085715,0.6251085
0.5713325,0.5491554
0.487822,0.45562416
0.4671816,0.42988384
0.39806077,0.3842909
0.34634402,0.3325037
0.30466112,0.30241787
0.28682277,0.2724963
0.28596383,0.2835397
0.31963313,0.29604694
0.44565976,0.41578695
0.62886566,0.6351049
0.70017403,0.6923563
0.75849533,0.73772365
0.77053344,0.74846905
0.7772184,0.73756087
0.786152,0.7688023
0.7802585,0.7531922
0.78203744,0.7382609
0.8047335,0.73399824
0.8465644,0.7120641
0.89129376,0.71295255
0.9492934,0.88923955
0.9161806,0.9006132
0.8356201,0.8297679
0.7393959,0.721119
0.6108568,0.56919473
0.5602885,0.52107465
0.47774306,0.49205142
0.41916442,0.45322064
0.37860748,0.41855872
0.35842392,0.37171707
0.35362414,0.37488508
0.3761111,0.3788987
0.4948544,0.52426183
0.68002266,0.7747534
0.7470653,0.7933746
0.79343534,0.8517081
0.79106766,0.8567354
0.7902409,0.8253404
0.793741,0.86245644
0.7637455,0.85333186
0.75863045,0.8316686
0.7747445,0.7940824
0.8156231,0.7504958
0.8578079,0.75376254
0.9388477,1.0022016
0.9340254,1.0002322
0.858329,0.9400451
0.7598143,0.8463424
0.64236426,0.64682096
0.5923879,0.61422193
0.5200436,0.5200918
0.45842168,0.47212493
0.41421664,0.4494113
0.3880076,0.38500687
0.37774533,0.3849957
0.3911088,0.37861064
0.501401,0.5329138
0.6430752,0.7663798
0.71821827,0.7711395
0.79513395,0.88106847
0.8209151,0.9187697
0.8214234,0.887012
0.8295721,0.94476736
0.80657685,0.9403121
0.7838905,0.91597867
0.7732872,0.85371244
0.7980518,0.79643756
0.84075445,0.8029453
0.9139255,1.0752916
0.8698781,1.000617
0.7864641,0.923257
0.6944928,0.8383429
0.60167545,0.6391756
0.58314216,0.64759356
0.51980555,0.55879796
0.45556173,0.5080197
0.41756555,0.492857
0.3980254,0.41821492
0.3825451,0.42961693
0.39109272,0.3958067
0.4488253,0.5534071
0.526571,0.78765994
0.5960939,0.7930324
0.69019485,0.93098587
0.7279369,0.95272785
0.7387943,0.9250525
0.7498448,0.99164605
0.7258201,0.9914358
0.68132234,0.9569557
0.6635451,0.8644464
0.68140596,0.7738632
0.7381702,0.78820866
0.79469645,1.1267738
0.7470717,1.0534598
0.6595463,0.969383
0.5845802,0.8678641
0.5142755,0.6349835
0.5069246,0.66471183
0.44039673,0.57515407
0.35871345,0.4846084
0.3156569,0.47174534
0.29183167,0.39100787
0.2818879,0.4044227
0.29123974,0.35502827
0.3178541,0.5313315
0.3530129,0.6275465
0.40291205,0.6843175
0.50475633,0.88700354
0.57423425,0.88687533
0.60801935,0.8956325
0.64969903,0.94445944
0.649387,0.96910137
0.6194945,0.9370136
0.6065524,0.7766152
0.62956375,0.7536511
0.6969474,0.8691867
0.77979845,1.0729373
0.74210465,0.9255917
0.66310114,0.78111285
0.58882344,0.72428983
0.52439946,0.5822901
0.5250718,0.6364653
0.45435214,0.5802684
0.38162184,0.51883066
0.33001444,0.48104897
0.29920185,0.39923796
0.28496978,0.40633953
0.2764672,0.33921844
0.29543152,0.599436
0.33227924,0.61857206
0.3914659,0.62075955
0.5161703,0.8638446
0.6034544,0.85475117
0.63984853,0.876953
0.66650796,0.93618447
0.6647547,1.0105292
0.63928235,1.0004736
0.6354766,0.7974417
0.65597224,0.8239749
0.71777433,0.9683437
0.7756678,1.106749
0.742748,0.9355157
0.64869857,0.7621098
0.56616277,0.78712565
0.49874696,0.64516026
0.49375415,0.65160376
0.4364591,0.5249107
0.36931673,0.47073773
0.31458884,0.43312114
0.29504225,0.35314342
0.27423137,0.35861677
0.26788098,0.30728483
0.28780398,0.5000046
0.31486872,0.60636324
0.36215243,0.61526734
0.46902496,0.78129786
0.56873316,0.77731174
0.6267553,0.769787
0.6723404,0.8516865
0.6784978,0.88646734
0.6473056,0.8707905
0.63345635,0.71646124
0.6506899,0.69800705
0.7028217,0.80038637
0.7794188,1.0576175
0.7642152,0.9514984
0.6944767,0.80551827
0.6122369,0.8174313
0.5171805,0.65563625
0.4894884,0.6287524
0.42873827,0.49260578
0.37045556,0.43036744
0.33761626,0.39801607
0.31746808,0.33261013
0.30944484,0.34051964
0.33063534,0.33868098
0.44049644,0.47955972
0.61335963,0.65880275
0.6963651,0.70624393
0.7680113,0.8037198
0.7867729,0.79119676
0.792763,0.7765361
0.7948315,0.84475344
0.78146803,0.8450594
0.7758479,0.8319432
0.7894913,0.7256278
0.82466614,0.72176796
0.86998105,0.8197248
0.9257062,1.029036
0.9022735,0.96858346
0.82651913,0.8423106
0.72736424,0.7867477
0.60377616,0.6016831
0.54823434,0.58389246
0.46598488,0.5461675
0.40352648,0.5078161
0.36835486,0.476322
0.35106018,0.40379128
0.34239674,0.40572947
0.36185968,0.38015446
0.47562626,0.50997436
0.6502395,0.7059336
0.72043157,0.74942046
0.7669239,0.8801282
0.7659363,0.9083401
0.7576782,0.8800485
0.7562981,0.96745795
0.7353553,0.96446884
0.7250158,0.93604124
0.7365102,0.81550264
0.76684994,0.7728325
0.8123192,0.82558525
0.87815547,1.132196
0.8845509,1.0585693
0.815266,0.95202637
0.718318,0.87615794
0.5990954,0.6402967
0.5333878,0.6456771
0.4418637,0.50603116
0.37789652,0.45080346
0.33963653,0.42562377
0.32229683,0.36641058
0.3155829,0.36562234
0.33828217,0.33826953
0.4515051,0.4705155
0.62109655,0.63718015
0.6868781,0.70478845
0.72691387,0.83188975
0.7194343,0.8674533
0.70970285,0.85021305
0.71079665,0.9123514
0.6972079,0.9095473
0.6984915,0.8782718
0.7145895,0.7745755
0.7486609,0.7522449
0.79721856,0.8058225
0.86727554,1.0472244
0.8839912,0.9512868
0.81712544,0.8527769
0.7318359,0.7746791
0.61466575,0.6085139
0.55701035,0.6205011
0.47231275,0.45701244
0.40435326,0.3815117
0.35992625,0.3591262
0.33336335,0.31348303
0.32655615,0.32251078
0.3472448,0.3118325
0.4651227,0.43219364
0.64247364,0.6127199
0.70410204,0.68403316
0.73698634,0.76211244
0.7385498,0.7805843
0.73650384,0.7663665
0.7295583,0.79463875
0.70099115,0.7798078
0.6946794,0.7392912
0.6938204,0.6837392
0.7148179,0.65900475
0.7558027,0.7028819
0.8207639,0.9009268
0.8641132,0.83904064
0.8142076,0.76192683
0.72063106,0.66276485
0.5982686,0.55066454
0.54569614,0.55692464
0.46211803,0.4809176
0.40312436,0.39968082
0.36794952,0.3715186
0.3494034,0.31744128
0.34388945,0.32424414
0.35446697,0.31317028
0.4689413,0.42083755
0.6493387,0.56199944
0.7208852,0.62117565
0.7580321,0.7211719
0.7506909,0.76054674
0.7458364,0.75283927
0.7520259,0.7815156
0.7330037,0.781904
0.7246845,0.7377577
0.7244786,0.6860788
