true,forecasted
0.44397727,0.43694624
0.37843376,0.3734069
0.3382725,0.33741674
0.31800532,0.32155827
0.30721867,0.3124678
0.3353901,0.33769038
0.44924995,0.45727077
0.64356744,0.6499437
0.70798177,0.7185506
0.7454342,0.7607564
0.7588492,0.764286
0.7504817,0.76711684
0.7572729,0.76807714
0.7272999,0.7498531
0.7200713,0.7431008
0.73321605,0.7691741
0.7722642,0.8252887
0.86931837,0.92941755
0.9379148,0.95415044
0.8824952,0.8925106
0.8093853,0.8107191
0.7153101,0.70400447
0.5970043,0.5831282
0.5380975,0.5363822
0.45692897,0.4415857
0.39807364,0.37741897
0.36162165,0.3399327
0.33823714,0.31620824
0.33015922,0.30551288
0.34500897,0.31917498
0.45460308,0.43218872
0.66415954,0.62166536
0.72256446,0.68996394
0.772351,0.73809236
0.7871847,0.7458995
0.78629357,0.75397235
0.78275484,0.7580844
0.7698514,0.74261105
0.76783115,0.73291475
0.7792805,0.75629467
0.81459045,0.8176115
0.9055806,0.90615946
0.93079233,0.9333776
0.8709301,0.86931616
0.78451777,0.7783952
0.6919288,0.67277396
0.5662786,0.56063056
0.5115153,0.5184537
0.4295554,0.4384543
0.36444616,0.36504585
0.3261122,0.3286404
0.30598333,0.3068385
0.30435875,0.2952373
0.33323145,0.3233076
0.43947023,0.4377679
0.63249767,0.6113657
0.689471,0.6764613
0.7199201,0.7098485
0.72800124,0.7210314
0.7287894,0.7191431
0.73286855,0.72122806
0.70791095,0.7021277
0.70471,0.6957555
0.71337026,0.7039227
0.752843,0.7528285
0.8429806,0.8364341
0.90534574,0.87117374
0.84791875,0.8136507
0.78201497,0.7397073
0.6976326,0.6496054
0.57578164,0.5486027
0.52371424,0.5046858
0.44690797,0.44428632
0.38485494,0.37162083
0.34623143,0.32979468
0.32767245,0.30720744
0.324523,0.2900558
0.3383594,0.3179143
0.45133778,0.42734912
0.6385135,0.6122322
0.6963265,0.67332846
0.75257283,0.7200981
0.75446117,0.7359343
0.7495231,0.7374142
0.7383021,0.7351464
0.70820695,0.7074304
0.69164896,0.6922092
0.6986202,0.69620633
0.7258651,0.71730036
0.80760634,0.7959318
0.87555295,0.8713013
0.8206706,0.81406
0.7303722,0.72503775
0.6387226,0.6380446
0.5493957,0.5468804
0.54307425,0.5328996
0.4719846,0.44011214
0.40187615,0.35602602
0.34449744,0.31287467
0.32077518,0.2841143
0.29788932,0.25684884
0.29020065,0.2649545
0.33593374,0.3217534
0.4105074,0.38643607
0.4642863,0.4659835
0.5463073,0.56958
0.5996165,0.6206655
0.6116096,0.63295
0.6188093,0.6352546
0.5967309,0.6179259
0.5736616,0.58835775
0.58153045,0.58327365
0.62207776,0.59713167
0.7091752,0.6324628
0.752872,0.7349635
0.70085925,0.68974066
0.6412126,0.60506016
0.55831325,0.5482016
0.4917371,0.48503593
0.48698556,0.47202122
0.42152572,0.40851027
0.36240014,0.33793974
0.30349335,0.29276225
0.27804354,0.25932008
0.26963425,0.23932667
0.2653106,0.23657264
0.26955062,0.26060003
0.3128227,0.30134696
0.3490045,0.36650318
0.45161447,0.47374615
0.54038805,0.53295416
0.5822768,0.556827
0.6199899,0.56962675
0.6069899,0.55477095
0.577017,0.52334565
0.5543016,0.5100547
0.57564974,0.52511877
0.66094893,0.5778037
0.7406634,0.6993265
0.6993505,0.6869663
0.6356246,0.6198546
0.56821525,0.5509387
0.47316846,0.46366242
0.45296562,0.44760683
0.39100587,0.38516712
0.33090556,0.3316641
0.29894128,0.2959668
0.27870625,0.28018862
0.26929003,0.2788721
0.29443103,0.31358477
0.4028316,0.44337168
0.5751929,0.6225059
0.6552999,0.6883473
0.7347345,0.73691905
0.76688856,0.75416905
0.7637069,0.7550046
0.7652318,0.7614812
0.7518104,0.75351936
0.738463,0.75825167
0.7478599,0.77678233
0.791666,0.80751204
0.88580877,0.85260695
0.94077796,0.9261502
0.88014036,0.87402654
0.79587066,0.78072876
0.7048741,0.6846157
0.6022481,0.57297426
0.56080323,0.5424886
0.4602811,0.44422302
0.38642806,0.3773232
0.34500575,0.3441483
0.34084293,0.32586342
0.3444653,0.31439796
0.35393938,0.3355499
0.45275006,0.43776828
0.6197004,0.63083774
0.6961399,0.70956004
0.74539244,0.7516053
0.7517621,0.7483075
0.7564847,0.73908013
0.7513729,0.7373963
0.7333029,0.7153962
0.7155868,0.70500666
0.72601634,0.7219318
0.7529524,0.762425
0.83098435,0.83765763
0.9138193,0.9210943
0.86431265,0.8880354
0.78432155,0.81132025
0.7016603,0.6996526
0.5872503,0.57425797
0.5318533,0.5238504
0.45824474,0.4544084
0.399843,0.38685483
0.35801214,0.35107777
0.33513916,0.3309605
0.32907185,0.31429413
0.3501176,0.33373842
0.44889608,0.45283166
0.62162733,0.61459047
0.70105875,0.6884965
0.75805783,0.74058187
0.7660939,0.74975324
0.7449163,0.7545864
0.75666165,0.7488842
0.7183244,0.72864366
0.7348985,0.71407324
0.7372791,0.72275245
0.7548118,0.74515545
0.8221183,0.80897945
0.90983665,0.90261483
0.84557676,0.8605485
0.76222706,0.75888765
0.67860395,0.665099
0.5540861,0.56696093
0.51050514,0.51689
0.43941554,0.45353764
0.3878178,0.38535136
0.34860557,0.33405557
0.33504906,0.31383514
0.32852498,0.29724693
0.35309333,0.33651304
0.4433982,0.44989052
0.58208376,0.6375434
0.67135924,0.6926511
0.75298136,0.7284316
0.7712058,0.73849154
0.77222556,0.7318767
0.77912927,0.7327562
0.7529267,0.7134851
0.72777605,0.7142144
0.72606456,0.7226788
0.7505268,0.76051235
0.81128335,0.8487602
0.90202254,0.9008497
0.8662107,0.87410057
0.7865123,0.7947968
0.68495756,0.7065491
0.56925434,0.5861819
0.5241003,0.54316187
0.44686294,0.44958028
0.3897287,0.37951735
0.35223758,0.34193483
0.3335403,0.3222384
0.3258838,0.3102179
0.34158605,0.34208316
0.4326791,0.4517813
0.57752204,0.63437325
0.6626218,0.695808
0.74262255,0.7409898
0.7624619,0.7576447
0.7626324,0.7552751
0.7645819,0.75062096
0.7314788,0.7232323
0.7244979,0.70865804
0.71643287,0.7070979
0.7422301,0.6996877
0.8130077,0.72908086
0.87123567,0.8442495
0.82045186,0.8061837
0.7325662,0.7251932
0.64416575,0.642525
0.5422378,0.5498111
0.5220092,0.54323643
0.44479117,0.45280567
0.3723504,0.3764664
0.3250538,0.32780668
0.30303332,0.29608983
0.28445506,0.27460024
0.28369585,0.2866323
0.32975066,0.33741716
0.39642975,0.39849678
0.46335658,0.46793318
0.56969506,0.5830773
0.6108182,0.6249131
0.62701267,0.6312798
0.62612474,0.6327299
0.6005527,0.6139743
0.5695889,0.5816496
0.5551606,0.57109153
0.5781655,0.57157445
0.6618111,0.62968093
0.7548891,0.7691221
0.70391864,0.7367176
0.62235117,0.64139515
0.5499265,0.5697514
0.4764402,0.49455273
0.46639344,0.48780257
0.39858195,0.40967748
0.3353418,0.3373114
0.28789082,0.29305258
0.25853875,0.26957035
0.24177489,0.24832477
0.23987041,0.23681384
0.2589216,0.25835332
0.2937233,0.29257613
0.32442006,0.35505545
0.41693503,0.45331734
0.4906787,0.51762635
0.5364536,0.55466765
0.57608086,0.5711696
0.5772711,0.5605962
0.55019027,0.5291783
0.5373737,0.50872
0.55965155,0.52397114
0.64429444,0.5539333
0.7199651,0.6719482
0.6769182,0.6618794
0.6166828,0.60045236
0.5392299,0.5316497
0.446538,0.4416071
0.41702187,0.41620374
0.3511245,0.36511594
0.29319248,0.3029807
0.25603592,0.26611158
0.23994441,0.2437339
0.23997337,0.23427638
0.26511756,0.27165928
