true,forecasted
0.44397727,0.41909337
0.37843376,0.3555773
0.3382725,0.31810543
0.31800532,0.3053404
0.30721867,0.28305218
0.3353901,0.32114878
0.44924995,0.41457123
0.64356744,0.5885628
0.70798177,0.6599302
0.7454342,0.70057976
0.7588492,0.71317023
0.7504817,0.7199406
0.7572729,0.737968
0.7272999,0.71473736
0.7200713,0.70570636
0.73321605,0.71922404
0.7722642,0.7840666
0.86931837,0.8833124
0.9379148,0.89141035
0.8824952,0.8526494
0.8093853,0.7686341
0.7153101,0.66682464
0.5970043,0.54904145
0.5380975,0.5094078
0.45692897,0.4261036
0.39807364,0.3632047
0.36162165,0.3307196
0.33823714,0.3049218
0.33015922,0.30062303
0.34500897,0.32505757
0.45460308,0.4263819
0.66415954,0.58276254
0.72256446,0.6617869
0.772351,0.6990775
0.7871847,0.7106936
0.78629357,0.73616356
0.78275484,0.74907166
0.7698514,0.7291103
0.76783115,0.71746576
0.7792805,0.72307795
0.81459045,0.78358656
0.9055806,0.8603445
0.93079233,0.8792359
0.8709301,0.84287125
0.78451777,0.75210696
0.6919288,0.64858615
0.5662786,0.54784155
0.5115153,0.49697486
0.4295554,0.43154144
0.36444616,0.36221227
0.3261122,0.3271106
0.30598333,0.30340165
0.30435875,0.29904884
0.33323145,0.34363788
0.43947023,0.45434064
0.63249767,0.61986995
0.689471,0.68035823
0.7199201,0.6961398
0.72800124,0.7059309
0.7287894,0.7201994
0.73286855,0.7372539
0.70791095,0.7090207
0.70471,0.7006884
0.71337026,0.70876616
0.752843,0.7606823
0.8429806,0.8210357
0.90534574,0.85743564
0.84791875,0.84476286
0.78201497,0.7610751
0.6976326,0.6565587
0.57578164,0.5356664
0.52371424,0.50270677
0.44690797,0.418699
0.38485494,0.3537406
0.34623143,0.32024258
0.32767245,0.29656813
0.324523,0.28953257
0.3383594,0.33197027
0.45133778,0.43423235
0.6385135,0.6066152
0.6963265,0.68267316
0.75257283,0.7128154
0.75446117,0.71089906
0.7495231,0.7289024
0.7383021,0.73766744
0.70820695,0.70854455
0.69164896,0.6994003
0.6986202,0.69047785
0.7258651,0.72547317
0.80760634,0.81003815
0.87555295,0.85650903
0.8206706,0.8137158
0.7303722,0.7236352
0.6387226,0.62357163
0.5493957,0.52220047
0.54307425,0.51043415
0.4719846,0.4371393
0.40187615,0.3623585
0.34449744,0.32054833
0.32077518,0.2746141
0.29788932,0.25224322
0.29020065,0.25410634
0.33593374,0.28216633
0.4105074,0.3626621
0.4642863,0.45455623
0.5463073,0.5334092
0.5996165,0.57241136
0.6116096,0.6012326
0.6188093,0.6196943
0.5967309,0.6039446
0.5736616,0.56559455
0.58153045,0.5545009
0.62207776,0.5937559
0.7091752,0.64850146
0.752872,0.7089558
0.70085925,0.67456645
0.6412126,0.6050109
0.55831325,0.5370151
0.4917371,0.46360487
0.48698556,0.45558548
0.42152572,0.39531875
0.36240014,0.34313935
0.30349335,0.2887774
0.27804354,0.26142535
0.26963425,0.25310054
0.2653106,0.26022786
0.26955062,0.28775364
0.3128227,0.3451336
0.3490045,0.37201524
0.45161447,0.44604895
0.54038805,0.5155723
0.5822768,0.5481737
0.6199899,0.5766434
0.6069899,0.5624322
0.577017,0.53000987
0.5543016,0.51047355
0.57564974,0.53872734
0.66094893,0.61391455
0.7406634,0.66578394
0.6993505,0.6576116
0.6356246,0.6071322
0.56821525,0.5299239
0.47316846,0.42713842
0.45296562,0.42174447
0.39100587,0.3635407
0.33090556,0.31893227
0.29894128,0.27959764
0.27870625,0.27050462
0.26929003,0.25352475
0.29443103,0.2956618
0.4028316,0.38473213
0.5751929,0.537868
0.6552999,0.60464376
0.7347345,0.6479223
0.76688856,0.6678487
0.7637069,0.6958447
0.7652318,0.7217628
0.7518104,0.7154232
0.738463,0.70716256
0.7478599,0.6962611
0.791666,0.74615055
0.88580877,0.787829
0.94077796,0.8421541
0.88014036,0.8072811
0.79587066,0.7406175
0.7048741,0.622928
0.6022481,0.499937
0.56080323,0.46231213
0.4602811,0.41873783
0.38642806,0.36215332
0.34500575,0.32369566
0.34084293,0.3072011
0.3444653,0.29327014
0.35393938,0.33049768
0.45275006,0.40307194
0.6197004,0.57568556
0.6961399,0.64302987
0.74539244,0.66571915
0.7517621,0.6977312
0.7564847,0.7033309
0.7513729,0.72413385
0.7333029,0.68004155
0.7155868,0.6842425
0.72601634,0.68819475
0.7529524,0.7268772
0.83098435,0.8101681
0.9138193,0.8551151
0.86431265,0.8386147
0.78432155,0.76860005
0.7016603,0.65380967
0.5872503,0.5272991
0.5318533,0.49599788
0.45824474,0.42455152
0.399843,0.37028047
0.35801214,0.3316504
0.33513916,0.3101148
0.32907185,0.28880587
0.3501176,0.31930602
0.44889608,0.40804896
0.62162733,0.5772088
0.70105875,0.65419555
0.75805783,0.6785474
0.7660939,0.6801301
0.7449163,0.69045013
0.75666165,0.7088228
0.7183244,0.69459206
0.7348985,0.681156
0.7372791,0.67863244
0.7548118,0.7205964
0.8221183,0.7780635
0.90983665,0.8342082
0.84557676,0.816223
0.76222706,0.7414012
0.67860395,0.63787943
0.5540861,0.5288731
0.51050514,0.48348972
0.43941554,0.40676546
0.3878178,0.35457987
0.34860557,0.3238452
0.33504906,0.30402505
0.32852498,0.2780872
0.35309333,0.33049184
0.4433982,0.39873487
0.58208376,0.5672967
0.67135924,0.636841
0.75298136,0.6665131
0.7712058,0.6832562
0.77222556,0.69606835
0.77912927,0.718768
0.7529267,0.70296395
0.72777605,0.68244976
0.72606456,0.6943633
0.7505268,0.7338506
0.81128335,0.8030379
0.90202254,0.8634252
0.8662107,0.8523114
0.7865123,0.7716743
0.68495756,0.65239835
0.56925434,0.54202443
0.5241003,0.5012857
0.44686294,0.44086432
0.3897287,0.37464905
0.35223758,0.33757487
0.3335403,0.3113128
0.3258838,0.30924505
0.34158605,0.3390024
0.4326791,0.40649635
0.57752204,0.5740376
0.6626218,0.6459635
0.74262255,0.6772875
0.7624619,0.70005876
0.7626324,0.7164665
0.7645819,0.7197377
0.7314788,0.69770694
0.7244979,0.6690484
0.71643287,0.6467405
0.7422301,0.66332996
0.8130077,0.7109836
0.87123567,0.78241885
0.82045186,0.7836651
0.7325662,0.6925415
0.64416575,0.6072751
0.5422378,0.5077383
0.5220092,0.503379
0.44479117,0.45538473
0.3723504,0.37537766
0.3250538,0.32103893
0.30303332,0.29126933
0.28445506,0.28317353
0.28369585,0.2999831
0.32975066,0.32279903
0.39642975,0.37920693
0.46335658,0.45701748
0.56969506,0.5385134
0.6108182,0.612925
0.62701267,0.61300725
0.62612474,0.63663846
0.6005527,0.59671617
0.5695889,0.59164536
0.5551606,0.5655354
0.5781655,0.5803228
0.6618111,0.6601321
0.7548891,0.73447126
0.70391864,0.7146662
0.62235117,0.62376386
0.5499265,0.55158234
0.4764402,0.46992445
0.46639344,0.46062344
0.39858195,0.40039417
0.3353418,0.34068176
0.28789082,0.29562417
0.25853875,0.2515326
0.24177489,0.21867009
0.23987041,0.22850767
0.2589216,0.23796548
0.2937233,0.30162507
0.32442006,0.351038
0.41693503,0.42829382
0.4906787,0.4981006
0.5364536,0.54624647
0.57608086,0.59051454
0.5772711,0.58924437
0.55019027,0.55114245
0.5373737,0.52372384
0.55965155,0.5782037
0.64429444,0.6233193
0.7199651,0.7010382
0.6769182,0.68646115
0.6166828,0.61902463
0.5392299,0.53455055
0.446538,0.43251503
0.41702187,0.41899297
0.3511245,0.34175766
0.29319248,0.2921712
0.25603592,0.26434034
0.23994441,0.23592964
0.23997337,0.22553684
0.26511756,0.27593964
0.37606603,0.3587101
0.56899375,0.5462567
0.63178027,0.6323894
0.6756089,0.65403056
0.68808126,0.66289383
0.69135296,0.6738461
0.6931481,0.68863714
0.6699309,0.68341553
0.65771586,0.66057336
0.67098606,0.6581041
0.7073995,0.70139533
0.77938986,0.764582
0.84493655,0.82836896
0.80281293,0.7987339
0.72887945,0.72518456
0.6290265,0.6225937
0.51996964,0.48671997
0.4766525,0.45824048
0.3976265,0.35600275
0.3390446,0.3092365
0.3065077,0.270972
0.29241395,0.25059044
0.29742286,0.24154548
0.31660914,0.29656434
0.42353633,0.38044232
0.6091003,0.55348945
0.6587099,0.6350302
0.6992797,0.66034895
0.69792855,0.64309186
0.6935888,0.6513882
0.69149774,0.6537104
0.6673444,0.6445462
0.66055006,0.62309355
0.6685508,0.6292654
0.7002384,0.6610926
0.76395464,0.7306391
0.8669924,0.80739766
0.8479252,0.7926368
0.77634656,0.7127617
0.68016744,0.60442984
0.55657285,0.4699173
0.49799418,0.4376938
0.4237937,0.3905231
0.3666112,0.3354118
0.32973456,0.29866314
0.31101474,0.28111604
0.31320876,0.27332783
0.33435097,0.32081047
0.44508392,0.41397908
0.63911825,0.58992916
0.6974203,0.6580488
0.7319807,0.6917118
0.72634125,0.69068366
0.7128137,0.68611425
0.7085093,0.7035388
0.6821684,0.6748776
0.6757955,0.6634813
0.69335395,0.66858625
0.7312247,0.6964326
0.7908714,0.7661493
0.88022405,0.8368285
0.8538445,0.83552784
0.77906495,0.75198835
0.6765804,0.65583795
0.55261916,0.53021854
0.49261856,0.48707446
0.41401076,0.38051808
0.35556078,0.3192168
0.3148591,0.2953474
0.29942384,0.27903283
0.29230136,0.26790485
0.32251558,0.30736846
0.42493895,0.41153413
0.6095957,0.57097894
0.67477894,0.6318231
0.70571697,0.65879214
0.7040763,0.65735394
0.70178574,0.6625662
0.7123151,0.66759336
0.6970568,0.6530735
0.6932446,0.6332783
0.70921385,0.63866997
0.74210465,0.6548386
0.79508567,0.7094789
0.88246953,0.795741
0.8469472,0.78235924
0.7811013,0.71377456
0.6786297,0.60220194
0.5629104,0.49206078
0.50189,0.4494219
0.42602953,0.3983341
0.36443332,0.3373097
0.3230657,0.2990877
0.30847007,0.27936134
0.29322463,0.27684072
0.32016715,0.30318153
0.43397877,0.41911793
0.61276126,0.5725736
0.68053097,0.63885945
0.7356931,0.68449265
0.74904054,0.6801266
0.74983513,0.68945235
0.7454696,0.69604045
0.72354245,0.67801654
0.7164843,0.6553398
0.71836305,0.65300834
0.7347473,0.66244334
0.7898291,0.7073712
0.86447996,0.783893
0.82930833,0.76511043
0.7499413,0.6832698
0.66077524,0.5909648
0.56428725,0.4996454
0.54281044,0.48586616
0.46320215,0.424573
0.39551935,0.3608574
0.34763727,0.3067414
0.31971034,0.28506148
0.3007589,0.2765495
0.30002862,0.2728475
0.3388741,0.3185742
0.41004738,0.39000997
0.48808578,0.4793543
0.58970493,0.56643176
0.6408555,0.59712654
0.6567218,0.6117632
0.6631751,0.62231
0.6389156,0.587573
0.5986836,0.5646175
0.5779049,0.5395393
0.5970429,0.5720038
0.65661883,0.63112515
0.7411202,0.71905965
0.7272645,0.6884115
0.64958966,0.608588
0.57426965,0.53125834
0.50426096,0.46224603
0.4939858,0.46596795
0.4332131,0.3938315
0.3760017,0.33224192
0.324449,0.2876671
0.29632905,0.25924158
0.2760104,0.22814648
0.27159664,0.24189952
0.2967537,0.2386784
0.3256393,0.2727191
0.38446888,0.3428898
0.48167104,0.41825914
0.54976887,0.49650463
0.566996,0.5354295
0.59356534,0.55775136
0.5854906,0.54336935
0.54540014,0.51253396
0.516447,0.4775695
0.5370777,0.49476656
0.6011414,0.5578868
0.7145123,0.66113496
0.7149723,0.66606456
0.65085715,0.59592533
0.5713325,0.5261702
0.487822,0.4417785
0.4671816,0.42555916
0.39806077,0.37732378
0.34634402,0.3254684
0.30466112,0.28335944
0.28682277,0.26909575
0.28596383,0.2497449
0.31963313,0.28618324
0.44565976,0.3663955
0.62886566,0.5218541
0.70017403,0.5904479
0.75849533,0.6338357
0.77053344,0.66157407
0.7772184,0.6648558
0.786152,0.67852986
0.7802585,0.6727118
0.78203744,0.65071756
0.8047335,0.65075356
0.8465644,0.6670564
0.89129376,0.7398017
0.9492934,0.8081562
0.9161806,0.8057237
0.8356201,0.70972514
0.7393959,0.6253303
0.6108568,0.5130857
0.5602885,0.5024652
0.47774306,0.4550214
0.41916442,0.40046537
0.37860748,0.3578194
0.35842392,0.3347222
0.35362414,0.30243224
0.3761111,0.34430546
0.4948544,0.43176752
0.68002266,0.57516783
0.7470653,0.67174757
0.79343534,0.7051524
0.79106766,0.71194917
0.7902409,0.7155281
0.793741,0.73117423
0.7637455,0.71022034
0.75863045,0.6862421
0.7747445,0.6964925
0.8156231,0.72854954
0.8578079,0.7981479
0.9388477,0.8654974
0.9340254,0.86202675
0.858329,0.76101565
0.7598143,0.6670766
0.64236426,0.5604539
0.5923879,0.5343011
0.5200436,0.5069199
0.45842168,0.45227087
0.41421664,0.41740066
0.3880076,0.3860106
0.37774533,0.3477305
0.3911088,0.37540022
0.501401,0.49779972
0.6430752,0.63104546
0.71821827,0.72499484
0.79513395,0.75291383
0.8209151,0.76098764
0.8214234,0.75785404
0.8295721,0.7798357
0.80657685,0.7678035
0.7838905,0.7454541
0.7732872,0.7488021
0.7980518,0.7958172
0.84075445,0.86739296
0.9139255,0.9216607
0.8698781,0.92360276
0.7864641,0.8185301
0.6944928,0.730898
0.60167545,0.60610557
0.58314216,0.5742971
0.51980555,0.55065
0.45556173,0.48488942
0.41756555,0.43466896
0.3980254,0.4059798
0.3825451,0.35554913
0.39109272,0.38286567
0.4488253,0.49037594
0.526571,0.62828624
0.5960939,0.73202175
0.69019485,0.7540991
0.7279369,0.7745084
0.7387943,0.7801959
0.7498448,0.7871384
0.7258201,0.80230814
0.68132234,0.7745572
0.6635451,0.7649909
0.68140596,0.81874603
0.7381702,0.870302
0.79469645,0.9127663
0.7470717,0.9319517
0.6595463,0.82327217
0.5845802,0.7439909
0.5142755,0.5977333
0.5069246,0.5891423
0.44039673,0.44612032
0.35871345,0.399947
0.3156569,0.35920876
0.29183167,0.33156264
0.2818879,0.31484556
0.29123974,0.36087713
0.3178541,0.41645625
0.3530129,0.5282017
0.40291205,0.60361654
0.50475633,0.64306843
0.57423425,0.69295734
0.60801935,0.7193181
0.64969903,0.7347908
0.649387,0.7191017
0.6194945,0.713452
0.6065524,0.6883652
0.62956375,0.72294855
0.6969474,0.74348193
0.77979845,0.79616994
0.74210465,0.792139
0.66310114,0.7087687
0.58882344,0.61387277
0.52439946,0.518732
0.5250718,0.51865786
0.45435214,0.41847402
0.38162184,0.35995752
0.33001444,0.32006592
0.29920185,0.30436447
0.28496978,0.29770103
0.2764672,0.31313914
0.29543152,0.349268
0.33227924,0.4571449
0.3914659,0.50490046
0.5161703,0.5836035
0.6034544,0.66888916
0.63984853,0.675162
0.66650796,0.72107047
0.6647547,0.6953096
0.63928235,0.6859394
0.6354766,0.67217934
0.65597224,0.7034559
0.71777433,0.7038029
0.7756678,0.74618137
0.742748,0.7686891
0.64869857,0.67333615
0.56616277,0.5887488
0.49874696,0.49609867
0.49375415,0.48895028
0.4364591,0.39304742
0.36931673,0.34091184
0.31458884,0.2974072
0.29504225,0.28511497
0.27423137,0.2660606
0.26788098,0.2999161
0.28780398,0.3632071
0.31486872,0.50471485
0.36215243,0.5667196
0.46902496,0.5970715
0.56873316,0.6682915
0.6267553,0.6748712
0.6723404,0.70531195
0.6784978,0.6927474
0.6473056,0.68084747
0.63345635,0.66986525
0.6506899,0.69945526
0.7028217,0.7050928
0.7794188,0.76639444
0.7642152,0.7837482
0.6944767,0.71589494
0.6122369,0.6455385
0.5171805,0.5238483
0.4894884,0.48167908
0.42873827,0.4177348
0.37045556,0.35585988
0.33761626,0.31866854
0.31746808,0.28999963
0.30944484,0.29142994
0.33063534,0.3009405
0.44049644,0.39621937
0.61335963,0.58076495
0.6963651,0.6528894
0.7680113,0.6917931
0.7867729,0.70309407
0.792763,0.72640187
0.7948315,0.73672044
0.78146803,0.7196278
0.7758479,0.70416427
0.7894913,0.72240835
0.82466614,0.74186546
0.86998105,0.78509384
0.9257062,0.84209496
0.9022735,0.8636816
0.82651913,0.7654419
0.72736424,0.69030434
0.60377616,0.56314236
