true,forecasted
0.44397727,0.4305016
0.37843376,0.372461
0.3382725,0.32722184
0.31800532,0.30672562
0.30721867,0.2973951
0.3353901,0.31479505
0.44924995,0.4390033
0.64356744,0.6093164
0.70798177,0.66972435
0.7454342,0.70887643
0.7588492,0.7290327
0.7504817,0.73031294
0.7572729,0.7266996
0.7272999,0.70116085
0.7200713,0.693932
0.73321605,0.72475433
0.7722642,0.77387416
0.86931837,0.8798085
0.9379148,0.90217465
0.8824952,0.8558891
0.8093853,0.77950984
0.7153101,0.6866281
0.5970043,0.56366765
0.5380975,0.52509344
0.45692897,0.44160876
0.39807364,0.3807363
0.36162165,0.33758655
0.33823714,0.31572494
0.33015922,0.30082637
0.34500897,0.32312754
0.45460308,0.43250027
0.66415954,0.6141461
0.72256446,0.68242145
0.772351,0.7234078
0.7871847,0.75536287
0.78629357,0.7543836
0.78275484,0.75663054
0.7698514,0.7194495
0.76783115,0.73051023
0.7792805,0.74949795
0.81459045,0.8108897
0.9055806,0.8998758
0.93079233,0.90926534
0.8709301,0.8655299
0.78451777,0.7807392
0.6919288,0.6840912
0.5662786,0.5724226
0.5115153,0.5177817
0.4295554,0.44047382
0.36444616,0.3735131
0.3261122,0.32050872
0.30598333,0.29600325
0.30435875,0.2901185
0.33323145,0.3170697
0.43947023,0.441215
0.63249767,0.59357774
0.689471,0.6514033
0.7199201,0.67843896
0.72800124,0.70647484
0.7287894,0.7071664
0.73286855,0.70754695
0.70791095,0.67690235
0.70471,0.6751544
0.71337026,0.69778097
0.752843,0.74026215
0.8429806,0.8239006
0.90534574,0.8488986
0.84791875,0.8215276
0.78201497,0.75647193
0.6976326,0.65707165
0.57578164,0.5464808
0.52371424,0.5022457
0.44690797,0.41851485
0.38485494,0.35936666
0.34623143,0.32144448
0.32767245,0.29978955
0.324523,0.2844894
0.3383594,0.32631004
0.45133778,0.44185308
0.6385135,0.5946022
0.6963265,0.6465807
0.75257283,0.68487626
0.75446117,0.6975599
0.7495231,0.7085277
0.7383021,0.70966256
0.70820695,0.6682807
0.69164896,0.655567
0.6986202,0.67004085
0.7258651,0.6889498
0.80760634,0.7780307
0.87555295,0.8154698
0.8206706,0.7742026
0.7303722,0.70948243
0.6387226,0.61334735
0.5493957,0.5071317
0.54307425,0.4977763
0.4719846,0.4243634
0.40187615,0.35195974
0.34449744,0.303408
0.32077518,0.2629901
0.29788932,0.2491983
0.29020065,0.24945246
0.33593374,0.28892627
0.4105074,0.3566742
0.4642863,0.43489844
0.5463073,0.52182806
0.5996165,0.5726395
0.6116096,0.58615816
0.6188093,0.5947864
0.5967309,0.5651162
0.5736616,0.5478583
0.58153045,0.5401021
0.62207776,0.57811725
0.7091752,0.6352989
0.752872,0.6885963
0.70085925,0.65759087
0.6412126,0.6005232
0.55831325,0.5399114
0.4917371,0.46270487
0.48698556,0.45183194
0.42152572,0.38420278
0.36240014,0.3275703
0.30349335,0.2794256
0.27804354,0.24852313
0.26963425,0.23703475
0.2653106,0.23554249
0.26955062,0.28260803
0.3128227,0.33186573
0.3490045,0.3740502
0.45161447,0.46649712
0.54038805,0.5391482
0.5822768,0.56667155
0.6199899,0.5831709
0.6069899,0.5732539
0.577017,0.54240984
0.5543016,0.53643644
0.57564974,0.5806788
0.66094893,0.65610427
0.7406634,0.70001185
0.6993505,0.6741115
0.6356246,0.630604
0.56821525,0.5594634
0.47316846,0.452336
0.45296562,0.44286445
0.39100587,0.3721808
0.33090556,0.3132734
