true,forecasted
0.44397727,0.42600435
0.37843376,0.3617114
0.3382725,0.32472587
0.31800532,0.29708666
0.30721867,0.2892266
0.3353901,0.3187902
0.44924995,0.4313651
0.64356744,0.6212036
0.70798177,0.6871139
0.7454342,0.72216094
0.7588492,0.73597974
0.7504817,0.73882955
0.7572729,0.7489318
0.7272999,0.71533394
0.7200713,0.7152272
0.73321605,0.7354415
0.7722642,0.8002744
0.86931837,0.89741486
0.9379148,0.9366808
0.8824952,0.8689363
0.8093853,0.79454416
0.7153101,0.69312656
0.5970043,0.5770577
0.5380975,0.53622085
0.45692897,0.44269776
0.39807364,0.38353786
0.36162165,0.33839774
0.33823714,0.3131703
0.33015922,0.3014332
0.34500897,0.3294488
0.45460308,0.44414046
0.66415954,0.63346696
0.72256446,0.70596576
0.772351,0.7470838
0.7871847,0.7530416
0.78629357,0.762551
0.78275484,0.76939994
0.7698514,0.7426818
0.76783115,0.7439666
0.7792805,0.76202226
0.81459045,0.8384222
0.9055806,0.9192046
0.93079233,0.9292233
0.8709301,0.86724454
0.78451777,0.7855747
0.6919288,0.6858028
0.5662786,0.57310027
0.5115153,0.5245239
0.4295554,0.43019852
0.36444616,0.35478517
0.3261122,0.31594494
0.30598333,0.30087656
0.30435875,0.29641718
0.33323145,0.32573703
0.43947023,0.4322532
0.63249767,0.6292708
0.689471,0.6878713
0.7199201,0.70483327
0.72800124,0.7072199
0.7287894,0.7103785
0.73286855,0.7138807
0.70791095,0.69019663
0.70471,0.6915851
0.71337026,0.7088572
0.752843,0.77382785
0.8429806,0.8722962
0.90534574,0.86394155
0.84791875,0.8064405
0.78201497,0.7374865
0.6976326,0.6590959
0.57578164,0.5660224
0.52371424,0.5192142
0.44690797,0.45516166
0.38485494,0.37951958
0.34623143,0.32659554
0.32767245,0.2943974
0.324523,0.28784224
0.3383594,0.29977998
0.45133778,0.35890314
0.6385135,0.50995886
0.6963265,0.5917125
0.75257283,0.65757775
0.75446117,0.6846099
0.7495231,0.6921312
0.7383021,0.6832647
0.70820695,0.6738012
0.69164896,0.6504612
0.6986202,0.64425695
0.7258651,0.70130837
0.80760634,0.81606704
0.87555295,0.8187046
0.8206706,0.7518634
0.7303722,0.687811
0.6387226,0.60972035
0.5493957,0.5360153
0.54307425,0.5296364
0.4719846,0.43785512
0.40187615,0.35920212
0.34449744,0.29944098
0.32077518,0.26983243
0.29788932,0.24967831
0.29020065,0.24228336
0.33593374,0.27999187
0.4105074,0.3550848
0.4642863,0.42307436
0.5463073,0.5139208
0.5996165,0.56994027
0.6116096,0.5924582
0.6188093,0.604386
0.5967309,0.5942455
0.5736616,0.56299025
0.58153045,0.5535554
0.62207776,0.57751966
0.7091752,0.68816423
0.752872,0.64267445
0.70085925,0.5959371
0.6412126,0.5754962
0.55831325,0.5415404
0.4917371,0.46068928
0.48698556,0.44864354
0.42152572,0.4310399
0.36240014,0.35405263
0.30349335,0.29407847
0.27804354,0.2502822
0.26963425,0.22719306
0.2653106,0.21543984
0.26955062,0.23196524
0.3128227,0.27250317
0.3490045,0.29565692
0.45161447,0.39987826
0.54038805,0.48923996
0.5822768,0.53040934
0.6199899,0.5607663
0.6069899,0.5517138
0.577017,0.52002287
0.5543016,0.50262934
0.57564974,0.5469488
0.66094893,0.6454241
0.7406634,0.70293677
0.6993505,0.6766899
0.6356246,0.63452345
0.56821525,0.56909794
0.47316846,0.47997132
0.45296562,0.4686598
0.39100587,0.36633098
0.33090556,0.30179256
0.29894128,0.2663287
0.27870625,0.24173912
0.26929003,0.24065694
0.29443103,0.2786201
0.4028316,0.3981782
0.5751929,0.5802205
0.6552999,0.6479901
0.7347345,0.6985468
0.76688856,0.72069716
0.7637069,0.73665124
0.7652318,0.7379587
0.7518104,0.723834
0.738463,0.71588886
0.7478599,0.726008
0.791666,0.801079
0.88580877,0.86547744
0.94077796,0.8652475
0.88014036,0.81327945
0.79587066,0.7364096
0.7048741,0.62907505
0.6022481,0.52792406
0.56080323,0.49046233
0.4602811,0.45046377
0.38642806,0.38167563
0.34500575,0.3364797
0.34084293,0.30239484
0.3444653,0.2896089
0.35393938,0.31167057
0.45275006,0.4039686
0.6197004,0.58903575
0.6961399,0.6633116
0.74539244,0.70087385
0.7517621,0.7087619
0.7564847,0.7079349
0.7513729,0.7156319
0.7333029,0.6933516
0.7155868,0.6865448
0.72601634,0.6974213
0.7529524,0.7619408
0.83098435,0.8881797
0.9138193,0.9367845
0.86431265,0.86913806
0.78432155,0.79315424
0.7016603,0.70284176
0.5872503,0.59185296
0.5318533,0.5477638
0.45824474,0.4279515
0.399843,0.36313203
0.35801214,0.3230592
0.33513916,0.30003953
0.32907185,0.2940506
0.3501176,0.32247582
0.44889608,0.4316467
0.62162733,0.6129304
0.70105875,0.6804575
0.75805783,0.7055823
0.7660939,0.7025368
0.7449163,0.70223516
0.75666165,0.708184
0.7183244,0.6884774
0.7348985,0.68134934
0.7372791,0.6896137
0.7548118,0.736038
0.8221183,0.8088732
0.90983665,0.8546839
0.84557676,0.8193544
0.76222706,0.751172
0.67860395,0.6621355
0.5540861,0.5496552
0.51050514,0.49672928
0.43941554,0.42038268
0.3878178,0.35555348
0.34860557,0.3174585
0.33504906,0.29535717
0.32852498,0.29434544
0.35309333,0.332409
0.4433982,0.4511645
0.58208376,0.6377159
0.67135924,0.6963993
0.75298136,0.7130381
0.7712058,0.72513485
0.77222556,0.7269984
0.77912927,0.7201068
0.7529267,0.6933217
0.72777605,0.69381016
0.72606456,0.7005643
0.7505268,0.74154526
0.81128335,0.82722735
0.90202254,0.8476854
0.8662107,0.7987328
0.7865123,0.72848624
0.68495756,0.64944667
0.56925434,0.5574355
0.5241003,0.51930696
0.44686294,0.45073318
0.3897287,0.37577823
0.35223758,0.329655
0.3335403,0.30129448
0.3258838,0.29916668
0.34158605,0.30836955
0.4326791,0.38373572
0.57752204,0.55121374
0.6626218,0.630145
0.74262255,0.68229693
0.7624619,0.69708794
0.7626324,0.7037254
0.7645819,0.6922131
0.7314788,0.67907107
0.7244979,0.6605469
0.71643287,0.6535698
0.7422301,0.69519866
0.8130077,0.7668662
0.87123567,0.77501863
0.82045186,0.7372823
0.7325662,0.68361866
0.64416575,0.60288274
0.5422378,0.5245329
0.5220092,0.51062787
0.44479117,0.4269138
0.3723504,0.3528622
0.3250538,0.2917794
0.30303332,0.26019067
0.28445506,0.24369848
0.28369585,0.24200691
0.32975066,0.27671152
0.39642975,0.34788665
0.46335658,0.42451316
0.56969506,0.5196035
0.6108182,0.57297593
0.62701267,0.5892372
0.62612474,0.59334755
0.6005527,0.5798406
0.5695889,0.54559684
0.5551606,0.54019
0.5781655,0.5754263
0.6618111,0.7076871
0.7548891,0.7065848
0.70391864,0.6568745
0.62235117,0.59533525
0.5499265,0.5302273
0.4764402,0.4603218
0.46639344,0.44566685
0.39858195,0.4061278
0.3353418,0.3285816
0.28789082,0.27313092
0.25853875,0.2339705
0.24177489,0.22113757
0.23987041,0.21233974
0.2589216,0.22683308
0.2937233,0.27033725
0.32442006,0.30584228
0.41693503,0.4046702
0.4906787,0.48018926
0.5364536,0.52170134
0.57608086,0.54920113
0.5772711,0.5492033
0.55019027,0.51921487
0.5373737,0.5103216
0.55965155,0.55448985
0.64429444,0.6365327
0.7199651,0.66211617
0.6769182,0.6378445
0.6166828,0.5938324
0.5392299,0.52948284
0.446538,0.44769984
0.41702187,0.42022505
0.3511245,0.3387695
0.29319248,0.26723462
0.25603592,0.22851078
0.23994441,0.20428936
0.23997337,0.20261404
0.26511756,0.21915697
0.37606603,0.32928404
0.56899375,0.533654
0.63178027,0.60512275
0.6756089,0.64948815
0.68808126,0.6618278
0.69135296,0.66541404
0.6931481,0.6735684
0.6699309,0.6562754
0.65771586,0.6499275
0.67098606,0.65881646
0.7073995,0.7102312
0.77938986,0.7848969
0.84493655,0.7943727
0.80281293,0.7664302
0.72887945,0.7181512
0.6290265,0.63863844
0.51996964,0.5211717
0.4766525,0.47433242
0.3976265,0.38336408
0.3390446,0.32636374
0.3065077,0.2865526
0.29241395,0.2608731
0.29742286,0.25718307
0.31660914,0.29366747
0.42353633,0.40911785
0.6091003,0.57789886
0.6587099,0.6449218
0.6992797,0.67270124
0.69792855,0.6693074
0.6935888,0.6638811
0.69149774,0.6623898
0.6673444,0.64411336
0.66055006,0.6387935
0.6685508,0.64187837
0.7002384,0.67521125
0.76395464,0.75592107
0.8669924,0.84211934
0.8479252,0.8168265
0.77634656,0.73893106
0.68016744,0.6382569
0.55657285,0.5247572
0.49799418,0.46593234
0.4237937,0.40267628
0.3666112,0.34789464
0.32973456,0.30665982
0.31101474,0.28332177
0.31320876,0.28025976
0.33435097,0.31323007
0.44508392,0.42961803
0.63911825,0.6037875
0.6974203,0.6686037
0.7319807,0.69998467
0.72634125,0.69846207
0.7128137,0.69371754
0.7085093,0.6934504
0.6821684,0.6750544
0.6757955,0.67000306
0.69335395,0.6758652
0.7312247,0.72123104
0.7908714,0.7939572
0.88022405,0.85891616
0.8538445,0.83199877
0.77906495,0.76064515
0.6765804,0.656479
0.55261916,0.54073787
0.49261856,0.48651186
0.41401076,0.4123873
0.35556078,0.34656048
0.3148591,0.30773997
0.29942384,0.29195887
0.29230136,0.2897417
0.32251558,0.3249311
0.42493895,0.43990746
0.6095957,0.6162593
0.67477894,0.68122005
0.70571697,0.7030215
0.7040763,0.7019066
0.70178574,0.7014993
0.7123151,0.7007797
0.6970568,0.67741954
0.6932446,0.67694664
0.70921385,0.6847592
0.74210465,0.72753614
0.79508567,0.80235744
0.88246953,0.84555864
0.8469472,0.8167246
0.7811013,0.7426621
0.6786297,0.6460942
