true,forecasted
0.44397727,0.4391799
0.37843376,0.37443867
0.3382725,0.33329317
0.31800532,0.3099038
0.30721867,0.29162607
0.3353901,0.3122515
0.44924995,0.41950974
0.64356744,0.62074465
0.70798177,0.6975694
0.7454342,0.7327304
0.7588492,0.75011754
0.7504817,0.7516478
0.7572729,0.7570207
0.7272999,0.7363512
0.7200713,0.72558624
0.73321605,0.74606264
0.7722642,0.82367265
0.86931837,0.94325686
0.9379148,0.94991624
0.8824952,0.8788885
0.8093853,0.7982284
0.7153101,0.7049653
0.5970043,0.59179157
0.5380975,0.5338218
0.45692897,0.45334327
0.39807364,0.38509747
0.36162165,0.34326485
0.33823714,0.3170746
0.33015922,0.30341655
0.34500897,0.32639325
0.45460308,0.43117672
0.66415954,0.6349871
0.72256446,0.70739555
0.772351,0.73620725
0.7871847,0.7395065
0.78629357,0.7490691
0.78275484,0.75102323
0.7698514,0.73543954
0.76783115,0.72617024
0.7792805,0.7448147
0.81459045,0.81568694
0.9055806,0.89468616
0.93079233,0.91300404
0.8709301,0.8687858
0.78451777,0.7958796
0.6919288,0.69654924
0.5662786,0.5842652
0.5115153,0.52725255
0.4295554,0.4319396
0.36444616,0.36159128
0.3261122,0.31336382
0.30598333,0.2866497
0.30435875,0.281668
0.33323145,0.30119476
0.43947023,0.4109117
0.63249767,0.60711145
0.689471,0.6772834
0.7199201,0.7047025
0.72800124,0.7184625
0.7287894,0.722005
0.73286855,0.7295063
0.70791095,0.7152852
0.70471,0.70173734
0.71337026,0.7250489
0.752843,0.78501934
0.8429806,0.89235437
0.90534574,0.8865293
0.84791875,0.8234969
0.78201497,0.76356465
0.6976326,0.67411584
0.57578164,0.5592396
0.52371424,0.5208283
0.44690797,0.4606831
0.38485494,0.38567004
0.34623143,0.33332485
0.32767245,0.30535737
0.324523,0.29461652
0.3383594,0.3071443
0.45133778,0.39500794
0.6385135,0.58863693
0.6963265,0.66429126
0.75257283,0.71078956
0.75446117,0.72756624
0.7495231,0.7265484
0.7383021,0.72414833
0.70820695,0.70197403
0.69164896,0.6850632
0.6986202,0.6954701
0.7258651,0.7489366
0.80760634,0.84799135
