true,forecasted
0.2401181,0.23837972
0.21374194,0.21233034
0.20654401,0.20200656
0.21732871,0.21313597
0.26644543,0.25617722
0.41860238,0.4136438
0.6039918,0.5958318
0.72625905,0.7282257
0.77405816,0.77876186
0.7724966,0.7809797
0.7693246,0.7689276
0.70559245,0.7050158
0.69302654,0.6924447
0.7297482,0.72556114
0.74680364,0.7361248
0.7607603,0.7619304
0.7812073,0.7898871
0.79472476,0.7752502
0.76322466,0.7459891
0.6941977,0.68356097
0.59715986,0.59646153
0.48160258,0.47979674
0.38124633,0.3827825
0.30880344,0.3051529
0.25368437,0.24953698
0.22347745,0.22301733
0.21332715,0.21833806
0.22633223,0.22893067
0.28091452,0.27749208
0.4381466,0.42669937
0.61016494,0.6029942
0.73206615,0.72989225
0.77642494,0.7732905
0.7826225,0.77517545
0.78376925,0.7632936
0.7290894,0.6926151
0.7174751,0.67422044
0.7224039,0.70744276
0.7300898,0.72273725
0.7375561,0.7490725
0.76356626,0.793793
0.7922848,0.7915546
0.7692514,0.75947976
0.69456375,0.6852107
0.6105309,0.5933935
0.49551043,0.4742964
0.39695978,0.37795255
0.30485067,0.29924834
0.25534356,0.25601828
0.23140737,0.22936499
0.2193539,0.22219464
0.23011419,0.23261698
0.27749854,0.27831692
0.43970817,0.4249603
0.6163137,0.5967947
0.7294798,0.72173333
0.7652742,0.76338905
0.76834863,0.7636401
0.75412357,0.75331265
0.68238825,0.68532777
0.66528404,0.66852266
0.70037085,0.69703794
0.71422994,0.71077424
0.72440463,0.72983295
0.7438757,0.77369374
0.7799385,0.77621883
0.75688076,0.75232327
0.6869998,0.6847522
0.5968671,0.595027
0.480407,0.4803817
0.38873708,0.3842282
0.3118534,0.30347016
0.25439197,0.25286615
0.23162697,0.22515449
0.22340426,0.21875231
0.23211497,0.22730361
0.28923482,0.27329066
0.44266054,0.4182122
0.6125317,0.5919361
0.7341158,0.7154329
0.7788893,0.76017284
0.7785233,0.7584808
0.7704714,0.74594826
0.7074712,0.68191826
0.6883662,0.6625467
0.707276,0.6839453
0.6990533,0.69131005
0.6990533,0.7006251
0.72130585,0.738472
0.76808023,0.7467543
0.74350965,0.73453295
0.67289674,0.6661837
0.59669626,0.573974
0.48177338,0.46554258
0.39464182,0.37524012
0.32002732,0.29165965
0.27449736,0.24235454
0.23772691,0.21369663
0.21249756,0.20096326
0.21042357,0.19956265
0.23165138,0.22055209
0.30658305,0.2948463
0.38810268,0.38767448
0.48523813,0.4760258
0.55589986,0.53599846
0.5619754,0.5399555
0.5507271,0.5168563
0.5076127,0.47222212
0.4472477,0.42480475
0.42118874,0.41434267
0.4151132,0.41399217
0.42079836,0.43607622
0.4707203,0.5188266
0.563659,0.566614
0.5717109,0.56800413
0.5176166,0.510946
0.43951297,0.43376714
0.37138882,0.36002433
0.3000439,0.2929488
0.22767422,0.22270778
0.18394983,0.18518639
0.14415382,0.15129913
0.12604919,0.1363017
0.12214523,0.13440974
0.13263713,0.1462692
0.16521081,0.1750417
0.19190416,0.21491125
0.2513176,0.27629325
0.3233945,0.34018302
0.36763126,0.37752098
0.3767568,0.3825937
0.37343842,0.3726569
0.31648937,0.33029526
0.2907964,0.30681628
0.3012639,0.3103528
0.29470038,0.33372605
0.35069785,0.4129348
0.45071247,0.47974217
0.47237948,0.5084858
0.45076126,0.47417238
0.39976576,0.4155802
0.32698125,0.3429318
0.2405573,0.26697418
0.17467792,0.19900097
0.13883467,0.14000398
0.12197443,0.1204202
0.118534066,0.12122455
0.13222232,0.13893111
0.20044407,0.19889155
0.37226722,0.3679107
0.54877514,0.549479
0.69248974,0.6860223
0.749146,0.7394155
0.75522155,0.74166125
0.7508052,0.7314115
0.68817097,0.6693968
0.67148155,0.66037005
0.7112288,0.6855962
0.7267226,0.70210075
0.7374097,0.71871275
0.7490484,0.7497505
0.77657133,0.7552722
0.7432169,0.73416674
0.6778011,0.66918695
0.5902059,0.5807696
0.47420946,0.46479797
0.3750732,0.3677442
0.29733554,0.29076108
0.24563244,0.24718039
0.2193051,0.22051792
0.21152157,0.20930967
0.22281866,0.22562972
0.2802557,0.27417362
0.43055826,0.42490724
0.5916943,0.6037158
0.7318466,0.73780775
0.78623366,0.786003
0.7923824,0.7880691
0.78301287,0.77488923
0.7096184,0.7090622
0.68499905,0.6918728
0.68495023,0.7193248
0.705446,0.72479016
0.71440077,0.7336319
0.7268934,0.7587007
0.7841353,0.7773702
0.76620144,0.76160085
0.6955397,0.69307804
0.6058706,0.6014316
0.49211887,0.48669168
0.39268982,0.392136
0.3148546,0.31120253
0.26590866,0.25561467
0.24043529,0.22928496
0.23187098,0.22568661
0.23777571,0.23750304
0.29421237,0.28553253
0.4567148,0.4325393
0.6158501,0.6051512
0.7412649,0.73232365
0.78913724,0.77567494
0.7810121,0.7737097
0.7876976,0.7576978
0.73138297,0.6892576
0.71427876,0.66756034
0.7399717,0.692538
0.7505856,0.7030211
0.750244,0.7237186
0.75722235,0.77036303
0.80980384,0.7837896
0.7858189,0.7646191
0.71286356,0.6932743
0.6186805,0.5991641
0.503294,0.47895372
0.40857407,0.3853276
0.3232481,0.30380386
0.27176458,0.27040303
0.24619363,0.24500127
0.23858091,0.23950696
0.24433926,0.25190064
0.3018251,0.29967967
0.45922798,0.4479089
