true,forecasted
0.2401181,0.24263746
0.21374194,0.21902417
0.20654401,0.20926112
0.21732871,0.22080658
0.26644543,0.27324387
0.41860238,0.43046385
0.6039918,0.6091151
0.72625905,0.7346301
0.77405816,0.78115994
0.7724966,0.7799354
0.7693246,0.7682837
0.70559245,0.6981612
0.69302654,0.68206555
0.7297482,0.71107376
0.74680364,0.72165567
0.7607603,0.732661
0.7812073,0.75645286
0.79472476,0.76953167
0.76322466,0.7447924
0.6941977,0.6738852
0.59715986,0.58895624
0.48160258,0.47675848
0.38124633,0.37949187
0.30880344,0.30236164
0.25368437,0.2577296
0.22347745,0.23043244
0.21332715,0.2230635
0.22633223,0.23230354
0.28091452,0.28751191
0.4381466,0.43830335
0.61016494,0.6119941
0.73206615,0.739439
0.77642494,0.7839923
0.7826225,0.7835279
0.78376925,0.77257127
0.7290894,0.6980796
0.7174751,0.6761941
0.7224039,0.7061708
0.7300898,0.7182196
0.7375561,0.7371051
0.76356626,0.7789753
0.7922848,0.80130506
0.7692514,0.7686321
0.69456375,0.6867552
0.6105309,0.5963413
0.49551043,0.48368528
0.39695978,0.3840447
0.30485067,0.30279374
0.25534356,0.25377333
0.23140737,0.22951508
0.2193539,0.22025707
0.23011419,0.22861789
0.27749854,0.27816418
0.43970817,0.42671007
0.6163137,0.5962659
0.7294798,0.7227608
0.7652742,0.76351786
0.76834863,0.75990933
0.75412357,0.7498817
0.68238825,0.67398876
0.66528404,0.6555785
0.70037085,0.68272763
0.71422994,0.69513893
0.72440463,0.70941186
0.7438757,0.7446868
0.7799385,0.77189565
0.75688076,0.7550042
0.6869998,0.6804168
0.5968671,0.59131217
0.480407,0.4821553
0.38873708,0.38560605
0.3118534,0.30358276
0.25439197,0.2601167
0.23162697,0.23387912
0.22340426,0.2278426
0.23211497,0.23595113
0.28923482,0.28620926
0.44266054,0.4362493
0.6125317,0.60223866
0.7341158,0.73146355
0.7788893,0.7732362
0.7785233,0.76712877
0.7704714,0.7537659
0.7074712,0.67984045
0.6883662,0.6587681
0.707276,0.67876387
0.6990533,0.683737
0.6990533,0.6869468
0.72130585,0.720486
0.76808023,0.757517
0.74350965,0.7422381
0.67289674,0.6689261
0.59669626,0.5775411
0.48177338,0.47276664
0.39464182,0.37869143
0.32002732,0.30148125
0.27449736,0.25118613
0.23772691,0.22291745
0.21249756,0.21050951
0.21042357,0.20604241
0.23165138,0.22962047
0.30658305,0.30185798
0.38810268,0.39524573
0.48523813,0.47958267
0.55589986,0.5407217
0.5619754,0.54643774
0.5507271,0.52367604
0.5076127,0.47334325
0.4472477,0.42469603
0.42118874,0.4108632
0.4151132,0.40942475
0.42079836,0.42978615
0.4707203,0.50569916
0.563659,0.5686348
0.5717109,0.57778794
0.5176166,0.51401466
0.43951297,0.43835098
0.37138882,0.36514038
0.3000439,0.29752797
0.22767422,0.23122194
0.18394983,0.18254198
0.14415382,0.1501457
0.12604919,0.13393955
0.12214523,0.13117033
0.13263713,0.14637367
0.16521081,0.17425703
0.19190416,0.21154332
0.2513176,0.27374882
0.3233945,0.3370138
0.36763126,0.36949706
0.3767568,0.37903136
0.37343842,0.36335748
0.31648937,0.31905684
0.2907964,0.29770803
0.3012639,0.2982396
0.29470038,0.32137024
0.35069785,0.39672542
0.45071247,0.48121244
0.47237948,0.5158592
0.45076126,0.4737341
0.39976576,0.41422322
0.32698125,0.34377342
0.2405573,0.2662996
