true,forecasted
0.2401181,0.23800193
0.21374194,0.20766822
0.20654401,0.20283288
0.21732871,0.21436268
0.26644543,0.25595704
0.41860238,0.40931377
0.6039918,0.5647839
0.72625905,0.700157
0.77405816,0.76273185
0.7724966,0.767516
0.7693246,0.76321036
0.70559245,0.686231
0.69302654,0.6724339
0.7297482,0.71209455
0.74680364,0.693025
0.7607603,0.7228271
0.7812073,0.75586843
0.79472476,0.78543776
0.76322466,0.7589966
0.6941977,0.6734097
0.59715986,0.58202684
0.48160258,0.4661695
0.38124633,0.37498236
0.30880344,0.28574648
0.25368437,0.25374207
0.22347745,0.22832742
0.21332715,0.22300364
0.22633223,0.23981379
0.28091452,0.29153857
0.4381466,0.45432946
0.61016494,0.6137742
0.73206615,0.7456281
0.77642494,0.8004617
0.7826225,0.8041341
0.78376925,0.7981261
0.7290894,0.71531403
0.7174751,0.69905645
0.7224039,0.7335417
0.7300898,0.72587544
0.7375561,0.7519828
0.76356626,0.7899413
0.7922848,0.81635195
0.7692514,0.79342914
0.69456375,0.7123347
0.6105309,0.6175359
0.49551043,0.49648923
0.39695978,0.39811507
0.30485067,0.30305576
0.25534356,0.2597858
0.23140737,0.2316609
0.2193539,0.22519292
0.23011419,0.23495354
0.27749854,0.28235382
0.43970817,0.44431245
0.6163137,0.6077078
0.7294798,0.7273916
0.7652742,0.78597826
0.76834863,0.7895048
0.75412357,0.7712374
0.68238825,0.6972919
0.66528404,0.6884417
0.70037085,0.71977526
0.71422994,0.70473045
0.72440463,0.73258585
0.7438757,0.77268994
0.7799385,0.8041732
0.75688076,0.7837986
0.6869998,0.7068812
0.5968671,0.6158859
0.480407,0.49964613
0.38873708,0.40364257
0.3118534,0.30938646
0.25439197,0.26296654
0.23162697,0.22906664
0.22340426,0.22227927
0.23211497,0.2313307
0.28923482,0.2790049
0.44266054,0.4263451
0.6125317,0.5939128
0.7341158,0.717543
0.7788893,0.7753541
0.7785233,0.7785166
0.7704714,0.7629747
0.7074712,0.69333637
0.6883662,0.6730335
0.707276,0.69477534
0.6990533,0.67260087
0.6990533,0.6924456
0.72130585,0.7220766
0.76808023,0.76580226
0.74350965,0.74857676
0.67289674,0.6731226
0.59669626,0.586448
0.48177338,0.47686473
0.39464182,0.38745868
0.32002732,0.29499674
0.27449736,0.24826595
0.23772691,0.21818843
0.21249756,0.20295866
0.21042357,0.2022811
0.23165138,0.2151486
0.30658305,0.28614998
0.38810268,0.37188607
0.48523813,0.4613676
0.55589986,0.5278332
0.5619754,0.53063655
0.5507271,0.5047633
0.5076127,0.45698428
0.4472477,0.40725642
0.42118874,0.40074942
0.4151132,0.38197508
0.42079836,0.40292028
0.4707203,0.4726241
0.563659,0.5585204
0.5717109,0.57036805
0.5176166,0.4995525
0.43951297,0.4238598
0.37138882,0.35327333
0.3000439,0.28572625
0.22767422,0.22160538
0.18394983,0.18518883
0.14415382,0.14977391
0.12604919,0.1351001
0.12214523,0.13060197
0.13263713,0.12948716
0.16521081,0.17870785
0.19190416,0.1983076
0.2513176,0.25866032
0.3233945,0.34203324
0.36763126,0.37229764
0.3767568,0.3717789
0.37343842,0.36100322
0.31648937,0.31906056
0.2907964,0.30362082
0.3012639,0.28196993
0.29470038,0.2943117
0.35069785,0.37116563
0.45071247,0.47369772
0.47237948,0.4954776
0.45076126,0.45914775
0.39976576,0.411435
0.32698125,0.33529443
0.2405573,0.25594872
0.17467792,0.192398
0.13883467,0.14567025
0.12197443,0.12526578
0.118534066,0.121496536
0.13222232,0.14344677
0.20044407,0.19833416
0.37226722,0.38774508
0.54877514,0.57013077
0.69248974,0.72797394
0.749146,0.7915248
0.75522155,0.79459924
0.7508052,0.78937596
0.68817097,0.70771986
0.67148155,0.70656484
0.7112288,0.7512788
0.7267226,0.7416535
0.7374097,0.75804585
0.7490484,0.78686816
0.77657133,0.8096907
0.7432169,0.7749888
0.6778011,0.70029
0.5902059,0.61324894
0.47420946,0.49148822
0.3750732,0.3973116
0.29733554,0.2987893
0.24563244,0.2552402
0.2193051,0.22454436
0.21152157,0.21707436
0.22281866,0.22831805
0.2802557,0.26501164
0.43055826,0.41948122
0.5916943,0.5777747
0.7318466,0.71843636
0.78623366,0.7878029
0.7923824,0.7962242
0.78301287,0.7883101
0.7096184,0.70632195
0.68499905,0.6829867
0.68495023,0.7174379
0.705446,0.7032903
0.71440077,0.7240681
0.7268934,0.74966335
0.7841353,0.79809386
0.76620144,0.7833024
0.6955397,0.70296293
0.6058706,0.61920303
0.49211887,0.5066589
0.39268982,0.41232127
0.3148546,0.31731725
0.26590866,0.26929715
0.24043529,0.23761642
0.23187098,0.23132901
0.23777571,0.23823316
0.29421237,0.27615273
0.4567148,0.4295975
0.6158501,0.5825812
0.7412649,0.7173622
0.78913724,0.77664095
0.7810121,0.77997273
0.7876976,0.77359575
0.73138297,0.6926569
0.71427876,0.669539
0.7399717,0.6964627
0.7505856,0.6879843
0.750244,0.7090904
0.75722235,0.7506321
0.80980384,0.80108327
0.7858189,0.77067864
0.71286356,0.7029637
0.6186805,0.6206371
0.503294,0.50493443
0.40857407,0.41047984
0.3232481,0.3157626
0.27176458,0.2822611
0.24619363,0.24870405
0.23858091,0.2457796
0.24433926,0.25452912
0.3018251,0.30038404
0.45922798,0.46544915
0.6196076,0.6246615
0.7487312,0.75744843
0.79855555,0.81566054
0.7962375,0.81556106
0.7761077,0.79762185
0.7094232,0.7218368
0.7013957,0.71162736
0.72560024,0.74251425
0.726625,0.72754526
0.7369949,0.73947865
0.744876,0.76398414
0.80631465,0.821216
0.7905036,0.8015851
0.7192075,0.73183036
0.6365167,0.64154726
0.52191097,0.51976866
0.42118874,0.4250739
0.32766446,0.32518935
0.27564415,0.27364168
0.24838962,0.24124189
0.24194808,0.23952231
0.25319636,0.25195754
0.30753464,0.30199096
0.46203396,0.4575404
0.6246828,0.62207437
0.7535624,0.7588027
0.79877514,0.81286854
0.7850625,0.81140596
0.76551825,0.7916943
0.6980773,0.71067905
0.67462915,0.6995004
0.68541384,0.73249084
0.69234335,0.71197164
0.7078616,0.7235289
0.72350186,0.74318457
0.76781183,0.8054206
0.75334275,0.79288626
0.6802655,0.711486
0.5878392,0.6125606
0.4901669,0.49748933
0.3946906,0.4082587
0.3126342,0.31027237
0.25683194,0.24699226
0.22386785,0.21708667
0.20608042,0.20424893
0.2087156,0.20069091
0.22755222,0.2107445
0.3006783,0.2797149
0.3872243,0.35785472
0.47491705,0.45929447
0.52325296,0.5272401
0.5132491,0.53147686
0.48414016,0.50912875
0.45088327,0.45272464
0.40274253,0.41045123
0.3849551,0.40581653
0.3847355,0.3917837
0.40896448,0.41001263
0.47030547,0.46727353
0.55582666,0.55319333
0.560121,0.5685725
0.49873123,0.5041184
0.4253123,0.42666999
0.3628489,0.3519474
0.3018983,0.2844125
0.22281866,0.21186475
0.16869998,0.17115888
0.13910307,0.13985507
0.1254392,0.12158895
0.11807047,0.12124775
0.12968476,0.113907136
0.16194125,0.1576293
0.1873658,0.16947249
0.24555925,0.24594566
0.30958423,0.3219848
0.33993754,0.35969388
0.36026254,0.36965364
0.36040893,0.3483027
0.3103406,0.31288183
0.2928216,0.3045153
0.29762834,0.2823066
0.31685537,0.28577307
0.36826566,0.3339764
0.4585204,0.4431121
0.4794066,0.46550414
0.45405525,0.4350385
0.40574372,0.3925148
0.34559828,0.31725597
0.26512787,0.24122454
0.1863898,0.17377356
0.14727698,0.16162615
