true,forecasted
0.2401181,0.24245352
0.21374194,0.21725184
0.20654401,0.20733006
0.21732871,0.21653652
0.26644543,0.26667824
0.41860238,0.41496393
0.6039918,0.59034324
0.72625905,0.71906024
0.77405816,0.77679807
0.7724966,0.77942044
0.7693246,0.7710415
0.70559245,0.70719576
0.69302654,0.69300616
0.7297482,0.71998936
0.74680364,0.73497003
0.7607603,0.75025076
0.7812073,0.7762056
0.79472476,0.77510005
0.76322466,0.7511865
0.6941977,0.68236846
0.59715986,0.59313804
0.48160258,0.474759
0.38124633,0.37755212
0.30880344,0.2994808
0.25368437,0.25820822
0.22347745,0.2355171
0.21332715,0.22604325
0.22633223,0.23623687
0.28091452,0.29349235
0.4381466,0.4467912
0.61016494,0.62613976
0.73206615,0.74764013
0.77642494,0.7940535
0.7826225,0.7901725
0.78376925,0.7800354
0.7290894,0.712756
0.7174751,0.69328964
0.7224039,0.7217496
0.7300898,0.7356909
0.7375561,0.75840527
0.76356626,0.79482013
0.7922848,0.8073207
0.7692514,0.78199786
0.69456375,0.7034165
0.6105309,0.60500556
0.49551043,0.48737037
0.39695978,0.39032894
0.30485067,0.3106292
0.25534356,0.25697944
0.23140737,0.2356112
0.2193539,0.22655997
0.23011419,0.23395103
0.27749854,0.28891245
0.43970817,0.43930906
0.6163137,0.6148319
0.7294798,0.7397511
0.7652742,0.78556293
0.76834863,0.77597994
0.75412357,0.76142323
0.68238825,0.6877093
0.66528404,0.6754967
0.70037085,0.6998738
0.71422994,0.71501595
0.72440463,0.7250762
0.7438757,0.75459033
0.7799385,0.787757
0.75688076,0.76807916
0.6869998,0.6934722
0.5968671,0.5998589
0.480407,0.48139602
0.38873708,0.38823262
0.3118534,0.3061992
0.25439197,0.2537488
0.23162697,0.23300618
0.22340426,0.22472933
0.23211497,0.23370126
0.28923482,0.28969502
0.44266054,0.43742546
0.6125317,0.6110854
0.7341158,0.7349858
0.7788893,0.7765701
0.7785233,0.7651703
0.7704714,0.7477048
0.7074712,0.67454976
0.6883662,0.6619009
0.707276,0.68913287
0.6990533,0.69684255
0.6990533,0.70381594
0.72130585,0.73058313
0.76808023,0.77267724
0.74350965,0.75873953
0.67289674,0.68570834
0.59669626,0.588831
0.48177338,0.47494787
0.39464182,0.38117835
0.32002732,0.30102652
0.27449736,0.25036144
0.23772691,0.2211833
0.21249756,0.20578407
0.21042357,0.20297855
0.23165138,0.22093117
0.30658305,0.2964225
0.38810268,0.39131024
0.48523813,0.48341957
0.55589986,0.5415521
0.5619754,0.5433155
0.5507271,0.51498616
0.5076127,0.4686661
0.4472477,0.42252278
0.42118874,0.40846136
0.4151132,0.40811205
0.42079836,0.42650986
0.4707203,0.49701625
0.563659,0.57277375
0.5717109,0.57941294
0.5176166,0.5195329
0.43951297,0.439588
0.37138882,0.36832535
0.3000439,0.300132
0.22767422,0.23414713
0.18394983,0.17998898
0.14415382,0.14856824
0.12604919,0.13260347
0.12214523,0.12927508
