true,forecasted
0.3275463,0.32110447
0.32175925,0.30172798
0.3414352,0.3049864
0.40162036,0.37012023
0.5451389,0.5113688
0.7152778,0.68346137
0.8090278,0.79491407
0.8425926,0.86568034
0.8541667,0.8735911
0.8240741,0.84816545
0.7719907,0.8177943
0.7916667,0.83878964
0.7847222,0.838118
0.7824074,0.8226663
0.7708333,0.80883646
0.8032407,0.82563406
0.8263889,0.836357
0.7800926,0.7803468
0.7395833,0.7396449
0.662037,0.66269875
0.5532407,0.5570873
0.44675925,0.45713207
0.3726852,0.38105014
0.3298611,0.33972204
0.30787036,0.30627394
0.30092594,0.2837396
0.3148148,0.29459664
0.3726852,0.3572591
0.5196759,0.49933368
0.6875,0.6585596
0.7928241,0.7678155
0.8483796,0.8167423
0.8518519,0.8174363
0.8310185,0.788411
0.7962963,0.7467063
0.806713,0.7674294
0.7962963,0.7635725
0.7800926,0.7405678
0.7627315,0.7220936
0.7928241,0.7647858
0.8321759,0.7629584
0.7893519,0.7240869
0.7407407,0.7019894
0.6782407,0.62970996
0.5717593,0.53311193
0.46875,0.43232903
0.39467594,0.3616548
0.34837964,0.32274717
0.3263889,0.33080596
0.32407406,0.31575927
0.33912036,0.33124733
0.39814815,0.38728
0.5405093,0.52554744
0.7164352,0.6932394
0.8368056,0.80792165
0.8958333,0.8584111
0.8958333,0.8570317
0.875,0.83284503
0.8263889,0.7731402
0.8391204,0.792184
0.8287037,0.79025763
0.818287,0.7765914
0.8101852,0.77978253
0.8263889,0.80523694
0.8483796,0.8243494
0.7962963,0.78134453
0.7523148,0.75014555
0.6793981,0.67936033
0.5706019,0.5779617
0.46875,0.47872844
0.38078704,0.39684954
0.33912036,0.35075033
0.31828704,0.32517874
0.3125,0.31586185
0.32407406,0.33664918
0.37962964,0.4005412
0.525463,0.5333414
0.6979167,0.69444704
0.8136574,0.80809075
0.8761574,0.85106397
0.8715278,0.83795077
0.8472222,0.8097281
0.8125,0.7704292
0.8148148,0.77695566
0.8032407,0.7631876
0.775463,0.75150776
0.7615741,0.75443894
0.7847222,0.77032536
0.8217593,0.79109025
0.78125,0.74335825
0.7407407,0.7020602
0.6747685,0.63020855
0.5856481,0.5421966
0.5046296,0.45565537
0.41782406,0.37786624
0.36805555,0.33317775
0.34837964,0.3464591
0.33564815,0.32507607
0.33680555,0.3246835
0.36574075,0.35841167
0.4189815,0.40816864
0.4861111,0.48783734
0.5509259,0.55463547
0.6319444,0.62766075
0.6747685,0.6581578
0.6747685,0.6560237
0.6585648,0.64445424
0.6469907,0.6328897
0.6296296,0.62715864
0.6157407,0.6185638
0.6134259,0.6219687
0.6643519,0.6621861
0.6979167,0.7079681
0.6747685,0.6772958
0.6388889,0.6501596
0.5844907,0.5997935
0.5081019,0.5247495
0.4409722,0.4465197
0.3738426,0.3778067
0.33449075,0.32893807
0.3090278,0.30979598
0.2986111,0.29532972
0.2974537,0.29534727
0.32060185,0.3277744
0.36921296,0.37541506
0.41087964,0.42055738
0.4664352,0.47057354
0.5462963,0.53761375
0.5914352,0.5801275
0.6006944,0.5772839
