true,forecasted
0.3275463,0.3126033
0.32175925,0.30821168
0.3414352,0.32549503
0.40162036,0.3791427
0.5451389,0.52023864
0.7152778,0.6817778
0.8090278,0.8010155
0.8425926,0.86160046
0.8541667,0.8634131
0.8240741,0.84241945
0.7719907,0.79329216
0.7916667,0.8185119
0.7847222,0.812241
0.7824074,0.8102136
0.7708333,0.8227179
0.8032407,0.82696277
0.8263889,0.8454034
0.7800926,0.8156577
0.7395833,0.7635013
0.662037,0.68413997
0.5532407,0.56065065
0.44675925,0.45885295
0.3726852,0.37149027
0.3298611,0.33210033
0.30787036,0.30557775
0.30092594,0.29570812
0.3148148,0.30926993
0.3726852,0.37763754
0.5196759,0.5245734
0.6875,0.69848317
0.7928241,0.80363977
0.8483796,0.8574784
0.8518519,0.8572453
0.8310185,0.8268468
0.7962963,0.79208535
0.806713,0.80727285
0.7962963,0.79554147
0.7800926,0.78135663
0.7627315,0.76404524
0.7928241,0.7798886
0.8321759,0.8068442
0.7893519,0.7783681
0.7407407,0.7234775
0.6782407,0.6569656
0.5717593,0.55628353
0.46875,0.45921403
0.39467594,0.3752909
0.34837964,0.33976173
0.3263889,0.3219342
0.32407406,0.32164824
0.33912036,0.34030202
0.39814815,0.39185074
0.5405093,0.5281378
0.7164352,0.6874512
0.8368056,0.8036409
0.8958333,0.8645894
0.8958333,0.862643
0.875,0.83929396
0.8263889,0.79108226
0.8391204,0.80991817
0.8287037,0.7961899
0.818287,0.7807492
0.8101852,0.77783763
0.8263889,0.8042688
0.8483796,0.844565
0.7962963,0.8202445
0.7523148,0.7614603
0.6793981,0.6817117
0.5706019,0.5741483
0.46875,0.47990912
0.38078704,0.39441347
0.33912036,0.35412687
0.31828704,0.33807606
0.3125,0.33778757
0.32407406,0.34933922
0.37962964,0.39857137
0.525463,0.5212015
0.6979167,0.6657457
0.8136574,0.76530856
0.8761574,0.8241637
0.8715278,0.8336595
0.8472222,0.81257164
0.8125,0.78389484
0.8148148,0.78459865
0.8032407,0.7616182
0.775463,0.7407585
0.7615741,0.7382606
0.7847222,0.782258
0.8217593,0.80675834
0.78125,0.7686232
0.7407407,0.71331304
0.6747685,0.64861095
0.5856481,0.56314284
0.5046296,0.4840059
0.41782406,0.40277466
0.36805555,0.36272386
0.34837964,0.3425325
0.33564815,0.3327291
0.33680555,0.3340113
0.36574075,0.35965407
0.4189815,0.4166268
0.4861111,0.4996853
0.5509259,0.57755524
0.6319444,0.65954834
0.6747685,0.7070621
0.6747685,0.7054851
0.6585648,0.688587
0.6469907,0.67317325
0.6296296,0.65050334
0.6157407,0.6210517
0.6134259,0.6288299
0.6643519,0.70556563
0.6979167,0.7353179
0.6747685,0.71332866
0.6388889,0.67023563
0.5844907,0.6154225
0.5081019,0.53090584
0.4409722,0.44590178
0.3738426,0.36869425
0.33449075,0.33382306
0.3090278,0.30168322
0.2986111,0.2909845
0.2974537,0.29674324
0.32060185,0.32895714
0.36921296,0.36761123
0.41087964,0.40656722
0.4664352,0.45858082
0.5462963,0.53200966
0.5914352,0.58548665
0.6006944,0.59001875
0.5949074,0.5887638
0.5914352,0.5769203
0.5833333,0.5646643
0.5775463,0.55427957
0.5833333,0.5643815
0.650463,0.6414257
0.7037037,0.69991523
0.6898148,0.69659066
0.6666667,0.65861285
0.6006944,0.5988442
0.4976852,0.50865287
0.40625,0.42129898
0.33680555,0.34604535
0.2997685,0.30659482
0.28703704,0.27624416
0.27546296,0.27480584
0.29166666,0.2927593
0.35185185,0.351222
0.4988426,0.48868418
0.6631944,0.6360833
0.7673611,0.7483154
0.8321759,0.8212014
0.8333333,0.8283888
0.818287,0.81269705
0.7905093,0.7738164
0.8113426,0.7924421
0.8043981,0.78481215
0.7928241,0.7628753
0.7743056,0.7260395
0.7835648,0.74991703
0.8136574,0.80911547
0.7662037,0.7947169
0.712963,0.74156344
0.6388889,0.6584146
0.5358796,0.5478943
0.43055555,0.44543892
0.34837964,0.35682836
0.2997685,0.31698045
0.2847222,0.30538434
0.27083334,0.3007996
0.2847222,0.31640616
0.3402778,0.3681589
0.49305555,0.49671376
0.6574074,0.6535291
0.7650463,0.77587146
0.8298611,0.83468
0.8217593,0.8303499
0.8078704,0.8040871
0.7743056,0.75375825
0.7777778,0.7725583
0.7638889,0.75671506
0.7592593,0.7398207
0.744213,0.72707117
0.7650463,0.74081105
0.8240741,0.7939207
0.7708333,0.7772953
0.7175926,0.7223552
0.6458333,0.6410327
0.5381944,0.53527653
0.42824075,0.44022077
0.34953704,0.35794312
0.3090278,0.31980932
0.28819445,0.29149818
0.2800926,0.28707856
0.2835648,0.30533075
0.33912036,0.35436928
0.4965278,0.48376238
0.6597222,0.6425443
0.7731481,0.761404
0.8217593,0.81723815
0.818287,0.8156128
0.7928241,0.79301244
0.7465278,0.7368564
0.7546296,0.7550457
0.7395833,0.7441866
0.7291667,0.7279222
0.7256944,0.7207941
0.7268519,0.73545235
0.7824074,0.78395486
0.7488426,0.76867974
0.712963,0.719204
0.6400463,0.6440613
0.5358796,0.54090965
0.4340278,0.4502505
0.3611111,0.36409703
0.31712964,0.3263239
0.30208334,0.30239904
0.2974537,0.30270636
0.3148148,0.32278737
0.375,0.3701388
0.5219907,0.5072465
0.6828704,0.6655455
0.7881944,0.7768686
0.8530093,0.83408755
0.849537,0.830063
0.8194444,0.80755055
0.7673611,0.759818
0.7858796,0.7770811
0.7789352,0.76784295
0.7685185,0.7516148
0.7569444,0.7448692
0.7627315,0.76838785
0.8148148,0.7992344
0.7743056,0.776421
0.7303241,0.72924006
0.6574074,0.64992166
0.5428241,0.5444491
0.4965278,0.45392677
0.35532406,0.36991847
0.3113426,0.33161813
0.2939815,0.31616783
0.28703704,0.31503624
0.30555555,0.33089983
0.3599537,0.38822526
0.5104167,0.5224795
0.6678241,0.6747971
0.7766204,0.79016894
0.8298611,0.8459874
0.8321759,0.84688675
0.8171296,0.8260696
0.7800926,0.7891911
0.7974537,0.7954462
0.7847222,0.77538717
0.7615741,0.74985373
0.7511574,0.733447
0.7592593,0.75882125
0.7974537,0.79088265
0.7592593,0.7600213
0.7083333,0.70482
0.6354167,0.6367476
0.5324074,0.5431335
0.43287036,0.45609868
0.35416666,0.37528762
0.3101852,0.33092412
0.29282406,0.30003333
0.28125,0.29085022
0.2835648,0.2961262
0.3090278,0.3258285
0.36689815,0.37298894
0.4212963,0.43481636
0.5023148,0.50900704
0.5844907,0.5808416
0.6145833,0.62391603
0.6099537,0.623966
0.5972222,0.61270124
0.5914352,0.5999163
0.5810185,0.58155507
0.5659722,0.5654932
0.5671296,0.5694824
0.6064815,0.62300664
0.6701389,0.6675914
0.6435185,0.6646084
0.6203704,0.62161523
0.5636574,0.562184
0.4722222,0.48483497
0.39583334,0.4096095
0.3263889,0.33616224
0.28587964,0.297231
0.27083334,0.26465118
0.25925925,0.25388893
0.2627315,0.26184925
0.28819445,0.2864991
0.33217594,0.31587386
0.3738426,0.35354578
0.4409722,0.4170693
0.5150463,0.49033588
0.5543981,0.53585124
0.5613426,0.54305315
0.5555556,0.5351166
0.5462963,0.52665895
0.537037,0.5201497
0.537037,0.51168257
0.5451389,0.5210391
0.5925926,0.5842169
0.6689815,0.6455279
0.6574074,0.65511113
0.6319444,0.61954606
0.5810185,0.5572851
0.4837963,0.46744514
0.4039352,0.38538647
0.33564815,0.31016022
0.2974537,0.2729173
0.28819445,0.2687897
0.2835648,0.2720508
0.2974537,0.29356676
0.35416666,0.3488764
0.5069444,0.49100083
0.662037,0.64684135
0.7766204,0.7720265
0.8425926,0.8406994
0.8425926,0.83979046
0.8125,0.8162622
0.7662037,0.7646777
0.787037,0.7866809
0.787037,0.7766014
0.7743056,0.7522768
0.7627315,0.72073746
0.7604167,0.7388603
0.8194444,0.8036136
0.7743056,0.8042329
0.7268519,0.7574319
0.6516204,0.66991866
0.5358796,0.55228263
0.43171296,0.44997922
0.35185185,0.36035845
0.3090278,0.3239991
0.2939815,0.31345043
0.28703704,0.31365424
0.30671296,0.33566138
0.36574075,0.39077553
0.5150463,0.53022987
0.681713,0.686928
0.806713,0.8019266
0.8564815,0.8578319
0.8414352,0.85207397
0.8159722,0.8242993
0.7766204,0.7759859
0.7962963,0.79164976
0.7835648,0.7767888
0.775463,0.7571498
0.7638889,0.74283284
0.7662037,0.7759469
0.8333333,0.8265844
0.8009259,0.807802
0.75,0.74911416
0.6898148,0.6660596
0.5787037,0.5576471
0.4849537,0.46450126
0.41203704,0.38367143
0.38078704,0.3514005
0.36574075,0.32513046
0.36574075,0.324421
0.38078704,0.34560403
0.43287036,0.40685084
0.5844907,0.5457628
0.7337963,0.7032848
0.8599537,0.8139187
0.9050926,0.8731519
0.8854167,0.86586314
0.837963,0.8392645
0.7824074,0.79149014
0.7951389,0.80551535
0.7847222,0.7930146
0.7708333,0.7660345
0.7592593,0.74376917
0.7534722,0.78674847
0.8333333,0.8505152
0.8136574,0.8359037
0.7731481,0.778293
0.7094907,0.6982297
0.6041667,0.5897485
0.5046296,0.49543986
0.43055555,0.40989986
0.39930555,0.37591273
0.3888889,0.35390496
0.3923611,0.35383582
0.40625,0.37341052
0.45949075,0.44051635
0.6099537,0.58783007
0.7569444,0.74667305
0.8680556,0.8524766
0.9236111,0.9105019
0.9131944,0.9015008
0.8634259,0.8727387
0.8043981,0.8329523
0.8136574,0.844909
0.7951389,0.8269369
0.7777778,0.7951432
0.7627315,0.75902414
0.7581019,0.813872
0.8449074,0.87300295
0.8217593,0.8471756
0.7685185,0.7791351
0.7094907,0.70629346
0.6099537,0.6072754
0.5092593,0.5134437
0.43171296,0.43145427
0.39699075,0.39593673
0.37962964,0.3919471
0.375,0.38700342
0.3900463,0.39462236
0.4513889,0.4136051
0.6006944,0.46021146
0.744213,0.5171416
0.8726852,0.5916387
0.9444444,0.66052663
0.9131944,0.6980655
0.8761574,0.7024198
0.8217593,0.6878293
0.8263889,0.67671794
0.8206019,0.6555351
0.8055556,0.6480026
0.8032407,0.6376802
0.7928241,0.69488734
0.837963,0.7518373
0.8055556,0.7324786
0.7592593,0.6760923
0.6840278,0.6206683
0.59375,0.5520888
0.4988426,0.4825101
0.4212963,0.412261
0.3761574,0.37725344
0.35416666,0.3920908
0.34953704,0.38623148
0.3611111,0.38618097
0.3935185,0.40706015
0.4537037,0.45411718
0.5115741,0.52155364
0.6122685,0.6003784
0.6793981,0.67539185
0.6979167,0.7159729
0.6875,0.7110769
0.6666667,0.69977957
0.6574074,0.6792535
