true,forecasted
0.3275463,0.30774444
0.32175925,0.29740953
0.3414352,0.3171293
0.40162036,0.37302622
0.5451389,0.50685996
0.7152778,0.6749126
0.8090278,0.78101814
0.8425926,0.8446951
0.8541667,0.8477013
0.8240741,0.8324167
0.7719907,0.7794724
0.7916667,0.8028358
0.7847222,0.7943932
0.7824074,0.78264207
0.7708333,0.8019877
0.8032407,0.83032125
0.8263889,0.8372445
0.7800926,0.7850146
0.7395833,0.7335218
0.662037,0.6613986
0.5532407,0.55516684
0.44675925,0.44998765
0.3726852,0.36607665
0.3298611,0.32033333
0.30787036,0.29628387
0.30092594,0.28707945
0.3148148,0.30546647
0.3726852,0.36897147
0.5196759,0.50930136
0.6875,0.68320644
0.7928241,0.7820661
0.8483796,0.83147424
0.8518519,0.8278447
0.8310185,0.8023162
0.7962963,0.7629085
0.806713,0.7785681
0.7962963,0.7654043
0.7800926,0.75112116
0.7627315,0.76519257
0.7928241,0.794881
0.8321759,0.79978114
0.7893519,0.7609682
0.7407407,0.72236097
0.6782407,0.6529335
0.5717593,0.5479164
0.46875,0.44569534
0.39467594,0.37081617
0.34837964,0.3338929
0.3263889,0.32378727
0.32407406,0.32115927
0.33912036,0.33331004
0.39814815,0.38719955
0.5405093,0.5181292
0.7164352,0.68475074
0.8368056,0.7908718
0.8958333,0.8522647
0.8958333,0.8505383
0.875,0.829053
0.8263889,0.7832553
0.8391204,0.7994257
0.8287037,0.7839633
0.818287,0.7675817
0.8101852,0.7839741
0.8263889,0.81481445
0.8483796,0.83112556
0.7962963,0.8035823
0.7523148,0.75642705
0.6793981,0.6811987
0.5706019,0.5722959
0.46875,0.47356552
0.38078704,0.38981634
0.33912036,0.3498442
0.31828704,0.33474755
0.3125,0.33091637
0.32407406,0.33441442
0.37962964,0.38899294
0.525463,0.50524735
0.6979167,0.66103387
0.8136574,0.7613245
0.8761574,0.81764656
0.8715278,0.818318
0.8472222,0.7918153
0.8125,0.76225865
0.8148148,0.76638436
0.8032407,0.7429669
0.775463,0.72395307
0.7615741,0.7400068
0.7847222,0.7794879
0.8217593,0.79072374
0.78125,0.7554616
0.7407407,0.7038
0.6747685,0.6404985
0.5856481,0.54909265
0.5046296,0.4614445
0.41782406,0.38776088
0.36805555,0.3500317
0.34837964,0.34092787
0.33564815,0.3252477
0.33680555,0.32550538
0.36574075,0.36751077
0.4189815,0.41954973
0.4861111,0.49386856
0.5509259,0.56727016
0.6319444,0.64497465
0.6747685,0.6801896
0.6747685,0.6832463
0.6585648,0.6690863
0.6469907,0.66404617
0.6296296,0.64942783
0.6157407,0.6271876
0.6134259,0.6303237
0.6643519,0.657513
0.6979167,0.6848486
0.6747685,0.6838864
0.6388889,0.64902055
0.5844907,0.59418446
0.5081019,0.5088991
0.4409722,0.42698878
0.3738426,0.35612977
0.33449075,0.3226504
0.3090278,0.2894051
0.2986111,0.281085
0.2974537,0.27905327
0.32060185,0.30374062
0.36921296,0.3256252
0.41087964,0.3686053
0.4664352,0.43064514
0.5462963,0.5166072
0.5914352,0.5593766
0.6006944,0.56474185
0.5949074,0.5553159
0.5914352,0.55389285
0.5833333,0.5453688
0.5775463,0.5399724
0.5833333,0.54820156
0.650463,0.5879473
0.7037037,0.64794433
0.6898148,0.6662662
0.6666667,0.64249825
0.6006944,0.5834028
0.4976852,0.4859668
0.40625,0.39234865
0.33680555,0.31794745
0.2997685,0.28562468
0.28703704,0.27971494
0.27546296,0.2785092
0.29166666,0.29361892
0.35185185,0.35194057
0.4988426,0.4803845
0.6631944,0.64214706
0.7673611,0.76144874
0.8321759,0.8365081
0.8333333,0.83815044
0.818287,0.8206067
0.7905093,0.7748099
0.8113426,0.79388726
0.8043981,0.78117955
0.7928241,0.75872076
0.7743056,0.74210274
0.7835648,0.7483424
0.8136574,0.783976
0.7662037,0.7680851
0.712963,0.7214685
0.6388889,0.6445786
0.5358796,0.5322293
0.43055555,0.42651367
0.34837964,0.34570736
0.2997685,0.3066872
0.2847222,0.29773784
0.27083334,0.2924918
0.2847222,0.3023587
0.3402778,0.359053
0.49305555,0.49266058
0.6574074,0.6588066
0.7650463,0.76306254
0.8298611,0.81787
0.8217593,0.8121674
0.8078704,0.7846272
0.7743056,0.7447572
0.7777778,0.760399
0.7638889,0.7434419
0.7592593,0.72458196
0.744213,0.74119854
0.7650463,0.7795521
0.8240741,0.7920436
0.7708333,0.7573652
0.7175926,0.71534127
0.6458333,0.6425701
0.5381944,0.5332701
0.42824075,0.43060523
0.34953704,0.352467
0.3090278,0.31350744
0.28819445,0.289175
0.2800926,0.28420317
0.2835648,0.29192704
0.33912036,0.34702322
0.4965278,0.47465548
0.6597222,0.6385255
0.7731481,0.75496745
0.8217593,0.81230867
0.818287,0.8094765
0.7928241,0.78183126
0.7465278,0.7377281
0.7546296,0.7526132
0.7395833,0.73379076
0.7291667,0.71025145
0.7256944,0.7119919
0.7268519,0.7396953
0.7824074,0.7778348
0.7488426,0.7619574
0.712963,0.72320867
0.6400463,0.6559702
0.5358796,0.54591584
0.4340278,0.4441446
0.3611111,0.36499178
0.31712964,0.3265307
0.30208334,0.307039
0.2974537,0.30291733
0.3148148,0.31389707
0.375,0.36635572
0.5219907,0.49962625
0.6828704,0.6622556
0.7881944,0.7703897
0.8530093,0.8311869
0.849537,0.8263437
0.8194444,0.8029377
0.7673611,0.75995713
0.7858796,0.7771553
0.7789352,0.76121104
0.7685185,0.74072146
0.7569444,0.7388581
0.7627315,0.76061743
0.8148148,0.7865519
0.7743056,0.76693237
0.7303241,0.7251932
0.6574074,0.6539755
0.5428241,0.544789
0.4965278,0.44113052
0.35532406,0.36037415
0.3113426,0.3241279
0.2939815,0.31406063
0.28703704,0.30960792
0.30555555,0.31929633
0.3599537,0.3772928
0.5104167,0.5020592
0.6678241,0.6630713
0.7766204,0.770849
0.8298611,0.82912195
0.8321759,0.82615376
0.8171296,0.8047121
0.7800926,0.77007395
0.7974537,0.77939945
0.7847222,0.75799084
0.7615741,0.7350794
0.7511574,0.7345689
0.7592593,0.7520606
0.7974537,0.76969844
0.7592593,0.73874164
0.7083333,0.6859688
0.6354167,0.6203751
0.5324074,0.5247692
0.43287036,0.43093902
0.35416666,0.35403693
0.3101852,0.31592256
0.29282406,0.29863217
0.28125,0.286827
0.2835648,0.28900462
0.3090278,0.31742656
0.36689815,0.3577665
0.4212963,0.4248936
0.5023148,0.49815553
0.5844907,0.57268643
0.6145833,0.60554695
0.6099537,0.61002016
0.5972222,0.59438294
0.5914352,0.5888069
0.5810185,0.5713094
0.5659722,0.55125797
0.5671296,0.56187975
0.6064815,0.60808647
0.6701389,0.644031
0.6435185,0.64009464
0.6203704,0.60298723
0.5636574,0.55361897
0.4722222,0.47544134
0.39583334,0.3977932
0.3263889,0.32681912
0.28587964,0.2917251
0.27083334,0.26282012
0.25925925,0.25287724
0.2627315,0.25267076
0.28819445,0.27629212
0.33217594,0.30192733
0.3738426,0.34253475
0.4409722,0.40467897
0.5150463,0.48843235
0.5543981,0.53005946
0.5613426,0.5379409
0.5555556,0.52481186
0.5462963,0.5224416
0.537037,0.5145488
0.537037,0.5059617
0.5451389,0.5147666
0.5925926,0.5585636
0.6689815,0.61648935
0.6574074,0.6340517
0.6319444,0.6149235
0.5810185,0.56083846
0.4837963,0.4647223
0.4039352,0.37306374
0.33564815,0.2988966
0.2974537,0.2660558
0.28819445,0.26904947
0.2835648,0.27465352
0.2974537,0.29409537
0.35416666,0.34931362
0.5069444,0.48341474
0.662037,0.64567757
0.7766204,0.7703259
0.8425926,0.8453969
0.8425926,0.84255785
0.8125,0.8212614
0.7662037,0.768334
0.787037,0.78666353
0.787037,0.77035713
0.7743056,0.74456185
0.7627315,0.72368884
0.7604167,0.73637474
0.8194444,0.7924553
0.7743056,0.78768706
0.7268519,0.74261284
0.6516204,0.65897524
0.5358796,0.5413257
0.43171296,0.43766496
0.35185185,0.35612983
0.3090278,0.3201617
0.2939815,0.30603713
0.28703704,0.30103013
0.30671296,0.31664395
0.36574075,0.37656567
0.5150463,0.5137643
0.681713,0.67677414
0.806713,0.78060186
0.8564815,0.836002
0.8414352,0.82739836
0.8159722,0.79565126
0.7766204,0.7510423
0.7962963,0.7644222
0.7835648,0.7460176
0.775463,0.723132
0.7638889,0.7302762
0.7662037,0.7805637
0.8333333,0.8114256
0.8009259,0.7776586
0.75,0.7290411
0.6898148,0.6550449
0.5787037,0.5516095
0.4849537,0.4514773
0.41203704,0.3748858
0.38078704,0.3372544
0.36574075,0.32006446
0.36574075,0.31584588
0.38078704,0.33424276
0.43287036,0.39442948
0.5844907,0.5241224
0.7337963,0.6862519
0.8599537,0.78951645
0.9050926,0.84836024
0.8854167,0.8417427
0.837963,0.81198823
0.7824074,0.7675796
0.7951389,0.7821572
0.7847222,0.7620208
0.7708333,0.73348063
0.7592593,0.7242011
0.7534722,0.76420265
0.8333333,0.8175775
0.8136574,0.80729485
0.7731481,0.7652693
0.7094907,0.6884065
0.6041667,0.57781875
0.5046296,0.47350267
0.43055555,0.39530444
0.39930555,0.35873672
0.3888889,0.3574353
0.3923611,0.35195675
0.40625,0.36348116
0.45949075,0.42788675
0.6099537,0.5592873
0.7569444,0.7323344
0.8680556,0.83823234
0.9236111,0.90280986
0.9131944,0.894996
0.8634259,0.8643139
0.8043981,0.8256573
0.8136574,0.83256656
0.7951389,0.80945
0.7777778,0.7770061
0.7627315,0.7633798
0.7581019,0.79519105
0.8449074,0.8365323
0.8217593,0.8221514
0.7685185,0.77474046
0.7094907,0.70012707
0.6099537,0.5979073
0.5092593,0.49746865
0.43171296,0.41657335
0.39699075,0.37935033
0.37962964,0.37772718
0.375,0.36746147
0.3900463,0.36505735
0.4513889,0.4073644
0.6006944,0.4640425
0.744213,0.5588857
0.8726852,0.63360405
0.9444444,0.7013898
0.9131944,0.72853214
0.8761574,0.72385037
0.8217593,0.71520334
0.8263889,0.70658267
0.8206019,0.68644345
0.8055556,0.6675935
0.8032407,0.6770538
0.7928241,0.7195276
0.837963,0.75526303
0.8055556,0.73889995
0.7592593,0.68603027
0.6840278,0.6369719
0.59375,0.55738604
0.4988426,0.48154354
0.4212963,0.401891
0.3761574,0.36498088
0.35416666,0.371773
0.34953704,0.3567982
0.3611111,0.3569715
0.3935185,0.3906949
0.4537037,0.4325554
0.5115741,0.5062644
0.6122685,0.58850074
0.6793981,0.6655072
0.6979167,0.6978205
0.6875,0.69601685
0.6666667,0.6810702
0.6574074,0.6747718
0.6435185,0.6575746
0.625,0.6333293
0.619213,0.6267041
0.6412037,0.654615
0.7199074,0.71094745
0.712963,0.7185612
0.6909722,0.6786519
0.6342593,0.6208863
0.5509259,0.535333
0.47800925,0.45992142
0.41550925,0.38795084
0.38078704,0.35488534
0.36458334,0.3469252
0.3587963,0.3426042
0.3587963,0.34336442
0.3877315,0.39470667
0.4409722,0.42248002
0.4861111,0.48133755
0.5821759,0.5504668
0.6493056,0.6386994
0.6516204,0.675906
0.6388889,0.6750533
0.6319444,0.6661701
0.6238426,0.6575809
0.6122685,0.64573526
0.6122685,0.6208892
0.6030093,0.6005395
0.630787,0.6206572
0.7314815,0.7127937
0.7384259,0.7584863
0.7152778,0.71708786
0.6597222,0.64444673
0.5648148,0.53752625
0.4861111,0.44559574
0.41782406,0.36691898
0.38425925,0.34370142
0.38078704,0.34486425
0.39583334,0.34273806
0.4039352,0.3446077
0.44675925,0.39000726
0.5914352,0.44487655
0.7199074,0.54253495
0.849537,0.6312735
0.9027778,0.7108852
0.8888889,0.73228484
0.8553241,0.7128043
0.8136574,0.70050555
0.8310185,0.6942816
0.8298611,0.6753917
0.8171296,0.65415776
0.7986111,0.6357914
0.787037,0.6781528
0.8541667,0.76467174
0.8425926,0.777395
0.7974537,0.7227769
0.7141204,0.6573203
0.6018519,0.56498003
0.5034722,0.4765699
0.4212963,0.39894205
0.3877315,0.3703129
0.375,0.38219464
0.36805555,0.38482594
0.38657406,0.39882004
0.44212964,0.47728446
0.587963,0.6076222
0.7141204,0.7689862
0.8402778,0.85018533
0.8946759,0.9036135
0.8900463,0.8993421
0.8680556,0.8694938
0.8194444,0.8513446
0.8344907,0.8495802
0.8275463,0.8224112
0.8090278,0.7894144
0.7916667,0.79235137
0.7789352,0.85527456
0.8622685,0.87773234
0.8611111,0.83505225
0.8032407,0.7844852
0.7233796,0.71127635
0.6122685,0.6090647
0.5138889,0.51548743
0.44675925,0.44339228
0.40046296,0.41136518
0.3912037,0.36913186
0.38194445,0.37300974
0.40162036,0.38084108
0.4548611,0.45749062
0.6064815,0.57441884
0.744213,0.7399688
0.8726852,0.83264804
0.9363426,0.8971344
0.9270833,0.89688355
0.900463,0.8680623
0.8622685,0.845898
0.8657407,0.84590375
0.8668981,0.81698143
0.8518519,0.77725625
0.8344907,0.7609267
0.818287,0.8124982
0.8923611,0.86101854
0.875,0.8410506
0.8252315,0.7825682
0.7430556,0.70803255
0.6354167,0.6028638
0.5277778,0.50726783
0.4537037,0.43190747
0.40625,0.40060103
0.3912037,0.37574914
0.38078704,0.3783389
0.3935185,0.3864562
0.4513889,0.4600489
0.6053241,0.5938396
0.7418981,0.78315115
0.8645833,0.8897407
0.9143519,0.9575618
0.912037,0.95239186
0.8900463,0.9253468
0.8518519,0.8992872
0.869213,0.90407354
0.8553241,0.87602663
0.8414352,0.83648264
0.837963,0.8157831
0.8229167,0.83749086
0.8877315,0.8737815
0.8611111,0.8568574
0.8043981,0.8007725
0.7291667,0.71402276
0.6215278,0.5961013
0.5150463,0.49573535
0.4340278,0.4127004
0.3912037,0.3800617
0.36805555,0.35780483
0.3599537,0.35731378
0.3773148,0.36429608
0.4363426,0.44124722
0.5729167,0.57057804
0.6979167,0.73834145
0.8229167,0.8482448
0.8715278,0.9103793
0.8553241,0.90512156
0.8287037,0.88053894
0.7962963,0.8557035
0.7986111,0.8563948
0.7858796,0.8305025
0.7650463,0.7886002
0.7511574,0.778513
0.7372685,0.8203147
0.8032407,0.8551443
0.7951389,0.81852436
0.7511574,0.76911044
0.6805556,0.7011776
0.5787037,0.5994309
0.4849537,0.5058557
0.4074074,0.42718166
0.36574075,0.38441718
0.3460648,0.34096962
0.33912036,0.3319914
0.3472222,0.31882966
0.37962964,0.35805717
0.4363426,0.385712
0.4976852,0.4599204
0.6030093,0.5451814
0.662037,0.6304398
0.6574074,0.6586541
0.6377315,0.64944607
0.6168981,0.6434611
0.6076389,0.6233238
0.5925926,0.59754705
0.5787037,0.5629716
0.5775463,0.57042646
0.5868056,0.63317955
0.6678241,0.7003444
0.6898148,0.7143316
0.6585648,0.6764689
0.6030093,0.6244561
0.5185185,0.53829384
0.44791666,0.4690389
0.38541666,0.39019275
0.3472222,0.35061777
0.3298611,0.32014075
0.32291666,0.31124148
0.33217594,0.30295283
0.3599537,0.3465286
0.39814815,0.36870003
0.4375,0.42368236
0.5324074,0.4968779
0.5960648,0.5833937
0.6099537,0.61581
0.599537,0.61049324
0.5798611,0.6083209
0.5636574,0.59087634
0.5520833,0.5735551
0.5428241,0.54107684
0.5509259,0.5342148
0.5706019,0.5892423
0.6574074,0.671231
0.6851852,0.7020019
0.6689815,0.6656706
0.5983796,0.6064503
0.5011574,0.51090944
0.41666666,0.4255372
0.35300925,0.3470341
0.3252315,0.31679323
0.3125,0.3212851
0.3125,0.3262166
0.33449075,0.33038682
0.39467594,0.3737496
0.5439815,0.44958797
0.6909722,0.55621004
0.8310185,0.65028155
0.8796296,0.7241454
0.8506944,0.74017984
0.8136574,0.72686166
0.7731481,0.7019015
0.7847222,0.6994757
0.7673611,0.680271
0.7476852,0.6538817
0.7314815,0.6425865
0.7118056,0.68221045
0.7777778,0.7441081
0.775463,0.7503145
0.7303241,0.71339536
0.6539352,0.64800465
0.5497685,0.54510677
0.44675925,0.45245767
0.3738426,0.36970174
0.33217594,0.33267277
0.3101852,0.32029408
0.30671296,0.32103354
0.32060185,0.33303648
0.3715278,0.4002424
0.5115741,0.53403306
0.6377315,0.6954835
0.7708333,0.7853167
0.8206019,0.83444154
0.8101852,0.8222912
0.787037,0.7885379
0.7430556,0.767183
0.7569444,0.77155274
0.7430556,0.7456807
0.7256944,0.70803213
0.7037037,0.7009628
0.6863426,0.75385684
0.7523148,0.7833875
0.7581019,0.7682973
0.7210648,0.72833073
0.650463,0.64882207
0.5462963,0.53896564
0.44907406,0.43563497
0.375,0.3616417
0.33912036,0.33020607
0.31712964,0.3046284
0.3148148,0.30034512
0.3298611,0.307065
0.38425925,0.36141264
0.525463,0.47921267
0.6655093,0.6322158
0.7881944,0.7454628
0.8449074,0.8044107
0.8321759,0.8016569
0.7939815,0.7768081
0.7592593,0.74341476
0.7685185,0.756277
0.7604167,0.7342291
0.7534722,0.70264995
0.744213,0.6803477
0.7210648,0.69470716
0.78125,0.7480586
0.7708333,0.75116396
0.7337963,0.7153513
0.662037,0.64438295
0.5613426,0.5316676
0.4675926,0.4288173
0.3888889,0.34538448
0.3449074,0.30753398
0.32407406,0.30568385
0.3136574,0.29772106
0.32291666,0.30259764
0.37962964,0.36698112
0.5185185,0.49384484
0.650463,0.6430492
0.7662037,0.76729614
0.8263889,0.8284686
0.8217593,0.8195031
0.806713,0.79319125
0.7650463,0.75411814
0.7824074,0.7707877
0.7731481,0.75340265
0.755787,0.71890134
0.7465278,0.6757027
0.7175926,0.6648435
0.7592593,0.7372177
0.7546296,0.7620716
0.712963,0.72627616
0.6412037,0.65168905
0.5393519,0.5371572
0.4398148,0.43159255
0.36921296,0.3465926
0.32060185,0.3043128
0.2951389,0.29733998
0.28587964,0.29007888
0.30555555,0.29457158
0.3587963,0.3600899
0.4849537,0.4668927
0.6145833,0.6099482
0.744213,0.74188364
0.7986111,0.80879253
0.7986111,0.8058941
0.7743056,0.7807911
0.7384259,0.74844414
0.7592593,0.7598194
0.7407407,0.73761165
0.7314815,0.7049769
0.7118056,0.66288054
0.6875,0.65160716
0.7314815,0.72791094
0.7303241,0.74322
0.6886574,0.6886791
0.6145833,0.6238094
0.5219907,0.52506876
0.4363426,0.42538393
0.3564815,0.3418957
0.30208334,0.2980478
0.2800926,0.28261262
0.2685185,0.26742798
0.27083334,0.25970024
0.2939815,0.28379658
0.3402778,0.30617258
0.39467594,0.37091297
0.48958334,0.46945396
0.5625,0.5471428
