true,forecasted
0.3275463,0.28752875
0.32175925,0.276758
0.3414352,0.29889715
0.40162036,0.39123836
0.5451389,0.5194575
0.7152778,0.70359844
0.8090278,0.80927414
0.8425926,0.87249166
0.8541667,0.86312306
0.8240741,0.8475556
0.7719907,0.82157564
0.7916667,0.8303431
0.7847222,0.83149165
0.7824074,0.81814307
0.7708333,0.8278374
0.8032407,0.8396119
0.8263889,0.83788663
0.7800926,0.794881
0.7395833,0.7352165
0.662037,0.658393
0.5532407,0.5460886
0.44675925,0.44104442
0.3726852,0.35682824
0.3298611,0.30848187
0.30787036,0.2951385
0.30092594,0.28470728
0.3148148,0.2942621
0.3726852,0.37127283
0.5196759,0.50598985
0.6875,0.6670794
0.7928241,0.7738004
0.8483796,0.829469
0.8518519,0.8336769
0.8310185,0.8179271
0.7962963,0.7783091
0.806713,0.7807696
0.7962963,0.77814096
0.7800926,0.7702814
0.7627315,0.76557
0.7928241,0.8013893
0.8321759,0.81124157
0.7893519,0.7818834
0.7407407,0.7242737
0.6782407,0.64257324
0.5717593,0.5453255
0.46875,0.44300222
0.39467594,0.35057476
0.34837964,0.30845055
0.3263889,0.32636553
0.32407406,0.302867
0.33912036,0.31247437
0.39814815,0.39481667
0.5405093,0.52403367
0.7164352,0.70617753
0.8368056,0.8230346
0.8958333,0.8883206
0.8958333,0.87252843
0.875,0.8533979
0.8263889,0.81647503
0.8391204,0.81615645
0.8287037,0.82374233
0.818287,0.8076393
0.8101852,0.79849607
0.8263889,0.82325995
0.8483796,0.837809
0.7962963,0.7916666
0.7523148,0.7537396
0.6793981,0.67383873
0.5706019,0.5810134
0.46875,0.4733878
0.38078704,0.38224235
0.33912036,0.3303959
0.31828704,0.33827198
0.3125,0.32177615
0.32407406,0.33580226
0.37962964,0.44111428
0.525463,0.5656129
0.6979167,0.74566287
0.8136574,0.86135805
0.8761574,0.91132253
0.8715278,0.8859285
0.8472222,0.86314493
0.8125,0.84275687
0.8148148,0.82665974
0.8032407,0.8325169
0.775463,0.81195664
0.7615741,0.7971893
0.7847222,0.8072576
0.8217593,0.8184547
0.78125,0.77636987
0.7407407,0.73448026
0.6747685,0.66537935
0.5856481,0.571098
0.5046296,0.47474334
0.41782406,0.3905688
0.36805555,0.34667802
0.34837964,0.3346236
0.33564815,0.3180312
0.33680555,0.3160464
0.36574075,0.36623016
0.4189815,0.38971096
0.4861111,0.48181772
0.5509259,0.5604353
0.6319444,0.6395791
0.6747685,0.6609223
0.6747685,0.674522
0.6585648,0.6557219
0.6469907,0.63993454
0.6296296,0.6421159
0.6157407,0.63149613
0.6134259,0.63548154
0.6643519,0.68167186
0.6979167,0.7069367
0.6747685,0.69698143
0.6388889,0.6608615
0.5844907,0.6086217
0.5081019,0.5274475
0.4409722,0.4341674
0.3738426,0.34994704
0.33449075,0.32025626
0.3090278,0.28958264
0.2986111,0.2668578
0.2974537,0.26706982
0.32060185,0.3072644
0.36921296,0.3341856
0.41087964,0.42124617
0.4664352,0.46996802
0.5462963,0.5472773
0.5914352,0.5870379
0.6006944,0.6087144
0.5949074,0.59078735
0.5914352,0.58003515
0.5833333,0.590084
0.5775463,0.57307965
0.5833333,0.5862721
0.650463,0.61449057
0.7037037,0.67691946
0.6898148,0.68534154
0.6666667,0.65541863
0.6006944,0.5900437
0.4976852,0.49670064
0.40625,0.409062
0.33680555,0.32026884
0.2997685,0.2711721
0.28703704,0.28880295
0.27546296,0.2683922
0.29166666,0.27600244
0.35185185,0.34459803
0.4988426,0.46674043
0.6631944,0.64064026
0.7673611,0.76373744
0.8321759,0.83602285
0.8333333,0.83983946
0.818287,0.82332295
0.7905093,0.78824586
0.8113426,0.7950649
0.8043981,0.79574776
0.7928241,0.7942944
0.7743056,0.76835865
0.7835648,0.7870851
0.8136574,0.7877993
0.7662037,0.76648915
0.712963,0.71777356
0.6388889,0.653305
0.5358796,0.54779774
0.43055555,0.44398645
0.34837964,0.3659572
0.2997685,0.29514104
0.2847222,0.3041752
0.27083334,0.28540382
0.2847222,0.29891014
0.3402778,0.3731045
0.49305555,0.52006173
0.6574074,0.67143667
0.7650463,0.7934253
0.8298611,0.84810036
0.8217593,0.83684087
0.8078704,0.81100565
0.7743056,0.77914023
0.7777778,0.7929658
0.7638889,0.77796346
0.7592593,0.7545417
0.744213,0.73321867
0.7650463,0.75252616
0.8240741,0.7848721
0.7708333,0.76501393
0.7175926,0.7202424
0.6458333,0.6401819
0.5381944,0.53134394
0.42824075,0.42556816
0.34953704,0.34738085
0.3090278,0.3009768
0.28819445,0.31146744
0.2800926,0.3021201
0.2835648,0.30691588
0.33912036,0.37945428
0.4965278,0.49715
0.6597222,0.6552113
0.7731481,0.75702244
0.8217593,0.8133961
0.818287,0.79764193
0.7928241,0.77468985
0.7465278,0.7470815
0.7546296,0.75093925
0.7395833,0.7421794
0.7291667,0.7264789
0.7256944,0.6871413
0.7268519,0.72786146
0.7824074,0.76600206
0.7488426,0.7587355
0.712963,0.71564883
0.6400463,0.64706653
0.5358796,0.5491207
0.4340278,0.43812802
0.3611111,0.36083487
0.31712964,0.3079978
0.30208334,0.32401118
0.2974537,0.30660707
0.3148148,0.32515305
0.375,0.3901125
0.5219907,0.5155585
0.6828704,0.6827135
0.7881944,0.7952807
0.8530093,0.85935044
0.849537,0.8424673
0.8194444,0.8302154
0.7673611,0.7909006
0.7858796,0.7974151
0.7789352,0.78131783
0.7685185,0.76688164
0.7569444,0.7332026
0.7627315,0.7713838
0.8148148,0.8090883
0.7743056,0.7864908
0.7303241,0.7387363
0.6574074,0.67257404
0.5428241,0.56849575
0.4965278,0.45767102
0.35532406,0.37485066
0.3113426,0.32300293
0.2939815,0.32353935
0.28703704,0.29647008
0.30555555,0.31288487
0.3599537,0.38435137
0.5104167,0.4939692
0.6678241,0.656368
0.7766204,0.76611924
0.8298611,0.8194409
0.8321759,0.80786717
0.8171296,0.7965613
0.7800926,0.76388323
0.7974537,0.77371687
0.7847222,0.75671923
0.7615741,0.7376786
0.7511574,0.7203639
0.7592593,0.7414806
0.7974537,0.7749184
0.7592593,0.740111
0.7083333,0.7040319
0.6354167,0.62968993
0.5324074,0.5413342
0.43287036,0.44681314
0.35416666,0.37179178
0.3101852,0.31582102
0.29282406,0.2941675
0.28125,0.27627546
0.2835648,0.29069185
0.3090278,0.3232549
0.36689815,0.355399
0.4212963,0.43945903
0.5023148,0.5158765
0.5844907,0.5936352
0.6145833,0.6182442
0.6099537,0.6342501
0.5972222,0.60449666
0.5914352,0.6043947
0.5810185,0.5900634
0.5659722,0.5725878
0.5671296,0.5770264
0.6064815,0.6219725
0.6701389,0.6670923
0.6435185,0.6697675
0.6203704,0.6234212
0.5636574,0.5637898
0.4722222,0.49580646
0.39583334,0.40597174
0.3263889,0.33224213
0.28587964,0.28199401
0.27083334,0.25762382
0.25925925,0.25160578
0.2627315,0.26145077
0.28819445,0.27726853
0.33217594,0.29438305
0.3738426,0.35391912
0.4409722,0.41602117
0.5150463,0.49756593
0.5543981,0.53334546
0.5613426,0.5490764
0.5555556,0.5258714
0.5462963,0.52150285
0.537037,0.52444303
0.537037,0.5064779
0.5451389,0.51579475
0.5925926,0.5714415
0.6689815,0.6354992
0.6574074,0.6609049
0.6319444,0.616128
0.5810185,0.5583025
0.4837963,0.46403724
0.4039352,0.37417185
0.33564815,0.2993379
0.2974537,0.25196323
0.28819445,0.28286186
0.2835648,0.2671303
0.2974537,0.27954856
0.35416666,0.35150614
0.5069444,0.47381145
0.662037,0.64869314
0.7766204,0.7590513
0.8425926,0.82689273
0.8425926,0.833946
0.8125,0.8220765
0.7662037,0.77539825
0.787037,0.7868573
0.787037,0.7883905
0.7743056,0.75905055
0.7627315,0.74564993
0.7604167,0.7648929
0.8194444,0.7942734
0.7743056,0.775545
0.7268519,0.74566877
0.6516204,0.66142166
0.5358796,0.5672013
0.43171296,0.45327684
0.35185185,0.36364943
0.3090278,0.30736855
0.2939815,0.3204793
0.28703704,0.30416957
0.30671296,0.31643325
0.36574075,0.4036053
0.5150463,0.5436148
0.681713,0.7133923
0.806713,0.8164837
0.8564815,0.86631435
0.8414352,0.8561988
0.8159722,0.8253777
0.7766204,0.80025655
0.7962963,0.8160409
0.7835648,0.7963004
0.775463,0.76348037
0.7638889,0.7402805
0.7662037,0.7677086
0.8333333,0.8056559
0.8009259,0.78536975
0.75,0.7487962
0.6898148,0.66248393
0.5787037,0.56731504
0.4849537,0.45841053
0.41203704,0.3723089
0.38078704,0.34014082
0.36574075,0.34408915
0.36574075,0.32993326
0.38078704,0.34016603
0.43287036,0.42758945
0.5844907,0.54226553
0.7337963,0.7082767
0.8599537,0.8223578
0.9050926,0.87045044
