true,forecasted
0.3275463,0.28750733
0.32175925,0.27885824
0.3414352,0.2946558
0.40162036,0.34387267
0.5451389,0.4458817
0.7152778,0.6094631
0.8090278,0.7234125
0.8425926,0.7817747
0.8541667,0.7935768
0.8240741,0.7760043
0.7719907,0.72781384
0.7916667,0.7343601
0.7847222,0.7398922
0.7824074,0.73574287
0.7708333,0.7507978
0.8032407,0.7630181
0.8263889,0.78494024
0.7800926,0.74575317
0.7395833,0.70340663
0.662037,0.6348531
0.5532407,0.5384245
0.44675925,0.43056935
0.3726852,0.34459293
0.3298611,0.28509924
0.30787036,0.28758585
0.30092594,0.27574497
0.3148148,0.29380932
0.3726852,0.34514165
0.5196759,0.48021156
0.6875,0.6322902
0.7928241,0.76322794
0.8483796,0.80034745
0.8518519,0.8010637
0.8310185,0.7746882
0.7962963,0.7282678
0.806713,0.7398867
0.7962963,0.7356411
0.7800926,0.7242691
0.7627315,0.72628903
0.7928241,0.76183087
0.8321759,0.78904015
0.7893519,0.7515129
0.7407407,0.7158893
0.6782407,0.64505064
0.5717593,0.5312373
0.46875,0.43239743
0.39467594,0.35330486
0.34837964,0.30867094
0.3263889,0.316519
0.32407406,0.2978066
0.33912036,0.32816947
0.39814815,0.38254306
0.5405093,0.5248905
0.7164352,0.68170977
0.8368056,0.8082823
0.8958333,0.845173
0.8958333,0.8472019
0.875,0.82368153
0.8263889,0.76223123
0.8391204,0.7981274
0.8287037,0.7943193
0.818287,0.7808043
0.8101852,0.7842243
0.8263889,0.79329723
0.8483796,0.81653666
0.7962963,0.7776382
0.7523148,0.7482568
0.6793981,0.6686572
0.5706019,0.56826043
0.46875,0.46493608
0.38078704,0.3875141
0.33912036,0.33568716
0.31828704,0.3251076
0.3125,0.30887333
0.32407406,0.33874905
0.37962964,0.40095007
0.525463,0.513774
0.6979167,0.6474505
0.8136574,0.76746714
0.8761574,0.82170767
0.8715278,0.8198699
0.8472222,0.8043838
0.8125,0.7523645
0.8148148,0.76779556
0.8032407,0.762055
0.775463,0.74286264
0.7615741,0.7399979
0.7847222,0.78295654
0.8217593,0.8149731
0.78125,0.7484947
0.7407407,0.72348356
0.6747685,0.6449829
0.5856481,0.5552199
0.5046296,0.46546832
0.41782406,0.3890524
0.36805555,0.3442946
0.34837964,0.31184635
0.33564815,0.31490323
0.33680555,0.31813726
0.36574075,0.35344815
0.4189815,0.4264511
0.4861111,0.4936767
0.5509259,0.58910346
0.6319444,0.6574021
0.6747685,0.6758228
0.6747685,0.6794435
0.6585648,0.64639604
0.6469907,0.64529777
0.6296296,0.64802915
0.6157407,0.6404144
0.6134259,0.64930654
0.6643519,0.6865789
0.6979167,0.7157373
0.6747685,0.6835093
0.6388889,0.67413414
0.5844907,0.61418986
0.5081019,0.51633143
0.4409722,0.43418956
0.3738426,0.35102713
0.33449075,0.32170275
0.3090278,0.2869405
0.2986111,0.26828286
0.2974537,0.2783969
0.32060185,0.3091443
0.36921296,0.34589338
0.41087964,0.4055514
0.4664352,0.4674055
0.5462963,0.5317382
0.5914352,0.57758045
0.6006944,0.589746
0.5949074,0.571463
0.5914352,0.5674721
0.5833333,0.5712379
0.5775463,0.55555624
0.5833333,0.56526273
0.650463,0.62655526
0.7037037,0.6671246
0.6898148,0.6419419
0.6666667,0.62492204
0.6006944,0.577087
0.4976852,0.48949647
0.40625,0.40530807
0.33680555,0.32311428
0.2997685,0.28381428
0.28703704,0.27769136
0.27546296,0.2743155
0.29166666,0.28107375
0.35185185,0.29487273
0.4988426,0.39361155
0.6631944,0.5698827
0.7673611,0.6881839
0.8321759,0.7472089
0.8333333,0.7606186
0.818287,0.7431109
0.7905093,0.69653934
0.8113426,0.70282567
0.8043981,0.6917384
0.7928241,0.66372186
0.7743056,0.6632101
0.7835648,0.70960784
0.8136574,0.72662497
0.7662037,0.6998143
0.712963,0.6751483
0.6388889,0.63001347
0.5358796,0.5129377
0.43055555,0.4181072
0.34837964,0.3388065
0.2997685,0.28044447
0.2847222,0.29191497
0.27083334,0.27580443
0.2847222,0.29811266
0.3402778,0.3389447
0.49305555,0.44958937
0.6574074,0.63099355
0.7650463,0.7451906
0.8298611,0.80196565
0.8217593,0.80194443
0.8078704,0.7711195
0.7743056,0.7315459
0.7777778,0.7400389
0.7638889,0.72078496
0.7592593,0.6942373
0.744213,0.6927195
0.7650463,0.70633596
0.8240741,0.7364651
0.7708333,0.72354
0.7175926,0.68730897
0.6458333,0.6130084
0.5381944,0.5133189
0.42824075,0.40927738
0.34953704,0.33146065
0.3090278,0.27767855
0.28819445,0.2792547
0.2800926,0.26678565
0.2835648,0.28737807
0.33912036,0.34371036
0.4965278,0.4755885
0.6597222,0.62815696
0.7731481,0.747803
0.8217593,0.78927606
0.818287,0.7921832
0.7928241,0.76410854
0.7465278,0.72310245
0.7546296,0.73881525
0.7395833,0.729015
0.7291667,0.70477766
0.7256944,0.6944981
0.7268519,0.7445592
0.7824074,0.7906567
0.7488426,0.755689
0.712963,0.71284056
0.6400463,0.6500914
0.5358796,0.54795045
0.4340278,0.44457835
0.3611111,0.36599344
0.31712964,0.31532168
0.30208334,0.3228677
0.2974537,0.31394434
0.3148148,0.345016
0.375,0.4036911
0.5219907,0.54676056
0.6828704,0.70747614
0.7881944,0.8284557
0.8530093,0.876709
0.849537,0.87898874
0.8194444,0.85229933
0.7673611,0.79218566
0.7858796,0.81960964
0.7789352,0.8088903
0.7685185,0.8018366
0.7569444,0.78780264
0.7627315,0.78781503
0.8148148,0.84414697
0.7743056,0.79697657
0.7303241,0.7669828
0.6574074,0.6912842
0.5428241,0.5816057
0.4965278,0.47245833
0.35532406,0.38360173
0.3113426,0.33052886
0.2939815,0.3121617
0.28703704,0.30307522
0.30555555,0.31435654
0.3599537,0.3506807
0.5104167,0.47068787
0.6678241,0.6354813
0.7766204,0.77792704
0.8298611,0.846789
0.8321759,0.84273154
0.8171296,0.83044326
0.7800926,0.7444
0.7974537,0.7731799
0.7847222,0.77505326
0.7615741,0.7609342
0.7511574,0.75949776
0.7592593,0.769928
0.7974537,0.81972194
0.7592593,0.7572819
0.7083333,0.7256256
0.6354167,0.657925
0.5324074,0.5615261
0.43287036,0.46335918
0.35416666,0.37019122
0.3101852,0.31704208
0.29282406,0.30131212
0.28125,0.2972302
0.2835648,0.30334276
0.3090278,0.32307288
0.36689815,0.37810606
0.4212963,0.45320994
0.5023148,0.54761016
0.5844907,0.61818135
0.6145833,0.64263344
0.6099537,0.6548035
0.5972222,0.6142576
0.5914352,0.60280895
0.5810185,0.5949276
0.5659722,0.5923918
0.5671296,0.5910264
0.6064815,0.63017035
0.6701389,0.68871254
0.6435185,0.67660034
0.6203704,0.64644176
0.5636574,0.57828677
0.4722222,0.48947373
0.39583334,0.40606576
0.3263889,0.3332495
0.28587964,0.29020944
0.27083334,0.270539
0.25925925,0.25807238
0.2627315,0.26240116
0.28819445,0.28574172
0.33217594,0.31120622
0.3738426,0.35212752
0.4409722,0.42611986
0.5150463,0.49169344
0.5543981,0.53313667
0.5613426,0.54817176
0.5555556,0.52502847
0.5462963,0.5303257
0.537037,0.5183013
0.537037,0.51750827
0.5451389,0.5220829
0.5925926,0.58067167
0.6689815,0.6401264
0.6574074,0.65546966
0.6319444,0.6199216
0.5810185,0.55742
0.4837963,0.47066823
0.4039352,0.3711939
0.33564815,0.2993555
0.2974537,0.2628184
0.28819445,0.26861608
0.2835648,0.2567399
0.2974537,0.2802744
0.35416666,0.3214238
0.5069444,0.4523016
0.662037,0.62207156
0.7766204,0.74254143
0.8425926,0.8064516
0.8425926,0.8106777
0.8125,0.79303515
0.7662037,0.73940605
0.787037,0.758524
0.787037,0.7489669
0.7743056,0.7119797
0.7627315,0.7039589
0.7604167,0.7419949
0.8194444,0.7883245
0.7743056,0.7598082
0.7268519,0.71838474
0.6516204,0.64148843
0.5358796,0.5443287
0.43171296,0.4421644
0.35185185,0.3485086
0.3090278,0.30267355
0.2939815,0.3103751
0.28703704,0.29088932
0.30671296,0.32593346
0.36574075,0.3985877
0.5150463,0.5337677
0.681713,0.6824334
0.806713,0.7926259
0.8564815,0.8438857
0.8414352,0.8383253
0.8159722,0.80864674
0.7766204,0.7646853
0.7962963,0.777881
0.7835648,0.75557107
0.775463,0.7220895
0.7638889,0.70539194
