true,forecasted
0.3275463,0.31099167
0.32175925,0.30598336
0.3414352,0.32622954
0.40162036,0.3892762
0.5451389,0.54443234
0.7152778,0.71770406
0.8090278,0.8282619
0.8425926,0.86684984
0.8541667,0.86720693
0.8240741,0.83621657
0.7719907,0.8131591
0.7916667,0.82692116
0.7847222,0.82336015
0.7824074,0.8324481
0.7708333,0.86983365
0.8032407,0.8583238
0.8263889,0.81544995
0.7800926,0.78374213
0.7395833,0.7428806
0.662037,0.6696597
0.5532407,0.5648034
0.44675925,0.4576045
0.3726852,0.37630504
0.3298611,0.32302633
0.30787036,0.28829676
0.30092594,0.2813067
0.3148148,0.30203566
0.3726852,0.353904
0.5196759,0.49693415
0.6875,0.66296583
0.7928241,0.787224
0.8483796,0.833693
0.8518519,0.8313663
0.8310185,0.804317
0.7962963,0.76304376
0.806713,0.77408767
0.7962963,0.76927686
0.7800926,0.753996
0.7627315,0.76959634
0.7928241,0.7692074
0.8321759,0.7771946
0.7893519,0.7591652
0.7407407,0.7265536
0.6782407,0.65167
0.5717593,0.549829
0.46875,0.44499582
0.39467594,0.3610885
0.34837964,0.3146018
0.3263889,0.3131507
0.32407406,0.3118909
0.33912036,0.33485416
0.39814815,0.39599746
0.5405093,0.53010625
0.7164352,0.69548017
0.8368056,0.81281984
0.8958333,0.852479
0.8958333,0.848377
0.875,0.8216747
0.8263889,0.7784972
0.8391204,0.78883743
0.8287037,0.7781704
0.818287,0.77503395
0.8101852,0.8080428
0.8263889,0.8067623
0.8483796,0.80980706
0.7962963,0.78978914
0.7523148,0.746663
0.6793981,0.6679912
0.5706019,0.5696708
0.46875,0.47091326
0.38078704,0.3896401
0.33912036,0.33804014
0.31828704,0.323083
0.3125,0.3232456
0.32407406,0.3525082
0.37962964,0.42079067
0.525463,0.5675668
0.6979167,0.7354812
0.8136574,0.845919
0.8761574,0.878474
0.8715278,0.8657352
0.8472222,0.8297441
0.8125,0.7995268
0.8148148,0.80551624
0.8032407,0.79214543
0.775463,0.79812217
0.7615741,0.8183481
0.7847222,0.81589395
0.8217593,0.8082525
0.78125,0.7882652
0.7407407,0.7412383
0.6747685,0.65971893
0.5856481,0.5597724
0.5046296,0.46141952
0.41782406,0.38759145
0.36805555,0.34384155
0.34837964,0.3282739
0.33564815,0.32113412
0.33680555,0.32843953
0.36574075,0.34398508
0.4189815,0.3908522
0.4861111,0.4574812
0.5509259,0.53357184
0.6319444,0.60319376
0.6747685,0.64551497
0.6747685,0.6518395
0.6585648,0.64338624
0.6469907,0.6321487
0.6296296,0.62218887
0.6157407,0.62439156
0.6134259,0.64959466
0.6643519,0.67492825
0.6979167,0.66876954
0.6747685,0.6550376
0.6388889,0.64091617
0.5844907,0.59663457
0.5081019,0.51829153
0.4409722,0.42947897
0.3738426,0.36284113
0.33449075,0.31548947
0.3090278,0.2948941
0.2986111,0.2851543
0.2974537,0.2979947
0.32060185,0.31493062
0.36921296,0.34622845
0.41087964,0.39121735
0.4664352,0.45138258
0.5462963,0.521123
0.5914352,0.5742674
0.6006944,0.58076346
0.5949074,0.5854453
0.5914352,0.57357967
0.5833333,0.5711605
0.5775463,0.58218896
0.5833333,0.6344006
0.650463,0.6819646
0.7037037,0.68932015
0.6898148,0.6810116
0.6666667,0.65667325
0.6006944,0.5955719
0.4976852,0.5019505
0.40625,0.40867236
0.33680555,0.33308172
0.2997685,0.29063058
0.28703704,0.27048844
0.27546296,0.2706836
0.29166666,0.29836395
0.35185185,0.34925538
0.4988426,0.49936548
0.6631944,0.68630946
0.7673611,0.80863327
0.8321759,0.85715145
0.8333333,0.85408986
0.818287,0.82944226
0.7905093,0.79165375
0.8113426,0.80851126
0.8043981,0.8023185
0.7928241,0.79997075
0.7743056,0.8225676
0.7835648,0.83531195
0.8136574,0.8247857
0.7662037,0.7841783
0.712963,0.729801
0.6388889,0.64798176
0.5358796,0.5405259
0.43055555,0.435519
0.34837964,0.35005134
0.2997685,0.3056096
0.2847222,0.27866328
0.27083334,0.2709966
0.2847222,0.29649508
0.3402778,0.3549617
0.49305555,0.5033975
0.6574074,0.66877306
0.7650463,0.787402
0.8298611,0.83463615
0.8217593,0.83089554
0.8078704,0.7971114
0.7743056,0.7595813
0.7777778,0.7767428
0.7638889,0.7682164
0.7592593,0.75493884
0.744213,0.76431423
0.7650463,0.77698356
0.8240741,0.7830412
0.7708333,0.7642951
0.7175926,0.71796936
0.6458333,0.63777316
0.5381944,0.52886736
0.42824075,0.42160597
0.34953704,0.33937997
0.3090278,0.29286385
0.28819445,0.27541766
0.2800926,0.27087933
0.2835648,0.29621938
0.33912036,0.3507291
0.4965278,0.4903757
0.6597222,0.655201
0.7731481,0.7794573
0.8217593,0.82589775
0.818287,0.82107794
0.7928241,0.7924676
0.7465278,0.75011235
0.7546296,0.76201713
0.7395833,0.75664264
0.7291667,0.741294
0.7256944,0.75522023
0.7268519,0.76185703
0.7824074,0.78172296
0.7488426,0.7682262
0.712963,0.72908586
0.6400463,0.64644116
0.5358796,0.54232985
0.4340278,0.4392245
0.3611111,0.3564244
0.31712964,0.30981714
0.30208334,0.2953824
0.2974537,0.29144672
0.3148148,0.3095134
0.375,0.36070716
0.5219907,0.49206582
0.6828704,0.654338
0.7881944,0.77796906
0.8530093,0.8207397
0.849537,0.816648
0.8194444,0.79033875
0.7673611,0.7479414
0.7858796,0.76297367
0.7789352,0.7484827
0.7685185,0.7380848
0.7569444,0.7513309
0.7627315,0.7527898
0.8148148,0.75507075
0.7743056,0.73797435
0.7303241,0.709692
0.6574074,0.6384463
0.5428241,0.54193974
0.4965278,0.44062987
0.35532406,0.36197948
0.3113426,0.3134151
0.2939815,0.30481902
0.28703704,0.30021656
0.30555555,0.31791887
0.3599537,0.37246525
0.5104167,0.5109908
0.6678241,0.67934626
0.7766204,0.8006193
0.8298611,0.84184074
0.8321759,0.8364404
0.8171296,0.80861175
0.7800926,0.7724936
0.7974537,0.7866696
0.7847222,0.7714034
0.7615741,0.76564705
0.7511574,0.7815245
0.7592593,0.77789897
0.7974537,0.7678615
0.7592593,0.7446106
0.7083333,0.7064843
0.6354167,0.6379778
0.5324074,0.54205066
0.43287036,0.4410027
0.35416666,0.36218724
0.3101852,0.31260204
0.29282406,0.27666256
0.28125,0.26780468
0.2835648,0.28287113
0.3090278,0.30258942
0.36689815,0.34559417
0.4212963,0.4145453
0.5023148,0.49385792
0.5844907,0.56449
0.6145833,0.6033642
0.6099537,0.60730946
0.5972222,0.5945957
0.5914352,0.58562887
0.5810185,0.57540697
0.5659722,0.573074
0.5671296,0.5992566
0.6064815,0.64464813
0.6701389,0.6537389
0.6435185,0.6408338
0.6203704,0.61506087
0.5636574,0.5612218
0.4722222,0.48073828
0.39583334,0.39507726
0.3263889,0.32461685
0.28587964,0.2802797
0.27083334,0.25746268
0.25925925,0.24609955
0.2627315,0.25976297
0.28819445,0.2746654
0.33217594,0.30487624
0.3738426,0.3511662
0.4409722,0.41433477
0.5150463,0.48697054
0.5543981,0.5356528
0.5613426,0.5457858
0.5555556,0.54512537
0.5462963,0.5342624
0.537037,0.53149766
0.537037,0.5347446
0.5451389,0.5751279
0.5925926,0.6300016
0.6689815,0.6539616
0.6574074,0.65156305
0.6319444,0.628828
0.5810185,0.5666528
0.4837963,0.47162563
0.4039352,0.37600407
0.33564815,0.30179593
0.2974537,0.26124576
0.28819445,0.26593724
0.2835648,0.2681556
0.2974537,0.2988896
0.35416666,0.3513522
0.5069444,0.48901984
0.662037,0.66496295
0.7766204,0.7881554
