true,forecasted
0.3275463,0.3100902
0.32175925,0.3082265
0.3414352,0.3267505
0.40162036,0.39310926
0.5451389,0.5380748
0.7152778,0.7030408
0.8090278,0.7984851
0.8425926,0.8446183
0.8541667,0.8499471
0.8240741,0.829001
0.7719907,0.8003274
0.7916667,0.8198437
0.7847222,0.8131746
0.7824074,0.8201308
0.7708333,0.8558696
0.8032407,0.8688544
0.8263889,0.8435824
0.7800926,0.79610395
0.7395833,0.75089324
0.662037,0.68067837
0.5532407,0.56978166
0.44675925,0.46954596
0.3726852,0.38675922
0.3298611,0.33698103
0.30787036,0.3023947
0.30092594,0.29832947
0.3148148,0.3191873
0.3726852,0.38556474
0.5196759,0.52436525
0.6875,0.6841391
0.7928241,0.78851587
0.8483796,0.8325778
0.8518519,0.82777995
0.8310185,0.7982852
0.7962963,0.76947963
0.806713,0.7855512
0.7962963,0.7736659
0.7800926,0.761996
0.7627315,0.77561677
0.7928241,0.79506385
0.8321759,0.80326533
0.7893519,0.77021295
0.7407407,0.72819316
0.6782407,0.6537966
0.5717593,0.55376077
0.46875,0.46090263
0.39467594,0.38965982
0.34837964,0.34792814
0.3263889,0.30786017
0.32407406,0.30552727
0.33912036,0.32374623
0.39814815,0.3870397
0.5405093,0.5275091
0.7164352,0.69330215
0.8368056,0.80317366
0.8958333,0.85800064
0.8958333,0.86070913
0.875,0.8415956
0.8263889,0.79118145
0.8391204,0.8087721
0.8287037,0.7943145
0.818287,0.78126645
0.8101852,0.8016831
0.8263889,0.8278458
0.8483796,0.8391634
0.7962963,0.80292267
0.7523148,0.7634301
0.6793981,0.6902697
0.5706019,0.5803727
0.46875,0.4846946
0.38078704,0.4018996
0.33912036,0.35353512
0.31828704,0.31973407
0.3125,0.32768378
0.32407406,0.35352656
0.37962964,0.4311484
0.525463,0.5698248
0.6979167,0.7276382
0.8136574,0.8260991
0.8761574,0.8677794
0.8715278,0.86302966
0.8472222,0.83277386
0.8125,0.80202484
0.8148148,0.8067287
0.8032407,0.78430116
0.775463,0.77247185
0.7615741,0.78741926
0.7847222,0.81700087
0.8217593,0.81167066
0.78125,0.77018815
0.7407407,0.7254394
0.6747685,0.64868784
0.5856481,0.55367315
0.5046296,0.46989787
0.41782406,0.40158188
0.36805555,0.35936552
0.34837964,0.32459077
0.33564815,0.3170417
0.33680555,0.32935074
0.36574075,0.35893548
0.4189815,0.39999717
0.4861111,0.4635626
0.5509259,0.53008276
0.6319444,0.6064149
0.6747685,0.65569055
0.6747685,0.6556135
0.6585648,0.6451971
0.6469907,0.64238626
0.6296296,0.6335968
0.6157407,0.6368374
0.6134259,0.6500261
0.6643519,0.6961931
0.6979167,0.71394056
0.6747685,0.69325924
0.6388889,0.665458
0.5844907,0.6147243
0.5081019,0.52483
0.4409722,0.4429028
0.3738426,0.3724005
0.33449075,0.32733676
0.3090278,0.3045032
0.2986111,0.29515496
0.2974537,0.297111
0.32060185,0.31750283
0.36921296,0.35561395
0.41087964,0.40516484
0.4664352,0.45963353
0.5462963,0.5302699
0.5914352,0.5815011
0.6006944,0.5888379
0.5949074,0.5747999
0.5914352,0.576474
0.5833333,0.5654101
0.5775463,0.5674582
0.5833333,0.61152977
0.650463,0.6627214
0.7037037,0.69052154
0.6898148,0.6765328
0.6666667,0.6491926
0.6006944,0.59462535
0.4976852,0.50246763
0.40625,0.4161962
0.33680555,0.34627682
0.2997685,0.30738616
0.28703704,0.2688618
0.27546296,0.26991823
0.29166666,0.28755727
0.35185185,0.35527703
0.4988426,0.51136374
0.6631944,0.69328856
0.7673611,0.8111821
0.8321759,0.86853415
0.8333333,0.8622208
0.818287,0.8444086
0.7905093,0.80591416
0.8113426,0.8275418
0.8043981,0.8102515
0.7928241,0.7894268
0.7743056,0.7956709
0.7835648,0.8214444
0.8136574,0.8247006
0.7662037,0.7822547
0.712963,0.73804426
0.6388889,0.6637786
0.5358796,0.55058944
0.43055555,0.44442979
0.34837964,0.35491472
0.2997685,0.30899626
0.2847222,0.28215083
0.27083334,0.27687126
0.2847222,0.29186282
0.3402778,0.347101
0.49305555,0.48954388
0.6574074,0.65165097
0.7650463,0.7622631
0.8298611,0.82052976
0.8217593,0.81413746
0.8078704,0.7907267
0.7743056,0.7460575
0.7777778,0.7715274
0.7638889,0.7548013
0.7592593,0.7394896
0.744213,0.74528366
0.7650463,0.77957463
0.8240741,0.7902973
0.7708333,0.74932283
0.7175926,0.7069702
0.6458333,0.6345779
0.5381944,0.5286027
0.42824075,0.42877397
0.34953704,0.34932673
0.3090278,0.30436015
0.28819445,0.27569956
0.2800926,0.2727591
0.2835648,0.29302675
0.33912036,0.34978265
0.4965278,0.48749474
0.6597222,0.6527321
0.7731481,0.76670724
0.8217593,0.8208518
0.818287,0.8179536
0.7928241,0.79088134
0.7465278,0.7487917
0.7546296,0.7700947
0.7395833,0.7597643
0.7291667,0.74473816
0.7256944,0.7586525
0.7268519,0.78275025
0.7824074,0.80679953
0.7488426,0.78006667
0.712963,0.73866355
0.6400463,0.65698636
0.5358796,0.55134
0.4340278,0.45513192
0.3611111,0.3784634
0.31712964,0.3330215
0.30208334,0.2954382
0.2974537,0.29499596
0.3148148,0.31941178
0.375,0.39024317
0.5219907,0.5193191
0.6828704,0.6631761
0.7881944,0.7723234
0.8530093,0.8232381
0.849537,0.82237834
0.8194444,0.8004764
0.7673611,0.7595108
0.7858796,0.7755756
0.7789352,0.7618393
0.7685185,0.74923176
0.7569444,0.7452604
0.7627315,0.76175785
0.8148148,0.78376365
0.7743056,0.7619437
0.7303241,0.7272935
0.6574074,0.65344065
0.5428241,0.54755783
0.4965278,0.4517231
0.35532406,0.3771909
0.3113426,0.33181366
0.2939815,0.30476284
0.28703704,0.30292627
0.30555555,0.32238016
0.3599537,0.39105397
0.5104167,0.52326447
0.6678241,0.67952424
0.7766204,0.78278536
0.8298611,0.8306143
0.8321759,0.82968664
0.8171296,0.80779815
0.7800926,0.76776785
0.7974537,0.7837933
0.7847222,0.76861024
0.7615741,0.75979394
0.7511574,0.7714173
0.7592593,0.7876086
0.7974537,0.7840848
0.7592593,0.7417222
0.7083333,0.69923955
0.6354167,0.63553727
0.5324074,0.5436638
0.43287036,0.45183703
0.35416666,0.37098944
0.3101852,0.32268643
0.29282406,0.28201193
0.28125,0.27474192
0.2835648,0.2860891
0.3090278,0.3193853
0.36689815,0.36735755
0.4212963,0.4292896
0.5023148,0.49391288
0.5844907,0.56613827
0.6145833,0.6105119
0.6099537,0.608952
0.5972222,0.5994494
0.5914352,0.59625447
0.5810185,0.58923244
0.5659722,0.58941543
0.5671296,0.608631
0.6064815,0.6634767
0.6701389,0.68271726
0.6435185,0.6636068
0.6203704,0.62986505
0.5636574,0.57183146
0.4722222,0.4857525
0.39583334,0.40805745
0.3263889,0.34159306
0.28587964,0.29740146
0.27083334,0.26621616
0.25925925,0.25891438
0.2627315,0.2659357
0.28819445,0.2881826
0.33217594,0.32547045
0.3738426,0.37350592
0.4409722,0.4243238
0.5150463,0.50075006
0.5543981,0.54860187
0.5613426,0.557203
0.5555556,0.546087
0.5462963,0.54299515
0.537037,0.5348865
0.537037,0.5333803
0.5451389,0.57044446
0.5925926,0.6322396
0.6689815,0.6652818
0.6574074,0.6553759
0.6319444,0.62674695
0.5810185,0.5650629
0.4837963,0.47115728
0.4039352,0.3829161
0.33564815,0.3130535
0.2974537,0.27612403
0.28819445,0.26367003
0.2835648,0.2673267
0.2974537,0.28664494
0.35416666,0.34468603
0.5069444,0.49084434
0.662037,0.6687002
0.7766204,0.78663456
0.8425926,0.84628916
0.8425926,0.83967346
0.8125,0.8186385
0.7662037,0.77428716
0.787037,0.7949734
0.787037,0.77390087
0.7743056,0.740809
0.7627315,0.73591304
0.7604167,0.78176904
0.8194444,0.81257135
0.7743056,0.7830006
0.7268519,0.74127185
0.6516204,0.6680703
0.5358796,0.55970716
0.43171296,0.4608734
0.35185185,0.3719145
0.3090278,0.32813147
0.2939815,0.29176417
0.28703704,0.29620838
0.30671296,0.32368338
0.36574075,0.39379513
0.5150463,0.53677124
0.681713,0.69088084
0.806713,0.7882845
0.8564815,0.83458585
0.8414352,0.8292982
0.8159722,0.7985961
0.7766204,0.76891494
0.7962963,0.7845003
0.7835648,0.77004075
0.775463,0.7567635
0.7638889,0.7659721
0.7662037,0.8066969
0.8333333,0.81688404
0.8009259,0.7856336
0.75,0.73929954
0.6898148,0.6564462
0.5787037,0.5458507
0.4849537,0.45199853
0.41203704,0.38069972
0.38078704,0.34011796
0.36574075,0.32275394
0.36574075,0.32088614
0.38078704,0.3398167
0.43287036,0.39255208
0.5844907,0.520028
0.7337963,0.68608826
0.8599537,0.8037317
0.9050926,0.859151
0.8854167,0.86132914
0.837963,0.8355873
0.7824074,0.792632
0.7951389,0.80542487
0.7847222,0.787555
0.7708333,0.7668355
0.7592593,0.7752437
