true,forecasted
0.3275463,0.3116205
0.32175925,0.31717777
0.3414352,0.3239969
0.40162036,0.3881641
0.5451389,0.5448569
0.7152778,0.709736
0.8090278,0.82069415
0.8425926,0.87181264
0.8541667,0.87412924
0.8240741,0.841376
0.7719907,0.80947506
0.7916667,0.83216923
0.7847222,0.821115
0.7824074,0.82908976
0.7708333,0.8292396
0.8032407,0.83637446
0.8263889,0.82773477
0.7800926,0.78585744
0.7395833,0.73196375
0.662037,0.6614767
0.5532407,0.55080795
0.44675925,0.44538158
0.3726852,0.3741549
0.3298611,0.32806003
0.30787036,0.29603288
0.30092594,0.29559103
0.3148148,0.311875
0.3726852,0.3789484
0.5196759,0.5130501
0.6875,0.6660572
0.7928241,0.781827
0.8483796,0.8164662
0.8518519,0.82448757
0.8310185,0.77262837
0.7962963,0.7541404
0.806713,0.7519954
0.7962963,0.74823946
0.7800926,0.7467263
0.7627315,0.7501403
0.7928241,0.772837
0.8321759,0.7843364
0.7893519,0.752456
0.7407407,0.70373696
0.6782407,0.6256306
0.5717593,0.5248709
0.46875,0.43330085
0.39467594,0.35241932
0.34837964,0.30260628
0.3263889,0.32481307
0.32407406,0.32811353
0.33912036,0.34026092
0.39814815,0.41302928
0.5405093,0.56614476
0.7164352,0.7256759
0.8368056,0.8388632
0.8958333,0.871952
0.8958333,0.8777517
0.875,0.83452225
0.8263889,0.80679595
0.8391204,0.8167793
0.8287037,0.8087128
0.818287,0.8033335
0.8101852,0.8048034
0.8263889,0.8384546
0.8483796,0.85390663
0.7962963,0.8138839
0.7523148,0.76221365
0.6793981,0.6857711
0.5706019,0.5793477
0.46875,0.48185444
0.38078704,0.39909068
0.33912036,0.34221977
0.31828704,0.33051708
0.3125,0.32884198
0.32407406,0.33527339
0.37962964,0.3940706
0.525463,0.5265383
0.6979167,0.69321245
0.8136574,0.80988526
0.8761574,0.857685
0.8715278,0.8534198
0.8472222,0.82331276
0.8125,0.7801664
0.8148148,0.7838667
0.8032407,0.76891863
0.775463,0.76520693
0.7615741,0.7701167
0.7847222,0.7938752
0.8217593,0.8104516
0.78125,0.76796305
0.7407407,0.72682834
0.6747685,0.6517752
0.5856481,0.5639102
0.5046296,0.47616833
0.41782406,0.38636532
0.36805555,0.32801133
0.34837964,0.3222882
0.33564815,0.3166952
0.33680555,0.31517315
0.36574075,0.3533372
0.4189815,0.42369387
0.4861111,0.5101446
0.5509259,0.58526087
0.6319444,0.6633615
0.6747685,0.69284135
0.6747685,0.6759652
0.6585648,0.66062677
0.6469907,0.65566987
0.6296296,0.64293003
0.6157407,0.6489855
0.6134259,0.6539519
0.6643519,0.69774246
0.6979167,0.71373266
0.6747685,0.6970485
0.6388889,0.65670407
0.5844907,0.6038408
0.5081019,0.5197367
0.4409722,0.44995487
0.3738426,0.3762626
0.33449075,0.32530752
0.3090278,0.30313033
0.2986111,0.296984
0.2974537,0.29317364
0.32060185,0.3129043
0.36921296,0.36242184
0.41087964,0.42185938
0.4664352,0.48389477
0.5462963,0.5423753
0.5914352,0.5957017
0.6006944,0.5809053
0.5949074,0.58661985
0.5914352,0.5828669
0.5833333,0.5726764
0.5775463,0.58775127
0.5833333,0.60347426
0.650463,0.6442488
0.7037037,0.6832306
0.6898148,0.677643
0.6666667,0.651569
0.6006944,0.5944567
0.4976852,0.49099216
0.40625,0.4032724
0.33680555,0.32693356
0.2997685,0.2809255
0.28703704,0.2719024
0.27546296,0.2767256
0.29166666,0.28080958
0.35185185,0.3477634
0.4988426,0.49362418
0.6631944,0.67288566
0.7673611,0.7898957
0.8321759,0.84181434
0.8333333,0.84700775
0.818287,0.81144994
0.7905093,0.78298414
0.8113426,0.8051374
0.8043981,0.8028822
0.7928241,0.8026799
0.7743056,0.7923604
0.7835648,0.7988726
0.8136574,0.8117508
0.7662037,0.7746496
0.712963,0.7299229
0.6388889,0.6547494
0.5358796,0.5376157
0.43055555,0.43435526
0.34837964,0.35381237
0.2997685,0.30199796
0.2847222,0.29525304
0.27083334,0.29804537
0.2847222,0.29637584
0.3402778,0.3660555
0.49305555,0.5029911
0.6574074,0.67757267
0.7650463,0.79870355
0.8298611,0.8439614
0.8217593,0.83843946
0.8078704,0.7897239
0.7743056,0.76742685
0.7777778,0.77789456
0.7638889,0.7722102
0.7592593,0.77285993
0.744213,0.762751
0.7650463,0.78197366
0.8240741,0.79721594
0.7708333,0.7624063
0.7175926,0.72261983
0.6458333,0.6405303
0.5381944,0.52901256
0.42824075,0.42791682
0.34953704,0.34820464
0.3090278,0.29967535
0.28819445,0.28775895
0.2800926,0.2865387
0.2835648,0.2971397
0.33912036,0.36272064
0.4965278,0.49974903
0.6597222,0.67653966
0.7731481,0.7970596
0.8217593,0.81974137
0.818287,0.82731897
0.7928241,0.7759424
0.7465278,0.7489635
0.7546296,0.75450855
0.7395833,0.75188285
0.7291667,0.74698246
0.7256944,0.7514787
0.7268519,0.7726995
0.7824074,0.79039663
0.7488426,0.75220376
0.712963,0.7180502
0.6400463,0.6371394
0.5358796,0.5260842
0.4340278,0.4314648
0.3611111,0.3489513
0.31712964,0.30057168
0.30208334,0.31288862
0.2974537,0.3115322
0.3148148,0.3158547
0.375,0.38427123
0.5219907,0.52865297
0.6828704,0.7017451
0.7881944,0.8165638
0.8530093,0.8554477
0.849537,0.8532768
0.8194444,0.8136632
0.7673611,0.7842368
0.7858796,0.7958883
0.7789352,0.78719264
0.7685185,0.7833146
0.7569444,0.77822423
0.7627315,0.79446983
0.8148148,0.83105636
0.7743056,0.79185826
0.7303241,0.74470705
0.6574074,0.66512907
0.5428241,0.5594658
0.4965278,0.45330572
0.35532406,0.36611626
0.3113426,0.3159232
0.2939815,0.30561867
0.28703704,0.30738735
0.30555555,0.31530362
0.3599537,0.3786
0.5104167,0.51532567
0.6678241,0.6819123
0.7766204,0.7917276
0.8298611,0.8428901
0.8321759,0.8394899
0.8171296,0.8111161
0.7800926,0.77106345
0.7974537,0.78103685
0.7847222,0.7621218
0.7615741,0.7569555
0.7511574,0.7478384
0.7592593,0.749517
0.7974537,0.7680131
0.7592593,0.7374906
0.7083333,0.69662136
0.6354167,0.6257302
0.5324074,0.5409533
0.43287036,0.44646466
0.35416666,0.36077797
0.3101852,0.30740696
0.29282406,0.2844494
0.28125,0.2778862
0.2835648,0.2778231
0.3090278,0.29780474
0.36689815,0.34023076
0.4212963,0.40766078
0.5023148,0.48165366
0.5844907,0.5636719
0.6145833,0.59491056
0.6099537,0.58628637
0.5972222,0.5710133
0.5914352,0.5634936
0.5810185,0.55780435
0.5659722,0.56351995
0.5671296,0.5756595
0.6064815,0.6219999
0.6701389,0.6519646
0.6435185,0.6391041
0.6203704,0.59992456
0.5636574,0.5486259
0.4722222,0.4714544
0.39583334,0.40316582
0.3263889,0.33173925
0.28587964,0.28536767
0.27083334,0.27248135
0.25925925,0.26948038
0.2627315,0.26421225
0.28819445,0.27926776
0.33217594,0.30868307
0.3738426,0.3586004
0.4409722,0.42144936
0.5150463,0.49460366
0.5543981,0.53876233
0.5613426,0.5321255
0.5555556,0.53120065
0.5462963,0.52823514
0.537037,0.52771676
0.537037,0.5332998
0.5451389,0.55335784
0.5925926,0.6087212
0.6689815,0.6594103
0.6574074,0.65697724
0.6319444,0.62500024
0.5810185,0.561968
0.4837963,0.46433696
0.4039352,0.37729132
0.33564815,0.30874196
0.2974537,0.26187533
0.28819445,0.2712906
0.2835648,0.27743033
0.2974537,0.29163367
0.35416666,0.3509827
0.5069444,0.4924958
0.662037,0.657955
0.7766204,0.7826962
0.8425926,0.83221716
0.8425926,0.8352307
0.8125,0.8038425
0.7662037,0.76747835
0.787037,0.78019875
0.787037,0.78558
0.7743056,0.7813827
0.7627315,0.77061915
0.7604167,0.788137
0.8194444,0.82557565
0.7743056,0.79052395
0.7268519,0.7440953
0.6516204,0.6653109
0.5358796,0.550877
0.43171296,0.45419264
0.35185185,0.37076014
0.3090278,0.31310922
0.2939815,0.3101272
0.28703704,0.3149225
0.30671296,0.3258814
0.36574075,0.38811508
0.5150463,0.5247954
0.681713,0.69288516
0.806713,0.8194376
0.8564815,0.8640196
0.8414352,0.8595847
0.8159722,0.818513
0.7766204,0.7803763
0.7962963,0.7889796
0.7835648,0.78709364
0.775463,0.78121614
0.7638889,0.76840544
0.7662037,0.79078275
0.8333333,0.825829
0.8009259,0.79093605
0.75,0.74873865
0.6898148,0.66692984
0.5787037,0.5578421
0.4849537,0.4642794
0.41203704,0.37946254
0.38078704,0.32902297
0.36574075,0.33475906
0.36574075,0.33559114
0.38078704,0.3520788
0.43287036,0.42016265
0.5844907,0.55285007
0.7337963,0.7149832
0.8599537,0.832521
0.9050926,0.8609227
0.8854167,0.8657466
0.837963,0.81872046
0.7824074,0.7813674
0.7951389,0.79034936
0.7847222,0.7870467
0.7708333,0.7729472
0.7592593,0.76215017
0.7534722,0.7921974
0.8333333,0.8368563
0.8136574,0.8025278
0.7731481,0.76087195
0.7094907,0.67949224
0.6041667,0.5714979
0.5046296,0.4794081
0.43055555,0.39565763
0.39930555,0.34390143
0.3888889,0.35864568
0.3923611,0.36226672
0.40625,0.36769646
0.45949075,0.43096343
0.6099537,0.5651736
0.7569444,0.7241518
0.8680556,0.8437856
0.9236111,0.87551737
0.9131944,0.8772422
0.8634259,0.8256733
0.8043981,0.79281354
0.8136574,0.79593253
0.7951389,0.7950022
0.7777778,0.7808224
0.7627315,0.7636796
0.7581019,0.79258233
0.8449074,0.8519256
0.8217593,0.81930286
0.7685185,0.77286035
0.7094907,0.69736534
0.6099537,0.5881471
0.5092593,0.49546963
0.43171296,0.40898225
0.39699075,0.35815322
0.37962964,0.35018307
0.375,0.35346955
0.3900463,0.36470586
0.4513889,0.41914073
0.6006944,0.5509049
0.744213,0.70308745
0.8726852,0.8274302
0.9444444,0.864729
0.9131944,0.8646845
0.8761574,0.8177299
0.8217593,0.784106
0.8263889,0.7713998
0.8206019,0.769581
0.8055556,0.7558781
0.8032407,0.73806524
0.7928241,0.75113505
0.837963,0.800548
0.8055556,0.7763005
0.7592593,0.73393345
0.6840278,0.669975
0.59375,0.5741091
0.4988426,0.5002969
0.4212963,0.41163626
0.3761574,0.35570395
0.35416666,0.3369227
0.34953704,0.33865887
0.3611111,0.3291607
0.3935185,0.36990866
0.4537037,0.4460837
0.5115741,0.5055111
0.6122685,0.5842289
0.6793981,0.6730711
0.6979167,0.6895864
0.6875,0.67047745
0.6666667,0.6617923
0.6574074,0.6486384
0.6435185,0.6274494
0.625,0.639204
0.619213,0.6231599
0.6412037,0.6642312
0.7199074,0.7042212
0.712963,0.7209762
0.6909722,0.67050695
0.6342593,0.6007935
0.5509259,0.52702236
0.47800925,0.4533143
0.41550925,0.39302936
0.38078704,0.32209545
0.36458334,0.33212435
0.3587963,0.32909933
0.3587963,0.33006382
0.3877315,0.35710886
0.4409722,0.43867078
0.4861111,0.4859297
0.5821759,0.556465
0.6493056,0.61306614
0.6516204,0.6533914
0.6388889,0.63784415
0.6319444,0.64791775
0.6238426,0.6400654
0.6122685,0.6259893
0.6122685,0.64924
0.6030093,0.64427674
0.630787,0.6802797
0.7314815,0.74847007
0.7384259,0.76212156
0.7152778,0.71918064
0.6597222,0.6483276
0.5648148,0.5297154
0.4861111,0.4448179
0.41782406,0.37609103
0.38425925,0.31946555
0.38078704,0.33176076
0.39583334,0.33113745
0.4039352,0.3482334
0.44675925,0.40351412
0.5914352,0.5732152
0.7199074,0.74533254
0.849537,0.88610214
0.9027778,0.922695
0.8888889,0.9333411
0.8553241,0.86854136
0.8136574,0.85803986
0.8310185,0.8563877
0.8298611,0.8693566
0.8171296,0.8912686
0.7986111,0.8420764
0.787037,0.81295645
0.8541667,0.8926448
0.8425926,0.84935087
0.7974537,0.79577804
0.7141204,0.73800164
0.6018519,0.5902657
0.5034722,0.49313366
0.4212963,0.39119905
0.3877315,0.35474095
0.375,0.36486822
0.36805555,0.3656904
0.38657406,0.37696925
0.44212964,0.43374684
0.587963,0.6195111
0.7141204,0.75582266
0.8402778,0.9026101
0.8946759,0.9305776
0.8900463,0.925429
0.8680556,0.8606463
0.8194444,0.85014224
0.8344907,0.82696503
0.8275463,0.8427094
0.8090278,0.8654499
0.7916667,0.8147652
0.7789352,0.7846294
0.8622685,0.8583975
0.8611111,0.84150225
0.8032407,0.79578596
0.7233796,0.7353119
0.6122685,0.5973088
0.5138889,0.5025807
0.44675925,0.4208416
0.40046296,0.37972867
0.3912037,0.3521697
0.38194445,0.35696417
0.40162036,0.38499907
0.4548611,0.45384696
0.6064815,0.63090193
0.744213,0.7582995
0.8726852,0.89245397
0.9363426,0.8933859
0.9270833,0.90015864
0.900463,0.8248651
0.8622685,0.823372
0.8657407,0.78350866
0.8668981,0.7987566
