true,forecasted
0.3275463,0.3256493
0.32175925,0.3215157
0.3414352,0.3346281
0.40162036,0.37043142
0.5451389,0.47849366
0.7152778,0.6693343
0.8090278,0.78562886
0.8425926,0.8502833
0.8541667,0.84237146
0.8240741,0.8341312
0.7719907,0.7974314
0.7916667,0.8069456
0.7847222,0.80245274
0.7824074,0.7837663
0.7708333,0.78754956
0.8032407,0.7689857
0.8263889,0.806706
0.7800926,0.78526825
0.7395833,0.7354775
0.662037,0.65741116
0.5532407,0.5532244
0.44675925,0.45354807
0.3726852,0.37285724
0.3298611,0.32457033
0.30787036,0.31114045
0.30092594,0.3075226
0.3148148,0.31035638
0.3726852,0.36280978
0.5196759,0.49952888
0.6875,0.6386798
0.7928241,0.7895797
0.8483796,0.8275555
0.8518519,0.82372504
0.8310185,0.8079479
0.7962963,0.76575327
0.806713,0.7769218
0.7962963,0.7627541
0.7800926,0.7504145
0.7627315,0.7393082
0.7928241,0.70092136
0.8321759,0.7627554
0.7893519,0.75642073
0.7407407,0.7213304
0.6782407,0.640855
0.5717593,0.5280335
0.46875,0.43392074
0.39467594,0.35047606
0.34837964,0.31677863
0.3263889,0.3539419
0.32407406,0.34865263
0.33912036,0.35113972
0.39814815,0.40920416
0.5405093,0.55113816
0.7164352,0.6870873
0.8368056,0.82269186
0.8958333,0.873571
0.8958333,0.8650153
0.875,0.8472839
0.8263889,0.8058397
0.8391204,0.8168869
0.8287037,0.8027258
0.818287,0.7732872
0.8101852,0.7761274
0.8263889,0.7584696
0.8483796,0.81753343
0.7962963,0.7952209
0.7523148,0.7388634
0.6793981,0.66949934
0.5706019,0.58123285
0.46875,0.4710756
0.38078704,0.39466915
0.33912036,0.35013214
0.31828704,0.34422907
0.3125,0.3371943
0.32407406,0.35851288
0.37962964,0.3849007
0.525463,0.52553064
0.6979167,0.68537134
0.8136574,0.8076102
0.8761574,0.8569276
0.8715278,0.8515428
0.8472222,0.83126897
0.8125,0.7845461
0.8148148,0.7961205
0.8032407,0.7791837
0.775463,0.7551318
0.7615741,0.7563089
0.7847222,0.7439144
0.8217593,0.7932007
0.78125,0.75902736
0.7407407,0.72107655
0.6747685,0.6413586
0.5856481,0.5603983
0.5046296,0.45939162
0.41782406,0.38602427
0.36805555,0.33973625
0.34837964,0.34717098
0.33564815,0.33352306
0.33680555,0.33706367
0.36574075,0.35955948
0.4189815,0.3891554
0.4861111,0.45725212
0.5509259,0.5335975
0.6319444,0.6050095
0.6747685,0.6386352
0.6747685,0.6515256
0.6585648,0.6266493
0.6469907,0.6197752
0.6296296,0.59287685
0.6157407,0.57497954
0.6134259,0.582542
0.6643519,0.59427834
0.6979167,0.6771621
0.6747685,0.659386
0.6388889,0.64190406
0.5844907,0.57491994
0.5081019,0.50226605
0.4409722,0.4316506
0.3738426,0.36319652
0.33449075,0.3125953
0.3090278,0.3072362
0.2986111,0.2988767
0.2974537,0.31074032
0.32060185,0.33297053
0.36921296,0.34078565
0.41087964,0.39417285
0.4664352,0.45369932
0.5462963,0.5266452
0.5914352,0.5764883
0.6006944,0.5871996
0.5949074,0.57791513
0.5914352,0.5718199
0.5833333,0.5628277
0.5775463,0.5456781
0.5833333,0.5548917
0.650463,0.5891901
0.7037037,0.6704694
0.6898148,0.6693278
0.6666667,0.64829016
0.6006944,0.60203874
0.4976852,0.4928896
0.40625,0.39946818
0.33680555,0.33844548
0.2997685,0.29832202
0.28703704,0.29144415
0.27546296,0.28878936
0.29166666,0.2975879
0.35185185,0.3563529
0.4988426,0.4769905
0.6631944,0.6522803
0.7673611,0.7920081
0.8321759,0.86017776
0.8333333,0.85541403
0.818287,0.8345105
0.7905093,0.7889962
0.8113426,0.81828123
0.8043981,0.79828703
0.7928241,0.785247
0.7743056,0.7849936
0.7835648,0.74436766
0.8136574,0.787756
0.7662037,0.76753527
0.712963,0.7335519
0.6388889,0.6376527
0.5358796,0.5295635
0.43055555,0.44149703
0.34837964,0.34626088
0.2997685,0.30258632
0.2847222,0.30467388
0.27083334,0.2888118
0.2847222,0.30441788
0.3402778,0.35385174
0.49305555,0.48179397
0.6574074,0.640088
0.7650463,0.7635013
0.8298611,0.8204841
0.8217593,0.8228931
0.8078704,0.8016341
0.7743056,0.7542243
