true,forecasted
0.33974895,0.31840533
0.3338912,0.32083946
0.34476987,0.3222297
0.40920502,0.3712763
0.6,0.5648091
0.776569,0.73760515
0.86443514,0.82710576
0.9054393,0.86034316
0.8953975,0.8567925
0.883682,0.8536919
0.8594142,0.8415907
0.8761506,0.85316306
0.8577406,0.83937454
0.8384937,0.8351303
0.81506276,0.82421106
0.8376569,0.8534284
0.8761506,0.8485912
0.832636,0.82822984
0.7740586,0.7880644
0.683682,0.70005476
0.54811716,0.5535076
0.44518828,0.422837
0.39246863,0.35901535
0.34728032,0.32081485
0.32301256,0.30258453
0.31882846,0.3015685
0.3330544,0.30452082
0.3958159,0.36058074
0.58075315,0.557881
0.7364017,0.7332631
0.8284519,0.82202053
0.865272,0.859359
0.86025107,0.8544692
0.8493724,0.8431038
0.8276151,0.82233894
0.8292887,0.82757384
0.8142259,0.80296427
0.7899582,0.7832003
0.76401675,0.7766168
0.8058577,0.8247218
0.87196654,0.83964455
0.8301255,0.8203919
0.776569,0.76489276
0.69707114,0.68160236
0.56736404,0.54592264
0.45355648,0.429769
0.38995817,0.35940236
0.35146442,0.31916657
0.3380753,0.3063879
0.33221757,0.30590805
0.34476987,0.3023534
0.4,0.35563415
0.58577406,0.5612377
0.7539749,0.7475789
0.85857743,0.83971107
0.90962344,0.87621504
0.92050207,0.86832696
0.91046023,0.858144
0.8811715,0.83326423
0.8786611,0.8427324
0.86108786,0.8216459
0.83933055,0.80611736
0.8050209,0.80266374
0.8334728,0.8385462
0.8761506,0.83772427
0.8351464,0.81527627
0.7841004,0.76114005
0.6979079,0.68839085
0.5690377,0.55254495
0.46025103,0.42940116
0.40334728,0.35580763
0.36569038,0.3137992
0.3422594,0.31789967
0.3380753,0.31927776
0.35564855,0.31961218
0.42008367,0.37297338
0.5882845,0.5591583
0.7539749,0.73183864
0.865272,0.82370806
0.93389124,0.8628019
0.9372385,0.8514434
0.9221757,0.83845025
0.8887029,0.8149818
0.88619244,0.81033665
0.8577406,0.7780996
0.82594144,0.7572351
0.7958159,0.76512015
0.8200837,0.8003675
0.8577406,0.8099357
0.82343096,0.7944089
0.76903766,0.7357564
0.68953973,0.66200733
0.57824266,0.5368001
0.47782427,0.42746767
