true,forecasted
0.33974895,0.31470641
0.3338912,0.31842434
0.34476987,0.32903886
0.40920502,0.4051726
0.6,0.59262305
0.776569,0.7697279
0.86443514,0.86588347
0.9054393,0.8911694
0.8953975,0.8864547
0.883682,0.887292
0.8594142,0.858968
0.8761506,0.8661184
0.8577406,0.8552642
0.8384937,0.83735824
0.81506276,0.8280522
0.8376569,0.8459537
0.8761506,0.83903605
0.832636,0.8251337
0.7740586,0.8031299
0.683682,0.7178278
0.54811716,0.55269754
0.44518828,0.4300061
0.39246863,0.35785514
0.34728032,0.3186274
0.32301256,0.29237115
0.31882846,0.30186737
0.3330544,0.31747296
0.3958159,0.4021001
0.58075315,0.5832439
0.7364017,0.7476115
0.8284519,0.8469648
0.865272,0.86749256
0.86025107,0.86115414
0.8493724,0.85271335
0.8276151,0.82903993
0.8292887,0.82504284
0.8142259,0.80803597
0.7899582,0.7836422
0.76401675,0.7655128
0.8058577,0.79130536
0.87196654,0.81650436
0.8301255,0.8123218
0.776569,0.78869843
0.69707114,0.6911578
0.56736404,0.54156256
0.45355648,0.4318875
0.38995817,0.36671716
0.35146442,0.32592046
0.3380753,0.30116707
0.33221757,0.3061466
0.34476987,0.3143455
0.4,0.38729694
0.58577406,0.5773398
0.7539749,0.756079
0.85857743,0.86275584
0.90962344,0.89112973
0.92050207,0.88501966
0.91046023,0.8790406
0.8811715,0.84941185
0.8786611,0.85321593
0.86108786,0.83379245
0.83933055,0.80956924
0.8050209,0.78253675
0.8334728,0.8111064
0.8761506,0.83996075
0.8351464,0.83190334
0.7841004,0.7951664
0.6979079,0.7048584
0.5690377,0.5588107
0.46025103,0.43328917
0.40334728,0.36700618
0.36569038,0.32581463
0.3422594,0.31738764
0.3380753,0.32372218
0.35564855,0.33024397
0.42008367,0.40977496
0.5882845,0.59143895
0.7539749,0.751179
0.865272,0.85163194
0.93389124,0.8819631
0.9372385,0.87578344
0.9221757,0.8662373
0.8887029,0.84122324
0.88619244,0.83293205
0.8577406,0.8054379
0.82594144,0.776389
0.7958159,0.7602131
0.8200837,0.8056105
0.8577406,0.8383714
0.82343096,0.8229134
0.76903766,0.7892239
0.68953973,0.6971518
0.57824266,0.55725574
0.47782427,0.4446817
0.40753138,0.38389224
0.3665272,0.34145436
0.34811714,0.30001366
0.33640167,0.2957676
0.34476987,0.300626
0.37405857,0.32712856
0.45188284,0.39418462
0.525523,0.48494893
0.5983264,0.5745266
0.683682,0.66172147
0.72384936,0.71034664
0.7280335,0.7317444
0.71297073,0.72084993
0.69121337,0.6953281
0.6585774,0.66334534
0.6384937,0.6312636
0.63514644,0.62044775
0.67280334,0.7082701
0.7221757,0.76613766
0.70209205,0.74888295
0.6635983,0.716231
