true,forecasted
0.33974895,0.27579346
0.3338912,0.28417656
0.34476987,0.29845193
0.40920502,0.36273658
0.6,0.55542135
0.776569,0.7078236
0.86443514,0.8068247
0.9054393,0.86209613
0.8953975,0.8387172
0.883682,0.82722664
0.8594142,0.81436485
0.8761506,0.81282145
0.8577406,0.8197422
0.8384937,0.8190011
0.81506276,0.80530363
0.8376569,0.817799
0.8761506,0.81813943
0.832636,0.7827985
0.7740586,0.72862875
0.683682,0.6564038
0.54811716,0.50871027
0.44518828,0.39708647
0.39246863,0.32759213
0.34728032,0.30532137
0.32301256,0.27973136
0.31882846,0.27856162
0.3330544,0.29833534
0.3958159,0.3574417
0.58075315,0.5449301
0.7364017,0.6948222
0.8284519,0.7839824
0.865272,0.8464137
0.86025107,0.838603
0.8493724,0.8319964
0.8276151,0.8122017
0.8292887,0.8019889
0.8142259,0.79340345
0.7899582,0.795488
0.76401675,0.772768
0.8058577,0.80289507
0.87196654,0.81098557
0.8301255,0.7799441
0.776569,0.74059415
0.69707114,0.6628443
0.56736404,0.51130146
0.45355648,0.41641816
0.38995817,0.3443705
0.35146442,0.3142855
0.3380753,0.29013902
0.33221757,0.29443273
0.34476987,0.31427243
0.4,0.36589974
0.58577406,0.54298514
0.7539749,0.6929342
0.85857743,0.7867248
0.90962344,0.839924
0.92050207,0.830016
0.91046023,0.81531453
0.8811715,0.7865773
0.8786611,0.7932521
0.86108786,0.77297115
0.83933055,0.7741579
0.8050209,0.7563564
0.8334728,0.7836291
0.8761506,0.8090295
0.8351464,0.7849349
0.7841004,0.7412852
0.6979079,0.6610733
0.5690377,0.5263277
0.46025103,0.41894796
0.40334728,0.34588566
0.36569038,0.31193912
0.3422594,0.30787233
0.3380753,0.30133674
0.35564855,0.31722423
0.42008367,0.3830985
0.5882845,0.554476
0.7539749,0.6981412
0.865272,0.7951293
0.93389124,0.8426412
0.9372385,0.8325708
0.9221757,0.82693624
0.8887029,0.80429584
0.88619244,0.7922679
0.8577406,0.768926
0.82594144,0.756202
0.7958159,0.7279848
0.8200837,0.76736015
0.8577406,0.7954411
0.82343096,0.7650182
0.76903766,0.70824003
0.68953973,0.64314806
0.57824266,0.514457
0.47782427,0.42268407
0.40753138,0.35694137
0.3665272,0.30478358
0.34811714,0.29071417
0.33640167,0.2675191
0.34476987,0.27502742
0.37405857,0.30288494
0.45188284,0.3816516
0.525523,0.4399022
0.5983264,0.5317962
0.683682,0.6292461
0.72384936,0.6419234
0.7280335,0.6675686
0.71297073,0.6612813
0.69121337,0.6188352
0.6585774,0.61472875
0.6384937,0.61713445
0.63514644,0.6160926
0.67280334,0.66194993
0.7221757,0.6840003
0.70209205,0.66745263
0.6635983,0.6103308
0.5983264,0.5751083
0.5037657,0.46824655
0.42594144,0.38271424
0.34560668,0.32145542
0.31715482,0.2719556
0.30125523,0.25572386
0.29372385,0.2456224
0.2828452,0.23865461
0.30376568,0.25433236
0.35648537,0.30911914
0.41841003,0.34788522
0.474477,0.4117208
0.5665272,0.50642675
0.6251046,0.5459074
0.6451883,0.5580834
0.64351463,0.54954076
0.632636,0.5474395
0.6167364,0.5417916
0.60585773,0.5547936
0.60167366,0.5731885
0.6677824,0.6103712
0.7288703,0.65280664
0.71297073,0.66165507
0.6736402,0.60229707
0.60251045,0.5440778
0.4828452,0.45035154
0.3882845,0.34457892
0.316318,0.26592773
0.28535566,0.2385809
0.26861924,0.27069572
0.26443514,0.26224613
0.2761506,0.28811473
0.33891213,0.36475766
0.5422594,0.54902285
0.7121339,0.69278425
0.8209205,0.7835708
0.8736402,0.83012044
0.8786611,0.8339101
0.8661088,0.8375132
0.85606694,0.8120301
0.87280333,0.8162295
0.8619247,0.7964081
0.8460251,0.79997826
0.81757325,0.75540054
0.81087863,0.75447667
0.8661088,0.7975454
0.8301255,0.7691332
0.7790795,0.73042476
0.6920502,0.63613987
0.5573222,0.50390404
0.4334728,0.40064624
0.3665272,0.33388138
0.32301256,0.30071515
0.3046025,0.26664636
0.2995816,0.28045958
0.31046024,0.29508847
0.37238494,0.37507072
0.57824266,0.5772817
0.73472804,0.7210084
0.8217573,0.8049057
0.87196654,0.8595901
0.8702929,0.84559083
0.8569038,0.84431994
0.8292887,0.83542216
0.83933055,0.8324625
0.8217573,0.8117435
0.81004184,0.804057
0.78493726,0.74836594
0.7866109,0.76263314
0.84853554,0.79162574
0.81757325,0.76913184
0.76987445,0.7196604
0.6870293,0.6356262
0.55648535,0.5026925
0.43849373,0.386569
0.36736402,0.32237557
0.33891213,0.2779489
0.32301256,0.2782459
0.316318,0.27257058
0.32552302,0.2962512
0.39748955,0.3383821
0.5790795,0.52485096
0.7213389,0.6814616
0.8217573,0.7773246
0.8736402,0.8233846
0.8736402,0.81850016
0.8669456,0.80868894
0.832636,0.7767139
0.8351464,0.7902247
0.81841004,0.76846206
0.8050209,0.757074
0.7866109,0.7120176
0.7824268,0.74076945
0.8435146,0.78391373
0.81004184,0.7775295
0.758159,0.7283236
0.6794979,0.6543297
0.5656904,0.52272916
0.45523012,0.408403
0.37154812,0.33938897
0.3506276,0.28311864
0.34058577,0.29218516
0.3380753,0.28100482
0.34728032,0.31080002
0.40167364,0.35626483
0.5740586,0.53478825
0.72719663,0.6859732
0.8410042,0.77429104
0.8878661,0.81936264
0.8820084,0.8206841
0.8677824,0.80566096
0.8301255,0.765951
0.82594144,0.7788879
0.80251044,0.7547884
0.7715481,0.7425229
0.74728036,0.7122509
0.76485354,0.7535077
0.8251046,0.79473853
0.78828454,0.7823788
0.73138076,0.7304634
0.6493724,0.65910494
0.53974897,0.5230188
0.43849373,0.42286867
0.35648537,0.35059848
0.31464434,0.30180448
0.2912134,0.29281312
0.28200838,0.27974173
0.28033474,0.31192708
0.2995816,0.36024678
0.358159,0.5180501
0.41422594,0.65392506
0.47698745,0.74927604
0.57238495,0.7953436
0.6142259,0.7911004
0.62343097,0.7859794
0.6209205,0.7593333
0.6117155,0.7444925
0.5924686,0.730484
0.5690377,0.70215845
0.5623431,0.686537
0.5924686,0.70245415
0.6502092,0.7257021
0.6292887,0.7122159
0.60585773,0.6637293
0.5548117,0.60662746
0.4661088,0.48196054
0.3707113,0.3954201
0.30627614,0.32380378
0.27280334,0.2728279
0.24853556,0.21430357
0.241841,0.19496736
0.24518828,0.21906789
0.26778242,0.21507932
0.33556485,0.27245548
0.3916318,0.30836013
0.4661088,0.40374237
0.56987447,0.4879904
0.609205,0.5366411
0.6167364,0.5638506
0.6125523,0.54162234
0.6041841,0.52455616
0.59163177,0.50857526
0.57740587,0.4951005
0.5832636,0.5068262
0.6083682,0.5436687
0.6828452,0.6027483
0.65941423,0.60899884
0.6209205,0.5639849
0.5573222,0.5061258
0.46861926,0.41184375
0.390795,0.3244434
0.32384938,0.25972643
0.28117156,0.2183355
0.2577406,0.22043541
0.24351464,0.21846808
0.24435146,0.23219737
0.26610878,0.24139933
0.32552302,0.34767094
0.37154812,0.43265888
0.43179917,0.51923215
0.51380754,0.5964571
0.5690377,0.60776305
0.5824268,0.6246855
0.58912134,0.59899014
0.58158994,0.60124743
0.57238495,0.5841354
0.5615063,0.5897595
0.5623431,0.5864946
0.6066946,0.58321726
0.7112971,0.64065313
0.69958156,0.6598264
0.6736402,0.60682726
0.59748954,0.52552027
0.47782427,0.43239862
0.38493723,0.32480118
0.31464434,0.25751585
0.27698743,0.22856517
0.26025105,0.22648156
0.2543933,0.22772725
0.26861924,0.24264851
0.33138075,0.2843926
0.5230126,0.4700565
0.6585774,0.60850877
0.7824268,0.7352362
0.8468619,0.80197805
0.8569038,0.7864203
0.85523015,0.79201066
0.83430964,0.75086325
0.84267783,0.76548576
0.82259417,0.7560564
0.7983264,0.75063896
0.748954,0.74397457
0.74811715,0.7270317
0.8359833,0.75097775
0.81087863,0.7578914
0.7548117,0.7025752
0.6794979,0.6236192
0.54309624,0.490998
0.42343095,0.38875684
0.36150628,0.30958036
0.3246862,0.28112277
0.30794978,0.25417495
0.30209205,0.2583852
0.3129707,0.27615184
0.3748954,0.31409526
0.5464435,0.48546162
0.6794979,0.6143499
0.8033473,0.7323272
0.85857743,0.80736524
0.85271966,0.77960575
0.8518829,0.7846836
0.83430964,0.7506923
0.8410042,0.749312
0.8251046,0.7265231
0.79916316,0.7308451
0.7715481,0.70208526
0.7623431,0.7126656
0.83682007,0.74463296
0.8125523,0.74331987
0.7682008,0.68749225
0.6794979,0.6237519
0.5548117,0.49368733
0.44937238,0.38936222
0.38912135,0.32862487
0.34728032,0.2917274
0.33556485,0.28517506
0.33472803,0.28682888
0.3539749,0.29469445
0.40167364,0.31912762
0.58075315,0.46627465
0.7112971,0.6252905
0.832636,0.727436
0.88284516,0.7873723
0.86861926,0.772624
0.86025107,0.7632288
0.8493724,0.7591174
0.85857743,0.73594046
0.8443515,0.7283686
0.8167364,0.71622884
0.7824268,0.70317477
0.77322173,0.7264982
0.865272,0.7644106
0.8543933,0.7562659
0.81506276,0.71610737
0.7288703,0.65756226
0.61087865,0.5286946
0.5179916,0.41705462
0.46108785,0.36784557
0.41422594,0.3073711
0.40083683,0.3376286
0.4,0.3250018
0.41422594,0.34609398
0.46945608,0.39788958
0.64351463,0.5537503
0.7790795,0.7136131
0.9004184,0.8134811
0.95648533,0.8489906
0.93891215,0.8467257
0.9029289,0.83991706
0.87698746,0.81705016
0.88284516,0.7936358
0.85857743,0.7804658
0.83179915,0.7596214
0.7974895,0.7486863
0.78493726,0.74746484
0.87447697,0.8122767
0.86945605,0.79751515
0.82259417,0.757908
0.7523013,0.7005689
0.63514644,0.5652043
0.5305439,0.46004423
0.4794979,0.39585653
0.44937238,0.34651148
0.4251046,0.37391686
0.42677826,0.34814635
0.4376569,0.3671755
0.483682,0.42247283
0.65104604,0.5404567
0.7874477,0.6464245
0.9221757,0.73655117
0.99330544,0.79581684
0.9732218,0.79566896
0.9380753,0.7964227
0.90209204,0.78349227
0.89288706,0.75063235
0.8677824,0.7486328
0.8351464,0.71860206
0.8050209,0.69512093
0.81087863,0.70998293
0.8845188,0.76869535
0.8677824,0.76059216
0.8167364,0.6987678
0.7380753,0.651368
0.61338913,0.54109377
0.52133894,0.4382303
0.45690376,0.38307124
0.4125523,0.34410056
0.3832636,0.32425353
0.37154812,0.3098687
0.37405857,0.32667294
0.39330545,0.35204
0.4594142,0.4224045
0.5171548,0.47205195
0.60753137,0.5617578
0.68535566,0.6609319
0.7138075,0.66939056
0.72301257,0.70185924
0.71799165,0.68460727
0.7054393,0.6546428
0.6711297,0.64157027
0.6359833,0.64178824
0.63179916,0.6365246
0.6493724,0.64933735
0.7414226,0.716408
0.74811715,0.70826614
0.7079498,0.65671086
0.64769876,0.62211
0.5523012,0.52509767
0.47698745,0.42451653
0.42343095,0.36065271
0.4,0.32700023
0.37322176,0.31660646
0.37405857,0.30955383
0.38242677,0.33282423
0.40251046,0.38191596
0.45606694,0.4307341
0.49121338,0.46346632
0.5790795,0.54058564
0.64853555,0.64495146
0.6702929,0.6721169
0.67280334,0.6933616
0.6711297,0.6882306
0.6543933,0.66365755
0.64016736,0.6518113
0.6259414,0.65828776
0.62677824,0.65994763
0.65606695,0.67161757
0.7598326,0.7546034
0.78493726,0.7428248
0.7523013,0.7067244
0.6962343,0.6460973
0.57238495,0.5514624
0.48033473,0.4444585
0.4175732,0.36960185
0.38661087,0.3403496
0.37322176,0.32370567
0.37238494,0.312131
0.3916318,0.3441989
0.46025103,0.4682002
0.6794979,0.660599
0.8217573,0.76054907
0.94393307,0.87250376
0.9924686,0.93332034
0.96317995,0.90465283
0.9464435,0.9238819
0.92635983,0.9119118
0.9288703,0.8947301
0.91046023,0.85819757
0.89623433,0.8505581
0.8661088,0.7927886
0.8502092,0.7750161
0.9288703,0.85067344
0.9280335,0.8166428
0.87698746,0.77792513
0.7916318,0.6872922
0.6468619,0.57913727
0.53472805,0.4658224
0.47364017,0.40504405
0.43012553,0.3757156
0.4209205,0.32922205
0.4251046,0.3454118
0.43598327,0.37815303
0.4962343,0.5056652
0.692887,0.6956185
0.83179915,0.8037545
0.94393307,0.9080057
0.98242676,0.95806867
0.9748954,0.9180846
0.96317995,0.92222106
0.94811714,0.92615
0.9506276,0.9034462
0.925523,0.8811253
0.8995816,0.89886534
0.86945605,0.82589674
0.85271966,0.8116475
0.93054396,0.85814714
0.93054396,0.839568
0.87698746,0.7691517
0.79414225,0.69072425
0.65355647,0.55610275
0.54895395,0.4458923
0.48117155,0.40338618
0.44686192,0.3677542
0.4284519,0.37202293
0.42594144,0.3699344
0.4368201,0.4138147
0.5004184,0.5089069
0.6979079,0.6941071
0.832636,0.82068074
0.9430962,0.91485184
0.99079496,0.96930987
0.99330544,0.94279945
0.98159,0.9482511
0.97154814,0.93626624
0.96820086,0.9135968
0.9456067,0.88715833
0.9221757,0.8934326
0.8845188,0.8391367
0.86443514,0.83683753
0.934728,0.8845711
0.9372385,0.8679501
0.90125525,0.815922
0.8125523,0.7240665
0.68033475,0.5835747
0.5497908,0.48546168
0.47698745,0.43235168
0.4376569,0.38695836
0.42343095,0.3704216
0.41589957,0.370087
0.43012553,0.40547475
0.49288702,0.50336903
0.68535566,0.6815275
0.81841004,0.79814994
0.9372385,0.8794214
0.9807531,0.91894996
0.97405857,0.92337376
0.9648536,0.9257494
0.9514644,0.8895062
0.9656904,0.88720566
0.9506276,0.8556275
0.9355649,0.84613407
0.9079498,0.79595727
0.87196654,0.80751806
0.9322176,0.83207035
0.9246862,0.8297976
0.8887029,0.7604011
0.80167365,0.698983
0.64351463,0.5661682
0.53221756,0.4807109
0.4753138,0.4037061
0.43012553,0.35891572
0.40753138,0.3676514
0.40334728,0.3605385
0.41506276,0.39873138
0.46694562,0.47798747
0.6577406,0.62307715
0.78493726,0.75298816
0.8945607,0.834583
0.9372385,0.86950415
0.92301255,0.87712914
0.9087866,0.8834529
0.88619244,0.8486963
0.8811715,0.8219188
0.8577406,0.79568255
0.82259417,0.7742545
0.79414225,0.7333587
0.78828454,0.731927
0.8493724,0.7934103
0.86443514,0.77175725
