true,forecasted
0.33974895,0.29028377
0.3338912,0.28009203
0.34476987,0.2910143
0.40920502,0.3658457
0.6,0.55964386
0.776569,0.7322986
0.86443514,0.8033703
0.9054393,0.85460556
0.8953975,0.8578608
0.883682,0.83949655
0.8594142,0.824804
0.8761506,0.8299351
0.8577406,0.8178202
0.8384937,0.8217338
0.81506276,0.8160731
0.8376569,0.83223903
0.8761506,0.83057225
0.832636,0.7781294
0.7740586,0.73763245
0.683682,0.6558613
0.54811716,0.51627725
0.44518828,0.3960502
0.39246863,0.324399
0.34728032,0.29071784
0.32301256,0.27066916
0.31882846,0.26536313
0.3330544,0.278268
0.3958159,0.3519629
0.58075315,0.53716505
0.7364017,0.6845505
0.8284519,0.7550981
0.865272,0.79965144
0.86025107,0.7981199
0.8493724,0.79139
0.8276151,0.75995755
0.8292887,0.76336664
0.8142259,0.75479484
0.7899582,0.7656002
0.76401675,0.7462994
0.8058577,0.7902508
0.87196654,0.79040784
0.8301255,0.733882
0.776569,0.6937944
0.69707114,0.6145365
0.56736404,0.486799
0.45355648,0.39151222
0.38995817,0.32091963
0.35146442,0.284567
0.3380753,0.27412486
0.33221757,0.27991143
0.34476987,0.27757174
0.4,0.32716754
0.58577406,0.5152005
0.7539749,0.68754643
0.85857743,0.77427554
0.90962344,0.8149733
0.92050207,0.81502116
0.91046023,0.78983706
0.8811715,0.7678256
0.8786611,0.76914126
0.86108786,0.76491827
0.83933055,0.7598503
0.8050209,0.73562795
0.8334728,0.77091706
0.8761506,0.77924347
0.8351464,0.7424465
0.7841004,0.70786124
0.6979079,0.6304529
0.5690377,0.5041337
0.46025103,0.39280605
0.40334728,0.3246928
0.36569038,0.2752267
0.3422594,0.27973434
0.3380753,0.27998108
0.35564855,0.27792314
0.42008367,0.34328228
0.5882845,0.49039903
0.7539749,0.629359
0.865272,0.70964015
0.93389124,0.7541212
0.9372385,0.7689263
0.9221757,0.753281
0.8887029,0.71862674
0.88619244,0.7247295
0.8577406,0.6918117
0.82594144,0.67559034
0.7958159,0.67235816
0.8200837,0.71275395
0.8577406,0.75250375
0.82343096,0.71158856
0.76903766,0.6735448
0.68953973,0.5915598
0.57824266,0.4942367
0.47782427,0.396603
0.40753138,0.33128926
0.3665272,0.27988195
0.34811714,0.27891326
0.33640167,0.277467
0.34476987,0.27420875
0.37405857,0.29943565
0.45188284,0.37560698
0.525523,0.43728393
0.5983264,0.51925343
0.683682,0.5895542
0.72384936,0.6253242
0.7280335,0.62854105
0.71297073,0.6186379
0.69121337,0.60603297
0.6585774,0.58498156
0.6384937,0.5779857
