true,forecasted
0.33974895,0.33197218
0.3338912,0.32333323
0.34476987,0.33512336
0.40920502,0.3741832
0.6,0.55465686
0.776569,0.7302493
0.86443514,0.84433997
0.9054393,0.8921462
0.8953975,0.8885549
0.883682,0.88764167
0.8594142,0.8536401
0.8761506,0.8734147
0.8577406,0.86624956
0.8384937,0.8697641
0.81506276,0.87870896
0.8376569,0.878867
0.8761506,0.8598718
0.832636,0.83303505
0.7740586,0.7928197
0.683682,0.7125243
0.54811716,0.5632331
0.44518828,0.44200793
0.39246863,0.3794241
0.34728032,0.33484626
0.32301256,0.29833353
0.31882846,0.29195017
0.3330544,0.30505544
0.3958159,0.3526484
0.58075315,0.5244343
0.7364017,0.6846086
0.8284519,0.79284656
0.865272,0.8341388
0.86025107,0.83411396
0.8493724,0.8309908
0.8276151,0.7939358
0.8292887,0.8002297
0.8142259,0.7851282
0.7899582,0.7742007
0.76401675,0.79007983
0.8058577,0.82309556
0.87196654,0.8375748
0.8301255,0.8204109
0.776569,0.7711761
0.69707114,0.68734074
0.56736404,0.55203384
0.45355648,0.4435375
0.38995817,0.37655362
0.35146442,0.32991955
0.3380753,0.3144772
0.33221757,0.3078929
0.34476987,0.32394975
0.4,0.38254413
0.58577406,0.56362754
0.7539749,0.7280381
0.85857743,0.8309789
0.90962344,0.87197185
0.92050207,0.86226386
0.91046023,0.8553332
0.8811715,0.8250855
0.8786611,0.8300084
0.86108786,0.8102341
0.83933055,0.7916254
0.8050209,0.7709082
0.8334728,0.807377
0.8761506,0.8302211
0.8351464,0.7997157
0.7841004,0.7529412
0.6979079,0.67279005
0.5690377,0.54018235
0.46025103,0.4307091
0.40334728,0.36176357
0.36569038,0.32250002
0.3422594,0.31835818
0.3380753,0.3129415
0.35564855,0.32794908
0.42008367,0.38050684
0.5882845,0.5607945
0.7539749,0.72152764
0.865272,0.8235855
0.93389124,0.8620794
0.9372385,0.8497032
0.9221757,0.84115475
0.8887029,0.8099094
0.88619244,0.81311464
0.8577406,0.78807575
0.82594144,0.7650331
0.7958159,0.744801
0.8200837,0.7891128
0.8577406,0.8146624
0.82343096,0.7873836
0.76903766,0.737243
0.68953973,0.6583251
0.57824266,0.5399688
0.47782427,0.4391813
0.40753138,0.36655393
0.3665272,0.32497236
0.34811714,0.32378286
0.33640167,0.31666273
0.34476987,0.3143008
0.37405857,0.31222585
0.45188284,0.39251754
0.525523,0.47212768
0.5983264,0.5549353
0.683682,0.6398145
0.72384936,0.6698538
0.7280335,0.6896404
0.71297073,0.68032825
0.69121337,0.6743405
0.6585774,0.6557692
0.6384937,0.6409749
0.63514644,0.6469869
0.67280334,0.7037115
0.7221757,0.73373276
0.70209205,0.7151014
0.6635983,0.6726181
0.5983264,0.6070025
0.5037657,0.5055421
0.42594144,0.4106655
0.34560668,0.33749598
0.31715482,0.29544535
0.30125523,0.2906645
0.29372385,0.28702825
0.2828452,0.28762376
0.30376568,0.2991329
0.35648537,0.3608315
0.41841003,0.42595774
0.474477,0.48902434
0.5665272,0.57861674
0.6251046,0.62788093
0.6451883,0.6453568
0.64351463,0.64791775
0.632636,0.6378776
0.6167364,0.6254503
0.60585773,0.6067246
0.60167366,0.63527477
0.6677824,0.7153673
0.7288703,0.73047477
0.71297073,0.7154695
0.6736402,0.6725852
0.60251045,0.6033516
0.4828452,0.49154493
0.3882845,0.39086115
0.316318,0.3192172
0.28535566,0.28490984
0.26861924,0.25378406
0.26443514,0.25165257
0.2761506,0.2625172
0.33891213,0.3387096
0.5422594,0.5385219
0.7121339,0.72805274
0.8209205,0.84112287
0.8736402,0.8891381
0.8786611,0.8905561
0.8661088,0.8847383
0.85606694,0.8641193
0.87280333,0.8700679
0.8619247,0.8584756
0.8460251,0.84524226
0.81757325,0.81830615
0.81087863,0.8313657
0.8661088,0.8597651
0.8301255,0.824248
0.7790795,0.7652859
0.6920502,0.68064404
0.5573222,0.5426484
0.4334728,0.424333
0.3665272,0.3637701
0.32301256,0.32898912
0.3046025,0.29605395
0.2995816,0.28951225
0.31046024,0.29952577
0.37238494,0.3445131
0.57824266,0.52796626
0.73472804,0.6913341
0.8217573,0.80831766
0.87196654,0.8528104
0.8702929,0.8497988
0.8569038,0.8454248
0.8292887,0.8098372
0.83933055,0.82409763
0.8217573,0.81390256
0.81004184,0.81242085
0.78493726,0.81722987
0.7866109,0.82698405
0.84853554,0.83091754
0.81757325,0.8053749
0.76987445,0.7608803
0.6870293,0.68471885
0.55648535,0.54144466
0.43849373,0.41997555
0.36736402,0.35741803
0.33891213,0.31431898
0.32301256,0.2939096
0.316318,0.29005605
0.32552302,0.3012457
0.39748955,0.34410283
0.5790795,0.5182175
0.7213389,0.67740047
0.8217573,0.7928612
0.8736402,0.8381907
0.8736402,0.83343935
0.8669456,0.83033395
0.832636,0.7964914
0.8351464,0.8059949
0.81841004,0.78693193
0.8050209,0.7710497
0.7866109,0.75600046
0.7824268,0.7789961
0.8435146,0.8145849
0.81004184,0.8051775
0.758159,0.75892204
0.6794979,0.67667735
0.5656904,0.5397808
0.45523012,0.4314681
0.37154812,0.36208403
0.3506276,0.31626692
0.34058577,0.30805403
0.3380753,0.30390686
0.34728032,0.32032636
0.40167364,0.37589815
0.5740586,0.5511812
0.72719663,0.7094425
0.8410042,0.81025505
0.8878661,0.8511774
0.8820084,0.8407657
0.8677824,0.8345107
0.8301255,0.80537355
0.82594144,0.80843383
0.80251044,0.7869428
0.7715481,0.7630586
0.74728036,0.74014586
0.76485354,0.7784891
0.8251046,0.804923
0.78828454,0.78097326
0.73138076,0.733901
0.6493724,0.6534262
0.53974897,0.53003186
0.43849373,0.42768815
0.35648537,0.35669723
0.31464434,0.31460327
0.2912134,0.29102558
0.28200838,0.28748152
0.28033474,0.29040223
0.2995816,0.2990504
0.358159,0.38115278
0.41422594,0.46050307
0.47698745,0.5434903
0.57238495,0.6241852
0.6142259,0.65293574
0.62343097,0.66707754
0.6209205,0.66112113
0.6117155,0.6528476
0.5924686,0.63300997
0.5690377,0.61352384
0.5623431,0.60498744
0.5924686,0.66065514
0.6502092,0.7057356
0.6292887,0.6880504
0.60585773,0.6402212
0.5548117,0.5680556
0.4661088,0.46316877
0.3707113,0.36819693
0.30627614,0.2988989
0.27280334,0.2635549
0.24853556,0.23708816
0.241841,0.22978134
0.24518828,0.22493067
0.26778242,0.24273595
0.33556485,0.29278937
0.3916318,0.346911
0.4661088,0.4112904
0.56987447,0.49509326
0.609205,0.54497087
0.6167364,0.56070244
0.6125523,0.5727642
0.6041841,0.5641345
0.59163177,0.54938424
0.57740587,0.53557324
0.5832636,0.5514695
