true,forecasted
0.33974895,0.33388448
0.3338912,0.32933939
0.34476987,0.34039754
0.40920502,0.40376684
0.6,0.5950001
0.776569,0.7656642
0.86443514,0.8625263
0.9054393,0.8953725
0.8953975,0.8933422
0.883682,0.8776708
0.8594142,0.85085285
0.8761506,0.85904676
0.8577406,0.84569496
0.8384937,0.8295998
0.81506276,0.82144505
0.8376569,0.8507635
0.8761506,0.84883356
0.832636,0.8152461
0.7740586,0.7808391
0.683682,0.6964091
0.54811716,0.5555837
0.44518828,0.4368955
0.39246863,0.37262887
0.34728032,0.32780144
0.32301256,0.31600034
0.31882846,0.3105858
0.3330544,0.314995
0.3958159,0.38012838
0.58075315,0.5732127
0.7364017,0.7384236
0.8284519,0.8318274
0.865272,0.86269677
0.86025107,0.8580453
0.8493724,0.8409362
0.8276151,0.8143374
0.8292887,0.8177912
0.8142259,0.79831916
0.7899582,0.781831
0.76401675,0.7818692
0.8058577,0.8430258
0.87196654,0.84880114
0.8301255,0.80455226
0.776569,0.76749754
0.69707114,0.68481183
0.56736404,0.5530967
0.45355648,0.44517875
0.38995817,0.37941834
0.35146442,0.3313672
0.3380753,0.32927418
0.33221757,0.32398313
0.34476987,0.33039755
0.4,0.39121315
0.58577406,0.58096206
0.7539749,0.7483312
0.85857743,0.8409916
0.90962344,0.876957
0.92050207,0.87326884
0.91046023,0.8568178
0.8811715,0.8296975
0.8786611,0.8303069
0.86108786,0.8061755
0.83933055,0.77756757
0.8050209,0.7590302
0.8334728,0.8269642
0.8761506,0.83689845
0.8351464,0.7920034
0.7841004,0.75107217
0.6979079,0.6732651
0.5690377,0.54631186
0.46025103,0.43630114
0.40334728,0.36921066
0.36569038,0.32652366
0.3422594,0.34377986
0.3380753,0.33804682
0.35564855,0.34546673
0.42008367,0.40143025
0.5882845,0.5859172
0.7539749,0.7519761
0.865272,0.8418602
0.93389124,0.87890357
0.9372385,0.8737424
0.9221757,0.85592085
0.8887029,0.82523453
0.88619244,0.8179863
0.8577406,0.7854571
0.82594144,0.75412023
0.7958159,0.7568263
0.8200837,0.83447564
0.8577406,0.83875924
0.82343096,0.788364
0.76903766,0.7432151
0.68953973,0.6651957
0.57824266,0.5461481
0.47782427,0.44274676
0.40753138,0.37505314
0.3665272,0.32886565
0.34811714,0.33560723
0.33640167,0.32728183
0.34476987,0.32814115
0.37405857,0.3482897
0.45188284,0.4205279
0.525523,0.49507743
0.5983264,0.5677404
0.683682,0.645154
0.72384936,0.6906316
0.7280335,0.70548534
0.71297073,0.69583213
0.69121337,0.6789089
0.6585774,0.64780086
0.6384937,0.632694
0.63514644,0.661625
0.67280334,0.73104763
0.7221757,0.74238855
0.70209205,0.70454353
0.6635983,0.66912824
0.5983264,0.6083103
0.5037657,0.5104163
0.42594144,0.41699037
0.34560668,0.35387498
0.31715482,0.3066423
0.30125523,0.27474236
0.29372385,0.26418775
0.2828452,0.26274616
0.30376568,0.28006238
0.35648537,0.32457122
0.41841003,0.37984335
0.474477,0.43459636
0.5665272,0.5220816
0.6251046,0.58232355
0.6451883,0.60639066
0.64351463,0.6024816
0.632636,0.5952994
0.6167364,0.5707665
0.60585773,0.54909134
0.60167366,0.5829098
0.6677824,0.6726435
0.7288703,0.6999924
0.71297073,0.6859139
0.6736402,0.65102255
0.60251045,0.5756774
0.4828452,0.46899903
0.3882845,0.37568974
0.316318,0.30324143
0.28535566,0.26524264
0.26861924,0.2711227
0.26443514,0.26904213
0.2761506,0.28618467
0.33891213,0.36682668
0.5422594,0.56538594
0.7121339,0.7198396
0.8209205,0.81692773
0.8736402,0.86371773
0.8786611,0.87375444
0.8661088,0.8674484
0.85606694,0.8509513
0.87280333,0.8522039
0.8619247,0.8361308
0.8460251,0.81234616
0.81757325,0.79437375
0.81087863,0.83273584
0.8661088,0.8409817
0.8301255,0.80756813
0.7790795,0.77208054
0.6920502,0.6809746
0.5573222,0.54482985
0.4334728,0.42957488
0.3665272,0.3640543
0.32301256,0.32044637
0.3046025,0.300947
0.2995816,0.29402417
0.31046024,0.30273855
0.37238494,0.36734307
0.57824266,0.562217
0.73472804,0.7320769
0.8217573,0.83220375
0.87196654,0.8671421
0.8702929,0.86487705
0.8569038,0.8466442
0.8292887,0.8228636
0.83933055,0.8330285
0.8217573,0.8198312
0.81004184,0.8091089
0.78493726,0.8080227
0.7866109,0.83905286
0.84853554,0.8401627
0.81757325,0.79703385
0.76987445,0.7539202
0.6870293,0.6705611
0.55648535,0.5354923
0.43849373,0.41678828
0.36736402,0.35184026
0.33891213,0.30975962
0.32301256,0.30574244
0.316318,0.29675078
0.32552302,0.30102795
0.39748955,0.3630213
0.5790795,0.5485475
0.7213389,0.71463525
0.8217573,0.82621527
0.8736402,0.8612527
0.8736402,0.85543877
0.8669456,0.84492534
0.832636,0.82088315
0.8351464,0.8260552
0.81841004,0.80696255
0.8050209,0.78319514
0.7866109,0.7442063
0.7824268,0.79702055
0.8435146,0.83958197
0.81004184,0.807329
0.758159,0.7697202
0.6794979,0.68919957
0.5656904,0.55735576
0.45523012,0.44514546
0.37154812,0.37324825
0.3506276,0.32318747
0.34058577,0.32456595
0.3380753,0.31655115
0.34728032,0.32431376
0.40167364,0.38571736
0.5740586,0.5726431
0.72719663,0.7390643
0.8410042,0.8406813
0.8878661,0.88028115
0.8820084,0.87967753
0.8677824,0.8668467
0.8301255,0.8398196
0.82594144,0.84119433
0.80251044,0.8175955
0.7715481,0.7876694
0.74728036,0.7590786
0.76485354,0.82186556
0.8251046,0.83549947
0.78828454,0.7940555
0.73138076,0.7565169
0.6493724,0.6750157
0.53974897,0.54558223
0.43849373,0.43597046
0.35648537,0.36785263
0.31464434,0.3239236
0.2912134,0.30702734
0.28200838,0.30194739
0.28033474,0.30331492
0.2995816,0.32435942
0.358159,0.4023608
0.41422594,0.4809685
0.47698745,0.5562699
0.57238495,0.628115
0.6142259,0.6679014
0.62343097,0.6771485
0.6209205,0.6629784
0.6117155,0.64493454
0.5924686,0.6163502
0.5690377,0.5940449
0.5623431,0.6095973
0.5924686,0.6892663
0.6502092,0.70395267
0.6292887,0.6735502
0.60585773,0.6326749
0.5548117,0.5682721
0.4661088,0.4659127
0.3707113,0.3690902
0.30627614,0.3055342
0.27280334,0.26974532
0.24853556,0.24040729
0.241841,0.22629128
0.24518828,0.2225653
0.26778242,0.24315155
0.33556485,0.284308
0.3916318,0.3287272
0.4661088,0.38657588
0.56987447,0.47204253
0.609205,0.53148705
0.6167364,0.55977386
0.6125523,0.5657432
0.6041841,0.55703634
0.59163177,0.5355023
0.57740587,0.50749296
0.5832636,0.5045402
0.6083682,0.57900107
0.6828452,0.6404799
0.65941423,0.647274
0.6209205,0.6105694
0.5573222,0.5462321
0.46861926,0.44422132
0.390795,0.34955892
0.32384938,0.2739802
0.28117156,0.23536797
0.2577406,0.25964856
0.24351464,0.25595298
0.24435146,0.26816082
0.26610878,0.33965573
0.32552302,0.51838887
0.37154812,0.64606136
0.43179917,0.74271816
0.51380754,0.79575473
0.5690377,0.81187016
0.5824268,0.81225675
0.58912134,0.7983568
0.58158994,0.7993395
0.57238495,0.7756259
0.5615063,0.74985003
0.5623431,0.72026336
0.6066946,0.75806874
0.7112971,0.78107333
0.69958156,0.75416714
0.6736402,0.7254201
0.59748954,0.64592135
0.47782427,0.51996166
0.38493723,0.41457886
0.31464434,0.35381833
0.27698743,0.3084575
0.26025105,0.2543878
0.2543933,0.24605536
0.26861924,0.25950867
0.33138075,0.34144506
0.5230126,0.53738266
0.6585774,0.69436485
0.7824268,0.80610245
0.8468619,0.85663944
0.8569038,0.8667746
0.85523015,0.86313176
0.83430964,0.8484171
0.84267783,0.8497371
0.82259417,0.8342114
0.7983264,0.8105952
0.748954,0.7550862
0.74811715,0.7805769
0.8359833,0.83140457
0.81087863,0.8074042
0.7548117,0.7723946
0.6794979,0.692682
0.54309624,0.55614805
0.42343095,0.44538587
0.36150628,0.37992436
0.3246862,0.32533193
0.30794978,0.29335338
0.30209205,0.2853697
0.3129707,0.29113078
0.3748954,0.34713143
0.5464435,0.52871436
0.6794979,0.6903839
0.8033473,0.79895353
0.85857743,0.83768445
0.85271966,0.8380901
0.8518829,0.8287273
0.83430964,0.80297995
0.8410042,0.81000197
0.8251046,0.7929773
0.79916316,0.7675845
0.7715481,0.7202431
0.7623431,0.7529313
0.83682007,0.8106333
0.8125523,0.7939649
0.7682008,0.7637093
0.6794979,0.68167937
0.5548117,0.5433647
0.44937238,0.42799553
0.38912135,0.36002976
0.34728032,0.3114567
0.33556485,0.31950063
0.33472803,0.31109232
0.3539749,0.3198526
0.40167364,0.37762913
0.58075315,0.5585503
0.7112971,0.7253324
0.832636,0.82835984
0.88284516,0.86835974
0.86861926,0.8698136
0.86025107,0.8599533
0.8493724,0.8351374
0.85857743,0.8394025
0.8443515,0.81755364
0.8167364,0.7918377
0.7824268,0.7667019
0.77322173,0.80006355
0.865272,0.8319089
0.8543933,0.81110686
0.81506276,0.7730103
0.7288703,0.69091547
0.61087865,0.56269884
0.5179916,0.45360392
0.46108785,0.38598958
0.41422594,0.33850607
0.40083683,0.3679275
0.4,0.36258668
0.41422594,0.36839604
0.46945608,0.42342147
0.64351463,0.5956232
0.7790795,0.7577016
0.9004184,0.8635845
0.95648533,0.9020383
0.93891215,0.9028267
0.9029289,0.88883096
0.87698746,0.8617719
0.88284516,0.8542436
0.85857743,0.8237937
0.83179915,0.7831923
0.7974895,0.7342144
0.78493726,0.793065
0.87447697,0.84863406
0.86945605,0.82788205
0.82259417,0.78852266
0.7523013,0.71314025
0.63514644,0.59273
0.5305439,0.4853392
0.4794979,0.41356325
0.44937238,0.3646806
0.4251046,0.39363527
0.42677826,0.3898586
0.4376569,0.39539623
0.483682,0.41306818
0.65104604,0.48694864
0.7874477,0.5635269
0.9221757,0.6350932
0.99330544,0.71198875
0.9732218,0.7644745
0.9380753,0.7770217
0.90209204,0.7639433
0.89288706,0.74133164
0.8677824,0.698517
0.8351464,0.66005355
0.8050209,0.6541127
0.81087863,0.7325267
0.8845188,0.7917993
0.8677824,0.7689845
0.8167364,0.73187315
0.7380753,0.665944
0.61338913,0.56363755
0.52133894,0.46285465
0.45690376,0.39498553
0.4125523,0.34917966
0.3832636,0.39097923
0.37154812,0.3865928
0.37405857,0.39401275
0.39330545,0.41011572
0.4594142,0.4885846
0.5171548,0.5776036
0.60753137,0.6570405
0.68535566,0.7315417
0.7138075,0.77827585
0.72301257,0.78829944
0.71799165,0.7740679
0.7054393,0.7544131
0.6711297,0.718815
0.6359833,0.6963788
0.63179916,0.69733465
0.6493724,0.76026183
0.7414226,0.80937475
0.74811715,0.7868046
0.7079498,0.74264324
0.64769876,0.66952956
0.5523012,0.5655407
0.47698745,0.4657209
0.42343095,0.3967964
0.4,0.35285747
0.37322176,0.30407178
0.37405857,0.29959542
0.38242677,0.3028627
0.40251046,0.32805663
0.45606694,0.36972895
0.49121338,0.4126638
0.5790795,0.46824342
0.64853555,0.55471164
0.6702929,0.61776847
0.67280334,0.644129
0.6711297,0.6425776
0.6543933,0.6257939
0.64016736,0.6018122
0.6259414,0.5760976
0.62677824,0.5920922
