true,forecasted
0.33974895,0.31946325
0.3338912,0.31007046
0.34476987,0.31774515
0.40920502,0.3766498
0.6,0.55196404
0.776569,0.7188192
0.86443514,0.817949
0.9054393,0.8578828
0.8953975,0.8602058
0.883682,0.8455289
0.8594142,0.824934
0.8761506,0.82552475
0.8577406,0.8072456
0.8384937,0.7877733
0.81506276,0.78223485
0.8376569,0.8302403
0.8761506,0.8422845
0.832636,0.80188906
0.7740586,0.7620961
0.683682,0.66586244
0.54811716,0.540876
0.44518828,0.42942637
0.39246863,0.36651275
0.34728032,0.32486683
0.32301256,0.3192036
0.31882846,0.30774218
0.3330544,0.31709164
0.3958159,0.371744
0.58075315,0.5594329
0.7364017,0.72452253
0.8284519,0.83028585
0.865272,0.8609636
0.86025107,0.86396056
0.8493724,0.85813195
0.8276151,0.83568287
0.8292887,0.8398825
0.8142259,0.824496
0.7899582,0.8081064
0.76401675,0.8035731
0.8058577,0.833628
0.87196654,0.8379731
0.8301255,0.81024635
0.776569,0.7658066
0.69707114,0.6595995
0.56736404,0.54177326
0.45355648,0.42922303
0.38995817,0.360548
0.35146442,0.30877662
0.3380753,0.31467593
0.33221757,0.3125569
0.34476987,0.3222183
0.4,0.37863803
0.58577406,0.5697212
0.7539749,0.7354036
0.85857743,0.84358305
0.90962344,0.8751098
0.92050207,0.85953623
0.91046023,0.8667355
0.8811715,0.84348613
0.8786611,0.8411295
0.86108786,0.82550186
0.83933055,0.8009444
0.8050209,0.7917186
0.8334728,0.8154481
0.8761506,0.8428461
0.8351464,0.8039729
0.7841004,0.75770324
0.6979079,0.65654635
0.5690377,0.5287958
0.46025103,0.41698316
0.40334728,0.3453559
0.36569038,0.3045523
0.3422594,0.32626265
0.3380753,0.32344672
0.35564855,0.32219338
0.42008367,0.38820875
0.5882845,0.5614108
0.7539749,0.7173223
0.865272,0.82365066
0.93389124,0.86015505
0.9372385,0.85331446
0.9221757,0.8402234
0.8887029,0.81349283
0.88619244,0.81559026
0.8577406,0.7810047
0.82594144,0.7481459
0.7958159,0.74219775
0.8200837,0.76791006
0.8577406,0.81597275
0.82343096,0.77936846
0.76903766,0.72987217
0.68953973,0.6524609
0.57824266,0.52887064
0.47782427,0.42048517
0.40753138,0.34928516
0.3665272,0.3010848
0.34811714,0.32162228
0.33640167,0.31500056
0.34476987,0.31130454
0.37405857,0.3184473
0.45188284,0.39140925
0.525523,0.46637052
0.5983264,0.52810967
0.683682,0.6305612
0.72384936,0.66328305
0.7280335,0.6559851
0.71297073,0.65636563
0.69121337,0.6350335
0.6585774,0.60805094
0.6384937,0.59010184
0.63514644,0.6030018
0.67280334,0.66790265
0.7221757,0.7020518
0.70209205,0.6786423
0.6635983,0.64076084
0.5983264,0.5787342
0.5037657,0.4626876
0.42594144,0.3688901
0.34560668,0.31109974
0.31715482,0.26839936
0.30125523,0.2975505
0.29372385,0.28553036
0.2828452,0.28296143
0.30376568,0.28527114
0.35648537,0.34427974
0.41841003,0.40397146
0.474477,0.4494861
0.5665272,0.528608
0.6251046,0.5902516
0.6451883,0.5988572
0.64351463,0.6035829
0.632636,0.59668416
0.6167364,0.5808097
0.60585773,0.5718705
0.60167366,0.5769454
0.6677824,0.66936594
0.7288703,0.7049172
0.71297073,0.70038146
0.6736402,0.67965734
0.60251045,0.60045207
0.4828452,0.48655036
0.3882845,0.38636306
0.316318,0.31360736
0.28535566,0.2766753
0.26861924,0.26977077
0.26443514,0.26999304
0.2761506,0.27819043
0.33891213,0.35542452
0.5422594,0.5431365
0.7121339,0.72157204
0.8209205,0.82457495
0.8736402,0.86438066
0.8786611,0.8646844
0.8661088,0.85761476
0.85606694,0.84571487
0.87280333,0.8333432
0.8619247,0.82406926
0.8460251,0.793025
0.81757325,0.7684967
0.81087863,0.78958184
0.8661088,0.8215736
0.8301255,0.7896554
0.7790795,0.73980516
0.6920502,0.6367945
0.5573222,0.49780682
0.4334728,0.3899783
0.3665272,0.3253003
0.32301256,0.28826192
0.3046025,0.29140157
0.2995816,0.28385308
0.31046024,0.2936899
0.37238494,0.36039445
0.57824266,0.5390353
0.73472804,0.70211715
0.8217573,0.817691
0.87196654,0.8595181
0.8702929,0.849701
0.8569038,0.8381633
0.8292887,0.814739
0.83933055,0.8050685
0.8217573,0.7964444
0.81004184,0.7722963
0.78493726,0.7526958
0.7866109,0.7608517
0.84853554,0.8106568
0.81757325,0.77760345
0.76987445,0.73940986
0.6870293,0.6443165
0.55648535,0.5091015
0.43849373,0.40207133
0.36736402,0.3304726
0.33891213,0.28389028
0.32301256,0.30776763
0.316318,0.30593655
0.32552302,0.30704573
0.39748955,0.35524145
0.5790795,0.53173006
0.7213389,0.7010373
0.8217573,0.80510396
0.8736402,0.8383327
0.8736402,0.8417207
0.8669456,0.82199913
0.832636,0.80602413
0.8351464,0.8037266
0.81841004,0.7866799
0.8050209,0.75899327
0.7866109,0.73421687
0.7824268,0.7559746
0.8435146,0.8096283
