true,forecasted
0.4083558,0.41472661
0.38391733,0.39404553
0.37816712,0.3814155
0.3831087,0.3828975
0.42362982,0.425542
0.5572327,0.5595386
0.74681044,0.74419165
0.8395328,0.8544293
0.8591195,0.8770656
0.8291105,0.8678227
0.7933513,0.84969497
0.76154536,0.81498384
0.75696313,0.82014626
0.7628931,0.817266
0.78778076,0.8278891
0.82120395,0.8443728
0.875292,0.8835346
0.8900269,0.8882074
0.8513926,0.86140853
0.78238994,0.7863632
0.6960467,0.70528615
0.59685534,0.61237055
0.51401615,0.5242761
0.44357592,0.46473965
0.4024259,0.42478204
0.38185084,0.39831442
0.37915543,0.3818503
0.38823,0.38784748
0.42848158,0.42242754
0.55498654,0.5585367
0.74357593,0.7459623
0.8407008,0.8619077
0.8534591,0.89750874
0.8185085,0.880085
0.77439356,0.8641164
0.73468107,0.83279353
0.72686434,0.83029246
0.7315364,0.8288529
0.7601078,0.8303109
0.8079964,0.8472524
0.8744834,0.89906716
0.8814915,0.896672
0.8395328,0.86571187
0.7725966,0.7923424
0.6929919,0.7072978
0.6008086,0.60692644
0.52021563,0.5245004
0.45013478,0.46476436
0.4083558,0.41471988
0.38831985,0.39504978
0.38113207,0.37562406
0.3901168,0.38247678
0.4328841,0.4271551
0.56244385,0.5655743
0.74995506,0.75148004
0.841779,0.85724187
0.86433065,0.87838775
0.8373765,0.86758405
0.79712486,0.8459965
0.75732255,0.8154652
0.74761903,0.81725645
0.74483377,0.8155663
0.76756513,0.82545877
0.8114106,0.8369966
0.8713387,0.8819576
0.8885894,0.9014958
0.85184187,0.87847567
0.7881402,0.801344
0.701168,0.7094585
0.6027853,0.61304754
0.52803236,0.5245354
0.45822102,0.46288246
0.41302785,0.412644
0.39074573,0.3862458
0.38598382,0.37239578
0.39362085,0.37716892
0.43153638,0.41675532
0.55606467,0.54452205
0.74797845,0.72636133
0.8448338,0.84144175
0.87879604,0.8843808
0.8667565,0.87799376
0.85085356,0.8670189
0.8345013,0.83455527
0.8365678,0.8278398
0.8397125,0.82372564
0.84645104,0.8153448
0.8490566,0.824884
0.8867026,0.86731803
0.87888587,0.85891885
0.8184187,0.82327074
0.7410602,0.74567914
0.65453726,0.660911
0.5725067,0.57813513
0.508266,0.5059582
0.43980235,0.44944245
0.3984726,0.39583755
0.3674753,0.36556438
0.35300988,0.34791934
0.3495957,0.32999274
0.36307278,0.3399772
0.40979335,0.37595502
0.48796046,0.46071497
0.5714286,0.55282384
0.65579516,0.63638014
0.6854448,0.6637576
0.67268646,0.6562452
0.64402515,0.63726074
0.5933513,0.61172205
0.5670261,0.6004026
0.56055707,0.5897601
0.59694517,0.6097132
0.66531897,0.67245954
0.7073675,0.7099773
0.6689128,0.6859525
0.61698115,0.6166502
0.55516624,0.56613827
0.49955076,0.5079847
0.44052112,0.447869
0.39442948,0.39249155
0.35597485,0.3475359
0.33072776,0.31826213
0.32021564,0.29948902
0.3159928,0.28620258
0.3239892,0.28858474
0.3502246,0.31146273
0.39398023,0.35440952
0.45040432,0.4167844
0.5043127,0.4832821
0.52955973,0.52056855
0.5398922,0.53741467
0.539982,0.5454156
0.51814914,0.54147786
0.5079964,0.52582014
0.5186882,0.5134283
0.54663074,0.537723
0.6197664,0.62813836
0.6773585,0.67411554
0.6539084,0.65897506
0.6035939,0.5981758
0.54555255,0.5579023
0.4857143,0.49746785
0.42461815,0.42526674
0.3831087,0.37217912
0.3507637,0.35213047
0.33890387,0.33643696
0.3362983,0.3254947
0.34968552,0.3364942
0.39380053,0.383102
0.51177,0.51279163
0.68472594,0.6948786
0.77439356,0.8017622
0.7948787,0.8512729
0.76253366,0.8465622
0.7387242,0.82911795
0.73144656,0.81318843
0.731177,0.8036398
0.72075474,0.8007898
0.7274933,0.7945597
0.7574124,0.8195364
0.8008985,0.8563679
0.82461816,0.8543885
0.7928122,0.8209864
0.7273136,0.7486209
0.65013474,0.670513
0.5630728,0.5770906
0.4865229,0.49451056
0.42255166,0.42928174
0.38553458,0.3896106
0.36585805,0.37381786
0.35876012,0.35850847
0.36738545,0.36685255
0.40907457,0.40909582
0.5314465,0.5356301
0.7071878,0.7037628
0.7891285,0.79852635
0.79739445,0.82595426
0.755885,0.81011504
0.71761006,0.78265387
0.68167114,0.7540614
0.6659479,0.7427285
0.6760108,0.7420932
0.7021563,0.7469126
0.74582213,0.7615389
0.8060198,0.79708
0.83414197,0.8178322
0.80368376,0.80361426
0.7422282,0.7385377
0.66801435,0.6691448
0.5795148,0.5800445
0.5015274,0.4943663
0.4374663,0.43078533
0.39991015,0.39183855
0.38032344,0.37423733
0.37484276,0.35375315
0.38086253,0.36882344
0.4203055,0.4060489
0.54438454,0.5269085
0.72677445,0.6882736
0.8141959,0.787117
0.82228214,0.80987024
0.78068286,0.7970532
0.7422282,0.7772854
0.7010782,0.7540217
0.69856244,0.75409657
0.7073675,0.75729096
0.74159926,0.76178074
0.7912848,0.77134746
0.8458221,0.80868965
0.8552561,0.83234406
0.8135669,0.8273451
0.7456424,0.7633441
0.6674753,0.670216
0.57574123,0.5767472
0.49362084,0.4941619
0.43279424,0.43379655
0.39577717,0.39881584
0.38068283,0.37835687
0.37574124,0.36002666
0.3831087,0.36678255
0.42362982,0.4102539
0.54950583,0.53305006
0.7306379,0.7049878
0.8383648,0.8083075
0.8859838,0.8361534
0.8965858,0.832239
0.89766395,0.81337327
0.8771788,0.780711
0.8468104,0.77376264
0.82246184,0.7674913
0.80242586,0.7696035
0.80350405,0.7752718
0.8271339,0.79640466
0.85390836,0.8222691
0.8277628,0.8330455
0.76361185,0.77123934
0.6768194,0.68060464
0.5807727,0.5849829
0.5008086,0.5008906
0.43683738,0.43656173
0.3982929,0.39571148
0.37690926,0.37594008
0.37088948,0.3589849
0.3756514,0.3652657
0.41644204,0.40799704
0.5356694,0.5305435
0.7108715,0.6915309
0.79514825,0.7880757
0.8034142,0.8202739
0.76163524,0.8060819
0.72354,0.7874009
0.69739443,0.75428575
0.6874214,0.7512997
0.6762803,0.74959826
0.68400717,0.74575055
0.72165316,0.75464016
0.7743037,0.7790735
0.80449235,0.807907
0.77385443,0.8084187
0.7100629,0.7339772
0.6230009,0.64118844
0.54141957,0.5556713
0.48427674,0.4807833
0.41725066,0.42847848
0.37286612,0.3670506
0.34663072,0.34300882
0.33369273,0.32862765
0.3328841,0.31115973
0.34510332,0.32148623
0.39595687,0.35464722
0.4703504,0.4270004
0.54663074,0.50924957
0.6195867,0.5747612
0.6299191,0.59223604
0.6090746,0.5784044
0.56837374,0.5452985
0.5309973,0.5139734
0.502965,0.49473754
0.49937108,0.4873281
0.5431267,0.50755435
0.6176999,0.5550293
0.67969453,0.6253268
0.66208446,0.65433294
0.6098832,0.59496003
0.54330635,0.53300136
0.49020666,0.47391513
0.43297395,0.41575867
0.3831087,0.36147296
0.35049415,0.33811697
0.3255166,0.31105852
0.31356692,0.3021771
0.30880502,0.28892553
0.3163522,0.29464322
0.34249777,0.3159728
0.38032344,0.35943273
0.42255166,0.42366445
0.45462713,0.4724998
0.44591194,0.4912929
0.43530998,0.49101403
0.4349506,0.47566134
0.41985625,0.4609
0.419407,0.44460827
0.42857143,0.4460114
0.48086253,0.47773153
0.5814915,0.5476712
0.65867025,0.620925
0.6499551,0.6529362
0.60224617,0.6041888
0.541779,0.535777
0.47996405,0.4667369
0.4025157,0.40307063
0.35938904,0.35153857
0.33620843,0.34139794
0.32345015,0.326939
0.32327044,0.3222001
0.33566937,0.33430102
0.38319856,0.38383704
0.5180593,0.5136355
0.7075472,0.67052954
0.81185985,0.7644206
0.8492363,0.7948823
0.8532794,0.78473264
0.85058403,0.7728004
0.8207547,0.7473493
0.82443845,0.73879826
0.8249775,0.7293611
0.8211141,0.73016137
0.83081764,0.7438957
0.8655885,0.761673
0.86001796,0.78013664
0.8245283,0.7864652
0.75507635,0.7212664
0.6678347,0.6445673
0.5705301,0.5514952
0.48607367,0.4660005
0.42695418,0.40149483
0.39667565,0.38564926
0.38203055,0.36797532
0.37385446,0.35403845
0.3824798,0.35636356
0.42362982,0.395029
0.55049413,0.51589227
0.7234501,0.6718868
0.8085355,0.7659521
0.84231806,0.78867435
0.82407904,0.7782287
0.80440253,0.75782603
0.78571427,0.72539175
0.78867924,0.7169059
0.78769094,0.7118503
0.7957772,0.7194305
0.81698114,0.72470266
0.8469901,0.75313205
0.85274035,0.7869962
0.83198565,0.7970739
0.76684636,0.73916787
0.6821204,0.6593166
0.5836478,0.5684381
0.5021563,0.48145574
0.43423182,0.41739056
0.3973046,0.41749626
0.38050315,0.39519596
0.3732255,0.37134838
0.38023362,0.3776408
0.42192274,0.42099705
0.54708,0.5473923
0.7254268,0.7156342
0.8148248,0.82617086
0.8221024,0.8607263
0.77484274,0.84748787
0.7286613,0.8260459
0.6925427,0.80141383
0.69227314,0.80112326
0.6931716,0.8030852
0.71545374,0.80390453
0.76567835,0.8135837
0.8249775,0.84513015
0.84123987,0.8689745
0.828212,0.8660478
0.7631626,0.80330616
0.6814016,0.70194066
0.5834681,0.59949934
0.5020665,0.51896846
0.43261456,0.4563645
0.39424977,0.40417972
0.3783468,0.38576686
0.37538186,0.3674013
0.38140163,0.36794746
0.42075473,0.4090623
0.54950583,0.5350782
0.7275831,0.7080037
0.8030548,0.81456757
0.8038634,0.84109354
0.7567835,0.8307194
0.7184187,0.80884236
0.6911051,0.77731586
0.6877808,0.77321845
0.6831986,0.7697865
0.70467204,0.76965415
0.757053,0.76857173
0.8165319,0.7995236
0.84743935,0.8477439
0.84016174,0.8629724
0.7779874,0.7877706
0.68912846,0.6905851
0.58966756,0.5921751
0.5081761,0.5083
0.43827492,0.4425456
0.40080863,0.40883148
0.38149145,0.3838541
0.37457323,0.37167388
0.38283917,0.37226084
0.4243486,0.4116056
0.544115,0.5340973
0.7124888,0.69589305
0.8114106,0.8058507
0.82839173,0.8479454
0.78463614,0.8383463
0.746451,0.8235521
0.7009883,0.7874741
0.6864331,0.7722199
0.6737646,0.7648499
0.6878706,0.7548305
0.73108715,0.75717074
0.7902965,0.78751624
0.8157233,0.8119512
0.804133,0.8136904
0.7419587,0.73928255
0.65597486,0.65151316
0.5731357,0.5649494
0.5091644,0.49560493
0.44761905,0.43821678
0.40143755,0.38684955
0.3758311,0.36197573
0.36720574,0.3428837
0.36433065,0.32343897
0.3725966,0.3258986
0.4248877,0.35252795
0.49514824,0.4202323
0.56001794,0.5103197
0.6015274,0.5791058
0.584097,0.6016105
0.55525607,0.5932367
0.52542675,0.5566648
0.501168,0.5212074
0.5015274,0.500712
0.5229111,0.48920912
0.5601078,0.49776193
0.63036835,0.56098247
0.67960465,0.6346672
0.67861634,0.6701236
0.62955976,0.6044765
0.56460017,0.5406375
0.5091644,0.4826723
0.44681042,0.42394787
0.39451933,0.36559772
0.3591195,0.35261983
0.33602875,0.32358274
0.32803234,0.30914098
0.32515723,0.29059252
0.33189577,0.29223895
0.36082658,0.29656076
0.3931716,0.32101136
0.43036836,0.37901968
0.4538185,0.4281752
0.43899372,0.45816135
