true,forecasted
0.4083558,0.40353805
0.38391733,0.38123763
0.37816712,0.37527853
0.3831087,0.3796484
0.42362982,0.41623247
0.5572327,0.54429275
0.74681044,0.74189126
0.8395328,0.84598935
0.8591195,0.8710569
0.8291105,0.8593759
0.7933513,0.83862966
0.76154536,0.81407785
0.75696313,0.80990195
0.7628931,0.80418974
0.78778076,0.814619
0.82120395,0.8278289
0.875292,0.8823661
0.8900269,0.88418835
0.8513926,0.84827566
0.78238994,0.7744893
0.6960467,0.6946462
0.59685534,0.59437835
0.51401615,0.5146561
0.44357592,0.44052958
0.4024259,0.41107586
0.38185084,0.38657993
0.37915543,0.3778271
0.38823,0.3843519
0.42848158,0.425115
0.55498654,0.5537252
0.74357593,0.7549738
0.8407008,0.86427045
0.8534591,0.8971383
0.8185085,0.892353
0.77439356,0.87338185
0.73468107,0.8506859
0.72686434,0.84672153
0.7315364,0.83995616
0.7601078,0.8415364
0.8079964,0.8465228
0.8744834,0.8915066
0.8814915,0.8954758
0.8395328,0.84698814
0.7725966,0.77624065
0.6929919,0.6915757
0.6008086,0.59292126
0.52021563,0.515965
0.45013478,0.44707295
0.4083558,0.40589562
0.38831985,0.3843224
0.38113207,0.37872702
0.3901168,0.3855189
0.4328841,0.42501968
0.56244385,0.5582164
0.74995506,0.7561607
0.841779,0.85240823
0.86433065,0.8734845
0.8373765,0.8563973
0.79712486,0.8319175
0.75732255,0.80565375
0.74761903,0.8084651
0.74483377,0.8103568
0.76756513,0.82519513
0.8114106,0.83490145
0.8713387,0.87867993
0.8885894,0.9021418
0.85184187,0.8692395
0.7881402,0.80028963
0.701168,0.7081152
0.6027853,0.598383
0.52803236,0.5190089
0.45822102,0.44765502
0.41302785,0.4061859
0.39074573,0.38408053
0.38598382,0.38117903
0.39362085,0.38908735
0.43153638,0.4301159
0.55606467,0.5534656
0.74797845,0.7451325
0.8448338,0.85423285
0.87879604,0.887266
0.8667565,0.8815739
0.85085356,0.8657491
0.8345013,0.84405845
0.8365678,0.8419317
0.8397125,0.8335449
0.84645104,0.82974786
0.8490566,0.83653367
0.8867026,0.8636762
0.87888587,0.8523082
0.8184187,0.8098675
0.7410602,0.7477011
0.65453726,0.65960294
0.5725067,0.56293505
0.508266,0.5002966
0.43980235,0.436243
0.3984726,0.40016654
0.3674753,0.3625549
0.35300988,0.3482908
0.3495957,0.34185076
0.36307278,0.35342723
0.40979335,0.40916923
0.48796046,0.49761856
0.5714286,0.5818482
0.65579516,0.66348463
0.6854448,0.69757426
0.67268646,0.69523597
0.64402515,0.687776
0.5933513,0.6697306
0.5670261,0.6568791
0.56055707,0.6512009
0.59694517,0.6629093
0.66531897,0.7206695
0.7073675,0.750742
0.6689128,0.6953341
0.61698115,0.6371865
0.55516624,0.5754803
0.49955076,0.51175815
0.44052112,0.45774835
0.39442948,0.40596905
0.35597485,0.35929608
