true,forecasted
0.4083558,0.37836128
0.38391733,0.35822502
0.37816712,0.35118484
0.3831087,0.36133254
0.42362982,0.38765606
0.5572327,0.5197213
0.74681044,0.71262795
0.8395328,0.80612415
0.8591195,0.8406265
0.8291105,0.83314013
0.7933513,0.8295824
0.76154536,0.8044285
0.75696313,0.80255663
0.7628931,0.7919127
0.78778076,0.81947935
0.82120395,0.83478737
0.875292,0.8933216
0.8900269,0.85803944
0.8513926,0.83239204
0.78238994,0.77166224
0.6960467,0.6953446
0.59685534,0.5909912
0.51401615,0.5103588
0.44357592,0.44274473
0.4024259,0.3904752
0.38185084,0.36126062
0.37915543,0.36432543
0.38823,0.36312068
0.42848158,0.3847216
0.55498654,0.5099031
0.74357593,0.7104689
0.8407008,0.8062586
0.8534591,0.8531767
0.8185085,0.8462596
0.77439356,0.8262947
0.73468107,0.8025568
0.72686434,0.8070486
0.7315364,0.7921216
0.7601078,0.7980293
0.8079964,0.8219318
0.8744834,0.8992921
0.8814915,0.87108845
0.8395328,0.82817334
0.7725966,0.7538412
0.6929919,0.69903743
0.6008086,0.5921397
0.52021563,0.51041394
0.45013478,0.43515205
0.4083558,0.3908559
0.38831985,0.35891756
0.38113207,0.3595544
0.3901168,0.36027247
0.4328841,0.40119955
0.56244385,0.5047349
0.74995506,0.72843516
0.841779,0.85176754
0.86433065,0.8702467
0.8373765,0.8488048
0.79712486,0.84021413
0.75732255,0.8139244
0.74761903,0.8064618
0.74483377,0.78642714
0.76756513,0.8179015
0.8114106,0.82647073
0.8713387,0.8880929
0.8885894,0.879373
0.85184187,0.8533261
0.7881402,0.7875642
0.701168,0.7197476
0.6027853,0.60749114
0.52803236,0.51980406
0.45822102,0.46254504
0.41302785,0.40054935
0.39074573,0.3681499
0.38598382,0.3638199
0.39362085,0.36896396
0.43153638,0.3954113
0.55606467,0.52554315
0.74797845,0.71582186
0.8448338,0.83465487
0.87879604,0.88088655
0.8667565,0.87166977
0.85085356,0.8655947
0.8345013,0.83847445
0.8365678,0.83115417
0.8397125,0.8064967
0.84645104,0.8238085
0.8490566,0.82516223
0.8867026,0.8744709
0.87888587,0.8535324
0.8184187,0.804364
0.7410602,0.7406996
0.65453726,0.6689545
0.5725067,0.57118976
0.508266,0.5141523
0.43980235,0.44438916
0.3984726,0.38364494
0.3674753,0.35367158
0.35300988,0.33759418
0.3495957,0.3324067
0.36307278,0.3324509
0.40979335,0.37975872
0.48796046,0.46504164
0.5714286,0.5493397
0.65579516,0.6306876
0.6854448,0.657148
0.67268646,0.65636796
0.64402515,0.6343843
0.5933513,0.61728275
0.5670261,0.60453266
0.56055707,0.61138415
0.59694517,0.6363889
0.66531897,0.69232535
0.7073675,0.7126146
0.6689128,0.6726895
0.61698115,0.6243786
0.55516624,0.5567858
0.49955076,0.4934725
0.44052112,0.43360516
0.39442948,0.3866822
0.35597485,0.3289716
0.33072776,0.30884865
0.32021564,0.28644767
0.3159928,0.2779421
0.3239892,0.2694079
0.3502246,0.29408133
