true,forecasted
0.4083558,0.38038683
0.38391733,0.3638339
0.37816712,0.36961436
0.3831087,0.38220972
0.42362982,0.4212751
0.5572327,0.5402099
0.74681044,0.72422296
0.8395328,0.81204975
0.8591195,0.82478535
0.8291105,0.8170325
0.7933513,0.7929637
0.76154536,0.777103
0.75696313,0.76546574
0.7628931,0.7722635
0.78778076,0.78726596
0.82120395,0.8186627
0.875292,0.86558384
0.8900269,0.8506994
0.8513926,0.8292699
0.78238994,0.75992656
0.6960467,0.6670573
0.59685534,0.57443345
0.51401615,0.4991495
0.44357592,0.43253937
0.4024259,0.38711858
0.38185084,0.37322962
0.37915543,0.37241337
0.38823,0.3756649
0.42848158,0.42205024
0.55498654,0.5395561
0.74357593,0.7106715
0.8407008,0.8253349
0.8534591,0.85106623
0.8185085,0.8418019
0.77439356,0.8327515
0.73468107,0.8098129
0.72686434,0.8018583
0.7315364,0.8092841
0.7601078,0.80843484
0.8079964,0.84757143
0.8744834,0.9065788
0.8814915,0.8636729
0.8395328,0.82863355
0.7725966,0.7536507
0.6929919,0.67320144
0.6008086,0.5736293
0.52021563,0.48616356
0.45013478,0.42728525
0.4083558,0.3975901
0.38831985,0.37090904
0.38113207,0.37323862
0.3901168,0.37944698
0.4328841,0.4244382
0.56244385,0.54645383
0.74995506,0.73180336
0.841779,0.8305798
0.86433065,0.84739226
0.8373765,0.82360286
0.79712486,0.80570376
0.75732255,0.78769594
0.74761903,0.7708892
0.74483377,0.7704052
0.76756513,0.78514165
0.8114106,0.82274777
0.8713387,0.8664929
0.8885894,0.87125003
0.85184187,0.8569777
0.7881402,0.7804528
0.701168,0.69101167
0.6027853,0.5882818
0.52803236,0.4967907
0.45822102,0.43974453
0.41302785,0.39597303
0.39074573,0.37085673
0.38598382,0.37167206
0.39362085,0.38635683
0.43153638,0.42166275
0.55606467,0.5323532
0.74797845,0.7147169
0.8448338,0.8289978
0.87879604,0.86039066
0.8667565,0.86447567
0.85085356,0.8512643
0.8345013,0.83511657
0.8365678,0.8211682
0.8397125,0.8107712
0.84645104,0.8004825
0.8490566,0.81919223
0.8867026,0.87176377
0.87888587,0.8488426
0.8184187,0.8062724
0.7410602,0.73582685
0.65453726,0.6550857
0.5725067,0.56757265
0.508266,0.49766934
0.43980235,0.43191135
0.3984726,0.38903013
0.3674753,0.35721007
0.35300988,0.34686112
0.3495957,0.34009847
0.36307278,0.3515791
0.40979335,0.39827412
0.48796046,0.48893735
0.5714286,0.5686027
0.65579516,0.6379206
0.6854448,0.6632224
0.67268646,0.65105695
0.64402515,0.63327503
0.5933513,0.6110484
0.5670261,0.5947397
0.56055707,0.5837922
0.59694517,0.6323242
0.66531897,0.6923985
0.7073675,0.7128624
0.6689128,0.67219234
0.61698115,0.6103883
0.55516624,0.54524803
0.49955076,0.49470598
0.44052112,0.431917
0.39442948,0.37973735
0.35597485,0.35103288
0.33072776,0.32602504
0.32021564,0.30532306
0.3159928,0.296893
0.3239892,0.294915
0.3502246,0.32264397
0.39398023,0.3731543
0.45040432,0.42026436
0.5043127,0.48821515
0.52955973,0.5135285
0.5398922,0.52487797
0.539982,0.5323521
0.51814914,0.52839726
0.5079964,0.5250031
0.5186882,0.5139064
0.54663074,0.5595687
0.6197664,0.63674265
0.6773585,0.6705826
0.6539084,0.6656594
0.6035939,0.609481
0.54555255,0.54068935
0.4857143,0.48295733
0.42461815,0.4110424
0.3831087,0.36384434
0.3507637,0.32782668
0.33890387,0.32317424
0.3362983,0.32183203
0.34968552,0.32047662
0.39380053,0.3565496
0.51177,0.48319894
0.68472594,0.66605854
0.77439356,0.75259924
0.7948787,0.7907061
0.76253366,0.7885248
0.7387242,0.7751158
0.73144656,0.7599053
0.731177,0.7583808
0.72075474,0.7604115
0.7274933,0.7600755
0.7574124,0.788864
0.8008985,0.8461458
0.82461816,0.8230875
0.7928122,0.799327
0.7273136,0.7323745
0.65013474,0.6385005
0.5630728,0.5529012
0.4865229,0.4754212
0.42255166,0.4107027
0.38553458,0.39121142
0.36585805,0.37552276
0.35876012,0.37464857
0.36738545,0.38530234
0.40907457,0.4278505
0.5314465,0.5469503
0.7071878,0.73450613
0.7891285,0.83014816
0.79739445,0.8394902
0.755885,0.8189959
0.71761006,0.80099803
0.68167114,0.76327515
0.6659479,0.7563742
0.6760108,0.75500363
0.7021563,0.75533974
0.74582213,0.80235547
0.8060198,0.84407765
0.83414197,0.8412255
0.80368376,0.8276336
0.7422282,0.75901115
0.66801435,0.68019974
0.5795148,0.5862562
0.5015274,0.49547416
0.4374663,0.43500137
0.39991015,0.39757583
0.38032344,0.3811489
0.37484276,0.37796354
0.38086253,0.3929673
0.4203055,0.4359477
0.54438454,0.55691093
0.72677445,0.7420105
0.8141959,0.8368682
0.82228214,0.8448031
0.78068286,0.82517153
0.7422282,0.81103295
0.7010782,0.7805975
0.69856244,0.77572584
0.7073675,0.77856874
0.74159926,0.786225
0.7912848,0.8166773
0.8458221,0.8604819
0.8552561,0.86247396
0.8135669,0.8375249
0.7456424,0.758996
0.6674753,0.68047
0.57574123,0.5879927
0.49362084,0.5021601
0.43279424,0.43926015
0.39577717,0.38512295
0.38068283,0.36251357
0.37574124,0.36659303
0.3831087,0.3758428
0.42362982,0.41789576
0.54950583,0.55805135
0.7306379,0.7320053
0.8383648,0.813119
0.8859838,0.83867264
0.8965858,0.8367652
0.89766395,0.8216511
0.8771788,0.80540603
0.8468104,0.7904378
0.82246184,0.783774
0.80242586,0.78388023
0.80350405,0.8010848
0.8271339,0.8209761
0.85390836,0.83171505
0.8277628,0.8289181
0.76361185,0.7565594
0.6768194,0.6806884
0.5807727,0.5866378
0.5008086,0.49859256
0.43683738,0.42609203
0.3982929,0.39895722
0.37690926,0.3784691
0.37088948,0.3748913
0.3756514,0.38318372
0.41644204,0.4248418
0.5356694,0.54160136
0.7108715,0.7311035
0.79514825,0.83092827
0.8034142,0.85163283
0.76163524,0.8371339
0.72354,0.8140782
0.69739443,0.8003936
0.6874214,0.78039396
0.6762803,0.7662096
0.68400717,0.7601348
0.72165316,0.7810303
0.7743037,0.8232398
0.80449235,0.82269216
0.77385443,0.8072207
0.7100629,0.7266023
0.6230009,0.649645
0.54141957,0.5585369
0.48427674,0.4866838
0.41725066,0.43062535
0.37286612,0.37476468
0.34663072,0.3619789
0.33369273,0.3459484
0.3328841,0.34663135
0.34510332,0.3624198
0.39595687,0.4105458
0.4703504,0.4922215
0.54663074,0.5719449
0.6195867,0.6352319
0.6299191,0.6317665
0.6090746,0.61720425
0.56837374,0.5967303
0.5309973,0.5676242
0.502965,0.55627024
0.49937108,0.5528026
0.5431267,0.596682
0.6176999,0.6406669
0.67969453,0.6945657
0.66208446,0.68539023
0.6098832,0.61846185
0.54330635,0.5586956
0.49020666,0.50814503
0.43297395,0.4348817
0.3831087,0.39244828
0.35049415,0.3497483
0.3255166,0.32769516
0.31356692,0.3276439
0.30880502,0.31941354
0.3163522,0.32817867
0.34249777,0.37484664
0.38032344,0.42625988
0.42255166,0.46880177
0.45462713,0.51999235
0.44591194,0.5176774
0.43530998,0.5082676
0.4349506,0.5055147
0.41985625,0.48871848
0.419407,0.47873336
0.42857143,0.48024607
0.48086253,0.5322042
0.5814915,0.60238844
0.65867025,0.66665244
0.6499551,0.675166
0.60224617,0.6248975
0.541779,0.5500934
0.47996405,0.48971277
0.4025157,0.41002828
0.35938904,0.36167762
0.33620843,0.3293796
0.32345015,0.33145297
0.32327044,0.3391745
0.33566937,0.3466835
0.38319856,0.39073113
0.5180593,0.5467444
0.7075472,0.7042538
0.81185985,0.80329406
0.8492363,0.8345235
0.8532794,0.8259986
0.85058403,0.8041777
0.8207547,0.795266
0.82443845,0.78730583
0.8249775,0.785684
0.8211141,0.7753444
0.83081764,0.794548
0.8655885,0.8408547
0.86001796,0.83383846
0.8245283,0.81896114
0.75507635,0.7427291
0.6678347,0.65870744
0.5705301,0.5709401
0.48607367,0.48293734
0.42695418,0.41692474
0.39667565,0.38070315
0.38203055,0.36518037
0.37385446,0.36752173
0.3824798,0.38561296
0.42362982,0.43044022
0.55049413,0.55897266
0.7234501,0.71737975
0.8085355,0.80173326
0.84231806,0.80749315
0.82407904,0.7965493
0.80440253,0.7667267
0.78571427,0.7601627
0.78867924,0.7551931
0.78769094,0.7522328
0.7957772,0.73176736
0.81698114,0.7751649
0.8469901,0.8040144
0.85274035,0.8131621
0.83198565,0.8106575
0.76684636,0.7475798
0.6821204,0.67084163
0.5836478,0.5777567
0.5021563,0.46564257
0.43423182,0.4154649
0.3973046,0.38300148
0.38050315,0.3562527
0.3732255,0.36382696
0.38023362,0.3701638
0.42192274,0.4103562
0.54708,0.5419385
0.7254268,0.71965146
0.8148248,0.80962753
0.8221024,0.8303586
0.77484274,0.8196228
0.7286613,0.79083234
0.6925427,0.780291
0.69227314,0.7674198
0.6931716,0.7621511
0.71545374,0.7612079
0.76567835,0.7909942
0.8249775,0.8270249
0.84123987,0.82922
0.828212,0.8230319
0.7631626,0.74629074
0.6814016,0.67011034
0.5834681,0.57648635
0.5020665,0.4908924
0.43261456,0.42631665
0.39424977,0.38733104
0.3783468,0.37229136
0.37538186,0.368562
0.38140163,0.37151596
0.42075473,0.41549975
0.54950583,0.5497466
0.7275831,0.71873254
0.8030548,0.8074655
0.8038634,0.8234397
0.7567835,0.797817
0.7184187,0.78809345
0.6911051,0.76330227
0.6877808,0.7502108
0.6831986,0.7557011
0.70467204,0.7622935
0.757053,0.79160386
0.8165319,0.8159418
0.84743935,0.8359907
0.84016174,0.84768105
0.7779874,0.76994824
0.68912846,0.67344654
0.58966756,0.57112426
0.5081761,0.4914009
0.43827492,0.4297214
0.40080863,0.37931252
0.38149145,0.36295682
0.37457323,0.37045485
0.38283917,0.38098544
0.4243486,0.41570148
0.544115,0.53329617
0.7124888,0.70685476
0.8114106,0.81797844
0.82839173,0.84609616
0.78463614,0.8262858
0.746451,0.8139928
0.7009883,0.794672
0.6864331,0.7764634
0.6737646,0.7782185
0.6878706,0.7671433
0.73108715,0.7780167
0.7902965,0.8203192
0.8157233,0.83067846
0.804133,0.81348145
0.7419587,0.7366888
0.65597486,0.6503878
0.5731357,0.5511175
0.5091644,0.4907915
0.44761905,0.42908794
0.40143755,0.3722544
0.3758311,0.35136205
0.36720574,0.34856743
0.36433065,0.34564853
0.3725966,0.35773572
0.4248877,0.39643705
0.49514824,0.4772902
0.56001794,0.5601836
0.6015274,0.62090975
0.584097,0.62878525
0.55525607,0.5993745
0.52542675,0.58570224
0.501168,0.55771315
0.5015274,0.54395926
0.5229111,0.541302
0.5601078,0.5836207
0.63036835,0.64543617
0.67960465,0.68648845
0.67861634,0.67749095
0.62955976,0.5989018
0.56460017,0.5425757
0.5091644,0.48616698
0.44681042,0.43071318
0.39451933,0.37650096
0.3591195,0.35166207
0.33602875,0.3434053
0.32803234,0.33054066
0.32515723,0.32297787
0.33189577,0.33614707
0.36082658,0.3539163
0.3931716,0.39635733
0.43036836,0.44993588
0.4538185,0.49901044
0.43899372,0.5305116
0.4250674,0.5215569
0.42389938,0.52586627
0.40925425,0.5146021
0.40709794,0.5027776
0.4262354,0.49977082
0.49496856,0.5486782
0.5977538,0.62831503
0.6657682,0.6852489
0.6743037,0.685339
0.63063794,0.6284692
0.57493263,0.56444806
0.5139263,0.50592643
0.44366577,0.4317236
0.389398,0.37605125
0.36280322,0.34050316
0.35561547,0.34889185
0.35354897,0.35624513
0.3657682,0.36315304
0.41392633,0.4091033
0.5386343,0.5435334
0.6959569,0.70134723
0.7913747,0.8006894
0.8124888,0.8127689
0.775292,0.79861945
0.74483377,0.7654606
0.7231806,0.7538417
0.73009884,0.75349426
0.73962265,0.7602041
0.7633423,0.75128716
0.805301,0.77992207
0.8447439,0.8322938
0.84537286,0.81637084
0.8383648,0.817986
0.777628,0.74464625
0.69874215,0.6614957
0.60197663,0.57258075
0.5238994,0.4877236
0.4591195,0.42739788
0.4192273,0.39166883
0.40314466,0.38222957
0.39604673,0.38738418
0.40116802,0.3981199
0.44537288,0.43468216
0.5637017,0.5543618
0.71743035,0.7175579
0.7967655,0.80803645
0.80754715,0.82082903
0.7757412,0.81484896
0.7380054,0.7938789
0.7105121,0.78441966
0.710602,0.78083575
0.71662176,0.78417814
0.74779874,0.78177375
0.79191375,0.8047375
0.83602875,0.8592164
0.84330636,0.8452586
0.8504043,0.8550043
0.78661275,0.7822104
0.7083558,0.6989621
0.61796945,0.5970586
0.53845465,0.5098383
0.4737646,0.4489262
0.4328841,0.39644462
0.41455525,0.38485298
0.40907457,0.393681
0.41482478,0.4051423
0.45300987,0.45239207
0.5716981,0.5589368
0.7209344,0.70193
0.81707096,0.79982597
0.8381851,0.8023235
0.80880505,0.81504476
0.79083556,0.79130334
0.7725966,0.7950714
0.77439356,0.7789716
0.7686433,0.7941576
0.77502245,0.77700275
0.81185985,0.81845933
0.8650494,0.8699659
0.86963165,0.8677759
0.8719677,0.88245916
0.8124888,0.81607914
0.7350404,0.71529734
0.64528304,0.6175133
0.5650494,0.5409065
0.48409703,0.4701208
0.43980235,0.42417568
0.42596585,0.42188632
0.41859838,0.41410047
0.4239892,0.42453772
0.45849058,0.4735379
0.5802336,0.5938202
0.72767293,0.75909495
0.81626236,0.85022306
0.8405211,0.8521008
0.8196766,0.82735723
0.8104223,0.80148536
0.8009883,0.7918853
0.7955975,0.7760842
0.7851752,0.79434705
0.7945193,0.8040323
0.82533693,0.8245748
0.8573226,0.8652365
0.8724169,0.8702042
0.874124,0.8866507
0.8114106,0.828866
0.7250674,0.72379535
0.63486075,0.61203605
0.55507636,0.53980345
0.4910153,0.4783078
0.45148247,0.42248195
0.43261456,0.41601688
0.42884097,0.4149456
0.43674752,0.42213714
0.46945193,0.46898296
0.57825696,0.57855684
0.7150943,0.7560589
0.80979335,0.8461246
0.83944297,0.84595746
0.82102424,0.83010846
0.8081761,0.7969732
0.7881402,0.780683
0.7942498,0.77832615
0.79496855,0.7745133
0.7952381,0.7685708
0.8227314,0.7820719
0.84249777,0.83764905
0.8361186,0.83868814
0.82246184,0.83611727
0.76172507,0.78179145
0.6749326,0.6723325
0.59254265,0.57610744
0.51940703,0.5188258
0.45768195,0.4580793
0.41473496,0.40589148
0.39344114,0.38454875
0.38625336,0.37422714
0.37879604,0.37781644
0.38742137,0.38741782
0.42740342,0.4247201
0.48355794,0.5217418
0.56855345,0.59139174
0.6396226,0.65350807
0.6562444,0.67209584
0.6502246,0.6449495
0.62920034,0.6271978
0.60539085,0.6017552
0.5859838,0.5995162
0.5755615,0.59795994
0.6007188,0.6319164
0.6490566,0.68783516
0.6819407,0.7137345
0.6855346,0.7059088
0.63755614,0.643786
0.5731357,0.55846643
0.51662177,0.50256723
0.45031446,0.44658184
0.3952381,0.39930218
0.35543576,0.35247865
0.33189577,0.3349284
0.3214735,0.31847072
0.3159928,0.304371
0.3211141,0.3184723
0.34402516,0.3475156
0.368823,0.3937345
0.4260557,0.43326274
0.4690027,0.48822007
0.4754717,0.49693805
0.4555256,0.49312833
0.42938006,0.4866906
0.40314466,0.48126158
0.41581312,0.47206393
0.45974842,0.47446102
0.51608264,0.5235657
0.5924528,0.6124527
0.6340521,0.66878533
0.6309973,0.680228
0.58625335,0.6196071
0.533513,0.53544444
0.46765497,0.480456
0.39442948,0.41812438
0.35004494,0.35997468
0.3230009,0.348622
0.31212938,0.33864522
0.31248876,0.34054133
0.3255166,0.3416986
0.3725966,0.40395433
0.5042228,0.5330407
0.65139264,0.6969948
0.736478,0.76693076
0.7327044,0.8046955
0.68921834,0.78782326
0.6585804,0.78322214
0.6331536,0.76255125
0.6393531,0.74780464
0.6522911,0.7463012
0.6731357,0.74782515
0.7161725,0.7870372
0.7630728,0.8200161
0.7649596,0.8192798
0.7798742,0.8102187
0.7168913,0.7426461
0.6332435,0.6517347
0.5419587,0.57146
0.4560647,0.4826017
0.3914645,0.4232251
0.35408804,0.3541205
0.33719677,0.33617887
0.33090746,0.33502272
0.34312668,0.35575938
0.38562444,0.40458775
0.50997305,0.5256563
0.66199464,0.7043263
0.74609166,0.79289657
0.76477987,0.7852136
0.74366575,0.774977
0.71985626,0.7563593
0.68391734,0.7315754
0.6718778,0.72298676
0.6823001,0.7226852
0.7100629,0.70860153
0.74609166,0.75264496
0.78014374,0.77513474
0.7691824,0.7808126
0.7842767,0.7864007
0.72515726,0.72354
0.6424978,0.6500257
0.5478886,0.5500389
0.46055704,0.45748025
0.39083558,0.39520812
0.36433065,0.36250097
0.35031447,0.3288
0.34231806,0.33800668
0.34869722,0.35581973
0.38984725,0.41045803
0.50907457,0.52717495
0.661186,0.6833282
0.75624436,0.7636774
0.7597484,0.7637398
0.7327044,0.7589388
0.72991914,0.7398255
0.7202156,0.7114982
0.719407,0.70768195
0.7358491,0.71549994
0.75956875,0.70709
0.7815813,0.7497478
0.82156336,0.80386907
0.8019766,0.769647
0.79101527,0.78078365
0.7239892,0.69901127
0.64303684,0.6296805
0.5513926,0.5342422
0.47232705,0.4450097
0.40521115,0.3888647
0.36972147,0.3652801
0.35220125,0.33876386
0.3448338,0.33744186
0.35507637,0.3450418
0.39478886,0.38673928
0.52156335,0.49548027
0.6636119,0.6465835
0.7460018,0.71718544
0.7853549,0.7434978
0.7999101,0.75854653
0.82425874,0.748916
0.81284815,0.7252347
0.7808625,0.71377236
0.74357593,0.7176254
0.7296496,0.70764285
0.7644205,0.72544336
0.80871516,0.77571183
0.8121294,0.7785219
0.8184187,0.77381504
0.7513926,0.7110272
0.6603774,0.6200386
0.5628032,0.52870923
0.487062,0.439781
0.41374663,0.3842597
0.37969452,0.3789288
0.36334231,0.34579715
0.35462713,0.3513646
0.3625337,0.35704163
0.40107816,0.39477113
0.5209344,0.5019196
0.659389,0.65339077
0.74285716,0.7552885
0.7496855,0.78439367
0.71949685,0.7742191
0.7057502,0.7505198
0.67008084,0.73444587
0.66208446,0.7252332
0.6740341,0.72177446
0.6802336,0.6959627
0.7071878,0.72748226
0.7522911,0.7790233
