true,forecasted
0.4083558,0.4030407
0.38391733,0.3816079
0.37816712,0.37381023
0.3831087,0.3787268
0.42362982,0.41914275
0.5572327,0.55036116
0.74681044,0.75218683
0.8395328,0.85771096
0.8591195,0.8899424
0.8291105,0.8810698
0.7933513,0.86262727
0.76154536,0.82825905
0.75696313,0.8239338
0.7628931,0.8203779
0.78778076,0.83090127
0.82120395,0.857185
0.875292,0.90855724
0.8900269,0.9078913
0.8513926,0.86077726
0.78238994,0.7937725
0.6960467,0.7089691
0.59685534,0.6102905
0.51401615,0.5270563
0.44357592,0.45851544
0.4024259,0.40368253
0.38185084,0.3850147
0.37915543,0.37967664
0.38823,0.38867718
0.42848158,0.438839
0.55498654,0.57264537
0.74357593,0.7678829
0.8407008,0.86509037
0.8534591,0.8877543
0.8185085,0.8806233
0.77439356,0.85942334
0.73468107,0.8287821
0.72686434,0.82725054
0.7315364,0.83010155
0.7601078,0.84295404
0.8079964,0.876921
0.8744834,0.9251085
0.8814915,0.91825557
0.8395328,0.86907715
0.7725966,0.7953097
0.6929919,0.7030703
0.6008086,0.6045161
0.52021563,0.52227545
0.45013478,0.46030498
0.4083558,0.4081117
0.38831985,0.3811993
0.38113207,0.37462115
0.3901168,0.38132313
0.4328841,0.42079535
0.56244385,0.5392726
0.74995506,0.73375773
0.841779,0.8336866
0.86433065,0.8567877
0.8373765,0.84542394
0.79712486,0.8193734
0.75732255,0.78133047
0.74761903,0.7843402
0.74483377,0.78305864
0.76756513,0.79348415
0.8114106,0.8239036
0.8713387,0.8673987
0.8885894,0.8920442
0.85184187,0.855432
0.7881402,0.7854738
0.701168,0.6903316
0.6027853,0.5933568
0.52803236,0.5135228
0.45822102,0.45015383
0.41302785,0.40836066
0.39074573,0.3776198
0.38598382,0.37208396
0.39362085,0.3698408
0.43153638,0.40114114
0.55606467,0.5117149
0.74797845,0.69328916
0.8448338,0.81811553
0.87879604,0.8672802
0.8667565,0.8784322
0.85085356,0.8757926
0.8345013,0.85823554
0.8365678,0.85330755
0.8397125,0.8414795
0.84645104,0.8285933
0.8490566,0.84403324
0.8867026,0.8975534
0.87888587,0.86557114
0.8184187,0.8138823
0.7410602,0.74318606
0.65453726,0.65705806
0.5725067,0.5792472
0.508266,0.5124134
0.43980235,0.45151916
0.3984726,0.3902213
0.3674753,0.35174286
0.35300988,0.3351638
0.3495957,0.33173215
0.36307278,0.33924565
0.40979335,0.38345593
0.48796046,0.45676506
0.5714286,0.53976667
0.65579516,0.62127745
0.6854448,0.65851295
0.67268646,0.6622215
0.64402515,0.65393174
0.5933513,0.6384033
0.5670261,0.62562865
0.56055707,0.6119717
0.59694517,0.6363927
0.66531897,0.70155317
0.7073675,0.71903706
0.6689128,0.6783985
0.61698115,0.6188195
0.55516624,0.55557823
0.49955076,0.5061554
0.44052112,0.44775218
0.39442948,0.3940109
0.35597485,0.34623778
0.33072776,0.31107372
0.32021564,0.29761556
0.3159928,0.28629437
0.3239892,0.28978252
0.3502246,0.30680817
0.39398023,0.34661043
0.45040432,0.40171954
0.5043127,0.47877902
0.52955973,0.5302192
0.5398922,0.5579779
0.539982,0.57473403
0.51814914,0.5610238
0.5079964,0.54835063
0.5186882,0.5347609
0.54663074,0.5582994
0.6197664,0.6475086
0.6773585,0.6816446
0.6539084,0.67009676
0.6035939,0.6248509
0.54555255,0.56011564
0.4857143,0.49026838
0.42461815,0.41320077
0.3831087,0.36179826
0.3507637,0.33451402
0.33890387,0.31854331
0.3362983,0.3175671
0.34968552,0.3313165
0.39380053,0.3717466
0.51177,0.49715686
0.68472594,0.6886957
0.77439356,0.8002641
0.7948787,0.83435965
0.76253366,0.82996124
0.7387242,0.8244542
0.73144656,0.8089042
0.731177,0.80767345
0.72075474,0.8045924
0.7274933,0.8057271
0.7574124,0.83809805
0.8008985,0.8778544
0.82461816,0.8672031
0.7928122,0.8351842
0.7273136,0.7654963
0.65013474,0.6793549
0.5630728,0.58281183
0.4865229,0.4969584
0.42255166,0.43310058
0.38553458,0.37807068
0.36585805,0.35939214
0.35876012,0.3523249
0.36738545,0.3568406
0.40907457,0.40122262
0.5314465,0.53287244
0.7071878,0.7095293
0.7891285,0.79395604
0.79739445,0.81811374
0.755885,0.79683924
0.71761006,0.7712399
0.68167114,0.7389768
0.6659479,0.738136
0.6760108,0.7362772
0.7021563,0.7481746
0.74582213,0.7790334
0.8060198,0.8140092
0.83414197,0.8329402
0.80368376,0.8080067
0.7422282,0.74262816
0.66801435,0.67043805
0.5795148,0.57490736
0.5015274,0.49328554
0.4374663,0.42654657
0.39991015,0.38751277
0.38032344,0.37059647
0.37484276,0.3653344
0.38086253,0.37392998
0.4203055,0.42163432
0.54438454,0.5508605
0.72677445,0.7320824
0.8141959,0.81822634
0.82228214,0.83669865
0.78068286,0.81175405
0.7422282,0.7806567
0.7010782,0.74584913
0.69856244,0.750408
0.7073675,0.75320137
0.74159926,0.7684671
0.7912848,0.79707193
0.8458221,0.83806604
0.8552561,0.85811794
0.8135669,0.836756
0.7456424,0.7627168
0.6674753,0.6750419
0.57574123,0.5749931
0.49362084,0.49249563
0.43279424,0.4293455
0.39577717,0.38398433
0.38068283,0.3627435
0.37574124,0.35630208
0.3831087,0.3678593
0.42362982,0.41103694
0.54950583,0.53777623
0.7306379,0.71155196
0.8383648,0.8076863
0.8859838,0.8457637
0.8965858,0.84316474
0.89766395,0.8226801
0.8771788,0.7962712
0.8468104,0.78983057
0.82246184,0.7783757
0.80242586,0.7766517
0.80350405,0.79971296
0.8271339,0.81660265
0.85390836,0.8289473
0.8277628,0.8220084
0.76361185,0.7555429
0.6768194,0.6663337
0.5807727,0.56586534
0.5008086,0.48324782
0.43683738,0.41838223
0.3982929,0.39503375
0.37690926,0.3679184
0.37088948,0.3638239
0.3756514,0.37262338
0.41644204,0.41962844
0.5356694,0.5465958
0.7108715,0.7107646
0.79514825,0.79865164
0.8034142,0.8176329
0.76163524,0.80611557
0.72354,0.7900704
0.69739443,0.7601923
0.6874214,0.76376057
0.6762803,0.7563316
0.68400717,0.7636004
0.72165316,0.7868393
0.7743037,0.8116967
0.80449235,0.8333353
0.77385443,0.8165391
0.7100629,0.74344206
0.6230009,0.64855754
0.54141957,0.56019104
0.48427674,0.4839293
0.41725066,0.41975272
0.37286612,0.3793641
0.34663072,0.3429757
0.33369273,0.3291753
0.3328841,0.31699786
0.34510332,0.32555532
0.39595687,0.36369878
0.4703504,0.43866867
0.54663074,0.51870215
0.6195867,0.60841966
0.6299191,0.6264595
0.6090746,0.61214614
0.56837374,0.58005524
0.5309973,0.55120826
0.502965,0.5366965
0.49937108,0.53235966
0.5431267,0.5503922
0.6176999,0.6081053
0.67969453,0.67436606
0.66208446,0.6593343
0.6098832,0.61462975
0.54330635,0.5556769
0.49020666,0.48997736
0.43297395,0.43181804
0.3831087,0.38532066
0.35049415,0.32053328
0.3255166,0.28790498
0.31356692,0.2798804
0.30880502,0.2711135
0.3163522,0.2786436
0.34249777,0.29738814
0.38032344,0.34029508
0.42255166,0.39084053
0.45462713,0.4512751
0.44591194,0.46798408
0.43530998,0.47268093
0.4349506,0.46329272
0.41985625,0.45114297
0.419407,0.43503293
0.42857143,0.43892622
0.48086253,0.4703633
0.5814915,0.56300735
0.65867025,0.6497551
0.6499551,0.65363264
0.60224617,0.6053277
0.541779,0.5365022
0.47996405,0.4701106
0.4025157,0.39195675
0.35938904,0.3389771
0.33620843,0.3186407
0.32345015,0.294075
0.32327044,0.29546177
0.33566937,0.3040288
0.38319856,0.3390744
0.5180593,0.44868392
0.7075472,0.6399562
0.81185985,0.7579231
0.8492363,0.80068195
0.8532794,0.7995231
0.85058403,0.7884888
0.8207547,0.763507
0.82443845,0.76105446
0.8249775,0.74936837
0.8211141,0.7443984
0.83081764,0.76892644
0.8655885,0.8188398
0.86001796,0.8369851
0.8245283,0.82625085
0.75507635,0.76338977
0.6678347,0.67439896
0.5705301,0.5732967
0.48607367,0.48283964
0.42695418,0.40939695
0.39667565,0.38905287
0.38203055,0.36943793
0.37385446,0.36213154
0.3824798,0.3708385
0.42362982,0.4223678
0.55049413,0.5641675
0.7234501,0.7393176
0.8085355,0.8192774
0.84231806,0.83824646
0.82407904,0.8147911
0.80440253,0.79012185
0.78571427,0.75849146
0.78867924,0.7577854
0.78769094,0.7555347
0.7957772,0.7706205
0.81698114,0.80438316
0.8469901,0.8291282
0.85274035,0.84489715
0.83198565,0.8197196
0.76684636,0.75450456
0.6821204,0.6786504
0.5836478,0.58252865
0.5021563,0.4997196
0.43423182,0.43353942
0.3973046,0.3939479
0.38050315,0.37631515
0.3732255,0.36951447
0.38023362,0.37833315
0.42192274,0.4317389
0.54708,0.5718658
0.7254268,0.7556632
0.8148248,0.8436643
0.8221024,0.8623107
0.77484274,0.8412808
0.7286613,0.81180316
0.6925427,0.7770333
0.69227314,0.7751256
0.6931716,0.7750154
0.71545374,0.7885583
0.76567835,0.82277155
0.8249775,0.85682416
0.84123987,0.8821514
0.828212,0.8570517
0.7631626,0.7807421
0.6814016,0.6929493
0.5834681,0.5941989
0.5020665,0.51151955
0.43261456,0.44775254
0.39424977,0.39893264
0.3783468,0.37372732
0.37538186,0.36607248
0.38140163,0.37312296
0.42075473,0.41655397
0.54950583,0.53452295
0.7275831,0.7047569
0.8030548,0.79527676
0.8038634,0.81260514
0.7567835,0.7965348
0.7184187,0.7707254
0.6911051,0.73515475
0.6877808,0.7388576
0.6831986,0.7323037
0.70467204,0.7378883
0.757053,0.7683194
0.8165319,0.8011294
0.84743935,0.8453337
0.84016174,0.8348641
0.7779874,0.7683313
0.68912846,0.67344797
0.58966756,0.5819873
0.5081761,0.5032391
