true,forecasted
0.4083558,0.40195513
0.38391733,0.3833457
0.37816712,0.37954077
0.3831087,0.38528982
0.42362982,0.43809727
0.5572327,0.56732076
0.74681044,0.7581737
0.8395328,0.8519917
0.8591195,0.87714845
0.8291105,0.8740921
0.7933513,0.8585301
0.76154536,0.83795047
0.75696313,0.841063
0.7628931,0.83801687
0.78778076,0.83869714
0.82120395,0.8477349
0.875292,0.89950424
0.8900269,0.90275747
0.8513926,0.8633365
0.78238994,0.78722984
0.6960467,0.7022505
0.59685534,0.60151476
0.51401615,0.5196048
0.44357592,0.45202467
0.4024259,0.40166876
0.38185084,0.381223
0.37915543,0.3722086
0.38823,0.3815865
0.42848158,0.41940778
0.55498654,0.54324526
0.74357593,0.74578774
0.8407008,0.85753906
0.8534591,0.8857918
0.8185085,0.8849846
0.77439356,0.8627805
0.73468107,0.8381831
0.72686434,0.84116054
0.7315364,0.848797
0.7601078,0.84831387
0.8079964,0.8599659
0.8744834,0.91971797
0.8814915,0.90812427
0.8395328,0.8617308
0.7725966,0.783595
0.6929919,0.69751877
0.6008086,0.5967445
0.52021563,0.5204596
0.45013478,0.45333686
0.4083558,0.4022386
0.38831985,0.37492973
0.38113207,0.36719862
0.3901168,0.37418383
0.4328841,0.41174904
0.56244385,0.5303056
0.74995506,0.73178786
0.841779,0.83547676
0.86433065,0.85878575
0.8373765,0.8446273
0.79712486,0.8196259
0.75732255,0.7926682
0.74761903,0.7877154
0.74483377,0.79014325
0.76756513,0.7932266
0.8114106,0.80928004
0.8713387,0.8714265
0.8885894,0.8820972
0.85184187,0.8458937
0.7881402,0.7754648
0.701168,0.6856327
0.6027853,0.5850399
0.52803236,0.5134803
0.45822102,0.44509223
0.41302785,0.41000304
0.39074573,0.38482502
0.38598382,0.3724249
0.39362085,0.38037527
0.43153638,0.42180693
0.55606467,0.53448635
0.74797845,0.72367114
0.8448338,0.84214234
0.87879604,0.87993014
0.8667565,0.89310724
0.85085356,0.8838813
0.8345013,0.8663167
0.8365678,0.85866797
0.8397125,0.85328215
0.84645104,0.8401183
0.8490566,0.83978766
0.8867026,0.8876139
0.87888587,0.8677091
0.8184187,0.8282344
0.7410602,0.7544947
0.65453726,0.6609745
0.5725067,0.57515466
0.508266,0.5116783
0.43980235,0.4454211
0.3984726,0.3842054
0.3674753,0.35023767
0.35300988,0.33301604
0.3495957,0.32705343
0.36307278,0.3437407
0.40979335,0.39079154
0.48796046,0.4664903
0.5714286,0.55301476
0.65579516,0.63538176
0.6854448,0.67492986
0.67268646,0.67016476
0.64402515,0.6620073
0.5933513,0.63881433
0.5670261,0.62037325
0.56055707,0.61046225
0.59694517,0.62544906
0.66531897,0.6841545
0.7073675,0.7108378
0.6689128,0.67859864
0.61698115,0.6183087
0.55516624,0.55394036
0.49955076,0.4953286
0.44052112,0.4388932
0.39442948,0.3867977
0.35597485,0.33899722
0.33072776,0.3110367
0.32021564,0.2918237
0.3159928,0.2809581
0.3239892,0.28714088
0.3502246,0.31091172
0.39398023,0.35479957
0.45040432,0.41373512
0.5043127,0.4898387
0.52955973,0.537582
0.5398922,0.55487233
0.539982,0.5694765
0.51814914,0.5549971
0.5079964,0.5426477
0.5186882,0.5359089
0.54663074,0.5577723
0.6197664,0.63332164
0.6773585,0.67759216
0.6539084,0.66659635
0.6035939,0.62182623
0.54555255,0.5696405
0.4857143,0.5017421
0.42461815,0.41930994
0.3831087,0.36204243
0.3507637,0.33920258
0.33890387,0.33028042
