true,forecasted
0.4083558,0.4068226
0.38391733,0.3915465
0.37816712,0.3821359
0.3831087,0.395282
0.42362982,0.44398
0.5572327,0.56012595
0.74681044,0.7559986
0.8395328,0.87144834
0.8591195,0.89178395
0.8291105,0.8815052
0.7933513,0.8651322
0.76154536,0.84095335
0.75696313,0.83239675
0.7628931,0.8321559
0.78778076,0.83851606
0.82120395,0.86158335
0.875292,0.8836225
0.8900269,0.896814
0.8513926,0.8651276
0.78238994,0.7885422
0.6960467,0.6944094
0.59685534,0.6102584
0.51401615,0.52470034
0.44357592,0.4626812
0.4024259,0.4102472
0.38185084,0.38768348
0.37915543,0.3781153
0.38823,0.3885096
0.42848158,0.4370779
0.55498654,0.5414072
0.74357593,0.726504
0.8407008,0.84222203
0.8534591,0.868017
0.8185085,0.8607576
0.77439356,0.8416492
0.73468107,0.8232489
0.72686434,0.8131788
0.7315364,0.8067458
0.7601078,0.8181368
0.8079964,0.8435758
0.8744834,0.8677992
0.8814915,0.8774187
0.8395328,0.8424026
0.7725966,0.77298325
0.6929919,0.6777072
0.6008086,0.595204
0.52021563,0.51471055
0.45013478,0.45758107
0.4083558,0.40273798
0.38831985,0.3810028
0.38113207,0.37159768
0.3901168,0.38306436
0.4328841,0.42847073
0.56244385,0.53995013
0.74995506,0.72954553
0.841779,0.83932334
0.86433065,0.8616406
0.8373765,0.8505283
0.79712486,0.83293843
0.75732255,0.81147903
0.74761903,0.79639184
0.74483377,0.794139
0.76756513,0.80341077
0.8114106,0.82571054
0.8713387,0.8448506
0.8885894,0.8722904
0.85184187,0.8461509
0.7881402,0.775696
0.701168,0.6788335
0.6027853,0.5972151
0.52803236,0.51300997
0.45822102,0.45286992
0.41302785,0.4170926
0.39074573,0.38764185
0.38598382,0.3811603
0.39362085,0.39055142
0.43153638,0.43829674
0.55606467,0.54929876
0.74797845,0.7295755
0.8448338,0.8508819
0.87879604,0.8859999
0.8667565,0.8835846
0.85085356,0.8684298
0.8345013,0.8469874
0.8365678,0.83309126
0.8397125,0.81897587
0.84645104,0.8232089
0.8490566,0.8371843
0.8867026,0.8573252
0.87888587,0.87193817
0.8184187,0.8220583
0.7410602,0.74874616
0.65453726,0.6485018
0.5725067,0.57720995
0.508266,0.5089388
0.43980235,0.45714903
0.3984726,0.38992077
0.3674753,0.35322854
0.35300988,0.3454168
0.3495957,0.3380431
0.36307278,0.34886995
0.40979335,0.38465336
0.48796046,0.47171617
0.5714286,0.5786608
0.65579516,0.6443745
0.6854448,0.6761398
0.67268646,0.66803026
0.64402515,0.6514251
0.5933513,0.6188439
0.5670261,0.60149616
0.56055707,0.6091322
0.59694517,0.6351944
0.66531897,0.67488956
0.7073675,0.7148437
0.6689128,0.67155576
0.61698115,0.6155714
0.55516624,0.54723895
0.49955076,0.503324
0.44052112,0.43851322
0.39442948,0.39818314
0.35597485,0.3484384
0.33072776,0.31345186
0.32021564,0.30014113
0.3159928,0.29311278
0.3239892,0.29892504
0.3502246,0.30426493
0.39398023,0.3477863
0.45040432,0.427528
0.5043127,0.48177922
0.52955973,0.5294138
0.5398922,0.5409808
0.539982,0.55281085
0.51814914,0.53369117
0.5079964,0.5081447
0.5186882,0.5310689
0.54663074,0.5562612
0.6197664,0.62491995
0.6773585,0.67481804
0.6539084,0.6540738
0.6035939,0.6093944
0.54555255,0.5477204
0.4857143,0.48674363
0.42461815,0.41045934
0.3831087,0.37485924
0.3507637,0.34433246
0.33890387,0.322304
0.3362983,0.32274815
0.34968552,0.33164212
0.39380053,0.3741607
0.51177,0.4827907
0.68472594,0.6620072
0.77439356,0.7808806
0.7948787,0.81525886
0.76253366,0.8245403
0.7387242,0.8129357
0.73144656,0.7950279
0.731177,0.7843435
0.72075474,0.77409357
0.7274933,0.78617704
0.7574124,0.80225855
0.8008985,0.82782114
0.82461816,0.8508844
0.7928122,0.815432
0.7273136,0.7468419
0.65013474,0.6553068
0.5630728,0.5717458
0.4865229,0.48982233
0.42255166,0.43555716
0.38553458,0.39191172
0.36585805,0.3695651
0.35876012,0.35835785
0.36738545,0.372903
0.40907457,0.4159118
0.5314465,0.52674663
0.7071878,0.7065639
0.7891285,0.8106646
0.79739445,0.8244688
0.755885,0.8065117
0.71761006,0.79535425
0.68167114,0.7683973
0.6659479,0.76265585
0.6760108,0.75528157
0.7021563,0.7715992
0.74582213,0.79097307
0.8060198,0.81065553
0.83414197,0.83613586
0.80368376,0.8233415
0.7422282,0.753082
0.66801435,0.65994036
0.5795148,0.5721792
0.5015274,0.49314702
0.4374663,0.4345201
0.39991015,0.39870945
0.38032344,0.37218493
0.37484276,0.35912558
0.38086253,0.3707875
0.4203055,0.42078945
0.54438454,0.5223885
0.72677445,0.704169
0.8141959,0.8129223
0.82228214,0.8310836
0.78068286,0.8197578
0.7422282,0.805135
0.7010782,0.7853213
0.69856244,0.7776462
0.7073675,0.7710289
0.74159926,0.7859685
0.7912848,0.8067765
0.8458221,0.8223928
0.8552561,0.8423288
0.8135669,0.821024
0.7456424,0.75537676
0.6674753,0.6642052
0.57574123,0.5752113
0.49362084,0.49788898
