true,forecasted
0.4083558,0.40243426
0.38391733,0.37761068
0.37816712,0.3732157
0.3831087,0.37382272
0.42362982,0.42108685
0.5572327,0.5504818
0.74681044,0.7354758
0.8395328,0.82514167
0.8591195,0.8693573
0.8291105,0.8640866
0.7933513,0.8435528
0.76154536,0.82154214
0.75696313,0.8114913
0.7628931,0.8251066
0.78778076,0.8300004
0.82120395,0.8413888
0.875292,0.90000445
0.8900269,0.8774059
0.8513926,0.85801595
0.78238994,0.78133225
0.6960467,0.696952
0.59685534,0.5947696
0.51401615,0.50910264
0.44357592,0.43755102
0.4024259,0.4054118
0.38185084,0.380845
0.37915543,0.37333223
0.38823,0.37669605
0.42848158,0.42320904
0.55498654,0.55459577
0.74357593,0.7347871
0.8407008,0.834448
0.8534591,0.8768211
0.8185085,0.8733522
0.77439356,0.85231507
0.73468107,0.83214235
0.72686434,0.820068
0.7315364,0.83251476
0.7601078,0.8367451
0.8079964,0.8504169
0.8744834,0.9094425
0.8814915,0.88389575
0.8395328,0.857581
0.7725966,0.7831401
0.6929919,0.6991993
0.6008086,0.5962544
0.52021563,0.511683
0.45013478,0.44157973
0.4083558,0.41060328
0.38831985,0.37879753
0.38113207,0.37786293
0.3901168,0.38045537
0.4328841,0.43412387
0.56244385,0.5645309
0.74995506,0.73845243
0.841779,0.83129644
0.86433065,0.8737264
0.8373765,0.8736281
0.79712486,0.849149
0.75732255,0.8290371
0.74761903,0.80847746
0.74483377,0.8277815
0.76756513,0.8269023
0.8114106,0.8364093
0.8713387,0.895671
0.8885894,0.882239
0.85184187,0.8721193
0.7881402,0.7990966
0.701168,0.70131767
0.6027853,0.5962573
0.52803236,0.51392365
0.45822102,0.4404927
0.41302785,0.4079493
0.39074573,0.3861271
0.38598382,0.37353343
0.39362085,0.3781755
0.43153638,0.41545984
0.55606467,0.54464155
0.74797845,0.71535724
0.8448338,0.81323075
0.87879604,0.8603642
0.8667565,0.8537423
0.85085356,0.82984495
0.8345013,0.80716604
