true,forecasted
0.597234,0.65347964
0.6029095,0.6368573
0.6039533,0.63140607
0.6246331,0.6448103
0.660578,0.67515504
0.7532781,0.78383356
0.865288,0.90222174
0.881597,0.9196944
0.86607087,0.8992953
0.86352664,0.8923511
0.84349924,0.88323575
0.83586663,0.8585794
0.82790786,0.8519631
0.82732075,0.84290344
0.8386718,0.8424481
0.8432383,0.8475511
0.85674214,0.862926
0.8436297,0.86056405
0.83221346,0.8489809
0.8187749,0.8351679
0.7874617,0.81994855
0.72777086,0.7853503
0.66866726,0.72261775
0.6397025,0.66848046
0.6096288,0.6650555
0.6012134,0.6515412
0.60023487,0.64811087
0.6084546,0.66543007
0.63826734,0.7023717
0.7307717,0.8113703
0.8448692,0.9237393
0.8743558,0.937582
0.8758562,0.92056817
0.86307,0.90933514
0.84460825,0.89834535
0.8241242,0.8759846
0.8070324,0.8700102
0.8126427,0.86217934
0.8147302,0.86535954
0.8236676,0.8782469
0.84108555,0.890191
0.83841085,0.88006526
0.82503754,0.86648816
0.80487967,0.8503678
0.7707613,0.82489634
0.7232044,0.7785568
0.6773436,0.70728827
0.64720464,0.6549215
0.62150174,0.6377216
0.6084546,0.6256857
0.6079327,0.61804175
0.6196099,0.6333618
0.6451171,0.6600935
0.73383784,0.75550663
0.8364538,0.8717029
0.86124337,0.8915187
0.85002285,0.8775867
0.837628,0.8744568
0.816883,0.8646854
0.80775,0.8448705
0.8014221,0.8358453
0.79939985,0.8287952
0.7931372,0.8244898
0.80018264,0.83297443
0.81831825,0.82869536
0.80057406,0.8131819
0.77617586,0.7903113
0.75282145,0.7632055
0.72516143,0.72455627
0.6744732,0.68090713
0.6272425,0.6186626
0.5841216,0.5735243
0.5573097,0.56371015
0.5475243,0.5460978
0.54765475,0.5413023
0.5544393,0.55121386
0.58581775,0.5748856
0.67108095,0.661702
0.77539307,0.767885
0.80103076,0.79714966
0.79744273,0.79091567
0.78785306,0.7945834
0.7708265,0.78053164
0.75066864,0.7668718
0.752691,0.7527097
0.7574532,0.74893373
0.7539957,0.7423457
0.757127,0.75473213
0.7731098,0.7519488
0.77056557,0.74656916
0.7391219,0.7315151
0.71113575,0.6994815
0.6770174,0.6636409
0.6311566,0.6222521
0.60167,0.5734479
0.56435513,0.53871435
0.5442625,0.5195124
0.5234523,0.5059816
0.512297,0.4964746
0.5138626,0.5065081
0.5263879,0.5169256
0.5472634,0.5543836
0.5801422,0.60388035
0.6372888,0.6438532
0.66879773,0.6701606
0.69156504,0.6997006
0.69893664,0.7006992
0.6945006,0.6843331
0.6746037,0.67580634
0.68269295,0.66839653
0.67936593,0.66818976
0.6890208,0.6927174
0.7110053,0.69712967
0.70996153,0.6999465
0.68784654,0.6830699
0.66051275,0.6605877
0.62972146,0.63142735
0.6054537,0.5985539
0.57642376,0.54525274
0.550199,0.52124274
0.52867115,0.51097417
0.51418877,0.50073373
0.51157933,0.49447602
0.52103853,0.50049466
0.5205819,0.5116575
0.5404136,0.53858817
0.56748646,0.5863275
0.58823144,0.6140616
0.63083047,0.6450757
0.65705526,0.6793976
0.6685368,0.67828953
0.65881664,0.66450584
0.6517059,0.6575357
0.66494876,0.6554586
0.67323375,0.6592878
0.677996,0.68159765
0.7010242,0.696295
0.70656925,0.7025042
0.702068,0.6956872
0.6779307,0.67946506
0.6609694,0.65556675
0.6301129,0.62932336
0.5910366,0.5696363
0.55580926,0.5358838
0.54015267,0.5341416
0.53689086,0.52251995
