true,forecasted
0.597234,0.64676994
0.6029095,0.6348855
0.6039533,0.6351605
0.6246331,0.64478946
0.660578,0.68387294
0.7532781,0.783721
0.865288,0.8880947
0.881597,0.9126898
0.86607087,0.8940314
0.86352664,0.8828739
0.84349924,0.8657869
0.83586663,0.8516093
0.82790786,0.8403553
0.82732075,0.83012104
0.8386718,0.83280736
0.8432383,0.8444606
0.85674214,0.85669017
0.8436297,0.8555936
0.83221346,0.84416455
0.8187749,0.8273177
0.7874617,0.8122323
0.72777086,0.77246326
0.66866726,0.7244475
0.6397025,0.6675985
0.6096288,0.6379475
0.6012134,0.63058263
0.60023487,0.63591444
0.6084546,0.6515806
0.63826734,0.6925536
0.7307717,0.79541886
0.8448692,0.90727115
0.8743558,0.92553425
0.8758562,0.9014594
0.86307,0.8915113
0.84460825,0.86459136
0.8241242,0.85494024
0.8070324,0.85090744
0.8126427,0.84446704
0.8147302,0.85344785
0.8236676,0.8732141
0.84108555,0.88275397
0.83841085,0.8820673
0.82503754,0.8619245
0.80487967,0.83832115
0.7707613,0.808737
0.7232044,0.76138014
0.6773436,0.6979307
0.64720464,0.64389753
0.62150174,0.6288625
0.6084546,0.6164585
0.6079327,0.6159675
0.6196099,0.62633324
0.6451171,0.66045314
0.73383784,0.752497
0.8364538,0.86600953
0.86124337,0.8924383
0.85002285,0.87186146
0.837628,0.86559856
0.816883,0.84429765
0.80775,0.8337831
0.8014221,0.8271744
0.79939985,0.81903595
0.7931372,0.8192371
0.80018264,0.8273749
0.81831825,0.8263154
0.80057406,0.8153593
0.77617586,0.78914243
0.75282145,0.7560361
0.72516143,0.72400075
0.6744732,0.67764455
0.6272425,0.6209767
0.5841216,0.5711142
0.5573097,0.55849916
0.5475243,0.5442607
0.54765475,0.54660726
0.5544393,0.55295753
0.58581775,0.5766875
0.67108095,0.6586061
0.77539307,0.7632476
0.80103076,0.79230666
0.79744273,0.7853646
0.78785306,0.77972627
0.7708265,0.7625364
0.75066864,0.7534092
0.752691,0.73893887
0.7574532,0.73336047
0.7539957,0.72909117
0.757127,0.73354024
0.7731098,0.7426444
0.77056557,0.7437143
0.7391219,0.7193191
0.71113575,0.6852455
0.6770174,0.6578998
0.6311566,0.61308396
0.60167,0.57452893
0.56435513,0.5362229
0.5442625,0.53236634
0.5234523,0.51801515
0.512297,0.5133666
0.5138626,0.5138638
0.5263879,0.51673675
0.5472634,0.54736775
0.5801422,0.6009201
0.6372888,0.65208554
0.66879773,0.6777735
0.69156504,0.69624317
0.69893664,0.6839459
0.6945006,0.6748877
0.6746037,0.6623841
0.68269295,0.6527032
0.67936593,0.6571424
0.6890208,0.6744828
0.7110053,0.69079345
0.70996153,0.697728
0.68784654,0.6805036
0.66051275,0.6522247
0.62972146,0.6189442
0.6054537,0.5849569
0.57642376,0.5527188
0.550199,0.52040994
0.52867115,0.51367396
0.51418877,0.50061005
0.51157933,0.49232075
0.52103853,0.49297595
0.5205819,0.5027617
0.5404136,0.5359193
0.56748646,0.5787751
0.58823144,0.6241536
0.63083047,0.6495186
0.65705526,0.6681746
0.6685368,0.66926515
0.65881664,0.6609115
0.6517059,0.6569145
0.66494876,0.6528921
0.67323375,0.665961
0.677996,0.68768555
0.7010242,0.7003478
0.70656925,0.70026594
0.702068,0.6925341
0.6779307,0.6762158
0.6609694,0.6477329
0.6301129,0.6125754
0.5910366,0.569082
0.55580926,0.5292782
0.54015267,0.51207405
0.53689086,0.5025006
0.54269683,0.50169873
0.5526779,0.511633
0.58477396,0.55343115
0.6749951,0.65418404
0.7825037,0.7662949
0.8097071,0.79916734
0.8070977,0.7893624
0.7988127,0.7754687
0.78941876,0.75454307
0.775654,0.739785
0.7642377,0.7392177
0.7532781,0.7382994
0.75334334,0.7392292
0.75164723,0.7509554
0.7804162,0.7590679
0.78224283,0.76184255
0.7656729,0.75319415
0.7386,0.7350783
0.71276665,0.7124829
0.66612303,0.6689064
0.60865027,0.61125326
0.5797508,0.56722426
0.5675517,0.5645931
0.56435513,0.5551483
0.56200665,0.56186926
0.564029,0.58091646
0.61282533,0.6206681
0.7150499,0.72449946
0.81218606,0.8310521
0.8214495,0.86178476
0.818253,0.8494458
0.79392004,0.82958496
0.7658686,0.80642784
0.7391872,0.7928788
0.72659665,0.78376335
0.7256181,0.7782396
0.7288799,0.7820803
0.73788244,0.79854137
0.76723856,0.81197107
0.76880425,0.8206113
0.7558875,0.8071263
0.73664296,0.7788865
0.7143323,0.74083394
0.6702981,0.6807205
0.6179138,0.62492216
0.5824255,0.57928586
0.551308,0.5504584
0.53486854,0.5368592
0.5338248,0.531967
0.551308,0.5379113
0.57433623,0.56545234
0.65699,0.64030606
0.764042,0.72653943
0.7808729,0.762101
0.752691,0.7558177
0.7442103,0.75221145
0.73096746,0.73933685
0.71381044,0.73218644
0.68941224,0.7288333
0.6903255,0.72259754
0.69495726,0.7265359
0.70930916,0.744882
0.7370344,0.7490164
0.74479747,0.74657387
0.7312284,0.7382617
0.7128319,0.7195144
0.681323,0.6893314
0.6275034,0.6456707
0.57635856,0.5942502
0.5578316,0.5513837
0.53982645,0.5197166
0.5293887,0.5079112
0.5255398,0.5077326
0.5434144,0.5143378
0.57694566,0.54868126
0.6746037,0.6394801
0.76763,0.74313396
0.7920282,0.77285504
0.7769587,0.76047206
0.77154416,0.75458765
0.75614846,0.7415638
0.7474069,0.73367083
0.736382,0.7298767
