true,forecasted
0.597234,0.6286457
0.6029095,0.63583297
0.6039533,0.63041335
0.6246331,0.64617443
0.660578,0.6922674
0.7532781,0.7802458
0.865288,0.87183005
0.881597,0.90588176
0.86607087,0.8882765
0.86352664,0.8525422
0.84349924,0.86085165
0.83586663,0.8451945
0.82790786,0.8144336
0.82732075,0.8151625
0.8386718,0.8204446
0.8432383,0.8347519
0.85674214,0.83110577
0.8436297,0.8633043
0.83221346,0.8643615
0.8187749,0.85386986
0.7874617,0.8278419
0.72777086,0.77937895
0.66866726,0.7143085
0.6397025,0.67280006
0.6096288,0.64394385
0.6012134,0.6555529
0.60023487,0.652025
0.6084546,0.66078883
0.63826734,0.69861764
0.7307717,0.7716884
0.8448692,0.86401045
0.8743558,0.88191354
0.8758562,0.89615595
0.86307,0.87376755
0.84460825,0.85733384
0.8241242,0.85842377
0.8070324,0.8456706
0.8126427,0.84573126
0.8147302,0.8473604
0.8236676,0.8564372
0.84108555,0.88286036
0.83841085,0.88145906
0.82503754,0.86899126
0.80487967,0.83915347
0.7707613,0.8045176
0.7232044,0.7469904
0.6773436,0.6978412
0.64720464,0.6490222
0.62150174,0.6163554
0.6084546,0.6204476
0.6079327,0.6091029
0.6196099,0.6099491
0.6451171,0.6356805
0.73383784,0.7011691
0.8364538,0.79279083
0.86124337,0.8226228
0.85002285,0.83664787
0.837628,0.81036454
0.816883,0.8125305
0.80775,0.7972577
0.8014221,0.7723736
0.79939985,0.78261566
0.7931372,0.7816763
0.80018264,0.78369975
0.81831825,0.79153824
0.80057406,0.7917213
0.77617586,0.7737542
0.75282145,0.7310979
0.72516143,0.700992
0.6744732,0.65740436
0.6272425,0.59484833
0.5841216,0.5572896
0.5573097,0.54830885
0.5475243,0.53679866
0.54765475,0.5314937
0.5544393,0.5261734
0.58581775,0.57743144
0.67108095,0.64843315
0.77539307,0.7619035
0.80103076,0.7802092
0.79744273,0.78892523
0.78785306,0.76427346
0.7708265,0.76213336
0.75066864,0.7516311
0.752691,0.7374021
0.7574532,0.7185065
0.7539957,0.73506445
0.757127,0.72010016
0.7731098,0.7302138
0.77056557,0.74360573
0.7391219,0.7259776
0.71113575,0.69312423
0.6770174,0.64994967
0.6311566,0.6102931
0.60167,0.5712918
0.56435513,0.53916115
0.5442625,0.52425647
0.5234523,0.5053461
0.512297,0.50569713
0.5138626,0.49839467
0.5263879,0.51038736
0.5472634,0.5331107
0.5801422,0.6000625
0.6372888,0.6462337
0.66879773,0.68720615
0.69156504,0.68316454
0.69893664,0.6882476
0.6945006,0.6842182
0.6746037,0.6668573
0.68269295,0.65512526
0.67936593,0.67199236
0.6890208,0.68722415
0.7110053,0.7085313
0.70996153,0.7324654
0.68784654,0.7056672
0.66051275,0.669782
0.62972146,0.63992786
0.6054537,0.59861517
0.57642376,0.55514383
0.550199,0.53471315
0.52867115,0.47926268
0.51418877,0.4692235
0.51157933,0.46944302
0.52103853,0.46208817
0.5205819,0.48519188
0.5404136,0.51287144
0.56748646,0.5708814
0.58823144,0.61273235
0.63083047,0.64812887
0.65705526,0.6405906
0.6685368,0.6524299
0.65881664,0.6525482
0.6517059,0.63318026
0.66494876,0.6385266
0.67323375,0.65325296
0.677996,0.6706525
0.7010242,0.68941474
0.70656925,0.7048624
0.702068,0.70460325
0.6779307,0.6725037
0.6609694,0.65342116
0.6301129,0.6128889
0.5910366,0.56392616
0.55580926,0.53503263
0.54015267,0.501624
0.53689086,0.50726366
0.54269683,0.50292605
0.5526779,0.51677847
0.58477396,0.5713907
0.6749951,0.6449766
0.7825037,0.75242686
0.8097071,0.78382385
0.8070977,0.7839901
0.7988127,0.77419
0.78941876,0.7539961
0.775654,0.74991673
0.7642377,0.74219733
0.7532781,0.7383475
0.75334334,0.7603048
0.75164723,0.75135165
0.7804162,0.77000374
0.78224283,0.76172584
0.7656729,0.76082796
0.7386,0.73018795
0.71276665,0.71890503
0.66612303,0.66658896
0.60865027,0.6111607
0.5797508,0.5744504
0.5675517,0.5417159
0.56435513,0.5329952
0.56200665,0.53615123
0.564029,0.55602086
0.61282533,0.59627825
0.7150499,0.6722707
0.81218606,0.78621197
0.8214495,0.816037
0.818253,0.8162734
0.79392004,0.807098
0.7658686,0.784725
0.7391872,0.769255
0.72659665,0.7596625
0.7256181,0.7582979
0.7288799,0.75386244
0.73788244,0.7608736
0.76723856,0.77375966
0.76880425,0.772667
0.7558875,0.7709451
0.73664296,0.73805517
0.7143323,0.6960326
0.6702981,0.64476544
0.6179138,0.6010183
0.5824255,0.5580565
0.551308,0.541797
0.53486854,0.5298001
0.5338248,0.52714753
0.551308,0.5254719
0.57433623,0.55122596
0.65699,0.6275284
0.764042,0.74184793
0.7808729,0.7755122
0.752691,0.7777427
0.7442103,0.7578254
0.73096746,0.7412092
0.71381044,0.7304612
0.68941224,0.7288356
0.6903255,0.71983135
0.69495726,0.72299004
0.70930916,0.73720443
0.7370344,0.75174195
0.74479747,0.756021
0.7312284,0.74984545
0.7128319,0.7222937
0.681323,0.6900509
0.6275034,0.6406135
0.57635856,0.5924166
0.5578316,0.55340976
0.53982645,0.51363236
0.5293887,0.49755818
0.5255398,0.49785715
0.5434144,0.5102984
0.57694566,0.5351948
0.6746037,0.6072105
0.76763,0.7147836
0.7920282,0.75222695
0.7769587,0.75351095
0.77154416,0.7404168
0.75614846,0.726348
0.7474069,0.7311389
0.736382,0.71899384
0.7402962,0.71505743
0.74394935,0.7292421
0.75229955,0.71805835
0.76717335,0.73363996
0.76267207,0.7369313
0.7556266,0.7429845
0.74714595,0.71666545
0.7108748,0.6942688
0.6720595,0.63739234
0.60969406,0.5884262
0.57701087,0.5508367
0.5460891,0.53056663
0.5353252,0.5058016
0.5333681,0.51622206
0.54478437,0.5230379
0.5791637,0.5561306
0.66560113,0.6419185
0.77578443,0.7554469
0.7993346,0.7754095
0.7935286,0.7833659
0.7871355,0.76382905
0.765412,0.74323314
0.73768675,0.74053496
0.715637,0.7164241
0.7134842,0.7065038
0.7135495,0.7185708
0.7155718,0.71161044
0.74101377,0.7246183
0.745776,0.7310242
0.73899144,0.7350307
0.69887143,0.7020531
0.6624046,0.6742411
0.62593776,0.63101834
0.59645116,0.5979886
0.5680736,0.55956537
0.5466762,0.53803426
0.54302305,0.5265917
0.5418488,0.52015543
0.5478505,0.5256107
0.5597234,0.53673524
0.5882967,0.55902815
