true,forecasted
0.597234,0.6214386
0.6029095,0.6111344
0.6039533,0.6122809
0.6246331,0.6240383
0.660578,0.6623697
0.7532781,0.76492727
0.865288,0.8795645
0.881597,0.90612745
0.86607087,0.89669216
0.86352664,0.8844676
0.84349924,0.86769104
0.83586663,0.85046154
0.82790786,0.8428275
0.82732075,0.83656746
0.8386718,0.83106244
0.8432383,0.83977413
0.85674214,0.86109054
0.8436297,0.8665689
0.83221346,0.8450323
0.8187749,0.82678455
0.7874617,0.80654544
0.72777086,0.7600881
0.66866726,0.7071068
0.6397025,0.6587927
0.6096288,0.6245284
0.6012134,0.618157
0.60023487,0.6194911
0.6084546,0.6350662
0.63826734,0.66786164
0.7307717,0.769316
0.8448692,0.8826114
0.8743558,0.9001384
0.8758562,0.88920337
0.86307,0.8764418
0.84460825,0.8541911
0.8241242,0.8348352
0.8070324,0.8246826
0.8126427,0.81941265
0.8147302,0.82415825
0.8236676,0.83870715
0.84108555,0.8594114
0.83841085,0.8603209
0.82503754,0.8414014
0.80487967,0.8177089
0.7707613,0.7886389
0.7232044,0.73559284
0.6773436,0.6820235
0.64720464,0.6326757
0.62150174,0.61074567
0.6084546,0.59626406
0.6079327,0.59375626
0.6196099,0.6050958
0.6451171,0.63235235
0.73383784,0.72041017
0.8364538,0.8292971
0.86124337,0.85901463
0.85002285,0.85107416
0.837628,0.84051913
0.816883,0.82054174
0.80775,0.7997065
0.8014221,0.7882406
0.79939985,0.78241146
0.7931372,0.7809317
0.80018264,0.78233737
0.81831825,0.7879091
0.80057406,0.7799189
0.77617586,0.75086266
0.75282145,0.718948
0.72516143,0.68963724
0.6744732,0.64295465
0.6272425,0.5930685
0.5841216,0.55166405
0.5573097,0.56695175
0.5475243,0.553788
0.54765475,0.55277836
0.5544393,0.5575096
0.58581775,0.57722586
0.67108095,0.6642149
0.77539307,0.7749506
0.80103076,0.80054677
0.79744273,0.79184353
0.78785306,0.7825794
0.7708265,0.7692599
0.75066864,0.75578904
0.752691,0.7528417
0.7574532,0.7468325
0.7539957,0.7485653
0.757127,0.7521154
0.7731098,0.7608849
0.77056557,0.7637626
0.7391219,0.74204063
0.71113575,0.7049671
0.6770174,0.67395025
0.6311566,0.6288116
0.60167,0.5853387
0.56435513,0.5407748
0.5442625,0.5410814
0.5234523,0.52718115
0.512297,0.5263512
0.5138626,0.52803946
0.5263879,0.5389278
0.5472634,0.57261026
0.5801422,0.61928934
0.6372888,0.67117244
0.66879773,0.71070355
0.69156504,0.72983617
0.69893664,0.72704756
0.6945006,0.7153383
0.6746037,0.70686716
0.68269295,0.6984877
0.67936593,0.7019949
0.6890208,0.71367574
0.7110053,0.72974014
0.70996153,0.7325826
0.68784654,0.706058
0.66051275,0.66807914
0.62972146,0.64010906
0.6054537,0.60703295
0.57642376,0.57523394
0.550199,0.5411714
0.52867115,0.52585626
0.51418877,0.51179904
0.51157933,0.5086467
0.52103853,0.5045895
0.5205819,0.51011235
0.5404136,0.5185623
0.56748646,0.5180794
0.58823144,0.5525471
0.63083047,0.6024381
0.65705526,0.64187557
0.6685368,0.6571113
0.65881664,0.6562801
0.6517059,0.65281576
0.66494876,0.6543732
0.67323375,0.66355896
0.677996,0.6909293
0.7010242,0.7012764
0.70656925,0.69315255
0.702068,0.68650955
0.6779307,0.6721789
0.6609694,0.656534
0.6301129,0.62324214
0.5910366,0.5825367
0.55580926,0.5501365
0.54015267,0.5312011
0.53689086,0.5213435
0.54269683,0.5274628
0.5526779,0.5383447
0.58477396,0.5808265
0.6749951,0.6815485
0.7825037,0.79861224
0.8097071,0.8273846
0.8070977,0.81654817
0.7988127,0.80665475
0.78941876,0.797164
0.775654,0.7866274
0.7642377,0.78044426
0.7532781,0.77651083
0.75334334,0.77661556
0.75164723,0.7860774
0.7804162,0.79778695
0.78224283,0.7933713
0.7656729,0.77879936
0.7386,0.7554539
0.71276665,0.7271666
0.66612303,0.6802524
0.60865027,0.62484235
0.5797508,0.5826138
0.5675517,0.5562817
0.56435513,0.54562116
0.56200665,0.5531722
0.564029,0.56603426
0.61282533,0.6067069
0.7150499,0.7040229
0.81218606,0.8205653
0.8214495,0.8495425
0.818253,0.83797884
0.79392004,0.819388
0.7658686,0.7946465
0.7391872,0.7764052
0.72659665,0.76872915
0.7256181,0.7585003
0.7288799,0.75703055
0.73788244,0.76992023
0.76723856,0.7966962
0.76880425,0.79941803
0.7558875,0.7746555
0.73664296,0.74582857
0.7143323,0.71176285
0.6702981,0.6634235
0.6179138,0.6072712
0.5824255,0.5637328
0.551308,0.5441208
