true,forecasted
0.597234,0.6136142
0.6029095,0.5984534
0.6039533,0.60875165
0.6246331,0.61457
0.660578,0.6609086
0.7532781,0.7566484
0.865288,0.89050734
0.881597,0.90043783
0.86607087,0.8675978
0.86352664,0.8751427
0.84349924,0.84980386
0.83586663,0.8177717
0.82790786,0.83543247
0.82732075,0.8264388
0.8386718,0.8229673
0.8432383,0.83664197
0.85674214,0.8368635
0.8436297,0.82318187
0.83221346,0.8275863
0.8187749,0.78848946
0.7874617,0.7593497
0.72777086,0.7050041
0.66866726,0.67104053
0.6397025,0.611059
0.6096288,0.61737156
0.6012134,0.6047131
0.60023487,0.6097934
0.6084546,0.61159575
0.63826734,0.6403222
0.7307717,0.73618704
0.8448692,0.8629534
0.8743558,0.87778926
0.8758562,0.86543936
0.86307,0.8622124
0.84460825,0.8417628
0.8241242,0.8180435
0.8070324,0.83905494
0.8126427,0.82706195
0.8147302,0.8209818
0.8236676,0.84345984
0.84108555,0.85136956
0.83841085,0.8369757
0.82503754,0.84046197
0.80487967,0.7994896
0.7707613,0.7753729
0.7232044,0.7282558
0.6773436,0.6756854
0.64720464,0.62341297
0.62150174,0.61194074
0.6084546,0.6031593
0.6079327,0.60987633
0.6196099,0.61202866
0.6451171,0.6415396
0.73383784,0.74465966
0.8364538,0.874996
0.86124337,0.8885457
0.85002285,0.87379473
0.837628,0.8680184
0.816883,0.84538144
0.80775,0.8177787
0.8014221,0.829491
0.79939985,0.8239303
0.7931372,0.8220857
0.80018264,0.83583236
0.81831825,0.84400994
0.80057406,0.8290341
0.77617586,0.8318154
0.75282145,0.7920049
0.72516143,0.77112734
0.6744732,0.72267175
0.6272425,0.66969985
0.5841216,0.6169264
0.5573097,0.5557847
0.5475243,0.5390266
0.54765475,0.5425273
0.5544393,0.5471677
0.58581775,0.5938648
0.67108095,0.68991464
0.77539307,0.81768274
0.80103076,0.821388
0.79744273,0.8163087
0.78785306,0.81058884
0.7708265,0.7851598
0.75066864,0.7606251
0.752691,0.7434881
0.7574532,0.7509892
0.7539957,0.76285464
0.757127,0.7584762
0.7731098,0.7660595
0.77056557,0.74137205
0.7391219,0.7414994
0.71113575,0.7013505
0.6770174,0.6698495
0.6311566,0.6201554
0.60167,0.59820443
0.56435513,0.54957604
0.5442625,0.54556465
0.5234523,0.5241821
0.512297,0.517777
0.5138626,0.52066606
0.5263879,0.5300561
0.5472634,0.55871505
0.5801422,0.61134803
0.6372888,0.6459553
0.66879773,0.68402123
0.69156504,0.69884294
0.69893664,0.6986847
0.6945006,0.68399215
0.6746037,0.66961455
0.68269295,0.67439455
0.67936593,0.6942157
0.6890208,0.6968331
0.7110053,0.7068098
0.70996153,0.7029463
0.68784654,0.6998043
0.66051275,0.6651639
0.62972146,0.64236814
0.6054537,0.59652126
0.57642376,0.5825572
0.550199,0.54127616
0.52867115,0.5233467
0.51418877,0.5093687
0.51157933,0.49613687
0.52103853,0.5034426
0.5205819,0.5088031
0.5404136,0.52210176
0.56748646,0.5379559
0.58823144,0.58451605
0.63083047,0.62500036
0.65705526,0.6469433
0.6685368,0.65045446
0.65881664,0.63512874
0.6517059,0.6342263
0.66494876,0.6283127
0.67323375,0.6440254
0.677996,0.64715135
0.7010242,0.6773751
0.70656925,0.66825444
0.702068,0.67285335
0.6779307,0.6542628
0.6609694,0.6325401
0.6301129,0.5936158
0.5910366,0.5598923
0.55580926,0.5302532
0.54015267,0.54393786
0.53689086,0.5419586
0.54269683,0.5364717
0.5526779,0.53014725
0.58477396,0.560036
0.6749951,0.6331099
0.7825037,0.73051345
0.8097071,0.7712228
0.8070977,0.7728733
0.7988127,0.7758465
0.78941876,0.7612249
0.775654,0.7511612
0.7642377,0.7365923
0.7532781,0.7403234
0.75334334,0.74491906
0.75164723,0.7500549
0.7804162,0.77373064
0.78224283,0.76155317
0.7656729,0.7612872
0.7386,0.7406732
0.71276665,0.72100174
0.66612303,0.68210876
