true,forecasted
0.47930577,0.4564479
0.46325248,0.43632656
0.467335,0.44322795
0.48809358,0.46091852
0.5426886,0.50434136
0.7045363,0.6694107
0.80535376,0.80117506
0.8704665,0.86367124
0.89309335,0.8830707
0.87987703,0.8744671
0.89703745,0.88740253
0.89177865,0.8877009
0.90437216,0.8934575
0.8750334,0.86284447
0.85655826,0.85658157
0.8701205,0.8950963
0.9433291,0.9305742
0.93121994,0.92681223
0.9204947,0.9265087
0.8716428,0.8743175
0.77117133,0.7758084
0.67498994,0.6693586
0.5835138,0.5777141
0.50926733,0.5053538
0.46864972,0.46231386
0.44816792,0.44340563
0.45626375,0.44658118
0.47681475,0.4695467
0.5240751,0.513173
0.6958869,0.6717236
0.8115122,0.79563105
0.8909483,0.85985225
0.91163766,0.8798044
0.89745265,0.8712314
0.90886986,0.8834517
0.9084547,0.8814348
0.9150282,0.88743603
0.8897028,0.85468197
0.8688058,0.8504127
0.88160694,0.89768004
0.944713,0.92995155
0.94111484,0.9247626
0.9346797,0.9186614
0.88700414,0.8643548
0.78120464,0.76890475
0.674298,0.66302776
0.59562296,0.56758344
0.51888543,0.49906498
0.4861561,0.4642573
0.46643546,0.4461007
0.4647748,0.4489649
0.47999772,0.4690952
0.5312022,0.5253012
0.69775516,0.6855557
0.80701447,0.8028552
0.8754486,0.8597885
0.90741676,0.8792895
0.90201956,0.8712917
0.9218786,0.88815796
0.92845213,0.8856565
0.9300436,0.8902243
0.9112225,0.86177844
0.8819529,0.85632795
0.87849313,0.89515656
0.942222,0.91714203
0.9318427,0.9114475
0.9196643,0.91607827
0.8739955,0.86676604
0.7773297,0.7726331
0.68211704,0.6633643
0.5911945,0.57054776
0.519785,0.5030866
0.48068967,0.46367884
0.45937756,0.44785792
0.4619378,0.4509285
0.48241955,0.4692823
0.53798336,0.5293892
0.70619696,0.688971
0.8173246,0.804726
0.88735014,0.8635375
0.9210482,0.88233346
0.9081779,0.8752919
0.9280369,0.88717383
0.9288673,0.8843624
0.9320503,0.8833163
0.8981446,0.8503951
0.8587033,0.8387649
0.8702589,0.8756689
0.93807024,0.91544247
0.9234009,0.90594196
0.9148899,0.90263253
0.85946447,0.852791
0.7592006,0.7548329
