true,forecasted
0.47930577,0.42872357
0.46325248,0.4172088
0.467335,0.41666204
0.48809358,0.4374224
0.5426886,0.4867283
0.7045363,0.64735025
0.80535376,0.7788338
0.8704665,0.82566565
0.89309335,0.86054915
0.87987703,0.85561293
0.89703745,0.8708916
0.89177865,0.8663996
0.90437216,0.8738684
0.8750334,0.8591077
0.85655826,0.83257717
0.8701205,0.8436365
0.9433291,0.8939822
0.93121994,0.89378613
0.9204947,0.8901107
0.8716428,0.85675055
0.77117133,0.75004
0.67498994,0.643667
0.5835138,0.566645
0.50926733,0.49012887
0.46864972,0.44572484
0.44816792,0.43205157
0.45626375,0.42854133
0.47681475,0.448223
0.5240751,0.48974878
0.6958869,0.62957084
0.8115122,0.7502084
0.8909483,0.7967006
0.91163766,0.8356556
0.89745265,0.8293768
0.90886986,0.8445747
0.9084547,0.83571666
0.9150282,0.8467956
0.8897028,0.8205371
0.8688058,0.7978765
0.88160694,0.8169312
0.944713,0.8668431
0.94111484,0.8638306
0.9346797,0.8574553
0.88700414,0.8328611
0.78120464,0.73207784
0.674298,0.62717444
0.59562296,0.54559743
0.51888543,0.46807167
0.4861561,0.44296885
0.46643546,0.4366305
0.4647748,0.4332269
0.47999772,0.45117494
0.5312022,0.5035812
0.69775516,0.66860116
0.80701447,0.7818464
0.8754486,0.8473816
0.90741676,0.87054616
0.90201956,0.8613602
0.9218786,0.87551266
0.92845213,0.86855423
0.9300436,0.8704569
0.9112225,0.84857535
0.8819529,0.8351142
0.87849313,0.8529657
0.942222,0.8923218
0.9318427,0.88059205
0.9196643,0.8879855
0.8739955,0.84773326
0.7773297,0.75542057
0.68211704,0.63325197
0.5911945,0.5492197
0.519785,0.47567764
0.48068967,0.45137602
0.45937756,0.43260553
0.4619378,0.42799208
0.48241955,0.44751263
0.53798336,0.50277877
0.70619696,0.6494827
0.8173246,0.76804787
0.88735014,0.8221777
0.9210482,0.8517106
0.9081779,0.855231
0.9280369,0.85917264
0.9288673,0.8569817
0.9320503,0.85725385
0.8981446,0.829496
0.8587033,0.8031113
0.8702589,0.827559
0.93807024,0.87557065
0.9234009,0.8678648
0.9148899,0.866147
0.85946447,0.82529074
0.7592006,0.7291755
0.6646106,0.6228955
0.5834446,0.544103
0.51660204,0.47328523
0.46166098,0.44748235
0.44332424,0.42566457
0.43626633,0.4197587
0.43875736,0.41584274
0.45453387,0.41054583
0.5171556,0.46194273
0.57278854,0.5251475
0.66931593,0.6012931
0.7326296,0.67779833
0.7567787,0.69388837
0.7690955,0.7044752
0.7654973,0.68873906
0.7510355,0.67409617
0.70225286,0.6398531
0.6801104,0.6139932
0.68045634,0.64151907
0.74999756,0.6935438
0.74764496,0.698093
0.73449785,0.70182323
0.6802488,0.67403513
0.5997747,0.5945744
0.53625345,0.51766354
0.45833963,0.44646338
0.39239654,0.37214074
0.35143298,0.3439921
0.32929048,0.3240529
0.3174581,0.30913743
0.31801167,0.31587344
0.32790658,0.32576174
0.34271437,0.32813132
0.36340374,0.34865993
0.43031555,0.40593684
0.49868044,0.47854656
0.5287112,0.5272748
0.54324216,0.5362795
0.55216837,0.5388646
0.56033343,0.54536486
0.53175575,0.5305735
0.511274,0.5050632
0.51224273,0.5194763
0.606971,0.5959314
0.63513345,0.6308763
0.64260656,0.64101654
0.6027501,0.5984493
0.542827,0.5389809
0.4831807,0.4811345
0.4175836,0.40977618
0.3654796,0.35263968
0.33690196,0.3211938
0.3231321,0.31328067
0.32223257,0.3163765
0.353924,0.3396203
0.42678657,0.40972018
0.6317429,0.58348185
0.7551872,0.7322358
0.83773714,0.8236961
0.87759364,0.87023216
0.8711585,0.8645329
0.88306004,0.88708794
0.8883881,0.87940764
0.8894952,0.8825967
0.85496676,0.85173625
0.8211303,0.82707065
0.82908773,0.83292156
0.89295495,0.8856193
0.89323175,0.8929036
0.8824373,0.875959
0.8396746,0.8359805
0.7363661,0.73980314
0.6361714,0.62677526
0.54531807,0.52788687
0.48124325,0.45978177
0.43841138,0.41589618
0.4224273,0.3999467
0.4264406,0.40117136
0.44339344,0.4185263
0.49819607,0.46534413
0.6599054,0.61501706
0.77407753,0.71945816
0.85039985,0.7778846
0.8726807,0.82208526
0.8531677,0.8172868
0.8643081,0.8336553
0.8764865,0.8295032
0.8877653,0.8338137
0.86091757,0.80586
0.83621484,0.7854313
0.8281882,0.78212124
0.90305746,0.8381537
0.9112917,0.8546453
0.89994365,0.84700304
0.8503307,0.80060214
0.7480601,0.70445985
0.6551309,0.59407246
0.56185573,0.5148546
0.49349082,0.44295162
0.45612538,0.42829886
0.42637143,0.4145611
0.43142268,0.4121416
0.44906744,0.43126333
0.5029706,0.47042352
0.6724989,0.6337738
0.78431845,0.75255203
0.8560047,0.8177448
0.87980783,0.8550063
0.8853435,0.8511456
0.9049949,0.8683596
0.9084547,0.86183333
0.91876477,0.8672094
0.8892876,0.8508201
0.8526833,0.8192746
0.851507,0.82924473
0.9037494,0.88939404
0.90430295,0.8826365
0.9025731,0.87458444
0.86340857,0.8341828
0.7594773,0.74090713
0.6635727,0.6344907
0.5780474,0.5500704
0.5036625,0.4751972
0.4643596,0.43495995
0.44346264,0.41447157
0.44775274,0.4167271
0.46830374,0.4454468
0.5195774,0.48127085
0.67755014,0.65140754
0.79089195,0.77357256
0.8715736,0.83097374
0.8964147,0.8696658
0.89170945,0.8662582
0.9023655,0.8838425
0.9068632,0.88116765
0.9127448,0.89103824
0.88306004,0.8660908
0.8532369,0.8415839
0.85206056,0.84425545
0.9135751,0.91115105
0.9204255,0.90608925
0.90720916,0.9058338
0.85759616,0.85798174
0.7631447,0.7597592
0.65692997,0.6459714
0.569398,0.5581224
0.5037317,0.4902085
0.46408284,0.43320957
0.4399337,0.41727793
0.4443622,0.41273785
0.46325248,0.4417828
0.5116891,0.49331778
0.6639879,0.6494829
0.7760842,0.77066875
0.84908515,0.8298534
0.87607133,0.8659418
0.87468743,0.86587507
0.8998053,0.8791912
0.8995285,0.8710128
0.9067248,0.87728494
0.87185043,0.8533891
0.8386367,0.8172595
0.82507443,0.8130243
0.889426,0.86376524
0.8920554,0.8723068
0.8689442,0.8674523
0.82486683,0.81951797
0.72903144,0.72020173
0.6419146,0.6128074
0.5556281,0.5311394
0.48857793,0.45590115
0.44450057,0.40180123
0.41765282,0.39074185
0.40796548,0.3743032
0.40969536,0.38215032
0.42969278,0.3837432
0.48020533,0.43045413
0.54808587,0.4840528
0.63541025,0.58097345
0.70778847,0.6487297
0.7307613,0.6740989
0.7407254,0.6898038
0.72474134,0.66903394
0.7147772,0.6685516
0.6670325,0.63498896
0.6346491,0.5996636
0.6405307,0.59705275
0.7095876,0.64548326
0.7251565,0.65997905
0.7053667,0.65699846
0.6635035,0.6291174
0.58877265,0.54720175
0.52213764,0.47210783
0.4393801,0.4047456
0.37751958,0.3336432
0.3289445,0.31656095
0.30327308,0.30105802
0.29725307,0.2864918
0.29877537,0.29131866
0.30797836,0.3092216
0.32991323,0.32408634
0.35634583,0.35652125
0.42699417,0.41301638
0.48636368,0.48813796
0.5370838,0.5320082
0.5474631,0.5469783
0.55064607,0.5544142
0.5568736,0.5625016
0.5253206,0.53949976
0.49695057,0.51124895
0.502763,0.5107487
0.58752716,0.5879913
0.63949275,0.62507117
0.6448208,0.63464874
0.6110535,0.5960819
0.5487086,0.5249265
0.4909306,0.4628164
0.4193827,0.39721304
0.36624074,0.3455928
0.34548217,0.312053
0.3333038,0.31104565
0.33717874,0.29930303
0.3580757,0.31766087
0.43412128,0.3646604
0.612991,0.5413162
0.7509663,0.68243295
0.8331011,0.7727751
0.8653461,0.8207801
0.8614019,0.80810064
0.87447983,0.82588404
0.8753794,0.8202266
0.8822989,0.8253235
0.8513686,0.8035466
0.8198848,0.77190155
0.81379557,0.7758646
0.8722656,0.8293103
0.90298826,0.85571367
0.90167356,0.8428119
0.84929276,0.8153928
0.746607,0.72454613
0.6479346,0.6130159
0.563378,0.5195862
0.48926988,0.45259488
0.45474148,0.4149778
0.43301415,0.40131855
0.44027966,0.40533474
0.4598619,0.42231846
0.5198542,0.46316135
0.6641263,0.6063064
0.77968234,0.72576666
0.85039985,0.7884988
0.8687366,0.8203284
0.8544132,0.8157544
0.8586341,0.827132
0.8589801,0.82275337
0.8708125,0.82683563
0.8488776,0.80678123
0.8240365,0.77632725
0.8241057,0.7752391
0.88700414,0.83200014
0.9138519,0.84814316
0.91059977,0.849737
0.8627858,0.8125035
0.75996166,0.7209659
0.6561688,0.60953087
0.565523,0.5273174
0.4979885,0.45096648
0.4599311,0.43855804
0.4371659,0.42409882
0.4395877,0.42273113
0.46110743,0.44701433
0.5130039,0.4828692
0.671115,0.63020813
0.7877782,0.75778574
0.8638238,0.80981857
0.8923322,0.8443002
0.87870073,0.84046894
0.89433885,0.8597197
0.8909483,0.85191333
0.90028965,0.8588761
0.87600213,0.83610195
0.8516454,0.8016871
0.84098935,0.7942894
0.89613795,0.8464265
0.9162738,0.8669326
0.91184527,0.8669161
0.8682523,0.82591575
0.7704794,0.7346779
0.6668941,0.6277373
0.580746,0.54454136
0.51950824,0.47093314
0.47349337,0.44468412
0.44927505,0.43522185
0.45314997,0.4363279
0.47487727,0.45888188
0.52054614,0.5051526
0.673952,0.66314644
0.7920683,0.7840931
0.8657612,0.84987414
0.8955152,0.8788966
0.8819529,0.8710615
0.8967607,0.89391744
0.9022271,0.8819089
0.9093542,0.89628893
0.8811226,0.86862046
0.85330606,0.8442961
0.84237325,0.8419032
0.90174276,0.9027245
0.9227089,0.9147737
0.9236776,0.9226888
0.87461823,0.8834903
0.77850604,0.7782994
0.6812867,0.66220576
0.5978372,0.5805625
0.52186084,0.51072407
0.48733243,0.45460588
0.466989,0.43786916
0.47120994,0.43375018
0.4932832,0.45944417
0.54524887,0.50838584
0.68647635,0.66695875
0.8158023,0.7802739
0.8808458,0.833899
0.9025039,0.872856
0.8994593,0.8743675
0.9051333,0.8889568
0.90762436,0.8830769
0.9209098,0.8893268
0.892263,0.8626822
0.8598104,0.81984514
0.84624815,0.8249872
0.8991825,0.88407713
0.93142754,0.8923809
0.91447467,0.898406
0.8699129,0.85059375
0.7735931,0.7506961
0.6753359,0.64505637
0.5955538,0.5645951
0.52919555,0.49409574
0.4788214,0.44752583
0.45833963,0.4367988
0.4498286,0.42317432
