true,forecasted
0.47930577,0.4349566
0.46325248,0.4090068
0.467335,0.42466798
0.48809358,0.44267207
0.5426886,0.49376085
0.7045363,0.67152154
0.80535376,0.79589635
0.8704665,0.8453164
0.89309335,0.86970764
0.87987703,0.85677296
0.89703745,0.8825439
0.89177865,0.89007914
0.90437216,0.8935849
0.8750334,0.8550386
0.85655826,0.84892
0.8701205,0.87567306
0.9433291,0.9090921
0.93121994,0.9054125
0.9204947,0.92026067
0.8716428,0.8758231
0.77117133,0.7839437
0.67498994,0.6721238
0.5835138,0.5753986
0.50926733,0.5212811
0.46864972,0.4496908
0.44816792,0.43075347
0.45626375,0.43936205
0.47681475,0.4677714
0.5240751,0.52246684
0.6958869,0.6844527
0.8115122,0.80695754
0.8909483,0.8687304
0.91163766,0.8748509
0.89745265,0.866539
0.90886986,0.88669336
0.9084547,0.88401604
0.9150282,0.8914686
0.8897028,0.85674775
0.8688058,0.8421288
0.88160694,0.8709793
0.944713,0.92213136
0.94111484,0.9131699
0.9346797,0.9033974
0.88700414,0.85470414
0.78120464,0.76676995
0.674298,0.65058535
0.59562296,0.55066556
0.51888543,0.49552247
0.4861561,0.4431857
0.46643546,0.42345077
0.4647748,0.42661875
0.47999772,0.44679803
0.5312022,0.5117964
0.69775516,0.665749
0.80701447,0.7818882
0.8754486,0.83444893
0.90741676,0.85273844
0.90201956,0.8450355
0.9218786,0.86856705
0.92845213,0.8766489
0.9300436,0.8805226
0.9112225,0.83674395
0.8819529,0.83235675
0.87849313,0.85198367
0.942222,0.8885605
0.9318427,0.893431
0.9196643,0.8918463
0.8739955,0.84687495
0.7773297,0.7574397
0.68211704,0.64505225
0.5911945,0.5508159
0.519785,0.4988267
0.48068967,0.44325966
0.45937756,0.41876587
0.4619378,0.42405343
0.48241955,0.44946814
0.53798336,0.50487804
0.70619696,0.6551388
0.8173246,0.77534693
0.88735014,0.8183317
0.9210482,0.8444694
0.9081779,0.83956516
0.9280369,0.86268973
0.9288673,0.86227787
0.9320503,0.86509407
0.8981446,0.8261634
0.8587033,0.8137062
0.8702589,0.83805203
0.93807024,0.8838082
0.9234009,0.88809234
0.9148899,0.8790465
0.85946447,0.8312683
0.7592006,0.73771363
0.6646106,0.63906157
0.5834446,0.5515609
0.51660204,0.49425742
0.46166098,0.44708368
0.44332424,0.42769074
0.43626633,0.41487265
0.43875736,0.4268303
0.45453387,0.44122234
0.5171556,0.5050466
