true,forecasted
0.47930577,0.4691919
0.46325248,0.44288957
0.467335,0.45028165
0.48809358,0.47055086
0.5426886,0.51813656
0.7045363,0.682493
0.80535376,0.8168003
0.8704665,0.8826457
0.89309335,0.9032515
0.87987703,0.8993757
0.89703745,0.9114844
0.89177865,0.91500294
0.90437216,0.9194402
0.8750334,0.8892307
0.85655826,0.85631603
0.8701205,0.88835114
0.9433291,0.935628
0.93121994,0.94067323
0.9204947,0.93639606
0.8716428,0.89584434
0.77117133,0.79957473
0.67498994,0.6903356
0.5835138,0.593448
0.50926733,0.5224412
0.46864972,0.46746424
0.44816792,0.44392425
0.45626375,0.44390297
0.47681475,0.46903962
0.5240751,0.52903104
0.6958869,0.69361305
0.8115122,0.8144947
0.8909483,0.878283
0.91163766,0.9020252
0.89745265,0.8928695
0.90886986,0.9070902
0.9084547,0.8979997
0.9150282,0.89971775
0.8897028,0.8659872
0.8688058,0.8379307
0.88160694,0.8551796
0.944713,0.9230957
0.94111484,0.92366135
0.9346797,0.9088988
0.88700414,0.862901
0.78120464,0.76254135
0.674298,0.6535188
0.59562296,0.5616646
0.51888543,0.492836
0.4861561,0.4738155
0.46643546,0.44460517
0.4647748,0.43861085
0.47999772,0.45395035
0.5312022,0.49740732
0.69775516,0.66333735
0.80701447,0.7960956
0.8754486,0.86418974
0.90741676,0.89323366
0.90201956,0.883938
0.9218786,0.90058726
0.92845213,0.9002323
0.9300436,0.9078948
0.9112225,0.87466246
0.8819529,0.8481884
0.87849313,0.8728168
0.942222,0.9123913
0.9318427,0.9119855
0.9196643,0.9024821
0.8739955,0.8788206
0.7773297,0.7872591
0.68211704,0.6796754
0.5911945,0.581727
0.519785,0.50484365
0.48068967,0.47606462
0.45937756,0.44699568
0.4619378,0.44350976
0.48241955,0.46776506
0.53798336,0.51619923
0.70619696,0.6736702
0.8173246,0.7936201
0.88735014,0.8613405
0.9210482,0.8851676
0.9081779,0.8762187
0.9280369,0.8874614
0.9288673,0.884068
0.9320503,0.88710266
0.8981446,0.8549618
0.8587033,0.8205332
0.8702589,0.835816
0.93807024,0.8964092
0.9234009,0.90124243
0.9148899,0.88888973
0.85946447,0.85333306
0.7592006,0.76466167
0.6646106,0.662009
0.5834446,0.56781644
0.51660204,0.49801496
0.46166098,0.46201503
0.44332424,0.4363547
0.43626633,0.43390846
0.43875736,0.44547224
0.45453387,0.47951353
0.5171556,0.5794066
0.57278854,0.66262615
0.66931593,0.737674
0.7326296,0.7870326
0.7567787,0.79973876
0.7690955,0.8124684
0.7654973,0.79940045
0.7510355,0.79513925
0.70225286,0.75649023
0.6801104,0.7284964
0.68045634,0.7614185
0.74999756,0.81121737
0.74764496,0.80989957
0.73449785,0.79250216
0.6802488,0.74853796
0.5997747,0.66589093
0.53625345,0.57755816
0.45833963,0.4939396
0.39239654,0.42859516
0.35143298,0.3471979
0.32929048,0.3256528
0.3174581,0.31584108
0.31801167,0.31890574
0.32790658,0.3426723
0.34271437,0.3699597
0.36340374,0.39367405
0.43031555,0.45481467
0.49868044,0.50873315
0.5287112,0.5450249
0.54324216,0.55585736
0.55216837,0.5544039
0.56033343,0.5560119
0.53175575,0.5344667
0.511274,0.5103704
0.51224273,0.54682046
0.606971,0.6265798
0.63513345,0.6503861
0.64260656,0.64196265
0.6027501,0.600428
0.542827,0.54016817
0.4831807,0.4778334
0.4175836,0.40844056
0.3654796,0.35507873
0.33690196,0.33646613
0.3231321,0.3199901
0.32223257,0.31557474
0.353924,0.34509638
0.42678657,0.41983676
0.6317429,0.61139303
0.7551872,0.75659865
0.83773714,0.83499086
0.87759364,0.86071265
0.8711585,0.8537501
0.88306004,0.8738417
0.8883881,0.8718603
0.8894952,0.8773811
0.85496676,0.8532692
0.8211303,0.83906054
0.82908773,0.88396746
0.89295495,0.9165661
0.89323175,0.91279244
0.8824373,0.8810854
0.8396746,0.8438413
0.7363661,0.7514913
0.6361714,0.6414082
0.54531807,0.54824775
0.48124325,0.47275093
0.43841138,0.43757382
0.4224273,0.41284835
0.4264406,0.41574445
0.44339344,0.4381514
0.49819607,0.50054276
0.6599054,0.6642164
0.77407753,0.7942897
0.85039985,0.85305077
0.8726807,0.8732674
0.8531677,0.8671489
0.8643081,0.8817493
0.8764865,0.88697547
0.8877653,0.8885098
0.86091757,0.86344326
0.83621484,0.84569865
0.8281882,0.88756
0.90305746,0.904811
0.9112917,0.9069958
0.89994365,0.89559513
0.8503307,0.8575283
0.7480601,0.76247656
0.6551309,0.64801687
0.56185573,0.5548298
0.49349082,0.48589364
0.45612538,0.44979918
0.42637143,0.4229358
0.43142268,0.42274818
0.44906744,0.4441122
0.5029706,0.4963463
0.6724989,0.6621166
