true,forecasted
0.47930577,0.46682906
0.46325248,0.44840002
0.467335,0.46004862
0.48809358,0.47991306
0.5426886,0.5342817
0.7045363,0.70224386
0.80535376,0.81722987
0.8704665,0.8720154
0.89309335,0.90231645
0.87987703,0.9003823
0.89703745,0.9113006
0.89177865,0.91899335
0.90437216,0.917322
0.8750334,0.8907162
0.85655826,0.87145025
0.8701205,0.9167493
0.9433291,0.94914895
0.93121994,0.94622856
0.9204947,0.9344854
0.8716428,0.88951707
0.77117133,0.79372466
0.67498994,0.70028126
0.5835138,0.61064684
0.50926733,0.5424136
0.46864972,0.4836201
0.44816792,0.46713126
0.45626375,0.4740046
0.47681475,0.49400592
0.5240751,0.5480957
0.6958869,0.7045167
0.8115122,0.81728756
0.8909483,0.8756185
0.91163766,0.902135
0.89745265,0.89817643
0.90886986,0.90474564
0.9084547,0.90355337
0.9150282,0.89795953
0.8897028,0.86849105
0.8688058,0.8458153
0.88160694,0.87955576
0.944713,0.9268495
0.94111484,0.91910887
0.9346797,0.90407026
0.88700414,0.85433006
0.78120464,0.76298547
0.674298,0.66606057
0.59562296,0.57963693
0.51888543,0.51128495
0.4861561,0.47048134
0.46643546,0.44954014
0.4647748,0.4578673
0.47999772,0.47688323
0.5312022,0.5322781
0.69775516,0.69432205
0.80701447,0.81593657
0.8754486,0.8749623
0.90741676,0.9050888
0.90201956,0.9034814
0.9218786,0.91268325
0.92845213,0.91803753
0.9300436,0.9130896
0.9112225,0.8862227
0.8819529,0.8693171
0.87849313,0.9135185
0.942222,0.9481082
0.9318427,0.9402248
0.9196643,0.9238089
0.8739955,0.8757292
0.7773297,0.783417
0.68211704,0.68311447
0.5911945,0.59402883
0.519785,0.52513546
0.48068967,0.48149955
0.45937756,0.4617258
0.4619378,0.47038272
0.48241955,0.49205375
0.53798336,0.54404444
0.70619696,0.70416397
0.8173246,0.81944156
0.88735014,0.87530166
0.9210482,0.9055615
0.9081779,0.90238035
0.9280369,0.9120564
0.9288673,0.91450596
0.9320503,0.9099756
0.8981446,0.8816074
0.8587033,0.8634527
0.8702589,0.9077584
0.93807024,0.94812435
0.9234009,0.94063115
0.9148899,0.92466843
0.85946447,0.874635
0.7592006,0.78284407
0.6646106,0.6856101
0.5834446,0.59904176
0.51660204,0.5295581
0.46166098,0.47404367
0.44332424,0.45546857
0.43626633,0.46443066
0.43875736,0.48427683
0.45453387,0.53852254
0.5171556,0.6986671
0.57278854,0.8155781
0.66931593,0.8724757
0.7326296,0.90178454
0.7567787,0.90053743
0.7690955,0.90917957
0.7654973,0.91290355
0.7510355,0.90830225
0.70225286,0.88159525
0.6801104,0.8652044
0.68045634,0.91143477
0.74999756,0.94558585
0.74764496,0.9332773
0.73449785,0.91664296
0.6802488,0.86547554
0.5997747,0.7731538
0.53625345,0.6735075
0.45833963,0.5868574
0.39239654,0.51756924
0.35143298,0.356453
0.32929048,0.32619315
0.3174581,0.3153812
0.31801167,0.32095146
0.32790658,0.33063877
0.34271437,0.35668278
0.36340374,0.37002146
0.43031555,0.41791427
0.49868044,0.48415458
0.5287112,0.5304806
0.54324216,0.54353714
0.55216837,0.54741645
0.56033343,0.5504794
0.53175575,0.530414
0.511274,0.51435894
0.51224273,0.5625785
0.606971,0.6212121
0.63513345,0.6451235
0.64260656,0.6462357
0.6027501,0.60376585
0.542827,0.5469629
0.4831807,0.5076204
0.4175836,0.44226268
0.3654796,0.3709736
0.33690196,0.3342638
0.3231321,0.31971735
0.32223257,0.32362422
0.353924,0.3520097
0.42678657,0.42845088
0.6317429,0.62693554
0.7551872,0.7715551
0.83773714,0.8500569
0.87759364,0.8865719
0.8711585,0.88659346
0.88306004,0.89846927
0.8883881,0.9093088
0.8894952,0.90428007
0.85496676,0.8808439
0.8211303,0.86688125
0.82908773,0.9092469
0.89295495,0.93085986
0.89323175,0.9302549
0.8824373,0.915394
0.8396746,0.87017953
0.7363661,0.77805924
0.6361714,0.6714126
0.54531807,0.5800978
0.48124325,0.50525963
0.43841138,0.44268632
0.4224273,0.4221914
0.4264406,0.43142474
0.44339344,0.45173782
0.49819607,0.5063682
0.6599054,0.6748796
0.77407753,0.7921214
0.85039985,0.843536
0.8726807,0.8715205
0.8531677,0.8683356
0.8643081,0.88282
0.8764865,0.89295226
0.8877653,0.8911652
0.86091757,0.86689574
0.83621484,0.85536754
0.8281882,0.90065056
0.90305746,0.9210856
0.9112917,0.91591674
0.89994365,0.8978838
0.8503307,0.8469372
0.7480601,0.7522845
0.6551309,0.6550439
0.56185573,0.56720865
0.49349082,0.49662167
0.45612538,0.44861203
0.42637143,0.4277249
0.43142268,0.43511134
0.44906744,0.4526974
0.5029706,0.5078046
0.6724989,0.6681306
0.78431845,0.78877044
0.8560047,0.8462303
0.87980783,0.8763471
0.8853435,0.8739997
0.9049949,0.8855764
0.9084547,0.89240074
0.91876477,0.8885148
0.8892876,0.8633027
0.8526833,0.84951997
0.851507,0.89416414
0.9037494,0.92285097
0.90430295,0.9139646
0.9025731,0.89450085
0.86340857,0.8444307
0.7594773,0.75221944
0.6635727,0.65317273
0.5780474,0.5655194
0.5036625,0.49553436
0.4643596,0.46042705
0.44346264,0.43904355
0.44775274,0.44951323
0.46830374,0.46991205
0.5195774,0.51847667
0.67755014,0.67702097
0.79089195,0.79574096
0.8715736,0.8514647
0.8964147,0.8829751
0.89170945,0.87993264
0.9023655,0.8910549
0.9068632,0.8958545
0.9127448,0.8920206
0.88306004,0.86597943
0.8532369,0.85132945
0.85206056,0.89785403
0.9135751,0.9315336
0.9204255,0.9239463
0.90720916,0.90618634
0.85759616,0.8532562
0.7631447,0.75782454
0.65692997,0.6593908
0.569398,0.5742866
0.5037317,0.504199
0.46408284,0.45985842
0.4399337,0.4389349
0.4443622,0.4450294
0.46325248,0.4639988
0.5116891,0.5204764
0.6639879,0.67546445
0.7760842,0.79574025
0.84908515,0.8549942
0.87607133,0.88347375
0.87468743,0.8773513
0.8998053,0.8864601
0.8995285,0.891906
0.9067248,0.8858407
0.87185043,0.85794973
0.8386367,0.8397186
0.82507443,0.87293607
0.889426,0.9114796
0.8920554,0.90801734
0.8689442,0.89016515
0.82486683,0.8407539
0.72903144,0.7497071
0.6419146,0.647228
0.5556281,0.56139904
0.48857793,0.48918313
0.44450057,0.44119203
0.41765282,0.4183119
0.40796548,0.4243487
0.40969536,0.4445777
0.42969278,0.49363834
0.48020533,0.64925593
0.54808587,0.7728722
0.63541025,0.8296243
0.70778847,0.8576256
0.7307613,0.8525994
0.7407254,0.86291164
0.72474134,0.8714664
0.7147772,0.8667748
0.6670325,0.8424315
0.6346491,0.8316211
0.6405307,0.87308127
0.7095876,0.90128535
0.7251565,0.9003466
0.7053667,0.8782633
0.6635035,0.82507896
0.58877265,0.7310213
0.52213764,0.6309535
0.4393801,0.5450406
0.37751958,0.4728139
0.3289445,0.33348638
0.30327308,0.30104557
0.29725307,0.292061
0.29877537,0.2959954
0.30797836,0.2968096
0.32991323,0.32821617
0.35634583,0.35339448
0.42699417,0.39861286
0.48636368,0.46583045
0.5370838,0.5100683
0.5474631,0.527393
0.55064607,0.53847545
0.5568736,0.54062814
0.5253206,0.52629864
0.49695057,0.51529634
0.502763,0.565972
0.58752716,0.6099421
0.63949275,0.6383433
0.6448208,0.63801503
0.6110535,0.5983672
0.5487086,0.5371567
0.4909306,0.49942932
0.4193827,0.43134764
0.36624074,0.36010706
0.34548217,0.33442873
0.3333038,0.3197912
0.33717874,0.32923922
0.3580757,0.35728502
0.43412128,0.43078774
0.612991,0.6237752
0.7509663,0.76356906
0.8331011,0.842294
0.8653461,0.880123
0.8614019,0.8794236
0.87447983,0.891576
0.8753794,0.9014024
0.8822989,0.89571595
0.8513686,0.87089145
0.8198848,0.8514376
0.81379557,0.89143056
0.8722656,0.928892
0.90298826,0.9349571
0.90167356,0.9200967
0.84929276,0.8704215
0.746607,0.7743069
0.6479346,0.6712557
0.563378,0.5829974
0.48926988,0.5105855
0.45474148,0.4524693
0.43301415,0.4327667
0.44027966,0.4452274
0.4598619,0.46614766
0.5198542,0.52065545
0.6641263,0.68438905
0.77968234,0.7970503
0.85039985,0.8518538
0.8687366,0.8790641
0.8544132,0.87315667
0.8586341,0.88557667
0.8589801,0.8904467
0.8708125,0.8871042
0.8488776,0.8585373
0.8240365,0.8372471
0.8241057,0.87388057
0.88700414,0.9158267
0.9138519,0.91935
0.91059977,0.9059687
0.8627858,0.8522953
0.75996166,0.7575614
0.6561688,0.6628994
0.565523,0.5760127
0.4979885,0.5087439
0.4599311,0.45625132
0.4371659,0.43575272
0.4395877,0.44418153
0.46110743,0.46194988
0.5130039,0.5161188
0.671115,0.6716592
0.7877782,0.7894324
0.8638238,0.8490768
0.8923322,0.8775023
0.87870073,0.8741468
0.89433885,0.88298833
0.8909483,0.88533175
0.90028965,0.8804534
0.87600213,0.8529033
0.8516454,0.8326763
0.84098935,0.8687007
0.89613795,0.91300344
0.9162738,0.91094
0.91184527,0.8950469
0.8682523,0.84660935
0.7704794,0.7544923
0.6668941,0.65667593
0.580746,0.5692909
0.51950824,0.5015244
0.47349337,0.46870315
0.44927505,0.4478621
0.45314997,0.45589262
0.47487727,0.4743111
0.52054614,0.52764636
0.673952,0.6831905
0.7920683,0.8010827
0.8657612,0.85965693
0.8955152,0.88998735
0.8819529,0.8881271
0.8967607,0.8979744
0.9022271,0.90038705
0.9093542,0.8967299
0.8811226,0.8692745
0.85330606,0.84915125
0.84237325,0.8874806
0.90174276,0.92886245
0.9227089,0.9284567
0.9236776,0.914194
0.87461823,0.8680489
0.77850604,0.7758821
0.6812867,0.68037754
0.5978372,0.5918217
0.52186084,0.52292144
0.48733243,0.48062503
0.466989,0.4601261
0.47120994,0.4670734
0.4932832,0.48654038
0.54524887,0.54053116
0.68647635,0.69335204
0.8158023,0.8081794
0.8808458,0.8685336
0.9025039,0.8986449
0.8994593,0.8947387
0.9051333,0.9018047
0.90762436,0.9010265
0.9209098,0.89789385
0.892263,0.8672495
0.8598104,0.84234667
0.84624815,0.8729962
0.8991825,0.9268128
0.93142754,0.9286822
0.91447467,0.91521966
0.8699129,0.87226164
0.7735931,0.7822384
0.6753359,0.68617165
0.5955538,0.59835064
0.52919555,0.5296086
0.4788214,0.48265475
0.45833963,0.46286264
0.4498286,0.46587554
0.44802952,0.48114705
0.45744008,0.54193753
0.5001336,0.6994546
0.57555634,0.81697035
0.6727065,0.876055
0.72321904,0.90636986
0.7621759,0.90904045
0.7686111,0.9191081
0.75186586,0.92182344
0.7397567,0.9210995
0.6984471,0.895041
0.6672401,0.87440807
0.662604,0.9127285
0.7178218,0.94179094
0.767504,0.93767077
0.7581626,0.92888
0.7173374,0.89510775
