true,forecasted
0.47930577,0.44886416
0.46325248,0.4147299
0.467335,0.41556567
0.48809358,0.4576339
0.5426886,0.4962226
0.7045363,0.6476497
0.80535376,0.81069064
0.8704665,0.8843579
0.89309335,0.92605054
0.87987703,0.8626231
0.89703745,0.86678636
0.89177865,0.88937193
0.90437216,0.89740145
0.8750334,0.8743762
0.85655826,0.8495389
0.8701205,0.9197544
0.9433291,0.9317708
0.93121994,0.9158223
0.9204947,0.9171088
0.8716428,0.823897
0.77117133,0.77222526
0.67498994,0.6560013
0.5835138,0.56149495
0.50926733,0.48925155
0.46864972,0.44606853
0.44816792,0.42000532
0.45626375,0.42571074
0.47681475,0.45389807
0.5240751,0.5060942
0.6958869,0.6612872
0.8115122,0.79460675
0.8909483,0.8683629
0.91163766,0.9115568
0.89745265,0.88923985
0.90886986,0.8919891
0.9084547,0.8923938
0.9150282,0.90458024
0.8897028,0.89411205
0.8688058,0.86230963
0.88160694,0.940619
0.944713,0.9476059
0.94111484,0.9424946
0.9346797,0.92229736
0.88700414,0.86146444
0.78120464,0.7831809
0.674298,0.67061764
0.59562296,0.5756382
0.51888543,0.48758906
0.4861561,0.45455068
0.46643546,0.4291561
0.4647748,0.43919194
0.47999772,0.46720684
0.5312022,0.49816212
0.69775516,0.6483889
0.80701447,0.7991881
0.8754486,0.86342216
0.90741676,0.9014068
0.90201956,0.8703212
0.9218786,0.8668687
0.92845213,0.8873336
0.9300436,0.8964342
0.9112225,0.8848496
0.8819529,0.8499171
0.87849313,0.9235464
0.942222,0.9313499
0.9318427,0.9221552
0.9196643,0.9075616
0.8739955,0.85531634
0.7773297,0.7944839
0.68211704,0.66542035
0.5911945,0.5847221
0.519785,0.50509316
0.48068967,0.46694016
0.45937756,0.43083063
0.4619378,0.45512193
0.48241955,0.45059538
0.53798336,0.4920103
0.70619696,0.65033233
0.8173246,0.77626395
0.88735014,0.8417858
0.9210482,0.8842486
0.9081779,0.8513846
0.9280369,0.85698754
0.9288673,0.8566487
0.9320503,0.87205565
0.8981446,0.85436845
0.8587033,0.80698705
0.8702589,0.8665037
0.93807024,0.9042268
0.9234009,0.897543
0.9148899,0.8904832
0.85946447,0.8193242
0.7592006,0.7561013
0.6646106,0.6355637
0.5834446,0.56621563
0.51660204,0.48164296
0.46166098,0.46861416
0.44332424,0.42776904
0.43626633,0.4518668
0.43875736,0.4346249
0.45453387,0.43524143
0.5171556,0.5136456
0.57278854,0.60617304
0.66931593,0.6760073
0.7326296,0.73540395
0.7567787,0.7414351
0.7690955,0.7223157
0.7654973,0.7202658
0.7510355,0.7199111
0.70225286,0.65860873
0.6801104,0.6537812
0.68045634,0.6891943
0.74999756,0.7478212
0.74764496,0.7465778
0.73449785,0.7330367
0.6802488,0.6720399
0.5997747,0.61366695
0.53625345,0.51879954
0.45833963,0.45022517
0.39239654,0.37073997
0.35143298,0.39268893
0.32929048,0.37738824
