true,forecasted
0.47930577,0.4613815
0.46325248,0.43479496
0.467335,0.43284813
0.48809358,0.4645829
0.5426886,0.53142256
0.7045363,0.6776619
0.80535376,0.81044185
0.8704665,0.8774115
0.89309335,0.88213444
0.87987703,0.8629714
0.89703745,0.88776904
0.89177865,0.88981825
0.90437216,0.90290767
0.8750334,0.87188995
0.85655826,0.84806764
0.8701205,0.8810916
0.9433291,0.9110161
0.93121994,0.9283739
0.9204947,0.9268139
0.8716428,0.87870735
0.77117133,0.77165323
0.67498994,0.66110003
0.5835138,0.5783956
0.50926733,0.50172555
0.46864972,0.47120303
0.44816792,0.44661263
0.45626375,0.43987992
0.47681475,0.47200015
0.5240751,0.5382149
0.6958869,0.68346274
0.8115122,0.8050648
0.8909483,0.8713838
0.91163766,0.87114215
0.89745265,0.8600784
0.90886986,0.8858792
0.9084547,0.88709193
0.9150282,0.89494544
0.8897028,0.8669015
0.8688058,0.8361114
0.88160694,0.87301373
0.944713,0.90904135
0.94111484,0.9171937
0.9346797,0.9183931
0.88700414,0.8638707
0.78120464,0.7597619
0.674298,0.6526903
0.59562296,0.56824577
0.51888543,0.4932928
0.4861561,0.47266126
0.46643546,0.44697687
0.4647748,0.43818483
0.47999772,0.46303025
0.5312022,0.5222253
0.69775516,0.67287576
0.80701447,0.79222363
0.8754486,0.8646257
0.90741676,0.8751906
0.90201956,0.86741686
0.9218786,0.8880556
0.92845213,0.8915535
0.9300436,0.8941648
0.9112225,0.86135805
0.8819529,0.8407713
0.87849313,0.87056845
0.942222,0.9143303
0.9318427,0.91630554
0.9196643,0.91818464
0.8739955,0.86633337
0.7773297,0.7638889
0.68211704,0.6493619
0.5911945,0.56665695
0.519785,0.49209595
0.48068967,0.46929473
0.45937756,0.44011915
0.4619378,0.43175498
0.48241955,0.46201524
0.53798336,0.5341591
0.70619696,0.67985266
0.8173246,0.79337853
0.88735014,0.8574904
0.9210482,0.8702942
0.9081779,0.85841936
0.9280369,0.8805023
0.9288673,0.8806554
0.9320503,0.8827166
0.8981446,0.85326445
0.8587033,0.82565737
0.8702589,0.85535914
0.93807024,0.9046451
0.9234009,0.9132883
0.9148899,0.9072944
0.85946447,0.8531366
0.7592006,0.7493808
0.6646106,0.64865124
0.5834446,0.5658987
0.51660204,0.4925509
0.46166098,0.45881099
0.44332424,0.4297934
0.43626633,0.41431233
0.43875736,0.41722748
0.45453387,0.4347657
0.5171556,0.49672377
0.57278854,0.55927694
0.66931593,0.65394247
0.7326296,0.70455086
0.7567787,0.71904385
0.7690955,0.7379014
0.7654973,0.7233719
0.7510355,0.7153144
0.70225286,0.66905653
0.6801104,0.6427515
0.68045634,0.66905177
0.74999756,0.7081083
0.74764496,0.72028416
0.73449785,0.7184228
0.6802488,0.6742195
0.5997747,0.60062057
0.53625345,0.51717323
0.45833963,0.44516832
0.39239654,0.37597793
0.35143298,0.35638386
0.32929048,0.32593623
0.3174581,0.3122863
0.31801167,0.31170616
0.32790658,0.32683653
0.34271437,0.34904307
0.36340374,0.37646335
0.43031555,0.44324088
0.49868044,0.49322265
0.5287112,0.537261
0.54324216,0.5568382
0.55216837,0.5617943
0.56033343,0.5729369
0.53175575,0.54672515
0.511274,0.52195275
0.51224273,0.5461386
0.606971,0.6148108
0.63513345,0.64057094
0.64260656,0.6544433
0.6027501,0.6124795
0.542827,0.55081606
0.4831807,0.48535627
0.4175836,0.4222624
0.3654796,0.36398748
0.33690196,0.33016458
0.3231321,0.3150706
0.32223257,0.3095291
0.353924,0.3427533
0.42678657,0.4391302
0.6317429,0.6328226
0.7551872,0.76312125
0.83773714,0.85264206
0.87759364,0.86351717
0.8711585,0.8711186
0.88306004,0.8921607
0.8883881,0.9037132
0.8894952,0.90329695
0.85496676,0.8819413
0.8211303,0.84804595
0.82908773,0.8581355
0.89295495,0.8965392
0.89323175,0.8967607
0.8824373,0.89811176
0.8396746,0.8444193
0.7363661,0.74979097
0.6361714,0.6326016
0.54531807,0.54913855
0.48124325,0.48350435
0.43841138,0.4379365
0.4224273,0.41451198
0.4264406,0.41176903
0.44339344,0.4391705
0.49819607,0.51578456
0.6599054,0.66235024
0.77407753,0.77468663
0.85039985,0.8427912
0.8726807,0.85202384
0.8531677,0.8516362
0.8643081,0.87147063
0.8764865,0.88001776
0.8877653,0.8805096
0.86091757,0.8494576
0.83621484,0.815138
0.8281882,0.8233903
0.90305746,0.87563145
0.9112917,0.8841469
0.89994365,0.88355637
0.8503307,0.8248521
0.7480601,0.7237151
0.6551309,0.6148552
0.56185573,0.53288233
0.49349082,0.4687572
0.45612538,0.44136283
0.42637143,0.42012766
