true,forecasted
0.38777885,0.39037302
0.38603297,0.38601798
0.4017459,0.40685803
0.42909795,0.46112737
0.53482056,0.5640017
0.68535405,0.7087289
0.80058193,0.7919552
0.82696414,0.82196915
0.82618815,0.80221516
0.785451,0.7742622
0.7670223,0.7444412
0.756935,0.7519718
0.72124153,0.7240293
0.6979631,0.7148503
0.7078565,0.72723943
0.7817653,0.7977291
0.86673135,0.8642994
0.857226,0.8778201
0.82502425,0.8316344
0.7346266,0.735657
0.62192047,0.62360084
0.5253152,0.5148976
0.456838,0.45495534
0.42386034,0.42709062
0.4073715,0.3880547
0.40698352,0.37988064
0.41745877,0.39776304
0.45877787,0.44222155
0.5414161,0.5470648
0.6927255,0.68742484
0.8085354,0.777276
0.83918524,0.8091408
0.84073716,0.79961175
0.83355963,0.77597165
0.82948595,0.7486943
0.828904,0.75338084
0.7755577,0.7263597
0.757517,0.7158434
0.7650824,0.7264207
0.8023278,0.8030086
0.87972844,0.8480592
0.87643063,0.83973485
0.8387973,0.81890905
0.76217264,0.7380663
0.63918525,0.62772596
0.53928226,0.516713
0.46789524,0.45001677
0.42812803,0.4122556
0.40232784,0.40987557
0.40872937,0.39956614
0.4242483,0.41488406
0.4655674,0.45541868
0.56469446,0.5591223
0.7123181,0.6994552
0.8339476,0.7970453
0.87216294,0.83957416
0.871193,0.8345522
0.84675074,0.82356095
0.842871,0.79504895
0.83821535,0.79311615
0.7968962,0.7609173
0.77361786,0.7412062
0.75674105,0.7482247
0.7961203,0.81995165
0.8758487,0.86332875
0.8688652,0.8585788
0.8413191,0.83730614
0.75674105,0.7630208
0.6312318,0.6453655
0.5299709,0.5388549
0.46207565,0.46801624
0.4440349,0.42625988
0.43045586,0.4016277
0.42677012,0.39445964
0.44073716,0.41808033
0.47410282,0.4662682
0.5613967,0.57392734
0.70882636,0.7093625
0.7947624,0.7935041
0.83045584,0.8225704
0.8186227,0.8056921
0.78642094,0.7885084
0.77904946,0.7621291
0.77846754,0.75854844
0.74781764,0.720099
0.7326867,0.70191056
0.7371484,0.70536417
0.7782735,0.76578575
0.85121244,0.83348024
0.8614937,0.85270983
0.81823474,0.82533073
0.7328807,0.74602544
0.60814744,0.62613034
0.5196896,0.52014565
0.45548013,0.45659542
0.42308438,0.41983473
0.41125122,0.39646876
0.39922404,0.38727802
0.4114452,0.40170917
0.42308438,0.42559072
0.47216296,0.48125133
0.53055286,0.56494117
0.5930165,0.62910086
0.6409311,0.6615804
0.6415131,0.66287065
0.63103783,0.65203
0.6114452,0.62278146
0.6027158,0.6141337
0.56915617,0.5856215
0.57129,0.5791651
0.59088266,0.59873015
0.6630456,0.6772625
0.7456838,0.7408694
0.74180406,0.772492
0.71445197,0.7425847
0.6494665,0.65819025
0.56585836,0.5561561
0.48923376,0.4624232
0.42386034,0.399066
0.39262852,0.36735007
0.35693502,0.33908096
0.34781766,0.3274214
0.3600388,0.32496247
0.37342387,0.35108122
0.39883608,0.38230458
0.43200776,0.41262716
0.500097,0.452935
0.54335594,0.47980934
0.5643065,0.4896233
0.5604268,0.4867921
0.55771095,0.48417816
0.5474297,0.46870506
0.5245393,0.45274934
0.5243453,0.45100746
0.5606208,0.4854983
0.6254122,0.5499888
0.70649856,0.62217855
0.72356933,0.6614969
0.70009696,0.6512844
0.62735206,0.5904011
0.528807,0.50743437
0.45257032,0.42568675
0.39806014,0.35833147
0.35402521,0.32443017
0.34258002,0.3362682
0.3414161,0.32912484
0.34956354,0.348002
0.40814742,0.4017807
0.5439379,0.5223064
0.70688653,0.7008675
0.829098,0.8106427
0.8595538,0.8538891
0.85645,0.84318465
0.8273521,0.81407136
0.81260914,0.78742963
0.81066924,0.7927178
0.7844811,0.7694028
0.75499517,0.7547492
0.757517,0.76543206
0.8011639,0.8205593
0.8688652,0.8668172
0.86498547,0.87969464
0.83491755,0.8615755
0.74917555,0.7662501
0.6199806,0.646068
0.51367605,0.5383531
0.4527643,0.46987668
0.42870998,0.43393278
0.4042677,0.4039834
0.38739088,0.39622888
0.4027158,0.41762245
0.44578078,0.47059914
0.56100875,0.5754655
0.7066925,0.7204848
0.8015519,0.8061672
0.8265761,0.840227
0.8155189,0.8242547
0.7811833,0.7965404
0.7695441,0.7685225
0.77400583,0.7712582
0.75033945,0.7390317
0.7241513,0.72729903
0.7365664,0.73414075
0.7771096,0.7996699
0.8671193,0.86836326
0.86498547,0.876839
0.8353055,0.8420133
0.75596505,0.750193
0.6265761,0.6338012
0.53501457,0.52624375
0.47681862,0.46423018
0.45528612,0.43366206
0.43452957,0.39635512
0.42774007,0.38871488
0.4486906,0.40630484
0.48671192,0.45293596
0.6046557,0.56955135
0.7489816,0.71982634
0.84558684,0.8072247
0.8742968,0.8446717
0.8958293,0.8341475
0.8905917,0.81692576
0.8839961,0.7923865
0.88205624,0.7878359
0.85354024,0.7556342
0.82871,0.7386741
0.82754606,0.74074364
0.85179436,0.7935693
0.9028128,0.84303683
0.89796317,0.846514
0.8620756,0.8283517
0.78331715,0.7480038
0.65373427,0.63003105
0.53346264,0.52200836
0.47468477,0.45964447
0.44112512,0.42554134
0.42463627,0.42134812
0.42192048,0.41302642
0.43123183,0.43365487
0.46071774,0.48717296
0.5757517,0.5986817
0.71930164,0.7435923
0.8267701,0.8304847
0.84616876,0.86812544
0.8444229,0.8486313
0.81959265,0.82897735
0.80387974,0.8007837
0.80892336,0.7973899
0.7870029,0.75880563
0.76547045,0.7405754
0.76236665,0.7435982
0.7885548,0.8003023
0.86362755,0.87230104
0.8785645,0.8829121
0.83821535,0.8473177
0.76100874,0.7663268
0.6407372,0.6447204
0.54471385,0.5396487
0.47759455,0.47865584
0.4415131,0.44332513
0.4188167,0.40371814
0.4089234,0.39792818
0.4254122,0.42260194
0.46614936,0.4701725
0.5687682,0.5741664
0.71251214,0.7022901
0.80620754,0.7841415
0.8413191,0.8103306
0.81648886,0.7926791
0.7743938,0.7701485
0.76799226,0.7476105
0.7842871,0.74337757
0.7515034,0.7064534
0.73482054,0.6929692
0.73947626,0.7020581
0.7743938,0.76498514
0.85548013,0.83822554
0.8626576,0.8564944
0.8190107,0.8264405
0.7328807,0.7420269
0.61357903,0.62671983
0.52473325,0.523591
0.4558681,0.46048445
0.4197866,0.42664248
0.3968962,0.39632228
0.3798254,0.3840956
0.39243454,0.3889002
0.4042677,0.41109592
0.4630456,0.44800922
0.53035885,0.5092582
0.6269641,0.57186776
0.6599418,0.6099953
0.6688652,0.614462
0.6440349,0.5997048
0.6259942,0.5764509
0.61357903,0.56009763
0.57633364,0.5366953
0.571096,0.53459406
0.58952475,0.5569587
0.64034915,0.6215667
0.7482056,0.7004173
0.7619787,0.754484
0.7303589,0.738429
0.65974784,0.65186954
0.5474297,0.5483103
0.45955384,0.45968777
0.39903006,0.39425343
0.36682832,0.3591754
0.34665373,0.3383618
0.32783705,0.32767123
0.3355965,0.32848415
0.3468477,0.34980366
0.37478176,0.3847432
0.40659553,0.42709744
0.47119302,0.46914563
0.5008729,0.49535823
0.5121242,0.502627
0.50688654,0.49962282
0.51115423,0.4912741
0.50126094,0.48068178
0.47468477,0.46002156
0.47235695,0.45685667
0.49117362,0.48707962
0.54975754,0.55175024
0.6525703,0.6228037
0.67953444,0.6627702
0.6607177,0.6549289
0.6056256,0.5903901
0.5016489,0.5051816
0.4316198,0.4180506
0.37866148,0.35612854
0.3526673,0.32206142
0.33753636,0.32459354
0.33482057,0.31890672
0.3485936,0.33830613
0.3959263,0.39168406
0.53540254,0.51277703
0.7084384,0.6889017
0.82871,0.79668003
0.8684772,0.8332423
0.8607178,0.8215158
0.8366634,0.7953897
0.8192046,0.7695073
0.8180407,0.76912373
0.78894275,0.74594784
0.7645005,0.72986853
0.7617847,0.739827
0.7806014,0.7896803
0.8772066,0.84170663
0.8880698,0.86804014
0.8473327,0.8467193
0.76100874,0.75117743
0.63355964,0.629505
0.51503396,0.525857
0.4698351,0.4559831
0.44675073,0.42323744
0.4325897,0.41490772
0.4298739,0.40980026
0.44364694,0.4269505
0.48380214,0.4844398
0.58933073,0.59466404
0.7443259,0.74439627
0.84481084,0.8225483
0.88923377,0.8539544
0.8700291,0.83380383
0.83821535,0.80931914
0.8267701,0.7823201
0.842871,0.7813931
0.8056256,0.7507482
0.80892336,0.7381921
0.8048497,0.74556476
0.83511156,0.8010356
0.8950533,0.86767554
0.9059166,0.8765219
0.87410283,0.8447854
0.78913677,0.75376236
0.65160036,0.6394966
0.5414161,0.5317561
0.47526672,0.47391114
0.4484966,0.44635075
0.42929196,0.4218756
0.4298739,0.41430083
0.45315227,0.43335745
0.4956353,0.48145655
0.59631425,0.5888459
0.7396702,0.73479193
0.84384096,0.81852895
0.8863239,0.8523096
0.8814743,0.8381248
0.8583899,0.8187953
0.85121244,0.7903056
0.8516004,0.7890167
0.81765276,0.7537704
0.7972842,0.7392406
0.7914646,0.7414982
0.814161,0.7934082
0.88089234,0.86190146
0.8925315,0.870453
0.8657614,0.8440247
0.77458775,0.75921696
0.6496605,0.64265704
0.54335594,0.5340189
0.47681862,0.4759535
0.43336567,0.44070968
0.42056257,0.41972795
0.41745877,0.4125875
0.42967993,0.4333352
0.47235695,0.48384866
0.5928225,0.5970658
0.74374396,0.73738265
0.8477207,0.82299536
0.8841901,0.85889876
0.88225025,0.8472238
0.8612997,0.8289943
0.86032975,0.8033658
0.86420953,0.79542214
0.8271581,0.7568885
0.81765276,0.73871017
0.81183314,0.74350923
0.8267701,0.7944908
0.9055286,0.8599485
0.9216295,0.8684953
0.88225025,0.8458738
0.80077595,0.7656192
0.6692532,0.6471951
0.5645005,0.54297554
0.49912706,0.47975272
0.46479148,0.44438177
0.4386033,0.42653164
0.43763337,0.41962072
0.44616878,0.44656953
0.49932104,0.4986921
0.600388,0.6118922
0.7363725,0.74582446
0.8387973,0.83201796
0.86498547,0.8642782
0.8543162,0.8491274
0.8302619,0.82899857
