true,forecasted
0.38777885,0.3971991
0.38603297,0.3947839
0.4017459,0.4181326
0.42909795,0.46004364
0.53482056,0.56544876
0.68535405,0.7055926
0.80058193,0.79483324
0.82696414,0.8214958
0.82618815,0.79657394
0.785451,0.7652836
0.7670223,0.7444038
0.756935,0.7401615
0.72124153,0.7210206
0.6979631,0.7013522
0.7078565,0.7145602
0.7817653,0.77691644
0.86673135,0.84070414
0.857226,0.8546108
0.82502425,0.8292762
0.7346266,0.74245715
0.62192047,0.6203394
0.5253152,0.51676553
0.456838,0.45246282
0.42386034,0.41471082
0.4073715,0.3936317
0.40698352,0.39034525
0.41745877,0.4055355
0.45877787,0.45006928
0.5414161,0.55335873
0.6927255,0.7014736
0.8085354,0.79071236
0.83918524,0.8173343
0.84073716,0.79824114
0.83355963,0.7722945
0.82948595,0.7514613
0.828904,0.74880993
0.7755577,0.73013926
0.757517,0.7127982
0.7650824,0.72921085
0.8023278,0.7947691
0.87972844,0.842003
0.87643063,0.8378637
0.8387973,0.81660366
0.76217264,0.7402993
0.63918525,0.61411095
0.53928226,0.51009905
0.46789524,0.4427807
0.42812803,0.4033537
0.40232784,0.40580183
0.40872937,0.40212566
0.4242483,0.4153626
0.4655674,0.45970318
0.56469446,0.568448
0.7123181,0.7311424
0.8339476,0.8252141
0.87216294,0.8531457
0.871193,0.82976276
0.84675074,0.8047503
0.842871,0.7873342
0.83821535,0.77984136
0.7968962,0.758422
0.77361786,0.73088706
0.75674105,0.74033165
0.7961203,0.7919113
0.8758487,0.8399007
0.8688652,0.8492645
0.8413191,0.836303
0.75674105,0.75828815
0.6312318,0.62745565
0.5299709,0.5212381
0.46207565,0.45353243
0.4440349,0.4173869
0.43045586,0.42202514
0.42677012,0.41610643
0.44073716,0.43217725
0.47410282,0.47742948
0.5613967,0.5747555
0.70882636,0.7305584
0.7947624,0.81763107
0.83045584,0.8491645
0.8186227,0.82769144
0.78642094,0.79290813
0.77904946,0.77547675
0.77846754,0.7621222
0.74781764,0.73621666
0.7326867,0.7081574
0.7371484,0.7154759
0.7782735,0.7640664
0.85121244,0.830164
0.8614937,0.85271305
0.81823474,0.8434342
0.7328807,0.76817226
0.60814744,0.64086205
0.5196896,0.5360148
0.45548013,0.4700414
0.42308438,0.43115962
0.41125122,0.39525765
0.39922404,0.38881668
0.4114452,0.4017132
0.42308438,0.43098697
0.47216296,0.48590022
0.53055286,0.57497483
0.5930165,0.651265
0.6409311,0.6884159
0.6415131,0.6874972
0.63103783,0.6647689
0.6114452,0.64469296
0.6027158,0.6298454
0.56915617,0.6037519
0.57129,0.5900938
0.59088266,0.6152505
0.6630456,0.6914134
0.7456838,0.75223875
0.74180406,0.7679465
0.71445197,0.7482896
0.6494665,0.679188
0.56585836,0.5696175
0.48923376,0.47129297
0.42386034,0.40996352
0.39262852,0.36982876
0.35693502,0.3468622
0.34781766,0.33375853
0.3600388,0.33686227
0.37342387,0.3467708
0.39883608,0.36711833
0.43200776,0.40536153
0.500097,0.46474642
0.54335594,0.5045373
0.5643065,0.51462525
0.5604268,0.51821
0.55771095,0.50841
0.5474297,0.49352655
0.5245393,0.4762429
0.5243453,0.47367266
0.5606208,0.50163037
0.6254122,0.5761278
0.70649856,0.6415893
0.72356933,0.67071974
0.70009696,0.655954
0.62735206,0.59515554
0.528807,0.5001903
0.45257032,0.41313982
0.39806014,0.35426643
0.35402521,0.31762418
0.34258002,0.338255
0.3414161,0.33715025
0.34956354,0.3538052
0.40814742,0.40465534
0.5439379,0.52845913
0.70688653,0.70915407
0.829098,0.8155864
0.8595538,0.8603644
0.85645,0.85167634
0.8273521,0.8229126
0.81260914,0.80316025
0.81066924,0.79419434
0.7844811,0.772317
0.75499517,0.7562591
0.757517,0.7729229
0.8011639,0.83258325
0.8688652,0.87447095
0.86498547,0.87758243
0.83491755,0.8644786
