true,forecasted
0.38777885,0.39444616
0.38603297,0.40577033
0.4017459,0.42673492
0.42909795,0.46277484
0.53482056,0.5792226
0.68535405,0.70957524
0.80058193,0.79312885
0.82696414,0.80715865
0.82618815,0.8098828
0.785451,0.77954555
0.7670223,0.7532296
0.756935,0.7555896
0.72124153,0.7357589
0.6979631,0.7176514
0.7078565,0.7394931
0.7817653,0.78787297
0.86673135,0.8533096
0.857226,0.85866314
0.82502425,0.8360002
0.7346266,0.76698065
0.62192047,0.612846
0.5253152,0.51270837
0.456838,0.45860726
0.42386034,0.41168168
0.4073715,0.39481348
0.40698352,0.40315363
0.41745877,0.4144238
0.45877787,0.45301157
0.5414161,0.5607473
0.6927255,0.70215744
0.8085354,0.76815265
0.83918524,0.78586954
0.84073716,0.78485006
0.83355963,0.7556416
0.82948595,0.72909594
0.828904,0.7245477
0.7755577,0.7008217
0.757517,0.686861
0.7650824,0.7204089
0.8023278,0.75434804
0.87972844,0.8263669
0.87643063,0.83738315
0.8387973,0.81797653
0.76217264,0.7302656
0.63918525,0.60482264
0.53928226,0.50510526
0.46789524,0.44455326
0.42812803,0.40048248
0.40232784,0.40885076
0.40872937,0.41436467
0.4242483,0.42379
0.4655674,0.45901445
0.56469446,0.58103234
0.7123181,0.7318354
0.8339476,0.82233137
0.87216294,0.84423476
0.871193,0.8606626
0.84675074,0.8228242
0.842871,0.8135509
0.83821535,0.815151
0.7968962,0.7867702
0.77361786,0.7651056
0.75674105,0.78174883
0.7961203,0.81002915
0.8758487,0.87510043
0.8688652,0.88694483
0.8413191,0.84843916
0.75674105,0.7613758
0.6312318,0.6282321
0.5299709,0.525891
0.46207565,0.46299225
0.4440349,0.4229166
0.43045586,0.41115993
0.42677012,0.398519
0.44073716,0.42763063
0.47410282,0.46563157
0.5613967,0.58348984
0.70882636,0.71798736
0.7947624,0.8029806
0.83045584,0.8272829
0.8186227,0.825096
0.78642094,0.8052977
0.77904946,0.7915668
0.77846754,0.78413427
0.74781764,0.7380365
0.7326867,0.7110389
0.7371484,0.7287214
0.7782735,0.7764748
0.85121244,0.8419563
0.8614937,0.8484922
0.81823474,0.8117481
0.7328807,0.751894
0.60814744,0.6309662
0.5196896,0.5398249
0.45548013,0.46359366
0.42308438,0.4211845
0.41125122,0.3879708
0.39922404,0.38858584
0.4114452,0.4029181
0.42308438,0.41745204
0.47216296,0.47461802
0.53055286,0.5639009
0.5930165,0.6493095
0.6409311,0.67745245
0.6415131,0.68676335
0.63103783,0.6775186
0.6114452,0.6586304
0.6027158,0.6300833
0.56915617,0.59770334
0.57129,0.58989257
0.59088266,0.61337477
0.6630456,0.67553633
0.7456838,0.7542062
0.74180406,0.7627884
0.71445197,0.7284139
0.6494665,0.66069484
0.56585836,0.54250854
0.48923376,0.46245208
0.42386034,0.39993155
0.39262852,0.35246122
0.35693502,0.36152634
0.34781766,0.3585531
0.3600388,0.35303286
0.37342387,0.3652178
0.39883608,0.40427965
0.43200776,0.43479759
0.500097,0.48797566
0.54335594,0.51355857
0.5643065,0.5304674
0.5604268,0.52448714
0.55771095,0.516745
0.5474297,0.51470894
0.5245393,0.48948207
0.5243453,0.4810453
0.5606208,0.5169593
0.6254122,0.57763666
0.70649856,0.6695257
0.72356933,0.6944239
0.70009696,0.6713957
0.62735206,0.62215245
0.528807,0.5143745
0.45257032,0.4407755
0.39806014,0.37802583
0.35402521,0.34032002
0.34258002,0.32374665
0.3414161,0.33213103
0.34956354,0.35311878
0.40814742,0.417312
0.5439379,0.5742373
0.70688653,0.76707727
0.829098,0.8922437
0.8595538,0.9414014
0.85645,0.93569595
0.8273521,0.90722847
0.81260914,0.87781376
0.81066924,0.87556034
0.7844811,0.84552306
0.75499517,0.84083116
0.757517,0.82336056
0.8011639,0.8586737
0.8688652,0.9608335
0.86498547,0.9498917
0.83491755,0.92422163
0.74917555,0.83350563
0.6199806,0.7021649
0.51367605,0.5957633
0.4527643,0.51842165
0.42870998,0.48356718
0.4042677,0.42085892
0.38739088,0.4173553
0.4027158,0.43869212
0.44578078,0.4898933
0.56100875,0.62263304
0.7066925,0.7695366
0.8015519,0.8664994
0.8265761,0.8942135
0.8155189,0.8815937
0.7811833,0.85754526
0.7695441,0.8380247
0.77400583,0.82410634
0.75033945,0.7999873
0.7241513,0.77827233
0.7365664,0.79875386
0.7771096,0.8160374
0.8671193,0.8954819
0.86498547,0.9013363
0.8353055,0.86195284
0.75596505,0.79115343
0.6265761,0.6617761
0.53501457,0.55476576
0.47681862,0.48198324
0.45528612,0.43842822
0.43452957,0.40328074
0.42774007,0.395547
0.4486906,0.42210355
0.48671192,0.4441921
0.6046557,0.5479342
0.7489816,0.6830278
0.84558684,0.77726895
0.8742968,0.814838
0.8958293,0.8143281
0.8905917,0.79386115
0.8839961,0.7770655
0.88205624,0.77040964
0.85354024,0.74281406
0.82871,0.7280375
0.82754606,0.73862594
0.85179436,0.77944404
0.9028128,0.8499144
0.89796317,0.863362
0.8620756,0.8387424
0.78331715,0.7622286
0.65373427,0.6357907
0.53346264,0.53499264
0.47468477,0.46356654
0.44112512,0.4246916
0.42463627,0.41954485
0.42192048,0.4187458
0.43123183,0.44930223
0.46071774,0.47581327
0.5757517,0.587254
0.71930164,0.7261568
0.8267701,0.81702286
0.84616876,0.8293702
0.8444229,0.82812595
0.81959265,0.83142495
0.80387974,0.79387224
0.80892336,0.7946142
0.7870029,0.76350874
0.76547045,0.7505689
0.76236665,0.77495384
0.7885548,0.78861344
0.86362755,0.86319274
0.8785645,0.8768989
0.83821535,0.8571231
0.76100874,0.780601
0.6407372,0.6460714
0.54471385,0.53479123
0.47759455,0.47864982
0.4415131,0.42570934
0.4188167,0.4073457
0.4089234,0.40416297
0.4254122,0.4231067
0.46614936,0.45503885
0.5687682,0.564818
0.71251214,0.6836614
0.80620754,0.7564696
0.8413191,0.78497463
0.81648886,0.7706455
0.7743938,0.7556386
0.76799226,0.7360347
0.7842871,0.72174054
0.7515034,0.6819577
0.73482054,0.66968757
0.73947626,0.6956911
0.7743938,0.7345424
0.85548013,0.8098885
0.8626576,0.82877463
0.8190107,0.80211514
0.7328807,0.73136425
0.61357903,0.60930634
0.52473325,0.51716
0.4558681,0.45368218
0.4197866,0.40322942
0.3968962,0.399118
0.3798254,0.40086278
0.39243454,0.4166619
0.4042677,0.4325328
0.4630456,0.4800961
0.53035885,0.5568506
0.6269641,0.62579
0.6599418,0.65416855
0.6688652,0.6660961
0.6440349,0.6543631
0.6259942,0.632492
0.61357903,0.6243542
0.57633364,0.5804985
0.571096,0.5789017
0.58952475,0.6206616
0.64034915,0.6554475
0.7482056,0.7436586
0.7619787,0.7658922
0.7303589,0.7498426
0.65974784,0.68033266
0.5474297,0.5583866
0.45955384,0.47561458
0.39903006,0.4135318
0.36682832,0.36986315
0.34665373,0.3274674
0.32783705,0.33215138
0.3355965,0.3302907
0.3468477,0.33188698
0.37478176,0.3618111
0.40659553,0.3886861
0.47119302,0.4359005
0.5008729,0.46487188
0.5121242,0.47790587
0.50688654,0.4804651
0.51115423,0.4727899
0.50126094,0.45937288
0.47468477,0.44193956
0.47235695,0.4402057
0.49117362,0.48163807
0.54975754,0.52334964
0.6525703,0.61226207
0.67953444,0.6496832
0.6607177,0.65422255
0.6056256,0.590225
0.5016489,0.48466504
0.4316198,0.42128053
0.37866148,0.35785332
0.3526673,0.3171692
0.33753636,0.30440214
0.33482057,0.3101479
0.3485936,0.32077846
0.3959263,0.34650776
0.53540254,0.47636068
0.7084384,0.6398634
0.82871,0.74666464
0.8684772,0.7916241
0.8607178,0.80064535
0.8366634,0.7904021
0.8192046,0.76736605
0.8180407,0.7578744
0.78894275,0.7217471
0.7645005,0.7113634
0.7617847,0.7248072
0.7806014,0.73149407
0.8772066,0.81749237
0.8880698,0.8323038
0.8473327,0.8240009
0.76100874,0.7459158
0.63355964,0.6223513
0.51503396,0.52971274
0.4698351,0.46420196
0.44675073,0.42222062
0.4325897,0.41592598
0.4298739,0.4225356
0.44364694,0.44099697
0.48380214,0.47694603
0.58933073,0.5901817
0.7443259,0.72890866
0.84481084,0.8265778
0.88923377,0.8510874
0.8700291,0.84729344
0.83821535,0.8216418
0.8267701,0.79775476
0.842871,0.78625727
0.8056256,0.7643248
0.80892336,0.7579927
0.8048497,0.7686474
0.83511156,0.7831617
0.8950533,0.8446477
0.9059166,0.88803387
0.87410283,0.8660136
0.78913677,0.7818947
0.65160036,0.6436727
0.5414161,0.54188293
0.47526672,0.48487875
0.4484966,0.4403984
0.42929196,0.42076552
0.4298739,0.42455217
0.45315227,0.43666074
0.4956353,0.46349463
0.59631425,0.5696498
0.7396702,0.6970353
0.84384096,0.7737145
0.8863239,0.8031099
0.8814743,0.7962322
0.8583899,0.7734885
0.85121244,0.75905025
0.8516004,0.7505148
0.81765276,0.7270361
0.7972842,0.7117701
0.7914646,0.7255871
0.814161,0.7540989
0.88089234,0.8325994
0.8925315,0.86094385
0.8657614,0.8389543
0.77458775,0.7640301
0.6496605,0.63879323
0.54335594,0.5379475
0.47681862,0.4780507
0.43336567,0.42639613
0.42056257,0.42164248
0.41745877,0.422381
0.42967993,0.44320673
0.47235695,0.46911615
0.5928225,0.57916933
0.74374396,0.71178824
0.8477207,0.8008439
0.8841901,0.82196665
0.88225025,0.8219016
0.8612997,0.8093183
0.86032975,0.78956336
0.86420953,0.7909292
0.8271581,0.7722517
0.81765276,0.75323015
0.81183314,0.75606525
0.8267701,0.78333616
0.9055286,0.8533442
0.9216295,0.87185186
0.88225025,0.84567696
0.80077595,0.77450466
0.6692532,0.6370814
0.5645005,0.53053784
0.49912706,0.48158216
0.46479148,0.42306477
0.4386033,0.41809666
0.43763337,0.4115493
0.44616878,0.4354322
0.49932104,0.46985185
0.600388,0.5742147
0.7363725,0.71989995
0.8387973,0.8033229
0.86498547,0.8372081
0.8543162,0.8262874
0.8302619,0.80311906
0.8128031,0.78591347
0.80387974,0.77715725
0.77458775,0.74892294
0.7476237,0.73051035
0.76333654,0.7367529
0.7957323,0.7628254
0.87099904,0.8326579
0.8870999,0.8478865
0.8471387,0.8313889
0.76721627,0.7633854
0.642677,0.639259
0.5549952,0.5408039
0.48962173,0.47242457
0.456838,0.4221242
0.43336567,0.39731425
0.4228904,0.40086
0.4271581,0.41787
0.4512124,0.42559555
0.49078566,0.47310942
0.55790496,0.5616037
0.6630456,0.6364979
0.7264792,0.681365
0.74354994,0.6978588
0.7458778,0.68208075
0.71930164,0.67162526
0.7061106,0.6499825
0.6704171,0.606953
0.657614,0.6008806
0.6671193,0.6265325
0.7123181,0.6654947
0.80387974,0.7529152
0.8217265,0.77841496
0.786033,0.7570669
0.7202716,0.6858965
0.6246363,0.56927836
0.542774,0.48063186
0.48205626,0.41764057
0.44034916,0.37668008
0.42366636,0.3885587
0.41377303,0.38781452
0.41222113,0.38477495
0.42618817,0.3966187
0.43918526,0.41485882
0.47875848,0.46019945
0.5398642,0.5009919
0.5672163,0.5219454
0.58448106,0.541063
0.5829292,0.53970784
0.5792435,0.5348149
0.57225996,0.51046443
0.54801166,0.49719003
0.55033946,0.49512064
0.5755577,0.5258497
0.6159069,0.563645
0.73055285,0.6724304
0.7786615,0.6962193
0.7540252,0.6929107
0.6948594,0.650074
0.60368574,0.5373662
0.53094083,0.46807596
0.46925315,0.40554965
0.43627545,0.3672548
0.41047525,0.39505026
0.40814742,0.39138797
0.42657614,0.39883432
0.47875848,0.43868247
0.6246363,0.56519324
0.7813773,0.7511388
0.91076624,0.86215943
0.9695441,0.91564924
0.9699321,0.91904
0.9559651,0.9097852
0.93811834,0.8785249
0.9355965,0.865036
0.9030068,0.84340084
0.88341415,0.8188136
0.8696411,0.8211326
0.88923377,0.8488036
0.96372455,0.9205602
0.98292917,0.9276966
0.93695444,0.9227255
0.8620756,0.8522979
0.74374396,0.7257911
0.6389913,0.6328768
0.58195925,0.5576682
0.5470417,0.5157799
0.53346264,0.48617917
0.53055286,0.4947718
0.54258,0.50828594
0.571678,0.54826725
0.6607177,0.6747297
0.8,0.83795565
0.90902036,0.93913925
0.96062076,0.9574744
0.9664403,0.9668618
0.9520854,0.9484173
0.9400582,0.92019457
0.9253152,0.90568054
0.8799224,0.8783928
0.84481084,0.86215097
0.8500485,0.86751455
0.8630456,0.86658514
0.9645005,0.9308478
0.9961203,0.94698
0.95557714,0.9229265
0.87604266,0.8717638
0.7414161,0.72323745
0.6368574,0.628289
0.571096,0.56311226
0.5328807,0.5203462
0.51910764,0.48100692
0.5200776,0.4766328
0.5387003,0.49104765
0.5738118,0.51784086
0.6692532,0.6280559
0.80620754,0.77309453
0.92395735,0.8673859
0.9652764,0.9037127
0.96663433,0.9043298
0.9400582,0.88055086
0.92880696,0.8734041
0.914452,0.8454688
0.8706111,0.8300258
0.84054315,0.81084967
0.8356935,0.80118394
0.84907854,0.80891967
0.94064015,0.8891567
0.9833172,0.9272125
0.9588749,0.90078026
0.8828322,0.8451334
0.75984484,0.708625
0.656838,0.6173379
0.585645,0.5547074
0.557517,0.50335187
0.5375364,0.5039203
0.528419,0.49594286
0.5387003,0.5226683
0.56508243,0.5546498
0.66226965,0.6709073
0.8098933,0.8417783
0.91270614,0.920389
0.9458778,0.94477046
0.9309408,0.92912054
0.89951503,0.9131263
0.8795344,0.8953479
0.8595538,0.87354136
0.83084387,0.85496366
0.8168768,0.828687
0.8155189,0.8248912
0.85354024,0.84626544
0.9311348,0.91499156
0.97536373,0.9587009
0.94064015,0.9405449
0.8700291,0.85713184
0.7388943,0.7311592
0.65334624,0.61786014
0.585645,0.5626054
0.5419981,0.51860404
0.51251215,0.4628009
0.5082444,0.4600189
0.51309407,0.4789333
0.5470417,0.5085988
0.64481086,0.62491447
0.7868089,0.7667633
0.8938894,0.86792153
0.942774,0.908634
0.9255092,0.8863957
0.9179437,0.86195034
0.8967992,0.84100723
0.87895244,0.82117176
0.8415131,0.7865074
0.82133853,0.76700586
0.813579,0.7744204
0.83491755,0.80230963
0.90766245,0.8719053
0.92822504,0.91547245
0.8913676,0.8893797
0.81648886,0.79994726
0.69388944,0.68516874
0.5885548,0.5804052
0.5262852,0.5211232
0.4799224,0.469557
0.45101842,0.44565246
0.44422892,0.44486764
0.45935985,0.458177
0.48554802,0.46245062
0.5194956,0.51020926
0.5912706,0.62441653
0.67468476,0.72052723
0.7363725,0.7892089
0.7472357,0.80979717
0.7470417,0.79335415
0.728807,0.7791687
0.6935015,0.7522161
0.65354025,0.7065931
0.6444229,0.6943775
0.642871,0.7171328
0.67914647,0.7314404
0.7674103,0.8089672
0.81202716,0.86305857
0.77536374,0.8269514
0.70805043,0.75492895
0.60077596,0.65354145
0.5231814,0.55210906
0.44675073,0.46866453
0.4155189,0.440283
0.38836083,0.37940598
0.37807953,0.36154106
0.3928225,0.34953177
0.40465567,0.36860693
0.42483026,0.3756124
0.4727449,0.42648736
0.5418041,0.4576336
0.58079535,0.48673546
0.5883608,0.5095799
0.5817653,0.51760876
0.57943743,0.51355106
0.5483996,0.4824121
0.52376336,0.45772684
0.5231814,0.4535612
0.5385063,0.5041759
0.571872,0.51968527
0.67526674,0.6178859
0.74801165,0.6874285
0.72434527,0.6992734
0.6585839,0.63684714
0.5598448,0.5369094
0.48380214,0.46087316
0.42211446,0.3936516
0.38545102,0.35986382
0.3757517,0.35702443
0.37206596,0.3611215
0.39068866,0.3729123
0.4372454,0.41076243
0.5674103,0.5366433
0.7359845,0.6975402
0.8477207,0.79925954
0.88903975,0.85831827
0.8731329,0.82639956
0.8453928,0.7931411
0.82133853,0.7676877
0.8085354,0.7560012
0.78040737,0.7438905
0.7683802,0.71626455
0.771678,0.6972231
0.7873909,0.72206366
0.87643063,0.8225661
0.93249273,0.8599639
0.8944714,0.8470834
0.8056256,0.7860366
0.6830262,0.651957
0.5761397,0.56165594
0.5200776,0.48391593
0.4770126,0.43985865
0.45955384,0.42927977
0.45257032,0.4550675
0.46925315,0.46132627
0.5194956,0.4885762
0.62308437,0.62056917
0.77924347,0.76181585
0.8727449,0.8751045
0.8950533,0.8989106
0.88787585,0.9097121
0.86983514,0.8633728
0.86925316,0.82908565
0.8581959,0.8285053
0.8234724,0.7888452
0.7968962,0.76782435
0.7829292,0.7943653
0.7848691,0.8101305
0.85548013,0.8761018
0.8870999,0.9211401
0.85121244,0.8743926
0.771678,0.8077408
0.6442289,0.6546895
0.55363727,0.5612181
0.4799224,0.51488733
0.44228905,0.4597289
0.42967993,0.3942865
0.4329777,0.3893448
0.44578078,0.4104441
0.4814743,0.44550157
0.5792435,0.5596811
0.7255092,0.69297916
0.82211447,0.7703849
0.8521823,0.77340204
0.83200777,0.7779715
0.814355,0.7296748
0.7972842,0.70968735
0.80077595,0.72248656
0.7656644,0.6848644
0.7441319,0.6554732
0.73229873,0.66922057
0.74684775,0.69721544
0.8302619,0.7955254
0.88923377,0.8197952
0.86032975,0.7775338
0.78583896,0.7090769
0.65742,0.5841968
0.55635303,0.4916102
0.49369544,0.42880088
0.4517944,0.3825562
0.443065,0.39364734
0.42172647,0.38901582
0.4310378,0.40506086
0.4688652,0.4431245
0.5526673,0.54442364
0.6923375,0.6660837
0.77225995,0.75091165
0.78583896,0.75080705
0.7588749,0.7284415
0.7264792,0.6991581
0.7066925,0.6819103
0.7086324,0.6722854
0.69505334,0.64632773
0.6801164,0.61773384
0.67837054,0.6277737
0.7047527,0.6413237
0.79224056,0.7415691
0.8496605,0.78300726
0.8190107,0.77661616
0.7458778,0.71592426
0.62347233,0.58945215
0.52221143,0.5080136
0.45218235,0.42302513
0.42812803,0.37646294
0.4085354,0.3736596
0.39883608,0.37991327
0.42075655,0.39649713
0.4556741,0.4362116
0.54490787,0.5431374
0.6843841,0.66479194
0.76547045,0.7332846
0.7773036,0.75291747
0.76527643,0.72424257
0.73676044,0.68056524
0.7191077,0.65711224
0.71057224,0.66226715
0.6698351,0.61640877
0.6455868,0.59914726
0.63937926,0.619039
0.6688652,0.6553302
0.74374396,0.75014544
0.8166828,0.8121314
0.7930165,0.7779154
0.7154219,0.7085191
0.5792435,0.57783943
0.5039767,0.48701426
0.4341416,0.41268486
0.4085354,0.38200694
0.37866148,0.3860652
0.36993212,0.38287628
0.3813773,0.39674303
0.40407372,0.4134219
0.43743938,0.46621692
0.50048494,0.51287884
0.58952475,0.5798324
0.6401552,0.6033942
0.6395732,0.5946101
0.6172648,0.5878052
0.5935984,0.5504974
0.5629486,0.5460752
0.528613,0.49723032
0.5324927,0.4937039
0.5458778,0.5241702
0.57963145,0.54168934
0.6628516,0.6413699
0.7375364,0.70462954
0.7057226,0.69698375
0.63064986,0.6492816
0.52667314,0.527267
0.43511155,0.42899773
0.37536374,0.3763298
0.3315228,0.33661222
0.3175558,0.29008743
0.30242482,0.30638942
0.3086324,0.3052182
0.32065955,0.3087615
0.32609117,0.33998674
0.36469448,0.37178513
0.41493696,0.41262197
0.44190106,0.43495646
0.4259942,0.43186647
0.4186227,0.40944678
0.39398643,0.3991877
0.38176528,0.39827132
0.34316197,0.3897095
0.34801164,0.37678507
0.37245393,0.40257502
0.40193987,0.4312602
0.5047527,0.53587687
0.6226964,0.6121522
0.6129971,0.6134627
0.5526673,0.5611088
0.45742,0.4525674
0.37613967,0.3713595
0.3297769,0.30767453
0.31057227,0.2759477
0.2870999,0.25673702
0.2983511,0.2616509
0.31736177,0.26928636
0.35906887,0.30893043
0.47798255,0.4203682
0.6399612,0.5383808
0.73811835,0.6349273
0.7674103,0.6572966
0.743162,0.6421634
0.7061106,0.61155844
0.6923375,0.60146785
0.685548,0.59510976
0.6632396,0.570664
0.63937926,0.54509413
0.6444229,0.5515379
0.6731329,0.5368178
0.7371484,0.6438285
0.8023278,0.73544204
0.78021336,0.7270239
0.6979631,0.65808535
0.5615907,0.5167959
0.46246362,0.4328099
0.39534432,0.36620387
0.35926285,0.32154423
0.34374395,0.32122406
0.35344326,0.32443234
0.36314258,0.35315248
0.4085354,0.35694462
0.5030068,0.44537413
0.66343355,0.54318106
0.7544132,0.6100994
0.80019397,0.63755447
0.8067895,0.6269231
0.7914646,0.61282897
0.77594566,0.6041849
0.78215325,0.59516
0.74801165,0.57191944
0.7342386,0.5540033
0.72240543,0.5583682
0.73346263,0.5509289
0.785645,0.6514396
0.8302619,0.7342062
0.78952473,0.7167923
0.7084384,0.6445576
0.5792435,0.50837046
0.47681862,0.42436707
0.41668284,0.37527835
0.37497574,0.31824946
0.36236665,0.35829744
0.35441318,0.36304197
0.3701261,0.37822637
0.4172648,0.4115398
0.5026188,0.50957084
0.6415131,0.62747663
0.72376335,0.70196897
0.7352085,0.72740215
0.7090204,0.70741355
0.67196894,0.6878602
0.6558681,0.6801244
0.657032,0.6731657
0.63918525,0.64452267
0.6296799,0.6276662
0.63297766,0.63332665
0.6419011,0.6385534
0.7233754,0.7075426
0.79903007,0.7948193
0.78040737,0.7755093
0.6958293,0.7033142
0.56954414,0.5592432
0.45373425,0.4604673
0.400194,0.4148643
0.37458777,0.3568284
0.35480118,0.33360016
0.34762368,0.33505306
0.36217263,0.3517156
0.40484965,0.3795458
0.4888458,0.474783
0.61687684,0.5932615
0.6917556,0.63962823
0.6958293,0.6667216
0.66401553,0.6450293
0.63297766,0.6211722
0.6244423,0.6193658
0.61920464,0.6126305
0.59825414,0.58633524
0.5972842,0.57981616
0.59631425,0.5829082
0.62502426,0.59061754
0.7024248,0.6686806
0.7943744,0.74382335
0.77225995,0.742443
0.6931135,0.67591023
0.5617847,0.5442605
0.46847722,0.43904212
0.4129971,0.39463928
0.37672162,0.34042084
0.357323,0.34610263
0.34936956,0.34233308
0.36624637,0.3643386
0.41125122,0.38950896
0.48671192,0.48255908
0.6034918,0.5738516
0.6682832,0.6415824
0.68942773,0.65838885
0.6562561,0.62837654
0.6351116,0.616109
0.62735206,0.596207
0.6401552,0.5913125
0.62172645,0.57022274
0.61183316,0.56038
0.6265761,0.5702818
0.65645003,0.56984466
0.71949565,0.65980166
0.7980601,0.73293096
0.7650824,0.7306904
0.6892338,0.66334796
0.57129,0.5248793
0.47255093,0.43039772
0.41765276,0.384081
0.37206596,0.33318275
0.35596508,0.3217685
0.3458778,0.31734928
0.34801164,0.33123222
0.36217263,0.3331721
0.38506305,0.3740393
0.46440348,0.43769124
0.54044616,0.50520194
0.5773036,0.54248446
0.5883608,0.55501795
0.57458776,0.5354297
0.5701261,0.51808286
0.5660524,0.5088373
0.5299709,0.4803101
0.51794374,0.48705703
0.5398642,0.49654824
0.57516974,0.513571
0.6413191,0.59518206
