true,forecasted
0.38777885,0.38037702
0.38603297,0.3851235
0.4017459,0.39193466
0.42909795,0.44347033
0.53482056,0.52809256
0.68535405,0.6756828
0.80058193,0.7495584
0.82696414,0.7811869
0.82618815,0.7722912
0.785451,0.73322237
0.7670223,0.7206672
0.756935,0.7136893
0.72124153,0.70045316
0.6979631,0.6980104
0.7078565,0.69929934
0.7817653,0.76192415
0.86673135,0.8229345
0.857226,0.8242981
0.82502425,0.7913512
0.7346266,0.7305711
0.62192047,0.6041737
0.5253152,0.51312876
0.456838,0.4483186
0.42386034,0.40548423
0.4073715,0.39748517
0.40698352,0.39891857
0.41745877,0.41165203
0.45877787,0.46106568
0.5414161,0.55807
0.6927255,0.71428126
0.8085354,0.81804997
0.83918524,0.84681106
0.84073716,0.8396242
0.83355963,0.80435157
0.82948595,0.7937526
0.828904,0.78257734
0.7755577,0.77416444
0.757517,0.76581055
0.7650824,0.75079405
0.8023278,0.7990017
0.87972844,0.87104136
0.87643063,0.8897605
0.8387973,0.8419508
0.76217264,0.777324
0.63918525,0.6405706
0.53928226,0.5405526
0.46789524,0.47207588
0.42812803,0.4249006
0.40232784,0.4064202
0.40872937,0.40354776
0.4242483,0.4144997
0.4655674,0.45233968
0.56469446,0.54361427
0.7123181,0.70158553
0.8339476,0.81141263
0.87216294,0.85556954
0.871193,0.8640314
0.84675074,0.840674
0.842871,0.83019495
0.83821535,0.82656306
0.7968962,0.80770224
0.77361786,0.79133713
0.75674105,0.7780855
0.7961203,0.8185741
0.8758487,0.8814622
0.8688652,0.8873722
0.8413191,0.84014523
0.75674105,0.77063036
0.6312318,0.636032
0.5299709,0.5379223
0.46207565,0.46598774
0.4440349,0.423214
0.43045586,0.40083855
0.42677012,0.39683026
0.44073716,0.41093338
0.47410282,0.45667157
0.5613967,0.54913944
0.70882636,0.6968705
0.7947624,0.80194175
0.83045584,0.838386
0.8186227,0.835046
0.78642094,0.80427134
0.77904946,0.7890019
0.77846754,0.784628
0.74781764,0.7545266
0.7326867,0.73955286
0.7371484,0.72935283
0.7782735,0.771247
0.85121244,0.8449595
0.8614937,0.859337
0.81823474,0.8147924
0.7328807,0.7562598
0.60814744,0.6354513
0.5196896,0.5438105
0.45548013,0.46797228
0.42308438,0.4311137
0.41125122,0.39361393
0.39922404,0.38855025
0.4114452,0.39154917
0.42308438,0.42346182
0.47216296,0.46682858
0.53055286,0.5598147
0.5930165,0.6425191
0.6409311,0.6844039
0.6415131,0.69593203
0.63103783,0.6761924
0.6114452,0.66708773
0.6027158,0.63951045
0.56915617,0.6056037
0.57129,0.5988252
0.59088266,0.6046679
0.6630456,0.65870744
0.7456838,0.7556009
0.74180406,0.77026147
0.71445197,0.74369764
0.6494665,0.6771076
0.56585836,0.56341636
0.48923376,0.4769616
0.42386034,0.40913558
0.39262852,0.37018397
0.35693502,0.33304828
0.34781766,0.33548915
0.3600388,0.33337826
0.37342387,0.3605865
0.39883608,0.38775098
0.43200776,0.43664697
0.500097,0.5044681
0.54335594,0.55555254
0.5643065,0.5682048
0.5604268,0.5598657
0.55771095,0.5581139
0.5474297,0.5427433
0.5245393,0.5355791
0.5243453,0.5352875
0.5606208,0.5482729
0.6254122,0.6099236
0.70649856,0.7022562
0.72356933,0.72566
0.70009696,0.6861088
0.62735206,0.62474173
0.528807,0.5281713
0.45257032,0.4500498
0.39806014,0.3928426
0.35402521,0.34526682
0.34258002,0.30862713
0.3414161,0.3051676
0.34956354,0.32300413
0.40814742,0.37874037
0.5439379,0.4831497
0.70688653,0.6693069
0.829098,0.7802871
0.8595538,0.8508715
0.85645,0.83965087
0.8273521,0.8009391
0.81260914,0.7816898
0.81066924,0.7749267
0.7844811,0.76546824
0.75499517,0.75792253
0.757517,0.74207735
0.8011639,0.78394485
0.8688652,0.88036656
0.86498547,0.88656265
0.83491755,0.8347379
0.74917555,0.7590422
0.6199806,0.6491098
0.51367605,0.54473567
0.4527643,0.47143722
0.42870998,0.42939246
0.4042677,0.41917112
0.38739088,0.4126462
0.4027158,0.4279654
0.44578078,0.4813877
0.56100875,0.5787043
0.7066925,0.73009706
0.8015519,0.8231386
0.8265761,0.8539074
0.8155189,0.85311496
0.7811833,0.83268523
0.7695441,0.8155007
0.77400583,0.8020211
0.75033945,0.78944874
0.7241513,0.77852684
0.7365664,0.7684641
0.7771096,0.798984
0.8671193,0.88425195
0.86498547,0.89819753
0.8353055,0.847893
0.75596505,0.7601775
0.6265761,0.6361463
0.53501457,0.544737
0.47681862,0.47585905
0.45528612,0.4341525
0.43452957,0.40648028
0.42774007,0.40686297
0.4486906,0.42139235
0.48671192,0.4650583
0.6046557,0.5500229
0.7489816,0.67571706
0.84558684,0.77463305
0.8742968,0.8049169
0.8958293,0.80831456
0.8905917,0.7926971
0.8839961,0.7761372
0.88205624,0.7703321
0.85354024,0.74959356
0.82871,0.7385497
0.82754606,0.72372407
0.85179436,0.7613524
0.9028128,0.8439081
0.89796317,0.8420833
0.8620756,0.80428696
0.78331715,0.7386924
0.65373427,0.6234715
0.53346264,0.5339353
0.47468477,0.46372116
0.44112512,0.42396146
0.42463627,0.41300786
0.42192048,0.4194584
