true,forecasted
0.38777885,0.38679543
0.38603297,0.378832
0.4017459,0.3956263
0.42909795,0.44481152
0.53482056,0.5521949
0.68535405,0.69002646
0.80058193,0.7639622
0.82696414,0.7834062
0.82618815,0.7637279
0.785451,0.73792034
0.7670223,0.71865404
0.756935,0.71808624
0.72124153,0.69494116
0.6979631,0.68311834
0.7078565,0.70108193
0.7817653,0.78710043
0.86673135,0.8454467
0.857226,0.83553606
0.82502425,0.8107487
0.7346266,0.7226515
0.62192047,0.59778637
0.5253152,0.50712544
0.456838,0.44288355
0.42386034,0.40157565
0.4073715,0.39130604
0.40698352,0.3807726
0.41745877,0.39804998
0.45877787,0.44461688
0.5414161,0.556958
0.6927255,0.69413507
0.8085354,0.7706648
0.83918524,0.7940155
0.84073716,0.7786972
0.83355963,0.76094764
0.82948595,0.7416062
0.828904,0.73953366
0.7755577,0.7144328
0.757517,0.6985461
0.7650824,0.7161696
0.8023278,0.7852169
0.87972844,0.83062315
0.87643063,0.81668776
0.8387973,0.8023928
0.76217264,0.72544074
0.63918525,0.59639424
0.53928226,0.50390816
0.46789524,0.4371958
0.42812803,0.39385232
0.40232784,0.3990194
0.40872937,0.39074275
0.4242483,0.40412855
0.4655674,0.45042294
0.56469446,0.571087
0.7123181,0.713053
0.8339476,0.7934687
0.87216294,0.8288678
0.871193,0.81753564
0.84675074,0.80572814
0.842871,0.79088587
0.83821535,0.7897426
0.7968962,0.76121575
0.77361786,0.7406456
0.75674105,0.7507741
0.7961203,0.8078501
0.8758487,0.8444042
0.8688652,0.83184445
0.8413191,0.81958234
0.75674105,0.73323584
0.6312318,0.6032477
0.5299709,0.5152604
0.46207565,0.4493878
0.4440349,0.41023502
0.43045586,0.40762714
0.42677012,0.3972078
0.44073716,0.41181266
0.47410282,0.46443093
0.5613967,0.5761637
0.70882636,0.7165201
0.7947624,0.79023063
0.83045584,0.81981575
0.8186227,0.8049257
0.78642094,0.78523266
0.77904946,0.7674074
0.77846754,0.76238686
0.74781764,0.73636967
0.7326867,0.7179784
0.7371484,0.7318322
0.7782735,0.79654026
0.85121244,0.84769756
0.8614937,0.8433411
0.81823474,0.82576764
0.7328807,0.73908794
0.60814744,0.6126663
0.5196896,0.5229527
0.45548013,0.4592922
0.42308438,0.4177165
0.41125122,0.39682844
0.39922404,0.38726047
0.4114452,0.40374503
0.42308438,0.45607656
0.47216296,0.564778
0.53055286,0.70470804
0.5930165,0.7764022
0.6409311,0.79669535
0.6415131,0.77773786
0.63103783,0.7541122
0.6114452,0.73598814
0.6027158,0.7325283
0.56915617,0.7094521
0.57129,0.69619423
0.59088266,0.7142889
0.6630456,0.79188454
0.7456838,0.8453684
0.74180406,0.8390385
0.71445197,0.8170925
0.6494665,0.7276491
0.56585836,0.59928024
0.48923376,0.5108199
0.42386034,0.44754356
0.39262852,0.40681085
0.35693502,0.34479928
0.34781766,0.33232245
0.3600388,0.32698596
0.37342387,0.34078813
0.39883608,0.36584833
0.43200776,0.39005524
0.500097,0.4243595
0.54335594,0.46632642
0.5643065,0.48538056
0.5604268,0.49352828
0.55771095,0.4878022
0.5474297,0.47543642
0.5245393,0.46239832
0.5243453,0.45709008
0.5606208,0.49131832
0.6254122,0.5606444
0.70649856,0.6137961
0.72356933,0.6555685
0.70009696,0.65773314
0.62735206,0.5964273
0.528807,0.512564
0.45257032,0.43548518
0.39806014,0.3715797
0.35402521,0.3230232
0.34258002,0.31613564
0.3414161,0.30969802
0.34956354,0.31229365
0.40814742,0.3518442
0.5439379,0.45356652
0.70688653,0.59145355
0.829098,0.6970778
0.8595538,0.7511257
0.85645,0.7490469
0.8273521,0.73638254
0.81260914,0.72417355
0.81066924,0.71241117
0.7844811,0.70919484
0.75499517,0.69533664
0.757517,0.70760494
0.8011639,0.7861643
0.8688652,0.8238417
0.86498547,0.8122065
0.83491755,0.7975059
0.74917555,0.73590374
0.6199806,0.6205171
0.51367605,0.51965725
0.4527643,0.43754914
0.42870998,0.39250156
0.4042677,0.4012048
0.38739088,0.39149082
0.4027158,0.40930793
0.44578078,0.4615419
0.56100875,0.5730682
0.7066925,0.71194714
0.8015519,0.7843372
0.8265761,0.80816084
0.8155189,0.7905301
0.7811833,0.771794
0.7695441,0.7557541
0.77400583,0.7528813
0.75033945,0.72856814
0.7241513,0.71457773
0.7365664,0.7322307
0.7771096,0.8065735
0.8671193,0.85367095
0.86498547,0.84199804
0.8353055,0.81690985
0.75596505,0.727092
0.6265761,0.59667856
0.53501457,0.5109163
0.47681862,0.4467794
0.45528612,0.40589568
0.43452957,0.40036294
0.42774007,0.3924262
0.4486906,0.40500742
0.48671192,0.44856703
0.6046557,0.5598729
0.7489816,0.7025888
0.84558684,0.7864028
0.8742968,0.8274667
0.8958293,0.8254932
0.8905917,0.8193669
0.8839961,0.80605114
0.88205624,0.80410963
0.85354024,0.7777862
0.82871,0.75569195
0.82754606,0.7691882
0.85179436,0.8224671
0.9028128,0.84125817
0.89796317,0.8330428
0.8620756,0.8287443
0.78331715,0.7492198
0.65373427,0.62259465
0.53346264,0.53159183
0.47468477,0.46234873
0.44112512,0.41583544
0.42463627,0.42506123
0.42192048,0.41497073
0.43123183,0.43460253
0.46071774,0.49062094
0.5757517,0.6064058
0.71930164,0.7495469
0.8267701,0.8203546
0.84616876,0.84907544
0.8444229,0.8322586
0.81959265,0.81569964
0.80387974,0.8010427
0.80892336,0.7936934
0.7870029,0.7676173
0.76547045,0.74986017
0.76236665,0.76773083
0.7885548,0.83557117
0.86362755,0.8777454
0.8785645,0.8681727
0.83821535,0.84103733
0.76100874,0.74599886
0.6407372,0.6132393
0.54471385,0.52902544
0.47759455,0.46748978
0.4415131,0.42844272
0.4188167,0.4146267
0.4089234,0.40430367
0.4254122,0.42052358
0.46614936,0.46951646
0.5687682,0.5772285
0.71251214,0.71440864
0.80620754,0.78848135
0.8413191,0.8119625
0.81648886,0.7933099
0.7743938,0.7706602
0.76799226,0.7518514
0.7842871,0.7449864
0.7515034,0.7214019
0.73482054,0.7052318
0.73947626,0.71581155
0.7743938,0.7774718
0.85548013,0.8282471
0.8626576,0.8404185
0.8190107,0.83223873
0.7328807,0.74654305
0.61357903,0.6157645
0.52473325,0.5250111
0.4558681,0.45970103
0.4197866,0.4197507
0.3968962,0.3992198
0.3798254,0.38277748
0.39243454,0.39291257
0.4042677,0.4202944
0.4630456,0.46194538
0.53035885,0.5253741
0.6269641,0.58909255
0.6599418,0.61509585
0.6688652,0.6186156
0.6440349,0.6087368
0.6259942,0.58980393
0.61357903,0.5650921
0.57633364,0.5480531
0.571096,0.5451656
0.58952475,0.57789665
0.64034915,0.66631615
0.7482056,0.7303129
0.7619787,0.75001067
0.7303589,0.7200685
0.65974784,0.64019716
0.5474297,0.5374547
0.45955384,0.4533456
0.39903006,0.3908852
0.36682832,0.3518571
0.34665373,0.31296948
0.32783705,0.3008569
0.3355965,0.29542127
0.3468477,0.3050397
0.37478176,0.34837535
0.40659553,0.41702613
0.47119302,0.49169302
0.5008729,0.5317899
0.5121242,0.5533153
0.50688654,0.5576417
0.51115423,0.5520008
0.50126094,0.53767717
0.47468477,0.5372405
0.47235695,0.5268714
0.49117362,0.55285925
0.54975754,0.6312679
0.6525703,0.66946304
0.67953444,0.68848985
0.6607177,0.6789263
0.6056256,0.611593
0.5016489,0.51259667
0.4316198,0.4263074
0.37866148,0.3592116
0.3526673,0.31290224
0.33753636,0.31229618
0.33482057,0.30688778
0.3485936,0.30826694
0.3959263,0.35345107
0.53540254,0.46151668
0.7084384,0.6138919
0.82871,0.71626604
0.8684772,0.77355844
0.8607178,0.7750411
0.8366634,0.761574
0.8192046,0.75123954
0.8180407,0.74342406
0.78894275,0.7322776
0.7645005,0.7149784
0.7617847,0.7226487
0.7806014,0.7866086
0.8772066,0.82078624
0.8880698,0.8179786
0.8473327,0.81429774
0.76100874,0.7532654
0.63355964,0.641383
0.51503396,0.53820443
0.4698351,0.45543018
0.44675073,0.4100562
0.4325897,0.41961116
0.4298739,0.41062012
0.44364694,0.42963505
0.48380214,0.4818616
0.58933073,0.5969134
0.7443259,0.74158096
0.84481084,0.8114457
0.88923377,0.8376957
0.8700291,0.81930494
0.83821535,0.7995208
0.8267701,0.7837595
0.842871,0.77916986
0.8056256,0.75354284
0.80892336,0.73536676
0.8048497,0.75044197
0.83511156,0.81719744
0.8950533,0.85747033
0.9059166,0.8495701
0.87410283,0.83352613
0.78913677,0.7459023
0.65160036,0.61605614
0.5414161,0.5288853
0.47526672,0.4640889
0.4484966,0.42523858
0.42929196,0.4203331
0.4298739,0.41164264
0.45315227,0.4320692
0.4956353,0.48218745
0.59631425,0.59521663
0.7396702,0.73871195
0.84384096,0.8133106
0.8863239,0.84210074
0.8814743,0.8277034
0.8583899,0.81422836
0.85121244,0.7992842
0.8516004,0.7928022
0.81765276,0.7682809
0.7972842,0.74990386
0.7914646,0.7695923
0.814161,0.8361913
0.88089234,0.86908984
0.8925315,0.86123496
0.8657614,0.8441349
0.77458775,0.7521577
0.6496605,0.6185195
0.54335594,0.5301466
0.47681862,0.46849665
0.43336567,0.4263566
0.42056257,0.4215458
0.41745877,0.41286027
0.42967993,0.42987317
0.47235695,0.48167485
0.5928225,0.596229
0.74374396,0.7412053
0.8477207,0.8133254
0.8841901,0.8468716
0.88225025,0.8335287
0.8612997,0.8222347
0.86032975,0.8094338
0.86420953,0.80446863
0.8271581,0.7786444
0.81765276,0.7606756
0.81183314,0.7778039
0.8267701,0.8390448
0.9055286,0.8650068
0.9216295,0.85763484
0.88225025,0.8430778
0.80077595,0.75029576
0.6692532,0.6168619
0.5645005,0.53336924
0.49912706,0.4687281
0.46479148,0.4281652
0.4386033,0.43565464
