true,forecasted
0.38777885,0.41637784
0.38603297,0.41052523
0.4017459,0.4293536
0.42909795,0.4724272
0.53482056,0.5604212
0.68535405,0.7224332
0.80058193,0.81549394
0.82696414,0.84760225
0.82618815,0.8468909
0.785451,0.7753575
0.7670223,0.7627367
0.756935,0.76672125
0.72124153,0.7346064
0.6979631,0.73252904
0.7078565,0.7411977
0.7817653,0.79638386
0.86673135,0.8847338
0.857226,0.8830534
0.82502425,0.84317386
0.7346266,0.75946176
0.62192047,0.62772596
0.5253152,0.5412903
0.456838,0.47482952
0.42386034,0.4301897
0.4073715,0.40516767
0.40698352,0.4045203
0.41745877,0.41527644
0.45877787,0.44411972
0.5414161,0.5363617
0.6927255,0.70984375
0.8085354,0.8009968
0.83918524,0.8300866
0.84073716,0.818058
0.83355963,0.7791618
0.82948595,0.7629012
0.828904,0.75603163
0.7755577,0.73799384
0.757517,0.72266483
0.7650824,0.7350421
0.8023278,0.81133187
0.87972844,0.86548114
0.87643063,0.8551574
0.8387973,0.83059883
0.76217264,0.7487483
0.63918525,0.61643744
0.53928226,0.5295774
0.46789524,0.4620669
0.42812803,0.4104003
0.40232784,0.411851
0.40872937,0.40596777
0.4242483,0.42084265
0.4655674,0.43987995
0.56469446,0.5391141
0.7123181,0.688041
0.8339476,0.78560066
0.87216294,0.82487965
0.871193,0.8421596
0.84675074,0.78999114
0.842871,0.7908119
0.83821535,0.7876023
0.7968962,0.75192595
0.77361786,0.751264
0.75674105,0.7607217
0.7961203,0.8089435
0.8758487,0.85007083
0.8688652,0.85528064
0.8413191,0.83517635
0.75674105,0.7578938
0.6312318,0.6378232
0.5299709,0.53146267
0.46207565,0.46551654
0.4440349,0.41890258
0.43045586,0.43407476
0.42677012,0.42759573
0.44073716,0.44972166
0.47410282,0.4706381
0.5613967,0.5787672
0.70882636,0.71777725
0.7947624,0.8186407
0.83045584,0.84846103
0.8186227,0.8492315
0.78642094,0.7979963
0.77904946,0.7993814
0.77846754,0.8064841
0.74781764,0.7503464
0.7326867,0.7383524
0.7371484,0.74969876
0.7782735,0.7615254
0.85121244,0.8477452
0.8614937,0.87677
0.81823474,0.83990014
0.7328807,0.75603783
0.60814744,0.63453317
0.5196896,0.53873736
0.45548013,0.47416267
0.42308438,0.4285688
0.41125122,0.4238843
0.39922404,0.40963757
0.4114452,0.41674888
0.42308438,0.43034425
0.47216296,0.4656112
0.53055286,0.5315291
0.5930165,0.619315
0.6409311,0.66467905
0.6415131,0.67626405
0.63103783,0.6492491
0.6114452,0.6293303
0.6027158,0.616073
0.56915617,0.58597124
0.57129,0.57478416
0.59088266,0.5964991
0.6630456,0.6491728
0.7456838,0.72815275
0.74180406,0.76094687
0.71445197,0.7489377
0.6494665,0.6749784
0.56585836,0.5741891
0.48923376,0.47991672
0.42386034,0.41852897
0.39262852,0.3783833
0.35693502,0.35030192
0.34781766,0.3453979
0.3600388,0.33987197
0.37342387,0.35198694
0.39883608,0.3697116
0.43200776,0.4030342
0.500097,0.44008955
0.54335594,0.49050215
0.5643065,0.5058137
0.5604268,0.47656348
0.55771095,0.48542008
0.5474297,0.4832831
0.5245393,0.46977952
0.5243453,0.48651144
0.5606208,0.5175701
0.6254122,0.5859965
0.70649856,0.67217517
0.72356933,0.69032574
0.70009696,0.66124153
0.62735206,0.6133746
0.528807,0.53302085
0.45257032,0.44316515
0.39806014,0.38771966
0.35402521,0.34458682
0.34258002,0.34053424
0.3414161,0.33488294
0.34956354,0.34727424
0.40814742,0.38212076
0.5439379,0.49023035
0.70688653,0.66483307
0.829098,0.7907814
0.8595538,0.8365251
0.85645,0.83751094
0.8273521,0.8055004
0.81260914,0.7951511
0.81066924,0.78138196
0.7844811,0.75769734
0.75499517,0.7465627
0.757517,0.74577785
0.8011639,0.8005104
0.8688652,0.87181306
0.86498547,0.87207055
0.83491755,0.84714377
0.74917555,0.76805437
0.6199806,0.631322
0.51367605,0.5376619
0.4527643,0.4692718
0.42870998,0.4187408
0.4042677,0.42333394
0.38739088,0.41861272
0.4027158,0.437266
0.44578078,0.47894844
0.56100875,0.56203926
0.7066925,0.7289152
0.8015519,0.8162415
0.8265761,0.8445864
0.8155189,0.84195006
0.7811833,0.813581
0.7695441,0.79023874
0.77400583,0.78400826
0.75033945,0.7826756
0.7241513,0.7618371
0.7365664,0.7734721
0.7771096,0.85918033
0.8671193,0.8901253
0.86498547,0.88396406
0.8353055,0.8460412
0.75596505,0.7606894
0.6265761,0.64242876
0.53501457,0.540613
0.47681862,0.47150004
0.45528612,0.42782947
0.43452957,0.4175818
0.42774007,0.4110193
0.4486906,0.43074504
0.48671192,0.45270336
0.6046557,0.5544547
0.7489816,0.72910213
0.84558684,0.8199816
0.8742968,0.8550968
0.8958293,0.85063064
0.8905917,0.81707335
0.8839961,0.80182004
0.88205624,0.8018224
0.85354024,0.78824437
0.82871,0.78150153
0.82754606,0.78047204
0.85179436,0.82840896
0.9028128,0.88852537
0.89796317,0.87388706
0.8620756,0.8383398
0.78331715,0.7612033
0.65373427,0.64028287
0.53346264,0.54053164
0.47468477,0.48290333
0.44112512,0.43693292
0.42463627,0.45085627
0.42192048,0.44027963
0.43123183,0.46466687
0.46071774,0.48897323
0.5757517,0.58480465
0.71930164,0.7433344
0.8267701,0.8385292
0.84616876,0.87558806
0.8444229,0.863248
0.81959265,0.83065677
0.80387974,0.81082225
0.80892336,0.80643106
0.7870029,0.7861031
0.76547045,0.7720157
0.76236665,0.780594
0.7885548,0.86333823
0.86362755,0.9132235
0.8785645,0.8997252
0.83821535,0.8497312
0.76100874,0.7732754
0.6407372,0.6561769
0.54471385,0.55943644
0.47759455,0.4944773
0.4415131,0.45161977
0.4188167,0.4435409
0.4089234,0.43086675
0.4254122,0.4525807
0.46614936,0.47646463
0.5687682,0.57572114
0.71251214,0.7238997
0.80620754,0.8217325
0.8413191,0.8528739
0.81648886,0.846655
0.7743938,0.8044208
0.76799226,0.7850373
0.7842871,0.77811146
0.7515034,0.75197554
0.73482054,0.7326759
0.73947626,0.7476673
0.7743938,0.7657305
0.85548013,0.86455786
0.8626576,0.8739674
0.8190107,0.84610856
0.7328807,0.76481104
0.61357903,0.65456116
0.52473325,0.55791986
0.4558681,0.486874
0.4197866,0.4436895
0.3968962,0.415615
0.3798254,0.40468186
0.39243454,0.41699383
0.4042677,0.43545455
0.4630456,0.48303047
0.53035885,0.55644345
0.6269641,0.64462066
0.6599418,0.6793755
0.6688652,0.681139
0.6440349,0.6453043
0.6259942,0.6232524
0.61357903,0.61097574
0.57633364,0.57532704
0.571096,0.58000886
0.58952475,0.61146104
0.64034915,0.69092464
0.7482056,0.764222
0.7619787,0.7854568
0.7303589,0.76278925
0.65974784,0.6735513
0.5474297,0.57300186
0.45955384,0.47251078
0.39903006,0.41078696
0.36682832,0.37536418
0.34665373,0.3482003
0.32783705,0.3389931
0.3355965,0.33850735
0.3468477,0.35568228
0.37478176,0.37676647
0.40659553,0.39884683
0.47119302,0.43840206
0.5008729,0.47607532
0.5121242,0.48578456
0.50688654,0.48479846
0.51115423,0.4752557
0.50126094,0.47324127
0.47468477,0.45760947
0.47235695,0.46031228
0.49117362,0.49239007
0.54975754,0.5496656
0.6525703,0.6591811
0.67953444,0.6733713
0.6607177,0.6409826
0.6056256,0.5724428
0.5016489,0.49448666
0.4316198,0.4089049
0.37866148,0.35868
0.3526673,0.31872284
0.33753636,0.3322592
0.33482057,0.32672626
0.3485936,0.3489544
0.3959263,0.37459353
0.53540254,0.49731508
0.7084384,0.70102406
0.82871,0.7957864
0.8684772,0.85147345
0.8607178,0.86040163
0.8366634,0.8309175
0.8192046,0.82205546
0.8180407,0.8150573
0.78894275,0.7860652
0.7645005,0.78071773
0.7617847,0.78599656
0.7806014,0.8445116
0.8772066,0.8867053
0.8880698,0.8985379
0.8473327,0.8542392
0.76100874,0.7679043
0.63355964,0.64303136
0.51503396,0.5465271
0.4698351,0.48049882
0.44675073,0.43859747
0.4325897,0.42620978
0.4298739,0.41437036
0.44364694,0.44164422
0.48380214,0.4777825
0.58933073,0.57425225
0.7443259,0.7425797
0.84481084,0.8303044
0.88923377,0.8619518
0.8700291,0.855242
0.83821535,0.82373536
0.8267701,0.8046459
0.842871,0.7980511
0.8056256,0.79585624
0.80892336,0.7847978
0.8048497,0.78790057
0.83511156,0.8724859
0.8950533,0.9064479
0.9059166,0.8919511
0.87410283,0.8566861
0.78913677,0.7753202
0.65160036,0.6496097
0.5414161,0.5481716
0.47526672,0.48077372
0.4484966,0.44129303
0.42929196,0.43589664
0.4298739,0.43346307
0.45315227,0.4495616
0.4956353,0.4775046
0.59631425,0.5836748
0.7396702,0.72401774
0.84384096,0.8216431
0.8863239,0.8468367
0.8814743,0.85022724
0.8583899,0.8088548
0.85121244,0.7925769
0.8516004,0.79118407
0.81765276,0.769189
0.7972842,0.75728667
0.7914646,0.77049756
0.814161,0.8350092
0.88089234,0.8857676
0.8925315,0.88115025
0.8657614,0.8412962
0.77458775,0.7717519
0.6496605,0.64162886
0.54335594,0.549295
0.47681862,0.48751667
0.43336567,0.4390052
0.42056257,0.4488388
0.41745877,0.4424697
0.42967993,0.45827582
0.47235695,0.48424602
0.5928225,0.5714487
0.74374396,0.72720456
0.8477207,0.821077
0.8841901,0.8689593
0.88225025,0.86576235
0.8612997,0.83662796
0.86032975,0.8229996
0.86420953,0.8211975
0.8271581,0.79909134
0.81765276,0.78820145
0.81183314,0.7996334
0.8267701,0.85422945
0.9055286,0.90136826
0.9216295,0.90016794
0.88225025,0.86433506
0.80077595,0.78982675
0.6692532,0.67105854
0.5645005,0.5734476
0.49912706,0.5011434
0.46479148,0.45225495
0.4386033,0.45429525
0.43763337,0.44380406
0.44616878,0.45704433
0.49932104,0.49371877
0.600388,0.6059346
0.7363725,0.7342559
0.8387973,0.8311478
0.86498547,0.86521435
0.8543162,0.8667903
0.8302619,0.8292805
0.8128031,0.811919
0.80387974,0.80496216
0.77458775,0.76971555
0.7476237,0.7619059
0.76333654,0.7774689
0.7957323,0.8259312
0.87099904,0.8834795
0.8870999,0.8967173
0.8471387,0.8464744
0.76721627,0.7724215
0.642677,0.66507256
0.5549952,0.5615835
0.48962173,0.4955471
0.456838,0.46128523
0.43336567,0.45581064
0.4228904,0.43610513
0.4271581,0.4501787
0.4512124,0.4560488
0.49078566,0.49679294
0.55790496,0.57897294
0.6630456,0.6666335
0.7264792,0.7154578
0.74354994,0.7311399
0.7458778,0.70121205
0.71930164,0.69050133
0.7061106,0.6846324
0.6704171,0.63681173
0.657614,0.63912475
0.6671193,0.6601758
0.7123181,0.69874287
0.80387974,0.7783383
0.8217265,0.80395305
0.786033,0.7868769
0.7202716,0.703568
0.6246363,0.6044264
0.542774,0.50925183
0.48205626,0.44015685
0.44034916,0.40345737
0.42366636,0.41197142
0.41377303,0.4014323
0.41222113,0.39939785
0.42618817,0.3993213
0.43918526,0.42213205
0.47875848,0.46464476
0.5398642,0.50860846
0.5672163,0.54558843
0.58448106,0.5662925
0.5829292,0.57268274
0.5792435,0.56856596
0.57225996,0.55161417
0.54801166,0.5524608
0.55033946,0.55514896
0.5755577,0.57174414
0.6159069,0.6525743
0.73055285,0.7299166
0.7786615,0.754297
0.7540252,0.7319006
0.6948594,0.65800726
0.60368574,0.56719744
0.53094083,0.48120308
0.46925315,0.42257234
0.43627545,0.38718954
0.41047525,0.4251982
0.40814742,0.43156958
0.42657614,0.4452918
0.47875848,0.46552184
0.6246363,0.59732413
0.7813773,0.7382016
0.91076624,0.9014802
0.9695441,0.9482447
0.9699321,0.9661062
0.9559651,0.93056667
0.93811834,0.9050647
0.9355965,0.89024806
0.9030068,0.87526715
0.88341415,0.84537864
0.8696411,0.87488496
0.88923377,0.93565774
0.96372455,0.9925164
0.98292917,0.9521365
0.93695444,0.9206282
0.8620756,0.86422443
0.74374396,0.76073015
0.6389913,0.6388887
0.58195925,0.5797279
0.5470417,0.5483056
0.53346264,0.50557995
0.53055286,0.49258962
0.54258,0.5091954
0.571678,0.5400959
0.6607177,0.64981544
0.8,0.78560305
0.90902036,0.90474427
0.96062076,0.95355535
0.9664403,0.9414437
0.9520854,0.90978813
0.9400582,0.8862972
0.9253152,0.8690157
0.8799224,0.8671572
0.84481084,0.8449459
0.8500485,0.8664522
0.8630456,0.92576563
0.9645005,0.9720876
0.9961203,0.9591459
0.95557714,0.9172816
0.87604266,0.85988235
0.7414161,0.76439345
0.6368574,0.637391
0.571096,0.57554233
0.5328807,0.542377
0.51910764,0.5254059
0.5200776,0.52152586
0.5387003,0.5342927
0.5738118,0.553236
0.6692532,0.65728235
0.80620754,0.8076457
0.92395735,0.939646
0.9652764,0.9638822
0.96663433,0.96676314
0.9400582,0.93566
0.92880696,0.9161532
0.914452,0.89467704
0.8706111,0.8869382
0.84054315,0.86932516
0.8356935,0.87572503
0.84907854,0.91403043
0.94064015,0.9671087
0.9833172,0.97139657
0.9588749,0.92123055
0.8828322,0.8651521
0.75984484,0.7396616
0.656838,0.6500459
0.585645,0.5834652
0.557517,0.54519236
0.5375364,0.52452636
0.528419,0.5084163
0.5387003,0.5468526
0.56508243,0.572338
0.66226965,0.67795146
0.8098933,0.84900033
0.91270614,0.9306545
