true,forecasted
0.38777885,0.38523054
0.38603297,0.37279475
0.4017459,0.39691144
0.42909795,0.4360882
0.53482056,0.558832
0.68535405,0.7199026
0.80058193,0.7911323
0.82696414,0.80953294
0.82618815,0.80979097
0.785451,0.7731935
0.7670223,0.75022495
0.756935,0.7563518
0.72124153,0.73076653
0.6979631,0.7111686
0.7078565,0.7146961
0.7817653,0.79199857
0.86673135,0.8485382
0.857226,0.86211634
0.82502425,0.8282976
0.7346266,0.7491631
0.62192047,0.61301696
0.5253152,0.5138318
0.456838,0.44756046
0.42386034,0.40687096
0.4073715,0.39440554
0.40698352,0.38398975
0.41745877,0.41077724
0.45877787,0.44478533
0.5414161,0.5595197
0.6927255,0.71190816
0.8085354,0.7803925
0.83918524,0.80598825
0.84073716,0.79686326
0.83355963,0.76022583
0.82948595,0.7445019
0.828904,0.7419252
0.7755577,0.73116535
0.757517,0.6997131
0.7650824,0.7037453
0.8023278,0.7715478
0.87972844,0.83815813
0.87643063,0.8645768
0.8387973,0.8368785
0.76217264,0.75631696
0.63918525,0.62356067
0.53928226,0.52388495
0.46789524,0.45970774
0.42812803,0.4108938
0.40232784,0.40186143
0.40872937,0.3940516
0.4242483,0.41619915
0.4655674,0.45374888
0.56469446,0.56567013
0.7123181,0.71536404
0.8339476,0.7878568
0.87216294,0.81373423
0.871193,0.8175533
0.84675074,0.78324586
0.842871,0.7642608
0.83821535,0.7623101
0.7968962,0.73297226
0.77361786,0.7095331
0.75674105,0.7229339
0.7961203,0.78162533
0.8758487,0.8411139
0.8688652,0.85449266
0.8413191,0.83245426
0.75674105,0.757008
0.6312318,0.6282951
0.5299709,0.5309246
0.46207565,0.45828968
0.4440349,0.41353977
0.43045586,0.40553245
0.42677012,0.400947
0.44073716,0.4176735
0.47410282,0.46856692
0.5613967,0.58864194
0.70882636,0.72958255
0.7947624,0.8101678
0.83045584,0.8320382
0.8186227,0.83454573
0.78642094,0.80497247
0.77904946,0.78512883
0.77846754,0.7861227
0.74781764,0.75240004
0.7326867,0.72653913
0.7371484,0.7423394
0.7782735,0.799089
0.85121244,0.85179394
0.8614937,0.87164253
0.81823474,0.85277253
0.7328807,0.7673313
0.60814744,0.63163054
0.5196896,0.5376154
0.45548013,0.46486545
0.42308438,0.42171568
0.41125122,0.39520246
0.39922404,0.37705904
0.4114452,0.4000098
0.42308438,0.41777408
0.47216296,0.46452582
0.53055286,0.54682446
0.5930165,0.6231077
0.6409311,0.64889514
0.6415131,0.66837835
0.63103783,0.64978135
0.6114452,0.6354182
0.6027158,0.61754197
0.56915617,0.5750077
0.57129,0.57869136
0.59088266,0.6178448
0.6630456,0.6732593
0.7456838,0.73363954
0.74180406,0.74498975
0.71445197,0.7336869
0.6494665,0.6639866
0.56585836,0.5575599
0.48923376,0.46672618
0.42386034,0.40091082
0.39262852,0.35518003
0.35693502,0.3414466
0.34781766,0.32455295
0.3600388,0.3288964
0.37342387,0.35006464
0.39883608,0.378574
