true,forecasted
0.37956747,0.38365525
0.37061894,0.36312014
0.37061894,0.37586766
0.40268457,0.41264006
0.4794929,0.48184118
0.71961224,0.74323297
0.84190905,0.8791232
0.8844146,0.90287435
0.87994033,0.8989394
0.9142431,0.9159526
0.91648024,0.92967623
0.9127517,0.9266999
0.862789,0.8931731
0.83743477,0.86184376
0.81431764,0.853542
0.81506336,0.9089431
0.81953764,0.94127774
0.9097688,0.8919884
0.90082026,0.90126896
0.84265476,0.82648265
0.71364653,0.70573455
0.606264,0.6175256
0.5212528,0.5329059
0.4668158,0.45321548
0.41312453,0.42436045
0.41461596,0.39661855
0.41536167,0.40840417
0.44966444,0.4361366
0.53765845,0.5344046
0.75540644,0.7713084
0.88143176,0.8954355
0.9336316,0.93997425
0.91648024,0.94631696
0.92170024,0.980501
0.9343773,0.9998069
0.9097688,1.0039485
0.8956003,0.974072
0.8545861,0.925779
0.80164057,0.910365
0.82550335,0.9378899
0.8493661,0.9449908
0.8598061,0.9328028
0.86204326,0.91532326
0.7844892,0.8509261
0.6800895,0.749658
0.60477257,0.6411539
0.52348995,0.56078297
0.47352722,0.47671717
0.4175988,0.42255822
0.39522743,0.40725145
0.3691275,0.40817904
0.3870246,0.43137056
0.3810589,0.5304539
0.44593588,0.7436923
0.5272185,0.8696527
0.6144668,0.89844465
0.65398955,0.88916326
0.6912752,0.9112501
0.7158837,0.9217975
0.6987323,0.9308528
0.6524981,0.90678334
0.6070097,0.8571245
0.5801641,0.8475011
0.5809098,0.83397245
0.6219239,0.8297716
0.6763609,0.89320767
0.6674124,0.89103746
0.6144668,0.8467433
0.5406413,0.7373558
0.48098433,0.64740795
0.4161074,0.5457155
0.34451902,0.46303597
0.29306486,0.32370588
0.29008204,0.30332118
0.3079791,0.30444604
0.31021625,0.32440612
0.38255033,0.39799663
0.5697241,0.59216905
0.7069351,0.71151143
0.75540644,0.7607023
0.7576435,0.7561779
0.7912006,0.76488614
0.79567486,0.77404666
0.7986577,0.75633645
0.76435494,0.73161614
0.7367636,0.6833153
0.7076808,0.6724603
0.7061894,0.67787874
0.73900074,0.71544486
0.7867263,0.76983356
0.75838923,0.7899611
0.6800895,0.7327743
0.5943326,0.62610203
0.5272185,0.54435265
0.4414616,0.4508783
0.37136465,0.3932914
0.32960477,0.34674615
0.30201343,0.31910527
0.29604772,0.31766754
0.305742,0.33652025
0.3176734,0.40153134
0.4354959,0.5672469
0.54287845,0.6702507
0.6495153,0.7333844
0.69052947,0.7408223
0.7114094,0.7403961
0.72632366,0.7448255
0.69500375,0.72508943
0.64727813,0.6854486
0.5764355,0.6364571
0.57270694,0.61445177
0.5607755,0.62169063
0.6144668,0.6730006
0.64802384,0.71808636
0.6577181,0.7294803
0.59880686,0.6887683
0.5294556,0.5878799
0.45637584,0.5079851
0.38329604,0.41546074
0.31170768,0.35864925
0.27293065,0.29294944
0.25577927,0.2675802
0.24608502,0.25755382
0.2520507,0.2671754
0.25577927,0.27929893
0.33557048,0.34676132
0.41909024,0.43411022
0.5294556,0.52738994
0.5965697,0.58210325
0.6331096,0.60073286
0.6621924,0.61782473
0.62938106,0.5864629
0.51230425,0.5250047
0.4780015,0.47494516
0.46905294,0.45556137
0.47352722,0.47739103
0.5503356,0.54859537
0.6510067,0.6235193
0.65920955,0.6633261
0.62416106,0.61446756
0.5287099,0.5229354
0.44295302,0.44788203
0.3922446,0.36807993
0.34675616,0.3242585
0.31021625,0.30856675
0.29008204,0.2932766
0.28038776,0.2917919
0.30947053,0.31859487
0.39746457,0.4034069
0.6964952,0.63242704
0.8322148,0.7790862
0.9082774,0.81628877
0.9127517,0.801224
0.9194631,0.8032852
0.95227444,0.8104302
0.9328859,0.80482435
0.9038031,0.79379195
0.852349,0.7423176
0.81133485,0.7340052
0.8396719,0.7429751
0.88665175,0.7553487
0.9343773,0.8154609
0.9023117,0.837729
0.8344519,0.78096086
0.7158837,0.66352874
0.61372113,0.57043654
0.5264728,0.47557792
0.4466816,0.41231167
0.40790454,0.4479828
0.39597315,0.4051631
0.38329604,0.39674705
0.40715882,0.4210512
0.5048471,0.44940403
0.73527217,0.6843593
0.86726326,0.82325774
0.92990303,0.8805605
0.9343773,0.8750107
0.92841166,0.87234575
0.94630873,0.90352774
0.9291573,0.881445
0.90156597,0.88133055
0.8434004,0.82600194
0.8240119,0.8053825
0.8038777,0.81234825
0.87546605,0.8464836
0.9127517,0.8713298
0.9142431,0.8858466
0.8344519,0.82333744
0.7360179,0.7086704
0.6353468,0.6333475
0.55331844,0.54109037
0.4847129,0.45846805
0.43251306,0.446529
0.42058167,0.4069269
0.4161074,0.4173049
0.43027592,0.43449494
0.5167785,0.50938636
0.70917225,0.71553034
0.82997763,0.83997005
0.8903803,0.88040316
0.87546605,0.8670864
0.8717375,0.8414071
0.8985832,0.86381
0.8702461,0.83775914
0.84190905,0.81961
0.7919463,0.7598131
0.7770321,0.74471605
0.7934377,0.74828506
0.82475764,0.8080151
0.88665175,0.8612232
0.8702461,0.87166643
0.8225205,0.80983025
0.7181208,0.69978964
0.64354956,0.61416614
0.5443699,0.5120184
0.48396719,0.44716364
0.43325877,0.42030296
0.43102163,0.39746588
0.41237882,0.40179735
0.46085012,0.41382056
0.55331844,0.50899076
0.7740492,0.67685163
0.89112604,0.7731338
0.9157345,0.8275307
0.8844146,0.8170198
0.8538404,0.81929374
0.87994033,0.82361114
0.84190905,0.81494385
0.78896344,0.77593833
0.7770321,0.7191413
0.7427293,0.7090329
0.7852349,0.7002722
0.8337062,0.726842
0.9142431,0.81180596
0.91051453,0.83940494
0.8322148,0.79387015
0.70320654,0.6878233
0.59806114,0.5927117
0.5108128,0.49821118
0.4474273,0.4212882
0.4049217,0.42905962
0.38329604,0.40532407
0.37733036,0.418728
0.4116331,0.42663085
0.5167785,0.5238358
0.7472036,0.7027886
0.8881432,0.80367047
0.9336316,0.8529825
0.9030574,0.8587012
0.9194631,0.87082356
0.9075317,0.88344413
0.90678596,0.869919
0.8478747,0.8309935
0.813572,0.77452046
0.76957494,0.76409125
0.7859806,0.774896
0.8396719,0.81027323
0.89112604,0.83512115
0.86055183,0.8335297
0.813572,0.76539844
0.6935123,0.6775001
0.60924685,0.5926405
0.5137957,0.5051037
0.43102163,0.42700064
0.39671886,0.42751867
0.37956747,0.38827524
0.36689037,0.38037372
0.36539894,0.3819368
0.398956,0.4089119
0.50633854,0.5376066
0.64056677,0.651293
0.7494407,0.7786548
0.7658464,0.8100246
0.7792692,0.8330619
0.7912006,0.84248006
0.75988066,0.8327936
0.6823266,0.7702219
0.60924685,0.7022567
0.5771812,0.674074
0.590604,0.6880879
0.6413125,0.71072775
0.6987323,0.7203196
0.6927666,0.70929086
0.6152125,0.6651328
0.53840417,0.56824595
0.46532437,0.48499715
0.3810589,0.41640303
0.33706188,0.35310125
0.30499628,0.28933468
0.28635347,0.27281892
0.2647278,0.26302665
0.29381058,0.26081517
0.29157346,0.27615747
0.3609247,0.30985415
0.44295302,0.38794786
0.557047,0.5068088
0.63982105,0.59494054
0.6868009,0.6742846
0.72483224,0.69752496
0.6674124,0.66250217
0.5995526,0.58083737
0.5667412,0.5224997
0.52423567,0.5074633
0.530947,0.52384746
0.5756898,0.5653636
0.6465324,0.6122675
0.64876956,0.62106884
0.60477257,0.61557025
0.5495899,0.5514488
0.47427294,0.4792391
0.40641314,0.40167397
0.3482476,0.35635725
0.3131991,0.3314103
0.2945563,0.29724595
0.30872482,0.30578372
0.3430276,0.32884666
0.43102163,0.3998944
0.69574946,0.6607969
0.80014914,0.83482176
0.86651754,0.88091016
0.8642804,0.8611655
0.8695004,0.8512129
0.89187175,0.86213726
0.8896346,0.85230494
0.8590604,0.85483545
0.80611485,0.7876316
0.77628636,0.7761723
0.7822521,0.79673386
0.8090977,0.819039
0.8821775,0.85651076
0.8836689,0.8877202
0.7986577,0.8215359
0.6912752,0.6880212
0.60999256,0.6000184
0.51230425,0.498031
0.4287845,0.42781085
0.3997017,0.4117246
0.393736,0.38195628
0.3810589,0.38064232
0.40865025,0.4016729
0.48396719,0.4720409
0.7300522,0.71307206
0.83668905,0.84914047
0.90604025,0.8985317
0.8985832,0.8907659
0.9321402,0.8827308
0.9388516,0.9042116
0.9187174,0.8980517
0.88590604,0.8792468
0.8583147,0.8314796
0.8269948,0.8020786
0.813572,0.8073238
0.8538404,0.8410183
0.9187174,0.8758068
0.9038031,0.87113655
0.83072335,0.81903845
0.70469797,0.7063235
0.611484,0.6172615
