true,forecasted
0.37956747,0.40555313
0.37061894,0.39036137
0.37061894,0.39334306
0.40268457,0.42079097
0.4794929,0.530857
0.71961224,0.74775845
0.84190905,0.877618
0.8844146,0.91122097
0.87994033,0.9036274
0.9142431,0.90613914
0.91648024,0.9223197
0.9127517,0.91884655
0.862789,0.88774955
0.83743477,0.8590111
0.81431764,0.83121693
0.81506336,0.8635953
0.81953764,0.9095465
0.9097688,0.9283043
0.90082026,0.900976
0.84265476,0.82673174
0.71364653,0.7221933
0.606264,0.6257801
0.5212528,0.54316336
0.4668158,0.47269034
0.41312453,0.42651045
0.41461596,0.41551602
0.41536167,0.42158982
0.44966444,0.44384027
0.53765845,0.56087047
0.75540644,0.7670706
0.88143176,0.9006396
0.9336316,0.9386663
0.91648024,0.93465674
0.92170024,0.9564613
0.9343773,0.96086204
0.9097688,0.95362794
0.8956003,0.9184693
0.8545861,0.88074964
0.80164057,0.8542932
0.82550335,0.87869436
0.8493661,0.8996303
0.8598061,0.9220188
0.86204326,0.8968181
0.7844892,0.8343775
0.6800895,0.72680634
0.60477257,0.6318653
0.52348995,0.55066246
0.47352722,0.48473024
0.4175988,0.4117393
0.39522743,0.4009316
0.3691275,0.4042689
0.3870246,0.42780367
0.3810589,0.547841
0.44593588,0.7329225
0.5272185,0.8516734
0.6144668,0.88015944
0.65398955,0.88078696
0.6912752,0.8970091
0.7158837,0.904075
0.6987323,0.8931586
0.6524981,0.8546113
0.6070097,0.8118347
0.5801641,0.7923912
0.5809098,0.78575546
0.6219239,0.81219244
0.6763609,0.8609566
0.6674124,0.84962577
0.6144668,0.7924898
0.5406413,0.69307274
0.48098433,0.60602427
0.4161074,0.5197794
0.34451902,0.45684177
0.29306486,0.3070221
0.29008204,0.28437132
0.3079791,0.2817003
0.31021625,0.28091547
0.38255033,0.32389373
0.5697241,0.44867125
0.7069351,0.55746406
0.75540644,0.6319339
0.7576435,0.67732
0.7912006,0.68419063
0.79567486,0.6939292
0.7986577,0.6646928
0.76435494,0.61602205
0.7367636,0.57371855
0.7076808,0.5411737
0.7061894,0.5718147
0.73900074,0.6344819
0.7867263,0.68379354
0.75838923,0.6877203
0.6800895,0.6338869
0.5943326,0.545536
0.5272185,0.47401512
0.4414616,0.39275503
0.37136465,0.33745506
0.32960477,0.33994415
0.30201343,0.32112825
0.29604772,0.31774357
0.305742,0.337252
0.3176734,0.39950645
0.4354959,0.5395033
0.54287845,0.643549
0.6495153,0.70421875
0.69052947,0.7228768
0.7114094,0.72500515
0.72632366,0.72644866
0.69500375,0.7034626
0.64727813,0.65492857
0.5764355,0.60650593
0.57270694,0.5863342
0.5607755,0.59624475
0.6144668,0.6572553
0.64802384,0.7170668
0.6577181,0.71215445
0.59880686,0.6577597
0.5294556,0.56499374
0.45637584,0.487473
0.38329604,0.4049007
0.31170768,0.34654707
0.27293065,0.29891515
0.25577927,0.27619243
0.24608502,0.26842576
0.2520507,0.2711239
0.25577927,0.2848609
0.33557048,0.34759158
0.41909024,0.43714502
0.5294556,0.5284189
0.5965697,0.5940649
0.6331096,0.6078331
0.6621924,0.6217361
0.62938106,0.58438855
0.51230425,0.51822454
0.4780015,0.4770068
0.46905294,0.44430694
0.47352722,0.47491437
0.5503356,0.55990946
0.6510067,0.6376166
0.65920955,0.6653971
0.62416106,0.60668707
0.5287099,0.5177223
0.44295302,0.4470722
0.3922446,0.36943084
0.34675616,0.3129157
0.31021625,0.2865784
0.29008204,0.27326053
0.28038776,0.27274382
0.30947053,0.29468188
0.39746457,0.38631535
0.6964952,0.6048484
0.8322148,0.7424285
0.9082774,0.7932219
0.9127517,0.7952498
0.9194631,0.7888408
0.95227444,0.79458344
0.9328859,0.785209
