true,forecasted
0.37956747,0.38572046
0.37061894,0.37365606
0.37061894,0.37180603
0.40268457,0.4029364
0.4794929,0.48612002
0.71961224,0.716767
0.84190905,0.8358936
0.8844146,0.8774989
0.87994033,0.8864046
0.9142431,0.8862152
0.91648024,0.9010906
0.9127517,0.88837206
0.862789,0.86808807
0.83743477,0.82337064
0.81431764,0.8047132
0.81506336,0.8213462
0.81953764,0.8671221
0.9097688,0.8658964
0.90082026,0.8531814
0.84265476,0.7798432
0.71364653,0.67096
0.606264,0.5749234
0.5212528,0.4968157
0.4668158,0.43692717
0.41312453,0.3929135
0.41461596,0.3776689
0.41536167,0.3814712
0.44966444,0.38853377
0.53765845,0.46819025
0.75540644,0.7087527
0.88143176,0.8462567
0.9336316,0.9046567
0.91648024,0.9001615
0.92170024,0.9204186
0.9343773,0.9323032
0.9097688,0.9255153
0.8956003,0.89701796
0.8545861,0.8509718
0.80164057,0.8342709
0.82550335,0.8530994
0.8493661,0.87094223
0.8598061,0.8793457
0.86204326,0.8781498
0.7844892,0.81734025
0.6800895,0.691972
0.60477257,0.5996235
0.52348995,0.51596373
0.47352722,0.44763228
0.4175988,0.40138796
0.39522743,0.38669744
0.3691275,0.38734666
0.3870246,0.4200502
0.3810589,0.5135028
0.44593588,0.7275948
0.5272185,0.8333256
0.6144668,0.8695139
0.65398955,0.87214464
0.6912752,0.88279915
0.7158837,0.90939844
0.6987323,0.9088112
0.6524981,0.87759405
0.6070097,0.83053434
0.5801641,0.80966216
0.5809098,0.8134845
0.6219239,0.84067297
0.6763609,0.85935974
0.6674124,0.8420829
0.6144668,0.7697309
0.5406413,0.66914445
0.48098433,0.57936907
0.4161074,0.503136
0.34451902,0.43662792
0.29306486,0.29704607
0.29008204,0.28688455
0.3079791,0.28197122
0.31021625,0.27233326
0.38255033,0.29141214
0.5697241,0.34660906
0.7069351,0.4094278
0.75540644,0.5137425
0.7576435,0.6045794
0.7912006,0.6691275
0.79567486,0.68251187
0.7986577,0.62834394
0.76435494,0.57614714
0.7367636,0.53093314
0.7076808,0.49682102
0.7061894,0.5087757
0.73900074,0.58812267
0.7867263,0.653572
0.75838923,0.6864538
0.6800895,0.6386367
0.5943326,0.54906315
0.5272185,0.4931196
0.4414616,0.40634722
0.37136465,0.3685199
0.32960477,0.3320301
0.30201343,0.31992203
0.29604772,0.3187253
0.305742,0.33830786
0.3176734,0.40167788
0.4354959,0.62599456
0.54287845,0.7436375
0.6495153,0.7865345
0.69052947,0.7935556
0.7114094,0.773106
0.72632366,0.77398634
0.69500375,0.746016
0.64727813,0.74353373
0.5764355,0.7043808
0.57270694,0.6822049
0.5607755,0.6963864
0.6144668,0.7643348
0.64802384,0.7843132
0.6577181,0.7881578
0.59880686,0.7190214
0.5294556,0.61611617
0.45637584,0.5386601
0.38329604,0.44288886
0.31170768,0.38727865
0.27293065,0.27629936
0.25577927,0.26794565
0.24608502,0.26270536
0.2520507,0.2890467
0.25577927,0.38262558
0.33557048,0.5581718
0.41909024,0.67163074
0.5294556,0.70259595
0.5965697,0.6873042
0.6331096,0.6887064
0.6621924,0.6788014
0.62938106,0.64705026
0.51230425,0.6274429
0.4780015,0.59882236
0.46905294,0.5906674
0.47352722,0.6142448
0.5503356,0.68919903
0.6510067,0.72331655
0.65920955,0.71513605
0.62416106,0.6482486
0.5287099,0.5622233
0.44295302,0.47041386
0.3922446,0.39029032
0.34675616,0.3313132
0.31021625,0.24837175
0.29008204,0.22858611
0.28038776,0.21872735
0.30947053,0.22873719
0.39746457,0.2650607
0.6964952,0.3643657
0.8322148,0.45972738
0.9082774,0.5679656
0.9127517,0.6346911
0.9194631,0.6732323
0.95227444,0.69948685
0.9328859,0.6865597
0.9038031,0.6373609
0.852349,0.59935313
0.81133485,0.56978434
0.8396719,0.5995547
0.88665175,0.63971734
0.9343773,0.67348003
0.9023117,0.6964051
0.8344519,0.6489286
0.7158837,0.5495979
0.61372113,0.46093562
0.5264728,0.38261205
0.4466816,0.33317357
0.40790454,0.3923324
0.39597315,0.36616927
0.38329604,0.37335515
0.40715882,0.38833225
0.5048471,0.42824692
0.73527217,0.6531491
0.86726326,0.78468764
0.92990303,0.8321598
0.9343773,0.8697787
0.92841166,0.8755455
0.94630873,0.9013195
0.9291573,0.89324486
0.90156597,0.88548285
0.8434004,0.8331472
0.8240119,0.8063445
0.8038777,0.8077212
0.87546605,0.85984933
0.9127517,0.8780853
0.9142431,0.8829904
0.8344519,0.81147224
0.7360179,0.69755566
0.6353468,0.6340055
0.55331844,0.5404227
0.4847129,0.47615522
0.43251306,0.44463184
0.42058167,0.4184873
0.4161074,0.42072144
0.43027592,0.4274602
0.5167785,0.5108365
0.70917225,0.75468117
0.82997763,0.88590556
0.8903803,0.9325337
0.87546605,0.89377916
0.8717375,0.9040462
0.8985832,0.9119427
0.8702461,0.8854675
0.84190905,0.86803126
0.7919463,0.81870145
0.7770321,0.8031212
0.7934377,0.81917906
0.82475764,0.89093554
0.88665175,0.94025517
0.8702461,0.9339497
0.8225205,0.86498934
0.7181208,0.75009745
0.64354956,0.6503696
0.5443699,0.5678591
0.48396719,0.49325502
0.43325877,0.43813843
0.43102163,0.42159528
0.41237882,0.4271814
0.46085012,0.4587664
0.55331844,0.5489247
0.7740492,0.76301175
0.89112604,0.86841214
0.9157345,0.8937446
0.8844146,0.8746203
0.8538404,0.8760382
0.87994033,0.8767213
0.84190905,0.85931563
0.78896344,0.8308287
0.7770321,0.78585404
0.7427293,0.75907654
0.7852349,0.7666537
0.8337062,0.83252287
0.9142431,0.88503706
0.91051453,0.8678317
0.8322148,0.7942013
0.70320654,0.69901186
0.59806114,0.6110841
0.5108128,0.52723384
0.4474273,0.45926875
0.4049217,0.4036307
0.38329604,0.39803082
0.37733036,0.40758187
0.4116331,0.43149078
0.5167785,0.54508483
0.7472036,0.76535344
0.8881432,0.86225146
0.9336316,0.89080715
0.9030574,0.87822294
0.9194631,0.89056313
0.9075317,0.88987505
0.90678596,0.8706255
0.8478747,0.82775456
0.813572,0.7771708
0.76957494,0.77412707
0.7859806,0.7915825
0.8396719,0.8214426
0.89112604,0.84570235
0.86055183,0.824053
0.813572,0.7398624
0.6935123,0.6410522
0.60924685,0.5486193
0.5137957,0.46723095
0.43102163,0.40621996
0.39671886,0.35270825
0.37956747,0.34257057
0.36689037,0.33811426
0.36539894,0.34192538
0.398956,0.38354447
0.50633854,0.51846796
0.64056677,0.64794034
0.7494407,0.75777966
0.7658464,0.7908071
0.7792692,0.8098461
0.7912006,0.8129599
0.75988066,0.79743254
0.6823266,0.7413338
0.60924685,0.696106
0.5771812,0.67753226
0.590604,0.70902854
0.6413125,0.7389999
0.6987323,0.72723776
0.6927666,0.71362925
0.6152125,0.65440005
0.53840417,0.55316645
0.46532437,0.46114728
0.3810589,0.39478743
0.33706188,0.33916938
0.30499628,0.27517056
0.28635347,0.276207
0.2647278,0.27084136
0.29381058,0.26156873
0.29157346,0.26515058
0.3609247,0.3384067
0.44295302,0.3949118
0.557047,0.5115311
0.63982105,0.59526455
0.6868009,0.66370213
0.72483224,0.6903236
0.6674124,0.6493224
0.5995526,0.59864813
0.5667412,0.5580176
0.52423567,0.5286575
0.530947,0.53654546
0.5756898,0.5945838
0.6465324,0.6238507
0.64876956,0.65093815
0.60477257,0.6159361
0.5495899,0.53333473
0.47427294,0.4800022
0.40641314,0.41143212
0.3482476,0.36199299
0.3131991,0.29635015
0.2945563,0.29061794
0.30872482,0.2908296
0.3430276,0.3166771
0.43102163,0.41434893
0.69574946,0.65596706
0.80014914,0.7944327
0.86651754,0.8494224
0.8642804,0.8595119
0.8695004,0.85293067
0.89187175,0.8629632
0.8896346,0.8626454
0.8590604,0.85426486
0.80611485,0.81079054
0.77628636,0.792124
0.7822521,0.7993642
0.8090977,0.8343322
0.8821775,0.8505023
0.8836689,0.84587646
0.7986577,0.77647465
0.6912752,0.6656468
0.60999256,0.5662645
0.51230425,0.4837249
0.4287845,0.4186564
0.3997017,0.37856844
0.393736,0.36765113
0.3810589,0.3586661
0.40865025,0.38960147
0.48396719,0.49063805
0.7300522,0.7228916
0.83668905,0.8519801
0.90604025,0.89470583
0.8985832,0.88774157
